GeoFIPS,GeoName,Category,Value
10180,"Abilene, TX (MA)",mexican,0.1085961618570996
10420,"Akron, OH (MA)",mexican,0.0047098498997813
10500,"Albany, GA (MA)",mexican,0.0063028305804498
10540,"Albany-Lebanon, OR (MA)",mexican,0.0418985849056603
10580,"Albany-Schenectady-Troy, NY (MA)",mexican,0.0030425319922294
10740,"Albuquerque, NM (MA)",mexican,0.1450035472329393
10780,"Alexandria, LA (MA)",mexican,0.0098889944006025
10900,"Allentown-Bethlehem-Easton, PA-NJ (MA)",mexican,0.0067237997335655
11020,"Altoona, PA (MA)",mexican,0.0014212389955494
11100,"Amarillo, TX (MA)",mexican,0.1303604839250706
11180,"Ames, IA (MA)",mexican,0.0134305879337002
11260,"Anchorage, AK (MA)",mexican,0.020594613273503
11460,"Ann Arbor, MI (MA)",mexican,0.0140080767289247
11500,"Anniston-Oxford, AL (MA)",mexican,0.012282585355379
11540,"Appleton, WI (MA)",mexican,0.0171811142181114
11700,"Asheville, NC (MA)",mexican,0.0208126592175411
12020,"Athens-Clarke County, GA (MA)",mexican,0.0235172007518023
12060,"Atlanta-Sandy Springs-Alpharetta, GA (MA)",mexican,0.0277257964263894
12100,"Atlantic City-Hammonton, NJ (MA)",mexican,0.0248151461486498
12220,"Auburn-Opelika, AL (MA)",mexican,0.0089651208026802
12260,"Augusta-Richmond County, GA-SC (MA)",mexican,0.0121191825208623
12420,"Austin-Round Rock-Georgetown, TX (MA)",mexican,0.1314257261782213
12540,"Bakersfield, CA (MA)",mexican,0.2492226526096347
12580,"Baltimore-Columbia-Towson, MD (MA)",mexican,0.0068700640799482
12620,"Bangor, ME (MA)",mexican,0.0028677296647417
12700,"Barnstable Town, MA (MA)",mexican,0.0034175360398697
12940,"Baton Rouge, LA (MA)",mexican,0.0069015753295191
12980,"Battle Creek, MI (MA)",mexican,0.0206807394547229
13020,"Bay City, MI (MA)",mexican,0.0256799615569437
13140,"Beaumont-Port Arthur, TX (MA)",mexican,0.0686575828550175
13220,"Beckley, WV (MA)",mexican,0.0017588481269129
13380,"Bellingham, WA (MA)",mexican,0.0358655520569359
13460,"Bend, OR (MA)",mexican,0.0327701524383988
13740,"Billings, MT (MA)",mexican,0.0205495172052
13780,"Binghamton, NY (MA)",mexican,0.0026157356832471
13820,"Birmingham-Hoover, AL (MA)",mexican,0.0151590916257844
13900,"Bismarck, ND (MA)",mexican,0.0074060952352236
13980,"Blacksburg-Christiansburg, VA (MA)",mexican,0.006439731336816
14010,"Bloomington, IL (MA)",mexican,0.0190953894607914
14020,"Bloomington, IN (MA)",mexican,0.0092897088605243
14100,"Bloomsburg-Berwick, PA (MA)",mexican,0.0065976854021703
14260,"Boise City, ID (MA)",mexican,0.0576159399149292
14460,"Boston-Cambridge-Newton, MA-NH (MA)",mexican,0.0035490418421711
14500,"Boulder, CO (MA)",mexican,0.0493013662374168
14540,"Bowling Green, KY (MA)",mexican,0.0130606845368221
14740,"Bremerton-Silverdale-Port Orchard, WA (MA)",mexican,0.0261011747817425
14860,"Bridgeport-Stamford-Norwalk, CT (MA)",mexican,0.01286742795725
15180,"Brownsville-Harlingen, TX (MA)",mexican,0.4299031753353909
15260,"Brunswick, GA (MA)",mexican,0.0134653935429415
15380,"Buffalo-Cheektowaga, NY (MA)",mexican,0.002950479259335
15500,"Burlington, NC (MA)",mexican,0.0423766882406832
15540,"Burlington-South Burlington, VT (MA)",mexican,0.0029529137196914
15680,"California-Lexington Park, MD (MA)",mexican,0.0095487107915448
15940,"Canton-Massillon, OH (MA)",mexican,0.0045545323698011
15980,"Cape Coral-Fort Myers, FL (MA)",mexican,0.0272123267366876
16020,"Cape Girardeau, MO-IL (MA)",mexican,0.007299757530925
16060,"Carbondale-Marion, IL (MA)",mexican,0.0129820769832693
16180,"Carson City, NV (MA)",mexican,0.1023086081060096
16220,"Casper, WY (MA)",mexican,0.0349071577939583
16300,"Cedar Rapids, IA (MA)",mexican,0.0118169813860262
16540,"Chambersburg-Waynesboro, PA (MA)",mexican,0.0105789500745539
16580,"Champaign-Urbana, IL (MA)",mexican,0.0186833417694302
16620,"Charleston, WV (MA)",mexican,0.0022812317884857
16700,"Charleston-North Charleston, SC (MA)",mexican,0.0135106566134806
16740,"Charlotte-Concord-Gastonia, NC-SC (MA)",mexican,0.0228447839127377
16820,"Charlottesville, VA (MA)",mexican,0.0094855684985609
16860,"Chattanooga, TN-GA (MA)",mexican,0.0109054049226592
16940,"Cheyenne, WY (MA)",mexican,0.0560982933787097
16980,"Chicago-Naperville-Elgin, IL-IN-WI (MA)",mexican,0.0875649777558879
17020,"Chico, CA (MA)",mexican,0.0736286280773255
17140,"Cincinnati, OH-KY-IN (MA)",mexican,0.0077887422031261
17300,"Clarksville, TN-KY (MA)",mexican,0.0237076395148409
17420,"Cleveland, TN (MA)",mexican,0.018049893495656
17460,"Cleveland-Elyria, OH (MA)",mexican,0.007132775747411
17660,"Coeur d'Alene, ID (MA)",mexican,0.0185126873696655
17780,"College Station-Bryan, TX (MA)",mexican,0.1090745837113782
17820,"Colorado Springs, CO (MA)",mexican,0.0545472426984664
17860,"Columbia, MO (MA)",mexican,0.0106502188695079
17900,"Columbia, SC (MA)",mexican,0.0142282305045996
17980,"Columbus, GA-AL (MA)",mexican,0.0130090862471864
18020,"Columbus, IN (MA)",mexican,0.027232475935371
18140,"Columbus, OH (MA)",mexican,0.0105129376955259
18580,"Corpus Christi, TX (MA)",mexican,0.2936055462654609
18700,"Corvallis, OR (MA)",mexican,0.0286319414368259
18880,"Crestview-Fort Walton Beach-Destin, FL (MA)",mexican,0.015870966372583
19060,"Cumberland, MD-WV (MA)",mexican,0.0016400463809294
19100,"Dallas-Fort Worth-Arlington, TX (MA)",mexican,0.1180521493131689
19140,"Dalton, GA (MA)",mexican,0.1213434642374885
19180,"Danville, IL (MA)",mexican,0.0218136698998038
19300,"Daphne-Fairhope-Foley, AL (MA)",mexican,0.0128450101483284
19340,"Davenport-Moline-Rock Island, IA-IL (MA)",mexican,0.0400919139185793
19430,"Dayton-Kettering, OH (MA)",mexican,0.007416672625814
19460,"Decatur, AL (MA)",mexican,0.0242393880421588
19500,"Decatur, IL (MA)",mexican,0.0077302048288619
19660,"Deltona-Daytona Beach-Ormond Beach, FL (MA)",mexican,0.0141676638935459
19740,"Denver-Aurora-Lakewood, CO (MA)",mexican,0.0876887557824947
19780,"Des Moines-West Des Moines, IA (MA)",mexican,0.0276987220028602
19820,"Detroit-Warren-Dearborn, MI (MA)",mexican,0.0158936048655298
20020,"Dothan, AL (MA)",mexican,0.0111974101409501
20100,"Dover, DE (MA)",mexican,0.0074578793633869
20220,"Dubuque, IA (MA)",mexican,0.0076149847497644
20260,"Duluth, MN-WI (MA)",mexican,0.0050390457392946
20500,"Durham-Chapel Hill, NC (MA)",mexican,0.0295682898925199
20700,"East Stroudsburg, PA (MA)",mexican,0.007485368290826
20740,"Eau Claire, WI (MA)",mexican,0.0081510144199014
20940,"El Centro, CA (MA)",mexican,0.4090563229307252
21060,"Elizabethtown-Fort Knox, KY (MA)",mexican,0.0122965396379909
21140,"Elkhart-Goshen, IN (MA)",mexican,0.0563485754723382
21300,"Elmira, NY (MA)",mexican,0.0051091692715733
21340,"El Paso, TX (MA)",mexican,0.390693754507662
21420,"Enid, OK (MA)",mexican,0.0617056268761576
21500,"Erie, PA (MA)",mexican,0.0048454779829571
21660,"Eugene-Springfield, OR (MA)",mexican,0.0329144460912617
21780,"Evansville, IN-KY (MA)",mexican,0.0082745406840882
21820,"Fairbanks, AK (MA)",mexican,0.0229441373560201
22020,"Fargo, ND-MN (MA)",mexican,0.0117979408550331
22140,"Farmington, NM (MA)",mexican,0.064599062744077
22180,"Fayetteville, NC (MA)",mexican,0.0271912494579097
22220,"Fayetteville-Springdale-Rogers, AR (MA)",mexican,0.0579755530486207
22380,"Flagstaff, AZ (MA)",mexican,0.0507478853610409
22420,"Flint, MI (MA)",mexican,0.0131865157480314
22500,"Florence, SC (MA)",mexican,0.0081361573222924
22520,"Florence-Muscle Shoals, AL (MA)",mexican,0.0103875948338451
22540,"Fond du Lac, WI (MA)",mexican,0.0200452401578592
22660,"Fort Collins, CO (MA)",mexican,0.0439380268982434
22900,"Fort Smith, AR-OK (MA)",mexican,0.0357351112198503
23060,"Fort Wayne, IN (MA)",mexican,0.027755135409378
23420,"Fresno, CA (MA)",mexican,0.2480152519563375
23460,"Gadsden, AL (MA)",mexican,0.0114818108014071
23540,"Gainesville, FL (MA)",mexican,0.0083119748336415
23580,"Gainesville, GA (MA)",mexican,0.1085407752983346
23900,"Gettysburg, PA (MA)",mexican,0.0206249638665664
24020,"Glens Falls, NY (MA)",mexican,0.002240636498003
24140,"Goldsboro, NC (MA)",mexican,0.0379380076810658
24220,"Grand Forks, ND-MN (MA)",mexican,0.0179255584077238
24260,"Grand Island, NE (MA)",mexican,0.0734849669115731
24300,"Grand Junction, CO (MA)",mexican,0.041238646281152
24340,"Grand Rapids-Kentwood, MI (MA)",mexican,0.0338089889198596
24420,"Grants Pass, OR (MA)",mexican,0.0286077595055082
24500,"Great Falls, MT (MA)",mexican,0.0160612036399059
24540,"Greeley, CO (MA)",mexican,0.1226816241967099
24580,"Green Bay, WI (MA)",mexican,0.0304326525613154
24660,"Greensboro-High Point, NC (MA)",mexican,0.0286854179651208
24780,"Greenville, NC (MA)",mexican,0.0239947245017584
24860,"Greenville-Anderson, SC (MA)",mexican,0.0154710586103166
25060,"Gulfport-Biloxi, MS (MA)",mexican,0.0098217257296655
25180,"Hagerstown-Martinsburg, MD-WV (MA)",mexican,0.0060296336946083
25220,"Hammond, LA (MA)",mexican,0.0087892099145608
25260,"Hanford-Corcoran, CA (MA)",mexican,0.2594198318486769
25420,"Harrisburg-Carlisle, PA (MA)",mexican,0.0062579692923693
25500,"Harrisonburg, VA (MA)",mexican,0.0215979045815082
25540,"Hartford-East Hartford-Middletown, CT (MA)",mexican,0.0050427585706703
25620,"Hattiesburg, MS (MA)",mexican,0.0085649295733574
25860,"Hickory-Lenoir-Morganton, NC (MA)",mexican,0.0231995987689002
25940,"Hilton Head Island-Bluffton, SC (MA)",mexican,0.0314409665531557
25980,"Hinesville, GA (MA)",mexican,0.026569390080761
26140,"Homosassa Springs, FL (MA)",mexican,0.0060241757084167
26300,"Hot Springs, AR (MA)",mexican,0.0216963909563263
26380,"Houma-Thibodaux, LA (MA)",mexican,0.0136925646245734
26420,"Houston-The Woodlands-Sugar Land, TX (MA)",mexican,0.1363834265339226
26580,"Huntington-Ashland, WV-KY-OH (MA)",mexican,0.0038803689049967
26620,"Huntsville, AL (MA)",mexican,0.0157851400388111
26820,"Idaho Falls, ID (MA)",mexican,0.0569744978064366
26900,"Indianapolis-Carmel-Anderson, IN (MA)",mexican,0.0229326456107445
26980,"Iowa City, IA (MA)",mexican,0.0170081097512015
27060,"Ithaca, NY (MA)",mexican,0.0055141142391942
27100,"Jackson, MI (MA)",mexican,0.0134295400118184
27140,"Jackson, MS (MA)",mexican,0.0066842537107654
27180,"Jackson, TN (MA)",mexican,0.012565229714184
27260,"Jacksonville, FL (MA)",mexican,0.0092594582975064
27340,"Jacksonville, NC (MA)",mexican,0.0288025119421419
27500,"Janesville-Beloit, WI (MA)",mexican,0.0381752913980993
27620,"Jefferson City, MO (MA)",mexican,0.0096286335091019
27740,"Johnson City, TN (MA)",mexican,0.0092790102389078
27780,"Johnstown, PA (MA)",mexican,0.0030847159226545
27860,"Jonesboro, AR (MA)",mexican,0.020065821605416
27900,"Joplin, MO (MA)",mexican,0.0193449663240966
27980,"Kahului-Wailuku-Lahaina, HI (MA)",mexican,0.0235951096203393
28020,"Kalamazoo-Portage, MI (MA)",mexican,0.0170525872627066
28100,"Kankakee, IL (MA)",mexican,0.0490176126692814
28140,"Kansas City, MO-KS (MA)",mexican,0.0348845010670347
28420,"Kennewick-Richland, WA (MA)",mexican,0.1481404903556278
28660,"Killeen-Temple, TX (MA)",mexican,0.0821855001090121
28700,"Kingsport-Bristol, TN-VA (MA)",mexican,0.0056540207997656
28740,"Kingston, NY (MA)",mexican,0.0095759421979303
28940,"Knoxville, TN (MA)",mexican,0.0114709504060351
29020,"Kokomo, IN (MA)",mexican,0.0117457917911432
29100,"La Crosse-Onalaska, WI-MN (MA)",mexican,0.0051115408671646
29180,"Lafayette, LA (MA)",mexican,0.0092063148067882
29200,"Lafayette-West Lafayette, IN (MA)",mexican,0.0287062489367226
29340,"Lake Charles, LA (MA)",mexican,0.01082475171327
29420,"Lake Havasu City-Kingman, AZ (MA)",mexican,0.068692787564963
29460,"Lakeland-Winter Haven, FL (MA)",mexican,0.0366733132533499
29540,"Lancaster, PA (MA)",mexican,0.0047131594245022
29620,"Lansing-East Lansing, MI (MA)",mexican,0.0241577907813855
29700,"Laredo, TX (MA)",mexican,0.4518266576267123
29740,"Las Cruces, NM (MA)",mexican,0.3037651782890304
29820,"Las Vegas-Henderson-Paradise, NV (MA)",mexican,0.1166707079363215
29940,"Lawrence, KS (MA)",mexican,0.0224997893672592
30020,"Lawton, OK (MA)",mexican,0.0427363203650525
30140,"Lebanon, PA (MA)",mexican,0.0047057254747834
30300,"Lewiston, ID-WA (MA)",mexican,0.017424537867561
30340,"Lewiston-Auburn, ME (MA)",mexican,0.0042309155810034
30460,"Lexington-Fayette, KY (MA)",mexican,0.020907206955007
30620,"Lima, OH (MA)",mexican,0.0105990513556245
30700,"Lincoln, NE (MA)",mexican,0.0245660035631211
30780,"Little Rock-North Little Rock-Conway, AR (MA)",mexican,0.0186810104908336
30860,"Logan, UT-ID (MA)",mexican,0.0375088342859495
30980,"Longview, TX (MA)",mexican,0.0735176261019594
31020,"Longview, WA (MA)",mexican,0.0388051929068035
31080,"Los Angeles-Long Beach-Anaheim, CA (MA)",mexican,0.1725500467409421
31140,"Louisville/Jefferson County, KY-IN (MA)",mexican,0.0121288355161251
31180,"Lubbock, TX (MA)",mexican,0.152403328407924
31340,"Lynchburg, VA (MA)",mexican,0.0067411343173883
31420,"Macon-Bibb County, GA (MA)",mexican,0.0073532567181344
31460,"Madera, CA (MA)",mexican,0.2773953321732009
31540,"Madison, WI (MA)",mexican,0.0186506865765463
31700,"Manchester-Nashua, NH (MA)",mexican,0.0056824667541806
31740,"Manhattan, KS (MA)",mexican,0.030935632423732
31860,"Mankato, MN (MA)",mexican,0.0163798969573247
31900,"Mansfield, OH (MA)",mexican,0.0056343571290882
32580,"McAllen-Edinburg-Mission, TX (MA)",mexican,0.4427898627317117
32780,"Medford, OR (MA)",mexican,0.0563515622885293
32820,"Memphis, TN-MS-AR (MA)",mexican,0.0190407933551562
32900,"Merced, CA (MA)",mexican,0.2913523195414652
33100,"Miami-Fort Lauderdale-Pompano Beach, FL (MA)",mexican,0.0126982980551424
33140,"Michigan City-La Porte, IN (MA)",mexican,0.0252531555302003
33220,"Midland, MI (MA)",mexican,0.0089616255526136
33260,"Midland, TX (MA)",mexican,0.2134402388240008
33340,"Milwaukee-Waukesha, WI (MA)",mexican,0.0372500292661078
33460,"Minneapolis-St. Paul-Bloomington, MN-WI (MA)",mexican,0.0189579236304765
33540,"Missoula, MT (MA)",mexican,0.0107600166980465
33660,"Mobile, AL (MA)",mexican,0.0057322975215832
33700,"Modesto, CA (MA)",mexican,0.2207248176428086
33740,"Monroe, LA (MA)",mexican,0.0084084475117072
33780,"Monroe, MI (MA)",mexican,0.0122510839369628
33860,"Montgomery, AL (MA)",mexican,0.0098066222962595
34060,"Morgantown, WV (MA)",mexican,0.0035402719328955
34100,"Morristown, TN (MA)",mexican,0.0291610002888971
34580,"Mount Vernon-Anacortes, WA (MA)",mexican,0.0809105655551049
34620,"Muncie, IN (MA)",mexican,0.0094194523470839
34740,"Muskegon, MI (MA)",mexican,0.0240757716374485
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC (MA)",mexican,0.014886535994685
34900,"Napa, CA (MA)",mexican,0.1485860441658561
34940,"Naples-Marco Island, FL (MA)",mexican,0.053503649439239
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN (MA)",mexican,0.0215795622537288
35100,"New Bern, NC (MA)",mexican,0.0214958056964494
35300,"New Haven-Milford, CT (MA)",mexican,0.0111511868734468
35380,"New Orleans-Metairie, LA (MA)",mexican,0.0083839163081927
35620,"New York-Newark-Jersey City, NY-NJ-PA (MA)",mexican,0.0143231407530712
35660,"Niles, MI (MA)",mexican,0.0207729656495724
