GeoFIPS,GeoName,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10180,"Abilene, TX (MA)",152909.0,153779.0,156097.0,156351.0,157405.0,158264.0,159755.0,160288.0,158917.0,159012.0,158810.0,160156.0,160761.0,161389.0,162023.0,162508.0,163888.0,165673.0,167069.0,168246.0,168614.0,169859.0,171579.0,172242.0,172915.0,174005.0,175187.0,176866.0,177829.0
10420,"Akron, OH (MA)",674114.0,678063.0,682146.0,687264.0,689461.0,691039.0,693125.0,695946.0,698108.0,699533.0,701139.0,701811.0,702498.0,702433.0,703423.0,703300.0,703361.0,703057.0,703272.0,702245.0,703809.0,705134.0,704664.0,703862.0,704229.0,703925.0,703361.0,701625.0,696225.0
10500,"Albany, GA (MA)",148122.0,149356.0,150100.0,151596.0,152692.0,153449.0,153555.0,153585.0,153730.0,153024.0,152790.0,152887.0,152919.0,153535.0,153661.0,153823.0,154409.0,154227.0,154933.0,154669.0,153680.0,153263.0,152018.0,151044.0,150387.0,150440.0,149530.0,148244.0,144922.0
10540,"Albany-Lebanon, OR (MA)",95496.0,96919.0,98853.0,100582.0,102054.0,102770.0,103462.0,103020.0,103544.0,104561.0,106035.0,106799.0,108132.0,110764.0,112932.0,114967.0,116001.0,116840.0,117938.0,117865.0,117822.0,118285.0,119295.0,121648.0,123657.0,125788.0,127700.0,128978.0,129948.0
10580,"Albany-Schenectady-Troy, NY (MA)",827812.0,830817.0,830439.0,828007.0,824711.0,823712.0,824119.0,827399.0,831034.0,836753.0,844619.0,850384.0,854604.0,860365.0,863068.0,866282.0,869361.0,871603.0,875387.0,879397.0,883854.0,886981.0,889918.0,892762.0,897172.0,899605.0,898791.0,899748.0,905369.0
10740,"Albuquerque, NM (MA)",649987.0,669734.0,687901.0,700161.0,709661.0,717406.0,722692.0,732220.0,741932.0,757716.0,772128.0,789237.0,809551.0,831252.0,849641.0,863383.0,876448.0,889434.0,897378.0,900747.0,903185.0,902178.0,903085.0,905774.0,908217.0,910284.0,913231.0,917502.0,918970.0
10780,"Alexandria, LA (MA)",142225.0,143086.0,144162.0,143970.0,143986.0,144330.0,144803.0,145179.0,145102.0,145416.0,146017.0,146973.0,147930.0,151142.0,151506.0,152442.0,153164.0,154112.0,154538.0,154643.0,154972.0,155021.0,154658.0,154763.0,154292.0,153614.0,153019.0,151792.0,150960.0
10900,"Allentown-Bethlehem-Easton, PA-NJ (MA)",708776.0,714019.0,717685.0,722063.0,726464.0,730779.0,736327.0,741817.0,748705.0,756628.0,766938.0,777277.0,787738.0,798586.0,807578.0,814050.0,817779.0,822144.0,826750.0,829566.0,830735.0,835077.0,838490.0,843181.0,849703.0,855983.0,858656.0,861508.0,869765.0
11020,"Altoona, PA (MA)",131661.0,132124.0,131802.0,131080.0,130931.0,130509.0,129757.0,128981.0,128471.0,127631.0,127353.0,127194.0,126730.0,127002.0,127048.0,127112.0,127161.0,127089.0,127192.0,126931.0,126389.0,125986.0,125469.0,124764.0,124310.0,123854.0,123376.0,122651.0,122181.0
11100,"Amarillo, TX (MA)",207282.0,211306.0,217400.0,219808.0,222054.0,223545.0,226621.0,229215.0,230351.0,232326.0,235138.0,237566.0,240380.0,242656.0,244608.0,246458.0,249373.0,252739.0,256366.0,258511.0,259908.0,262135.0,263232.0,264785.0,266308.0,266497.0,267174.0,269018.0,269853.0
