,census_tract,year
0,27053011800,2011
1,27053011000,2016
2,27053008500,2012
3,27053105100,2017
4,27053126000,2015
5,27053002200,2015
6,27053011800,2014
7,27053126100,2013
8,27053109800,2019
9,27053110500,2013
10,27053126000,2016
11,27053110000,2011
12,27053010700,2018
13,27053103600,2012
14,27053100400,2017
15,27053103400,2016
16,27053010600,2015
17,27053002700,2013
18,27053000300,2019
19,27053012003,2014
20,27053111600,2011
21,27053105500,2015
22,27053102800,2011
23,27053107600,2012
24,27053104000,2017
25,27053100400,2018
26,27053010600,2019
27,27053102100,2016
28,27053106700,2018
29,27053101600,2016
30,27053109400,2020
31,27053102000,2012
32,27053006800,2013
33,27053110500,2012
34,27053109000,2018
35,27053110200,2017
36,27053110100,2014
37,27053126200,2019
38,27053010700,2014
39,27053126100,2018
40,27053125900,2019
41,27053109200,2015
42,27053101800,2018
43,27053007700,2013
44,27053107600,2017
45,27053008300,2019
46,27053111600,2015
47,27053002700,2014
48,27053102500,2013
49,27053111400,2011
50,27053104900,2011
51,27053008300,2012
52,27053107600,2019
53,27053103000,2020
54,27053006800,2015
55,27053106600,2015
56,27053110000,2017
57,27053101900,2016
58,27053101600,2015
59,27053126200,2017
60,27053107600,2013
61,27053105100,2013
62,27053102800,2017
63,27053001700,2017
64,27053109100,2013
65,27053105100,2016
66,27053106600,2013
67,27053104900,2013
68,27053012001,2014
69,27053101600,2014
70,27053111200,2017
71,27053107400,2014
72,27053110400,2012
73,27053109700,2014
74,27053101900,2018
75,27053003800,2013
76,27053102600,2015
77,27053106400,2014
78,27053111300,2016
79,27053011703,2020
80,27053110100,2016
81,27053105204,2017
82,27053103700,2017
83,27053110800,2015
84,27053101800,2014
85,27053002400,2014
86,27053108000,2020
87,27053008200,2016
88,27053005902,2013
89,27053104900,2015
90,27053106000,2016
91,27053110200,2013
92,27053002700,2011
93,27053000101,2019
94,27053126000,2011
95,27053009500,2019
96,27053103100,2015
97,27053008500,2019
98,27053104100,2013
99,27053109300,2015
100,27053126100,2019
101,27053107500,2013
102,27053011703,2019
103,27053108000,2013
104,27053103600,2020
105,27053009600,2015
106,27053100200,2011
107,27053101900,2013
108,27053102900,2014
109,27053110200,2011
110,27053101300,2013
111,27053111300,2015
112,27053007801,2011
113,27053103700,2014
114,27053106000,2020
115,27053100900,2018
116,27053111100,2011
117,27053102100,2011
118,27053110100,2018
119,27053108000,2019
120,27053101900,2014
121,27053101600,2012
122,27053108600,2019
123,27053000102,2015
124,27053110500,2017
125,27053111100,2018
126,27053003300,2016
127,27053109300,2020
128,27053107600,2018
129,27053110500,2018
130,27053108800,2018
131,27053126100,2015
132,27053010600,2011
133,27053108800,2017
134,27053101300,2016
135,27053109100,2019
136,27053106900,2011
137,27053100800,2013
138,27053000300,2016
139,27053111400,2017
140,27053010700,2015
141,27053110800,2017
142,27053008100,2020
143,27053008100,2018
144,27053003300,2018
145,27053008500,2020
146,27053005902,2019
147,27053102800,2016
148,27053111400,2015
149,27053109100,2018
150,27053102300,2017
151,27053100400,2020
152,27053001700,2015
153,27053106200,2019
154,27053110500,2015
155,27053009600,2016
156,27053002200,2020
157,27053110800,2020
158,27053125700,2015
159,27053100700,2016
160,27053003300,2020
161,27053104000,2019
162,27053105400,2020
163,27053003200,2018
164,27053103600,2013
165,27053103700,2018
166,27053012001,2019
167,27053111200,2018
168,27053110200,2012
169,27053125600,2012
170,27053104000,2014
171,27053102500,2018
172,27053100400,2016
173,27053100800,2018
174,27053102000,2017
175,27053125600,2019
176,27053003800,2015
177,27053106400,2016
178,27053002700,2015
179,27053125900,2011
180,27053108000,2016
181,27053105600,2012
182,27053102900,2013
183,27053002700,2012
184,27053110800,2019
185,27053108700,2017
186,27053100800,2014
187,27053011800,2019
188,27053110900,2014
189,27053000101,2013
190,27053102600,2020
191,27053104800,2013
192,27053000300,2014
193,27053110100,2017
194,27053106700,2016
195,27053101600,2011
196,27053106600,2020
197,27053109100,2014
198,27053100200,2018
199,27053111300,2018
200,27053105500,2012
201,27053002200,2014
202,27053006800,2018
203,27053111400,2020
204,27053107600,2014
205,27053108600,2013
206,27053011998,2017
207,27053102800,2013
208,27053104100,2016
209,27053108000,2018
210,27053108800,2014
211,27053105201,2016
212,27053108700,2019
213,27053103900,2019
214,27053001100,2017
215,27053011703,2011
216,27053102000,2019
217,27053102300,2013
218,27053109100,2016
219,27053000603,2017
220,27053010700,2019
221,27053111100,2015
222,27053100200,2012
223,27053111600,2018
224,27053109800,2015
225,27053003200,2012
226,27053107500,2018
227,27053106000,2013
228,27053108800,2020
229,27053100400,2011
230,27053107000,2020
231,27053105600,2020
232,27053105100,2012
233,27053108700,2020
234,27053103100,2011
235,27053103100,2018
236,27053109800,2014
237,27053104900,2014
238,27053126000,2019
239,27053007801,2020
240,27053101900,2012
241,27053000601,2020
242,27053102800,2012
243,27053102100,2012
244,27053002700,2020
245,27053102500,2017
246,27053126200,2013
247,27053111400,2013
248,27053003800,2014
249,27053107600,2016
250,27053009600,2011
251,27053011998,2016
252,27053110400,2019
253,27053110800,2018
254,27053002200,2011
255,27053109800,2018
256,27053108900,2019
257,27053007700,2018
258,27053104100,2018
259,27053105600,2016
260,27053012001,2016
261,27053009500,2012
262,27053106500,2019
263,27053126000,2017
264,27053111500,2019
265,27053101600,2017
266,27053126200,2015
267,27053110200,2015
268,27053125600,2011
269,27053102100,2013
270,27053111200,2013
271,27053104000,2016
272,27053011800,2018
273,27053107000,2016
274,27053110500,2019
275,27053105700,2020
276,27053109200,2012
277,27053126200,2011
278,27053002400,2018
279,27053110400,2020
280,27053008500,2016
281,27053000101,2011
282,27053125700,2018
283,27053009600,2020
284,27053100700,2011
285,27053101800,2020
286,27053008300,2014
287,27053111100,2017
288,27053109100,2012
289,27053100800,2012
290,27053107000,2017
291,27053102300,2014
292,27053108000,2014
293,27053104900,2019
294,27053105201,2013
295,27053100800,2020
296,27053104100,2014
297,27053102500,2012
298,27053103000,2016
299,27053125800,2012
300,27053002200,2012
301,27053104900,2017
302,27053111200,2016
303,27053000300,2015
304,27053105201,2020
305,27053105204,2013
306,27053125900,2018
307,27053102800,2014
308,27053109400,2015
309,27053107500,2012
310,27053103900,2013
311,27053126100,2017
312,27053106700,2019
313,27053110400,2015
314,27053111500,2014
315,27053125900,2012
316,27053126200,2012
317,27053104100,2012
318,27053108600,2014
319,27053102300,2012
320,27053110400,2017
321,27053110200,2018
322,27053003800,2017
323,27053003800,2012
324,27053102300,2011
325,27053108700,2018
326,27053110800,2013
327,27053011000,2014
328,27053108900,2017
329,27053011998,2018
330,27053012003,2019
331,27053000101,2018
332,27053109800,2020
333,27053101300,2015
334,27053105700,2019
335,27053010600,2012
336,27053106400,2017
337,27053105700,2016
338,27053009500,2020
339,27053008200,2020
340,27053111100,2016
341,27053105100,2011
342,27053111500,2017
343,27053106700,2020
344,27053110500,2011
345,27053105500,2013
346,27053005902,2020
347,27053008300,2016
348,27053109800,2012
349,27053100400,2019
350,27053109200,2016
351,27053104900,2018
352,27053005901,2016
353,27053105100,2014
354,27053111300,2011
355,27053100500,2020
356,27053000601,2019
357,27053108900,2015
358,27053106700,2015
359,27053005901,2011
360,27053108600,2016
361,27053105500,2020
362,27053101800,2015
363,27053109900,2014
364,27053109000,2020
365,27053007700,2015
366,27053100700,2017
367,27053008400,2020
368,27053001100,2016
369,27053012001,2020
370,27053007700,2019
371,27053126100,2016
372,27053000300,2020
373,27053000603,2016
374,27053008100,2019
375,27053109100,2017
376,27053106500,2015
377,27053005901,2019
378,27053000603,2019
379,27053003300,2015
380,27053102000,2020
381,27053008400,2013
382,27053000601,2013
383,27053012001,2015
384,27053106600,2017
385,27053007700,2016
386,27053106500,2012
387,27053000102,2017
388,27053000102,2020
389,27053125800,2013
390,27053012003,2011
391,27053002400,2019
392,27053106400,2018
393,27053125800,2018
394,27053109400,2019
395,27053105500,2011
396,27053110400,2014
397,27053111200,2011
398,27053110900,2017
399,27053110400,2016
400,27053126200,2016
401,27053125700,2014
402,27053103700,2015
403,27053106000,2019
404,27053111600,2017
405,27053000603,2013
406,27053103700,2019
407,27053102000,2014
408,27053111400,2016
409,27053008100,2016
410,27053102900,2012
411,27053107600,2015
412,27053100400,2014
413,27053100900,2020
414,27053003300,2013
415,27053012001,2012
416,27053102900,2011
417,27053109000,2011
418,27053104900,2016
419,27053109100,2020
420,27053109800,2011
421,27053110400,2018
422,27053012001,2013
423,27053100200,2020
424,27053100900,2012
425,27053125800,2014
426,27053111400,2018
427,27053002700,2017
428,27053105700,2012
429,27053109900,2012
430,27053002400,2011
431,27053111500,2016
432,27053101900,2011
433,27053102500,2019
434,27053101600,2020
435,27053007801,2016
436,27053110000,2016
437,27053105500,2019
438,27053125700,2019
439,27053106500,2018
440,27053103100,2019
441,27053101600,2019
442,27053102500,2020
443,27053106900,2016
444,27053109900,2020
445,27053110400,2013
446,27053007700,2017
447,27053100200,2019
448,27053008200,2019
449,27053100800,2019
450,27053011703,2016
451,27053005901,2013
452,27053102100,2015
453,27053108700,2012
454,27053111300,2019
455,27053010600,2018
456,27053111300,2014
457,27053100900,2019
458,27053103000,2019
459,27053102600,2016
460,27053100800,2016
461,27053111200,2012
462,27053106200,2020
463,27053002400,2017
464,27053108000,2017
465,27053000300,2012
466,27053107400,2020
467,27053102600,2019
468,27053011998,2014
469,27053103400,2012
470,27053001700,2018
471,27053005901,2020
472,27053107500,2015
473,27053008200,2014
474,27053001700,2014
475,27053125900,2013
476,27053000300,2018
477,27053108800,2015
478,27053102000,2011
479,27053102100,2017
480,27053103100,2014
481,27053100900,2015
482,27053101200,2012
483,27053010600,2013
484,27053125800,2011
485,27053011000,2015
486,27053103000,2013
487,27053106400,2012
488,27053000102,2011
489,27053007801,2012
490,27053111300,2020
