census_tract,year,housing_units,total_value,median_value,mean_limit_con,median_distance_to_transit,mean_distance_to_transit,housing_units_std,total_value_std,median_value_std,median_distance_to_transit_std,mean_distance_to_transit_std,year_id,income,segregation,white,income_std
27053000101,2011,1,150058700.0,112000.0,1.0,1035.4090723492302,1096.3591424048875,-0.3982630944586931,-0.5022056095240756,-0.9426720806901613,0.6660305554906082,0.7566948823507268,0,45608,0.3470328629222503,0.42644581695676587,-0.5013709640567803
27053000101,2013,5,139303800.0,104000.0,1.0,1040.4632346683102,1097.1548191891786,-0.3547099487384139,-0.5264059621545755,-1.0271103414852394,0.6751634843303906,0.7581504430500583,1,45608,0.3470328629222503,0.42644581695676587,-0.5013709640567803
27053000101,2018,2,201663000.0,137000.0,0.8563559322033898,1029.5408780159946,1092.5790332349125,-0.3873748080286233,-0.38608716516382063,-0.6788025157055425,0.6554266615354947,0.7497797901227936,2,63516,0.1286699053489923,0.37460913070669166,0.118415197941093
27053000101,2019,1,220227900.0,151500.0,0.8563651591289783,1036.75101992171,1095.3476291390884,-0.3982630944586931,-0.34431298534346266,-0.5257581680144635,0.6684554700288511,0.7548444840663766,3,64120,0.2093737440221644,0.3328248932275778,0.13931931017287294
27053000102,2011,5,204521700.0,99500.0,1.0,1409.3798279701412,1467.1203892121114,-0.3547099487384139,-0.37965460437154824,-1.0746068631824708,1.3417999676346875,1.4349420177985064,0,46055,0.1226558386272464,0.46378737541528237,-0.4859005366269696
27053000102,2012,2,197485000.0,98000.0,1.0,1411.332385625142,1467.687425438641,-0.3873748080286233,-0.3954883751509175,-1.0904390370815478,1.3453282615423399,1.4359793179469191,4,46055,0.1226558386272464,0.46378737541528237,-0.4859005366269696
27053000102,2013,10,177764200.0,87500.0,1.0,1411.332385625142,1467.687425438641,-0.30026851658806486,-0.4398635263987732,-1.2012642543750878,1.3453282615423399,1.4359793179469191,1,46055,0.1226558386272464,0.46378737541528237,-0.4859005366269696
27053000102,2014,2,172104300.0,83500.0,1.0,1409.3798279701412,1467.0864944983236,-0.3873748080286233,-0.4525992632120737,-1.2434833847726268,1.3417999676346875,1.434880012956492,5,42053,0.164811710377216,0.441340782122905,-0.6244075848911804
27053000102,2015,8,173905800.0,83000.0,0.9691451694486596,1409.3798279701412,1467.0864944983236,-0.3220450894482044,-0.44854558207474604,-1.2487607760723192,1.3417999676346875,1.434880012956492,6,43438,0.1730286016577433,0.4173431734317343,-0.5764734864789036
27053000102,2016,9,201071000.0,98500.0,0.9683704453441296,1409.499466257361,1466.155423970373,-0.31115680301813464,-0.38741926576515173,-1.0851616457818554,1.3420161553814816,1.4331767715203374,7,43234,0.2002630979723997,0.3934246575342466,-0.5835338157757299
27053000102,2017,24,215506100.0,105000.0,0.968624497991968,1411.2751985723394,1465.7543140511025,-0.14783250656708752,-0.35493783774103904,-1.0165555588858546,1.3452249238869916,1.432443006446216,8,43021,0.1462835398644661,0.40623825629462607,-0.5909056301885928
27053000102,2018,26,242185900.0,119500.0,0.9677077818951826,1396.2780342962376,1462.402717088081,-0.1260559337069479,-0.2949037539177388,-0.8635112111947757,1.3181248773342529,1.4263118073014285,2,41691,0.1607288884422287,0.392811296534018,-0.6369362084473135
27053000102,2019,11,279159300.0,135500.0,0.9681609780947528,1412.4289733477392,1467.9784059633366,-0.289380230157995,-0.21170732085480704,-0.6946346896046196,1.3473098080390264,1.4365116192838183,3,45615,0.138445107411945,0.38165791447861963,-0.5011286978554186
27053000102,2020,1,314838800.0,151500.0,0.967866323907455,1407.7876820435974,1465.637118195125,-0.3982630944586931,-0.13142238267035888,-0.5257581680144635,1.3389229418227584,1.4322286157721968,9,45615,0.138445107411945,0.38165791447861963,-0.5011286978554186
27053000300,2011,1,188670600.0,135000.0,1.0,484.49612090070775,499.64883683580825,-0.3982630944586931,-0.4153222730231691,-0.699912080904312,-0.32947541856559087,-0.3348891462649407,0,66890,0.0807984989525732,0.7471721186181596,0.23518750699742672
27053000300,2012,1,184728700.0,133000.0,1.0,484.49612090070775,499.64883683580825,-0.3982630944586931,-0.42419221788868783,-0.7210216461030815,-0.32947541856559087,-0.3348891462649407,4,66890,0.0807984989525732,0.7471721186181596,0.23518750699742672
27053000300,2013,2,172321100.0,124000.0,1.0,484.49612090070775,499.64883683580825,-0.3873748080286233,-0.45211142637023494,-0.8160146894975443,-0.32947541856559087,-0.3348891462649407,1,66890,0.0807984989525732,0.7471721186181596,0.23518750699742672
27053000300,2014,1,174388400.0,126000.0,1.0,484.49612090070775,499.64883683580825,-0.3982630944586931,-0.447459650064269,-0.7949051242987748,-0.32947541856559087,-0.3348891462649407,5,66745,0.0600982936079115,0.6734880879657911,0.23016913568350603
27053000300,2015,1,178627300.0,129500.0,0.6066666666666667,484.49612090070775,499.64883683580825,-0.3982630944586931,-0.43792140472815005,-0.7579633852009281,-0.32947541856559087,-0.3348891462649407,6,65407,0.0928834755096384,0.6616352201257861,0.1838616817660862
27053000300,2016,1,198482000.0,140500.0,0.6066666666666667,484.49612090070775,499.64883683580825,-0.3982630944586931,-0.3932449557260406,-0.6418607766076958,-0.32947541856559087,-0.3348891462649407,7,67393,0.0921344292709299,0.6775,0.2525960640381309
27053000300,2017,1,208346700.0,147750.0,0.6066666666666667,484.8903547707433,500.1615503484841,-0.3982630944586931,-0.37104770437139367,-0.5653386027621564,-0.32876303347505387,-0.3339512206476537,8,71389,0.1233518369112501,0.7033844189016603,0.39089545555831745
27053000300,2018,2,237906100.0,170000.0,0.6045727136431784,483.0123305673705,497.8974943543405,-0.3873748080286233,-0.30453403120418626,-0.33049468992584563,-0.3321566445872341,-0.33809294124478967,2,74250,0.095187862461913,0.6964015724221349,0.48991311300057316
27053000300,2019,1,264919900.0,187500.0,0.6066666666666667,484.8903547707433,500.16155060130274,-0.3982630944586931,-0.24374839062270265,-0.14578599443661244,-0.32876303347505387,-0.3339512201851633,3,76047,0.133306378086524,0.7618601747815231,0.5521063078358522
27053000300,2020,1,283680800.0,201250.0,0.6066666666666667,484.8903547707433,500.16155060130274,-0.3982630944586931,-0.2015331774951472,-0.0006577336950720988,-0.32876303347505387,-0.3339512201851633,9,76047,0.133306378086524,0.7618601747815231,0.5521063078358522
27053000601,2011,2,331274900.0,160000.0,1.0,609.5643002991992,599.508949671386,-0.3873748080286233,-0.09443836460694968,-0.4360425159196932,-0.1034757947989592,-0.1522113824493537,0,63877,0.0953396430840688,0.7571002979145978,0.13090921203988862
27053000601,2013,1,305401200.0,148000.0,1.0,611.3061430819166,599.5940888173808,-0.3982630944586931,-0.1526585864459036,-0.5626999071123102,-0.10032826506399366,-0.15205563428963434,1,63877,0.0953396430840688,0.7571002979145978,0.13090921203988862
