parcel_id,date,project_name,address,neighborhood,ward,downtown_yn,housing_units,car_parking,bike_parking,parcel_area,university_yn,res_parking_elim_2015_yn,res_parking_reduced_2015_yn
2602924310063,2011-01-10,,1514 10th Ave S,Elliot Park,6,True,7,0,0,7245.89315517,False,False,True
0102824440106,2011-01-10,,3725 29th Ave S,Stanish Ericsson,12,False,64,74,80,38210.63183098,False,True,True
2702924430325,2011-01-10,Abbott Apartments,110 18th St E,Stevens Square,6,False,123,104,62,73747.49012334,False,True,True
3302924440363,2011-02-07,Track 29 Apartments,2813 Bryant Ave,Lowry Hill East,10,False,198,240,108,70847.10546467,False,True,True
3002923130105,2011-03-28,ENL House,3020 University Ave SE,Prospect Park,2,False,17,18,32,17999.99519895,True,False,False
1702823340059,2011-04-11,Riverview Senior Housing, 5100 54th St E,Nokomis East,12,False,42,42,21,52590.82877047,False,False,False
1702924110242,2011-05-23,, 2323 26th Ave N,Jordan,5,False,2,2,1,56782.70903004,False,True,True
0702823340165,2011-05-23,Oaks Station Place,3550 46th St E,Stanish-Ericsson,12,False,104,86,82,54748.57213412,False,True,True
2402924310036,2011-06-13,,1011 4th St SE,Marcy Holmes,3,False,12,18,40,14652.27123141,True,False,False
3002923230179,2011-06-27,The Edge on Oak,313 Oak St SE,Stadium Village,2,False,60,46,85,14720.71394655,True,False,False
2702924320010,2011-07-18,,430 Oak Grove St,Loring Park,7,True,78,83,78,37463.55116654,False,False,True
3302924440366,2011-07-18,Buzza Historic Lofts,1006 W Lake St,Lowry Hill East,10,False,137,139,140,58565.75285227,False,True,True
3302924440367,2011-07-18,,2821 Dupont Ave S,Lowry Hill East,10,False,217,246,217,21310.97307162,False,False,True
2202924120426,2011-08-15,,701 2nd St N,North Loop,3,True,100,113,100,44454.85287361,False,False,False
0702823440133,2011-08-15,, 4516 46th St E,Longfellow,12,False,48,44,48,5604.23851362,False,True,True
2602924120959,2011-08-29,Emanuel Housing,822 3rd St S,Mill District,3,True,101,0,25,17769.96693801,False,True,True
2302924110313,2011-09-19,,708 Central Ave NE,St. Anthony Main,3,False,105,106,105,41625.77453385,True,True,True
2202924410131,2011-09-19,,222 Hennepin Ave,Downtown West,3,True,287,347,150,110398.36530516,False,False,True
2302924210470,2011-09-19,,24 University Ave NE,St. Anthony Main,3,False,94,100,44,6891.47091581,False,True,True
3202924340654,2011-10-03,,3416 29th St W,Cedar Isles Dean,7,False,1,1,1,6580.2906105,False,False,True
0802824330179,2011-10-03,Elements of Linden Hills,4525 France Ave,Linden Hills,13,False,6,6,3,18877.96568994,False,False,False
2202924240704,2011-10-03,The Cameron,756 4th St N,North Loop,3,True,44,33,22,30041.25266792,False,False,True
2202924210053,2011-10-17,Third North Apartments,800 3rd St N,North Loop,3,True,205,188,205,53072.96226975,False,False,False
3002923240160,2011-10-17,Solhaus Tower,515 Huron Blvd SE,Stadium Village,2,False,75,38,75,20628.55013776,True,False,False
1102924440206,2011-11-14,Jackson Flats,1839 Jackson St NE,Logan Park,1,False,35,31,35,37625.31486048,False,True,True
2702924310130,2011-12-12,LPM Apartments,1368 LaSalle Ave,Loring Park,7,True,354,289,452,43391.36879228,False,False,True
2202924440122,2011-12-12,The Nic on 5th,465 Nicollet Mall,Downtown West,3,True,330,430,175,53499.5301082,False,False,True
3002923230179,2012-01-09,The Edge on Oak,313 Oak St SE,Stadium Village,2,False,65,46,85,14720.71394655,True,False,False
