GeoFIPS,GeoName,Category,Value
1001,"Autauga, AL",burdens_housing,19.57396171903214
1003,"Baldwin, AL",burdens_housing,17.984645021848422
1005,"Barbour, AL",burdens_housing,22.27759157761918
1007,"Bibb, AL",burdens_housing,19.042101987284934
1009,"Blount, AL",burdens_housing,15.33525771051126
1011,"Bullock, AL",burdens_housing,25.87012099921936
1013,"Butler, AL",burdens_housing,21.09748840024208
1015,"Calhoun, AL",burdens_housing,19.855677118777155
1017,"Chambers, AL",burdens_housing,21.796108140225787
1019,"Cherokee, AL",burdens_housing,16.36177276763309
1021,"Chilton, AL",burdens_housing,19.90455112927023
1023,"Choctaw, AL",burdens_housing,18.26514506769826
1025,"Clarke, AL",burdens_housing,20.2404675066313
1027,"Clay, AL",burdens_housing,13.035090350153707
1029,"Cleburne, AL",burdens_housing,18.037074282649503
1031,"Coffee, AL",burdens_housing,17.23129185861949
1033,"Colbert, AL",burdens_housing,20.959266765258988
1035,"Conecuh, AL",burdens_housing,15.92883653380668
1037,"Coosa, AL",burdens_housing,17.323417309658826
1039,"Covington, AL",burdens_housing,16.433521505376344
1041,"Crenshaw, AL",burdens_housing,14.66144177983242
1043,"Cullman, AL",burdens_housing,18.14325371440986
1045,"Dale, AL",burdens_housing,21.246808856058607
1047,"Dallas, AL",burdens_housing,26.48997420112902
1049,"DeKalb, AL",burdens_housing,16.584826812508766
1051,"Elmore, AL",burdens_housing,18.01465296263433
1053,"Escambia, AL",burdens_housing,19.798715492349626
1055,"Etowah, AL",burdens_housing,17.79702767937089
1057,"Fayette, AL",burdens_housing,19.02449375530496
1059,"Franklin, AL",burdens_housing,16.810080722049197
1061,"Geneva, AL",burdens_housing,18.26899345118673
1063,"Greene, AL",burdens_housing,34.62325804901489
1065,"Hale, AL",burdens_housing,25.346343439800123
1067,"Henry, AL",burdens_housing,14.973326329306015
1069,"Houston, AL",burdens_housing,20.56717159175565
1071,"Jackson, AL",burdens_housing,16.926463781532053
1073,"Jefferson, AL",burdens_housing,24.95483719379093
1075,"Lamar, AL",burdens_housing,14.0537270435722
1077,"Lauderdale, AL",burdens_housing,18.282909805955317
1079,"Lawrence, AL",burdens_housing,16.52619638211628
1081,"Lee, AL",burdens_housing,27.75982922954726
1083,"Limestone, AL",burdens_housing,18.00166795105936
1085,"Lowndes, AL",burdens_housing,27.085425141383077
1087,"Macon, AL",burdens_housing,26.718783408167628
1089,"Madison, AL",burdens_housing,19.88062692532765
1091,"Marengo, AL",burdens_housing,23.47119714300502
1093,"Marion, AL",burdens_housing,18.192894930690414
1095,"Marshall, AL",burdens_housing,19.211034785608984
1097,"Mobile, AL",burdens_housing,23.77953011281262
1099,"Monroe, AL",burdens_housing,16.813211095439588
1101,"Montgomery, AL",burdens_housing,26.97505959698776
1103,"Morgan, AL",burdens_housing,17.461484905169737
1105,"Perry, AL",burdens_housing,36.07715484773485
1107,"Pickens, AL",burdens_housing,21.70587363533073
1109,"Pike, AL",burdens_housing,27.367473674736747
1111,"Randolph, AL",burdens_housing,14.47820903430918
1113,"Russell, AL",burdens_housing,24.99849875759249
1115,"St. Clair, AL",burdens_housing,18.681437452408822
1117,"Shelby, AL",burdens_housing,15.139276209752987
1119,"Sumter, AL",burdens_housing,35.307337657263425
1121,"Talladega, AL",burdens_housing,20.353029718735616
1123,"Tallapoosa, AL",burdens_housing,21.3342542117856
1125,"Tuscaloosa, AL",burdens_housing,23.718400424495307
1127,"Walker, AL",burdens_housing,17.30432069879894
1129,"Washington, AL",burdens_housing,13.997884045704613
1131,"Wilcox, AL",burdens_housing,19.66126767156633
1133,"Winston, AL",burdens_housing,13.109022872519342
2013,"Aleutians East Borough, AK",burdens_housing,14.0
2016,"Aleutians West Census Area, AK",burdens_housing,9.709371709371707
2020,"Anchorage Municipality, AK",burdens_housing,21.77818697173382
2050,"Bethel Census Area, AK",burdens_housing,15.177015550898863
2060,"Bristol Bay Borough, AK",burdens_housing,11.0
2068,"Denali Borough, AK",burdens_housing,8.0
2070,"Dillingham Census Area, AK",burdens_housing,17.243700866760733
2090,"Fairbanks North Star Borough, AK",burdens_housing,23.95106589147287
2100,"Haines Borough, AK",burdens_housing,22.0
2110,"Juneau City and Borough, AK",burdens_housing,16.032426226456078
2122,"Kenai Peninsula Borough, AK",burdens_housing,20.155223727422005
2130,"Ketchikan Gateway Borough, AK*",burdens_housing,25.25565217391304
2150,"Kodiak Island Borough, AK",burdens_housing,20.383168537655195
2164,"Lake and Peninsula Borough, AK",burdens_housing,13.0
2170,"Matanuska-Susitna Borough, AK",burdens_housing,21.99677324450265
2180,"Nome Census Area, AK",burdens_housing,20.234781738085704
2185,"North Slope Borough, AK",burdens_housing,15.36301271973703
2188,"Northwest Arctic Borough, AK",burdens_housing,18.59157485418017
2220,"Sitka City and Borough, AK",burdens_housing,20.534375
2240,"Southeast Fairbanks Census Area, AK",burdens_housing,11.35504507124164
2290,"Yukon-Koyukuk Census Area, AK",burdens_housing,17.315417519062674
4001,"Apache, AZ",burdens_housing,12.316860343163988
4003,"Cochise, AZ",burdens_housing,19.53513629466024
4005,"Coconino, AZ",burdens_housing,26.300642722652437
4007,"Gila, AZ",burdens_housing,17.126377320434766
4009,"Graham, AZ",burdens_housing,14.561269607327088
4011,"Greenlee, AZ",burdens_housing,9.6626759084226
4012,"La Paz, AZ",burdens_housing,14.5001683258789
4013,"Maricopa, AZ",burdens_housing,23.271741033058778
4015,"Mohave, AZ",burdens_housing,19.905115674426444
4017,"Navajo, AZ",burdens_housing,17.081550288276745
4019,"Pima, AZ",burdens_housing,25.10586101227481
4021,"Pinal, AZ",burdens_housing,21.084694068526986
4023,"Santa Cruz, AZ",burdens_housing,28.40770223752152
4025,"Yavapai, AZ",burdens_housing,22.05814957885183
4027,"Yuma, AZ",burdens_housing,22.54272754647
5001,"Arkansas, AR",burdens_housing,20.32120129507648
5003,"Ashley, AR",burdens_housing,18.985101134681795
5005,"Baxter, AR",burdens_housing,17.988992685929468
5007,"Benton, AR",burdens_housing,16.29134290842455
5009,"Boone, AR",burdens_housing,16.92127186520586
5011,"Bradley, AR",burdens_housing,18.000459812396542
5013,"Calhoun, AR",burdens_housing,13.294684129429893
5015,"Carroll, AR",burdens_housing,14.11188986232791
5017,"Chicot, AR",burdens_housing,23.85115402731983
5019,"Clark, AR",burdens_housing,21.28039846332529
5021,"Clay, AR",burdens_housing,21.921082678487476
5023,"Cleburne, AR",burdens_housing,16.95159362549801
5025,"Cleveland, AR",burdens_housing,16.58919783464567
5027,"Columbia, AR",burdens_housing,21.46256729475101
5029,"Conway, AR",burdens_housing,18.977466679451528
