GeoFIPS,GeoName,expected_agricultural_loss_rate
1001,"Autauga, AL",-0.04785213580097025
1003,"Baldwin, AL",-0.03496900936007108
1005,"Barbour, AL",0.06302232075498426
1007,"Bibb, AL",-0.02181362817844612
1009,"Blount, AL",-0.036844943211797765
1011,"Bullock, AL",-0.0724940194070024
1013,"Butler, AL",0.035499479844520065
1015,"Calhoun, AL",-0.03985786660109547
1017,"Chambers, AL",-0.005908699605103984
1019,"Cherokee, AL",-0.04140418649156419
1021,"Chilton, AL",-0.02005738906669352
1023,"Choctaw, AL",0.035745713164589965
1025,"Clarke, AL",-0.024245581907837988
1027,"Clay, AL",-0.013107375068103
1029,"Cleburne, AL",-0.023104844024860904
1031,"Coffee, AL",0.11959847912590171
1033,"Colbert, AL",-0.06414185362770586
1035,"Conecuh, AL",0.013035300829315144
1037,"Coosa, AL",-0.00477152416005
1039,"Covington, AL",0.06336941943851193
1041,"Crenshaw, AL",0.06191317773377869
1043,"Cullman, AL",-0.03514070452997031
1045,"Dale, AL",0.06219647666114958
1047,"Dallas, AL",-0.04620395579277459
1049,"DeKalb, AL",-0.020008979963321516
1051,"Elmore, AL",-0.025920662661094496
1053,"Escambia, AL",0.03509590155803144
1055,"Etowah, AL",-0.04565634278418662
1057,"Fayette, AL",-0.026426069866644863
1059,"Franklin, AL",-0.06189437316026447
1061,"Geneva, AL",0.05704134154707918
1063,"Greene, AL",0.029306529120399993
1065,"Hale, AL",-0.03858095420576535
1067,"Henry, AL",0.11879975868279136
1069,"Houston, AL",0.038448367137532635
1071,"Jackson, AL",-0.01635195140470258
1073,"Jefferson, AL",-0.0684984719674755
1075,"Lamar, AL",0.01926017266245572
1077,"Lauderdale, AL",-0.06596301605726673
1079,"Lawrence, AL",-0.06434352374076802
1081,"Lee, AL",-0.0724940194070024
1083,"Limestone, AL",-0.02419309064038455
1085,"Lowndes, AL",0.08332166687563825
1087,"Macon, AL",-0.025685539833710136
1089,"Madison, AL",-0.06442731692462123
1091,"Marengo, AL",0.009056538626438071
1093,"Marion, AL",-0.05410638561003234
1095,"Marshall, AL",-0.02922265211668118
1097,"Mobile, AL",-0.02900656307140992
1099,"Monroe, AL",-0.011100421162655194
1101,"Montgomery, AL",-0.06057879570853275
1103,"Morgan, AL",-0.0405218484654456
1105,"Perry, AL",-0.04616569276634208
1107,"Pickens, AL",0.0618893414211914
1109,"Pike, AL",0.1310164604085009
1111,"Randolph, AL",0.0033739017803866567
1113,"Russell, AL",0.033710903244627
1115,"St. Clair, AL",-0.036847323443900404
1117,"Shelby, AL",-0.0536214792685773
1119,"Sumter, AL",0.0250741197085369
1121,"Talladega, AL",-0.03670868713529596
1123,"Tallapoosa, AL",0.0077422634896318066
1125,"Tuscaloosa, AL",-0.05361905956692159
1127,"Walker, AL",-0.03409790644324173
1129,"Washington, AL",-0.02641191755348793
1131,"Wilcox, AL",0.009264962114526654
1133,"Winston, AL",-0.05574919258854916
2013,"Aleutians East Borough, AK",-0.0724940194070024
2016,"Aleutians West Census Area, AK",-0.0724940194070024
2020,"Anchorage Municipality, AK",-0.07242351422188875
2050,"Bethel Census Area, AK",-0.0724940194070024
2060,"Bristol Bay Borough, AK",-0.0724940194070024
2068,"Denali Borough, AK",-0.0724940194070024
2070,"Dillingham Census Area, AK",-0.0724940194070024
2090,"Fairbanks North Star Borough, AK",-0.070582498990851
2100,"Haines Borough, AK",-0.0724940194070024
2110,"Juneau City and Borough, AK",-0.0724940194070024
2122,"Kenai Peninsula Borough, AK",-0.07219806853180977
2130,"Ketchikan Gateway Borough, AK*",-0.0724940194070024
2150,"Kodiak Island Borough, AK",-0.0724940194070024
2164,"Lake and Peninsula Borough, AK",-0.0724940194070024
2170,"Matanuska-Susitna Borough, AK",-0.0724940194070024
2180,"Nome Census Area, AK",-0.0724940194070024
2185,"North Slope Borough, AK",-0.0724940194070024
2188,"Northwest Arctic Borough, AK",-0.0724940194070024
2220,"Sitka City and Borough, AK",-0.0724940194070024
2240,"Southeast Fairbanks Census Area, AK",-0.0724940194070024
2290,"Yukon-Koyukuk Census Area, AK",-0.0724940194070024
4001,"Apache, AZ",0.6827370947648088
4003,"Cochise, AZ",0.26860941415387085
4005,"Coconino, AZ",-0.07087462267133926
4007,"Gila, AZ",0.023671250586368986
4009,"Graham, AZ",0.5807634078093331
4011,"Greenlee, AZ",0.39184981458016455
4012,"La Paz, AZ",-0.0724940194070024
4013,"Maricopa, AZ",-0.07012806113976555
4015,"Mohave, AZ",-0.06391542326073463
4017,"Navajo, AZ",0.47105478188888283
4019,"Pima, AZ",-0.010792510189939541
4021,"Pinal, AZ",0.33323995327362743
4023,"Santa Cruz, AZ",0.2616022443050243
4025,"Yavapai, AZ",-0.06472528798055133
4027,"Yuma, AZ",-0.0724940194070024
5001,"Arkansas, AR",-0.051437670195589424
5003,"Ashley, AR",-0.05103166992475838
5005,"Baxter, AR",-0.0067565262504124535
5007,"Benton, AR",-0.025772611762171715
5009,"Boone, AR",-0.0065176391057331085
5011,"Bradley, AR",-0.036299585894337794
5013,"Calhoun, AR",0.01806923144801731
5015,"Carroll, AR",-0.025340772489962693
5017,"Chicot, AR",-0.03008741003728277
5019,"Clark, AR",-0.008593623238510317
