GeoFIPS,GeoName,expected_building_loss_rate
1001,"Autauga, AL",-0.08301898338518321
1003,"Baldwin, AL",-0.07778377657923607
1005,"Barbour, AL",-0.09198796285876165
1007,"Bibb, AL",-0.04928053986561853
1009,"Blount, AL",-0.04812105637811759
1011,"Bullock, AL",-0.08486996030082217
1013,"Butler, AL",0.018021959278822663
1015,"Calhoun, AL",-0.038450133475965376
1017,"Chambers, AL",-0.07868741777552857
1019,"Cherokee, AL",-0.057432418375151895
1021,"Chilton, AL",-0.06821624449494557
1023,"Choctaw, AL",0.3054531212827243
1025,"Clarke, AL",-0.004030322427171273
1027,"Clay, AL",-0.04826651876494581
1029,"Cleburne, AL",-0.024029399667120255
1031,"Coffee, AL",-0.07548778764601194
1033,"Colbert, AL",-0.06762931339239475
1035,"Conecuh, AL",0.0797251351842716
1037,"Coosa, AL",-0.08572274712587546
1039,"Covington, AL",-0.015214546008139651
1041,"Crenshaw, AL",0.03213222823568995
1043,"Cullman, AL",-0.04695074171469038
1045,"Dale, AL",-0.04811799893038615
1047,"Dallas, AL",-0.08098788348450625
1049,"DeKalb, AL",-0.08969578597974626
1051,"Elmore, AL",-0.08429143498059932
1053,"Escambia, AL",-0.003517356684803019
1055,"Etowah, AL",-0.021961755753267864
1057,"Fayette, AL",-0.04191318853639603
1059,"Franklin, AL",-0.039874472604758404
1061,"Geneva, AL",-0.0396083667392757
1063,"Greene, AL",-0.00017709305191149216
1065,"Hale, AL",-0.04471923474369233
1067,"Henry, AL",-0.08667798658976078
1069,"Houston, AL",-0.026456765873896226
1071,"Jackson, AL",-0.04270103670619885
1073,"Jefferson, AL",0.04119615184491221
1075,"Lamar, AL",-0.042655124942752476
1077,"Lauderdale, AL",-0.07817954283104023
1079,"Lawrence, AL",-0.07965952774288332
1081,"Lee, AL",-0.11404716090793254
1083,"Limestone, AL",-0.06630770201477598
1085,"Lowndes, AL",-0.08007111101262787
1087,"Macon, AL",-0.08885727715070446
1089,"Madison, AL",-0.0613816849911647
1091,"Marengo, AL",-0.03288317574132604
1093,"Marion, AL",-0.033633473916014234
1095,"Marshall, AL",-0.030663032817106917
1097,"Mobile, AL",0.36839253768436553
1099,"Monroe, AL",0.011784668151089361
1101,"Montgomery, AL",-0.10059945548780846
1103,"Morgan, AL",-0.03884264314749619
1105,"Perry, AL",-0.0576754849114961
1107,"Pickens, AL",-0.024952411371535366
1109,"Pike, AL",-0.08986081085180664
1111,"Randolph, AL",-0.05454858045638811
1113,"Russell, AL",-0.12199263852999276
1115,"St. Clair, AL",-0.06552097668674373
1117,"Shelby, AL",-0.05914980898729205
1119,"Sumter, AL",0.03790316786020731
1121,"Talladega, AL",-0.06207469509079244
1123,"Tallapoosa, AL",-0.10608468404140858
1125,"Tuscaloosa, AL",-0.07100345051413504
1127,"Walker, AL",-0.0455151856434709
1129,"Washington, AL",0.11438966645607462
1131,"Wilcox, AL",-0.021765761403147676
1133,"Winston, AL",-0.06332212766875533
2013,"Aleutians East Borough, AK",-0.1301018679240934
2016,"Aleutians West Census Area, AK",-0.130543055403476
2020,"Anchorage Municipality, AK",-0.12811333266973102
2050,"Bethel Census Area, AK",-0.11656783959369155
2060,"Bristol Bay Borough, AK",-0.13034308390075733
2068,"Denali Borough, AK",-0.13058428444819614
2070,"Dillingham Census Area, AK",-0.12433992645825209
2090,"Fairbanks North Star Borough, AK",-0.12853174840016013
2100,"Haines Borough, AK",-0.1301018679240934
2110,"Juneau City and Borough, AK",-0.12282469496286563
2122,"Kenai Peninsula Borough, AK",-0.11915826307548172
2130,"Ketchikan Gateway Borough, AK*",-0.13058428444819614
2150,"Kodiak Island Borough, AK",-0.13058428444819614
2164,"Lake and Peninsula Borough, AK",-0.13034308390075733
2170,"Matanuska-Susitna Borough, AK",-0.12345174135817583
2180,"Nome Census Area, AK",-0.1261143549990682
2185,"North Slope Borough, AK",-0.13034308390075733
2188,"Northwest Arctic Borough, AK",-0.12832286811083948
2220,"Sitka City and Borough, AK",-0.11199110173990057
2240,"Southeast Fairbanks Census Area, AK",-0.12980641173143148
2290,"Yukon-Koyukuk Census Area, AK",-0.02379452688939998
4001,"Apache, AZ",-0.0885303482144798
4003,"Cochise, AZ",-0.07268957828546319
4005,"Coconino, AZ",0.10436467117477188
4007,"Gila, AZ",0.34852274599683186
4009,"Graham, AZ",-0.056613444624573184
4011,"Greenlee, AZ",-0.0677095818699135
4012,"La Paz, AZ",-0.043705940316883796
4013,"Maricopa, AZ",-0.11811264499699103
4015,"Mohave, AZ",-0.04366709501460786
4017,"Navajo, AZ",0.10851508789234221
4019,"Pima, AZ",-0.08141527213469624
4021,"Pinal, AZ",-0.09287281003745873
4023,"Santa Cruz, AZ",-0.03824824698814533
4025,"Yavapai, AZ",0.05260909569716388
4027,"Yuma, AZ",-0.1297029378523593
5001,"Arkansas, AR",-0.03936492299707506
5003,"Ashley, AR",0.0004066829281552664
5005,"Baxter, AR",0.07695362005435435
5007,"Benton, AR",-0.07997466425521527
5009,"Boone, AR",0.10408531379229058
5011,"Bradley, AR",0.045057198315759495
5013,"Calhoun, AR",0.06188798021901176
5015,"Carroll, AR",0.049157414817295075
5017,"Chicot, AR",0.10398348621901676
5019,"Clark, AR",0.023972362297640215
5021,"Clay, AR",0.01780490529824208
5023,"Cleburne, AR",0.10653741003896311
5025,"Cleveland, AR",0.015872200075165654
5027,"Columbia, AR",0.02976966678208215
5029,"Conway, AR",0.08683468656164828
5031,"Craighead, AR",-0.08804513585669949
5033,"Crawford, AR",-0.05957772824879981
5035,"Crittenden, AR",-0.08945731976966542
5037,"Cross, AR",-0.053288520951406015
5039,"Dallas, AR",0.03250214693572717
5041,"Desha, AR",-0.024975438246577997
5043,"Drew, AR",-0.02494175581544611
5045,"Faulkner, AR",-0.03623597574290183
5047,"Franklin, AR",-0.039982529378802756
5049,"Fulton, AR",0.13631239722209187
5051,"Garland, AR",-0.02900332295915997
5053,"Grant, AR",0.027843726405137215
5055,"Greene, AR",-0.028446305065384814
5057,"Hempstead, AR",0.05442970881441811
5059,"Hot Spring, AR",-0.006796897903246557
5061,"Howard, AR",0.017774494585664158
5063,"Independence, AR",0.10668263344114459
5065,"Izard, AR",0.16870760505465054
5067,"Jackson, AR",0.05459072758157202
5069,"Jefferson, AR",-0.05767402264735555
5071,"Johnson, AR",0.0653100884235247
5073,"Lafayette, AR",0.05576650079058698
5075,"Lawrence, AR",0.03238046439018727
5077,"Lee, AR",-0.10164445811020617
5079,"Lincoln, AR",0.026042795849765765
5081,"Little River, AR",0.023134581973909718
5083,"Logan, AR",0.0687203288556748
5085,"Lonoke, AR",-0.02903942341195309
5087,"Madison, AR",0.0813626282383455
5089,"Marion, AR",0.1269319088309968
5091,"Miller, AR",0.06128353664078401
5093,"Mississippi, AR",-0.09927715239202106
5095,"Monroe, AR",0.07045726168705313
5097,"Montgomery, AR",0.001248673204831574
5099,"Nevada, AR",0.007963202790510104
5101,"Newton, AR",0.040379477455179336
5103,"Ouachita, AR",0.054700096579393565
5105,"Perry, AR",0.14199302840196193
5107,"Phillips, AR",-0.08168145778794178
5109,"Pike, AR",0.026782912145301596
5111,"Poinsett, AR",-0.05115139432746485
5113,"Polk, AR",0.00019180939989049683
5115,"Pope, AR",0.03292139225661095
5117,"Prairie, AR",0.06526178805473459
5119,"Pulaski, AR",-0.030931887022043414
5121,"Randolph, AR",0.05470501010285256
