GeoFIPS,GeoName,Year,Value
1001,"Autauga, AL",2001,59.839
1003,"Baldwin, AL",2001,73.853
1005,"Barbour, AL",2001,113.864
1007,"Bibb, AL",2001,80.443
1009,"Blount, AL",2001,92.104
1011,"Bullock, AL",2001,95.536
1013,"Butler, AL",2001,78.606
1015,"Calhoun, AL",2001,83.913
1017,"Chambers, AL",2001,113.686
1019,"Cherokee, AL",2001,78.2
1021,"Chilton, AL",2001,76.567
1023,"Choctaw, AL",2001,116.014
1025,"Clarke, AL",2001,86.753
1027,"Clay, AL",2001,113.205
1029,"Cleburne, AL",2001,121.985
1031,"Coffee, AL",2001,84.327
1033,"Colbert, AL",2001,80.469
1035,"Conecuh, AL",2001,59.968
1037,"Coosa, AL",2001,99.156
1039,"Covington, AL",2001,89.471
1041,"Crenshaw, AL",2001,64.362
1043,"Cullman, AL",2001,87.46
1045,"Dale, AL",2001,71.34
1047,"Dallas, AL",2001,104.137
1049,"DeKalb, AL",2001,104.688
1051,"Elmore, AL",2001,64.213
1053,"Escambia, AL",2001,96.233
1055,"Etowah, AL",2001,97.074
1057,"Fayette, AL",2001,84.604
1059,"Franklin, AL",2001,87.762
1061,"Geneva, AL",2001,100.408
1063,"Greene, AL",2001,106.302
1065,"Hale, AL",2001,90.122
1067,"Henry, AL",2001,100.417
1069,"Houston, AL",2001,89.901
1071,"Jackson, AL",2001,100.07
1073,"Jefferson, AL",2001,92.829
1075,"Lamar, AL",2001,113.173
1077,"Lauderdale, AL",2001,89.255
1079,"Lawrence, AL",2001,84.463
1081,"Lee, AL",2001,61.04
1083,"Limestone, AL",2001,70.964
1085,"Lowndes, AL",2001,83.434
1087,"Macon, AL",2001,95.106
1089,"Madison, AL",2001,65.343
1091,"Marengo, AL",2001,94.335
1093,"Marion, AL",2001,93.05
1095,"Marshall, AL",2001,88.979
1097,"Mobile, AL",2001,81.801
1099,"Monroe, AL",2001,122.767
1101,"Montgomery, AL",2001,90.187
1103,"Morgan, AL",2001,91.791
1105,"Perry, AL",2001,84.609
1107,"Pickens, AL",2001,96.709
1109,"Pike, AL",2001,70.097
1111,"Randolph, AL",2001,99.232
1113,"Russell, AL",2001,88.404
1115,"St. Clair, AL",2001,68.963
1117,"Shelby, AL",2001,62.476
1119,"Sumter, AL",2001,89.889
1121,"Talladega, AL",2001,73.563
1123,"Tallapoosa, AL",2001,81.036
1125,"Tuscaloosa, AL",2001,76.84
1127,"Walker, AL",2001,93.739
1129,"Washington, AL",2001,105.374
1131,"Wilcox, AL",2001,108.609
1133,"Winston, AL",2001,100.254
2013,"Aleutians East Borough, AK",2001,151.434
2016,"Aleutians West Census Area, AK",2001,81.614
