GeoFIPS,GeoName,Year,Value
1001,"Autauga, AL",2001,-0.32801279951623874
1003,"Baldwin, AL",2001,-0.15146514147496803
1005,"Barbour, AL",2001,0.10795955626382808
1007,"Bibb, AL",2001,-0.0684446572098063
1009,"Blount, AL",2001,0.023792025745362263
1011,"Bullock, AL",2001,0.03706697816904676
1013,"Butler, AL",2001,-0.09158708962180973
1015,"Calhoun, AL",2001,-0.02472977399279408
1017,"Chambers, AL",2001,0.10727105348660902
1019,"Cherokee, AL",2001,-0.09670185693769051
1021,"Chilton, AL",2001,-0.11727430774269954
1023,"Choctaw, AL",2001,0.11627574149428307
1025,"Clarke, AL",2001,0.003094394504355349
1027,"Clay, AL",2001,0.10541054879086532
1029,"Cleburne, AL",2001,0.1393715284761654
1031,"Coffee, AL",2001,-0.019514223084481808
1033,"Colbert, AL",2001,-0.06811711053440506
1035,"Conecuh, AL",2001,-0.32638766408828646
1037,"Coosa, AL",2001,0.05106911330125479
1039,"Covington, AL",2001,0.013607599832902698
1041,"Crenshaw, AL",2001,-0.2710322759454762
1043,"Cullman, AL",2001,0.005829065647579374
1045,"Dale, AL",2001,-0.18312378744740343
1047,"Dallas, AL",2001,0.07033558708399733
1049,"DeKalb, AL",2001,0.07246685129887209
1051,"Elmore, AL",2001,-0.27290937035450635
1053,"Escambia, AL",2001,0.039762969380966386
1055,"Etowah, AL",2001,0.04301595160366993
1057,"Fayette, AL",2001,-0.016024591196553306
1059,"Franklin, AL",2001,0.006997199572973548
1061,"Geneva, AL",2001,0.05591184070057091
1063,"Greene, AL",2001,0.07870979221140904
1065,"Hale, AL",2001,0.016125663360821857
1067,"Henry, AL",2001,0.05594665263874492
1069,"Houston, AL",2001,0.015270836878993676
1071,"Jackson, AL",2001,0.05460445902248075
1073,"Jefferson, AL",2001,0.026596320764934282
1075,"Lamar, AL",2001,0.10528677301069113
1077,"Lauderdale, AL",2001,0.012772113316726721
1079,"Lawrence, AL",2001,-0.01780090201315232
1081,"Lee, AL",2001,-0.3128826627025121
1083,"Limestone, AL",2001,-0.18786061629166773
1085,"Lowndes, AL",2001,-0.03076419158960919
1087,"Macon, AL",2001,0.03540374112295573
1089,"Madison, AL",2001,-0.258673687923606
1091,"Marengo, AL",2001,0.032421518419383254
1093,"Marion, AL",2001,0.027451147246762467
1095,"Marshall, AL",2001,0.011704547212724136
1097,"Mobile, AL",2001,-0.051336642394618104
1099,"Monroe, AL",2001,0.14239629910417276
1101,"Montgomery, AL",2001,0.016377082914300723
1103,"Morgan, AL",2001,0.022581343895533217
1105,"Perry, AL",2001,-0.01596160145128389
1107,"Pickens, AL",2001,0.04160413411105782
1109,"Pike, AL",2001,-0.19878303812139397
1111,"Randolph, AL",2001,0.05136308077916852
1113,"Russell, AL",2001,0.00948045116271871
1115,"St. Clair, AL",2001,-0.21306911234850978
1117,"Shelby, AL",2001,-0.29479200786112014
1119,"Sumter, AL",2001,0.015224420961428344
1121,"Talladega, AL",2001,-0.15511854670059722
1123,"Tallapoosa, AL",2001,-0.06097407342084715
1125,"Tuscaloosa, AL",2001,-0.11383506765098639
1127,"Walker, AL",2001,0.030116194513638547
1129,"Washington, AL",2001,0.07512029458635679
1131,"Wilcox, AL",2001,0.08763325236334377
1133,"Winston, AL",2001,0.05531616975848252
2013,"Aleutians East Borough, AK",2001,0.25328005817461663
2016,"Aleutians West Census Area, AK",2001,-0.05369245886769625
2068,"Denali Borough, AK",2001,0.010764624882026213
2122,"Kenai Peninsula Borough, AK",2001,0.03453731066173627
2158,"Kusilvak Census Area, AK*",2001,-0.061515785230164655
2164,"Lake and Peninsula Borough, AK",2001,0.01764191666795597
2185,"North Slope Borough, AK",2001,-0.512371185970924
2188,"Northwest Arctic Borough, AK",2001,0.07052125075425866
2282,"Yakutat City and Borough, AK*",2001,-0.03503489631887935
4001,"Apache, AZ",2001,-0.11537201743556147
4003,"Cochise, AZ",2001,-0.11989468114590962
4005,"Coconino, AZ",2001,-0.10101035551412219
4007,"Gila, AZ",2001,-0.10718335055053052
4009,"Graham, AZ",2001,-0.2902441482526644
4011,"Greenlee, AZ",2001,-0.08331023709340124
4012,"La Paz, AZ",2001,-0.1179797928897176
4013,"Maricopa, AZ",2001,-0.10598654539041052
4015,"Mohave, AZ",2001,-0.034518380407669635
4017,"Navajo, AZ",2001,0.01770767255117356
4019,"Pima, AZ",2001,0.0014272894651339092
4021,"Pinal, AZ",2001,-0.35109224218297264
4023,"Santa Cruz, AZ",2001,-0.0799843785431732
4025,"Yavapai, AZ",2001,-0.01892211947894895
4027,"Yuma, AZ",2001,-0.07680969538159188
5001,"Arkansas, AR",2001,-0.07582705535538814
5003,"Ashley, AR",2001,0.017823712345086888
5005,"Baxter, AR",2001,0.014648089984992155
5007,"Benton, AR",2001,-0.25571316989594084
5009,"Boone, AR",2001,0.01783531632447817
5011,"Bradley, AR",2001,0.0035933656181826703
5013,"Calhoun, AR",2001,0.086511534355515
5015,"Carroll, AR",2001,0.04186328965079755
5017,"Chicot, AR",2001,0.023227298748317405
5019,"Clark, AR",2001,0.053130753639781494
5021,"Clay, AR",2001,0.04566552689802423
5023,"Cleburne, AR",2001,-0.3688553503489632
5025,"Cleveland, AR",2001,0.04176658982253648
5027,"Columbia, AR",2001,-0.08420469147622778
5029,"Conway, AR",2001,-0.44116757791831496
5031,"Craighead, AR",2001,-0.1333492907354683
5033,"Crawford, AR",2001,-0.03242712086472321
5035,"Crittenden, AR",2001,0.07615304875218543
5037,"Cross, AR",2001,0.04048628409635944
5039,"Dallas, AR",2001,0.03822350811504955
5041,"Desha, AR",2001,-0.0249691350248179
5043,"Drew, AR",2001,-0.06534556174254835
5045,"Faulkner, AR",2001,-0.3243719922396634
5047,"Franklin, AR",2001,0.06184921015580275
5049,"Fulton, AR",2001,-0.039771725163143534
5051,"Garland, AR",2001,0.0003519873748703989
5053,"Grant, AR",2001,-0.03582856710927462
5055,"Greene, AR",2001,-0.19148882561918923
5057,"Hempstead, AR",2001,0.02004007240883139
5059,"Hot Spring, AR",2001,-0.12582831515029347
5061,"Howard, AR",2001,0.06655268980242293
5063,"Independence, AR",2001,0.04245509259975554
5065,"Izard, AR",2001,-0.04123308725339514
5067,"Jackson, AR",2001,-0.07848522260575974
5069,"Jefferson, AR",2001,0.04475654851236984
5071,"Johnson, AR",2001,0.002405891727136292
5073,"Lafayette, AR",2001,0.12032166230872773
5075,"Lawrence, AR",2001,0.042052821314189345
5077,"Lee, AR",2001,0.0888942181238686
5079,"Lincoln, AR",2001,0.04284962789906086
5081,"Little River, AR",2001,-0.1526619466350878
5083,"Logan, AR",2001,0.004096204725140399
5085,"Lonoke, AR",2001,-0.09239335836125884
5087,"Madison, AR",2001,-0.09477437073244477
5089,"Marion, AR",2001,-0.21271636977500064
5091,"Miller, AR",2001,0.03404607553416982
5093,"Mississippi, AR",2001,0.017614840716042895
5095,"Monroe, AR",2001,0.01980799282100473
5097,"Montgomery, AR",2001,0.030108458527377622
5099,"Nevada, AR",2001,-0.03463176194915474
5101,"Newton, AR",2001,0.03105998483746693
5103,"Ouachita, AR",2001,0.013557315922206903
5105,"Perry, AR",2001,0.021169526402921104
5107,"Phillips, AR",2001,0.09150124549378796
5109,"Pike, AR",2001,0.09343137406587965
5111,"Poinsett, AR",2001,0.0352683613633902
5113,"Polk, AR",2001,0.05087571364473254
5115,"Pope, AR",2001,0.00793712190367147
5117,"Prairie, AR",2001,0.021939257035879494
5119,"Pulaski, AR",2001,0.0020809803041789672
5121,"Randolph, AR",2001,0.019479213404916998
5123,"St. Francis, AR",2001,0.07042841891912799
5125,"Saline, AR",2001,-0.20344427927133457
5127,"Scott, AR",2001,0.08136710349202421
5129,"Searcy, AR",2001,0.017696068571782228
5131,"Sebastian, AR",2001,0.01718549347856357
5133,"Sevier, AR",2001,0.11390079371219036
5135,"Sharp, AR",2001,0.024337412776754913
5137,"Stone, AR",2001,0.050434762427861934
5139,"Union, AR",2001,0.04215338913558088
5141,"Van Buren, AR",2001,-0.6460228274836857
5143,"Washington, AR",2001,-0.09267051324044462
5145,"White, AR",2001,-0.2776336012497165
5147,"Woodruff, AR",2001,0.019339965652221
5149,"Yell, AR",2001,0.0743505639533984
6001,"Alameda, CA",2001,-0.005606087328982823
6003,"Alpine, CA",2001,-0.06383380785608106
6005,"Amador, CA",2001,0.0233123945971872
6007,"Butte, CA",2001,0.0056434019773181
6009,"Calaveras, CA",2001,0.07914300744201878
6011,"Colusa, CA",2001,-0.1712565194386355
6013,"Contra Costa, CA",2001,0.08789240790308356
6015,"Del Norte, CA",2001,0.004746027571055049
6017,"El Dorado, CA",2001,0.009043367938978517
6019,"Fresno, CA",2001,-0.026128146337776048
6021,"Glenn, CA",2001,-0.003149487263473527
6023,"Humboldt, CA",2001,0.019587517212569402
6025,"Imperial, CA",2001,-0.122691425835874
6027,"Inyo, CA",2001,0.009805362585676033
6029,"Kern, CA",2001,-0.3337700622338683
6031,"Kings, CA",2001,-0.006765098641941192
6033,"Lake, CA",2001,-0.014575827055355539
6035,"Lassen, CA",2001,-0.16980775529743752
