GeoFIPS,GeoName,Category,Value
1001,"Autauga, AL",homeownership_rate,74.24505856515373
1003,"Baldwin, AL",homeownership_rate,77.12122949879573
1005,"Barbour, AL",homeownership_rate,62.213908450704224
1007,"Bibb, AL",homeownership_rate,78.78017789072427
1009,"Blount, AL",homeownership_rate,79.17840375586854
1011,"Bullock, AL",homeownership_rate,64.931266452179
1013,"Butler, AL",homeownership_rate,72.39320165365181
1015,"Calhoun, AL",homeownership_rate,70.98092335478044
1017,"Chambers, AL",homeownership_rate,69.2600777261297
1019,"Cherokee, AL",homeownership_rate,78.48741229880314
1021,"Chilton, AL",homeownership_rate,73.78939741577103
1023,"Choctaw, AL",homeownership_rate,83.32373824601804
1025,"Clarke, AL",homeownership_rate,72.52121212121212
1027,"Clay, AL",homeownership_rate,76.51416929060937
1029,"Cleburne, AL",homeownership_rate,77.20614505180421
1031,"Coffee, AL",homeownership_rate,69.11319464791484
1033,"Colbert, AL",homeownership_rate,72.09805653710248
1035,"Conecuh, AL",homeownership_rate,78.52877955576785
1037,"Coosa, AL",homeownership_rate,80.59623430962343
1039,"Covington, AL",homeownership_rate,74.71320649132625
1041,"Crenshaw, AL",homeownership_rate,75.06984741027294
1043,"Cullman, AL",homeownership_rate,74.59242842830687
1045,"Dale, AL",homeownership_rate,59.66615305598357
1047,"Dallas, AL",homeownership_rate,60.75773375043448
1049,"DeKalb, AL",homeownership_rate,73.45416194679896
1051,"Elmore, AL",homeownership_rate,75.6338918748024
1053,"Escambia, AL",homeownership_rate,66.65631309209505
1055,"Etowah, AL",homeownership_rate,73.0131369322782
1057,"Fayette, AL",homeownership_rate,75.04835589941973
1059,"Franklin, AL",homeownership_rate,70.49748973071657
1061,"Geneva, AL",homeownership_rate,73.94933514510336
1063,"Greene, AL",homeownership_rate,69.32256932256932
1065,"Hale, AL",homeownership_rate,77.98558347944672
1067,"Henry, AL",homeownership_rate,84.11930043722673
1069,"Houston, AL",homeownership_rate,65.51891957659083
1071,"Jackson, AL",homeownership_rate,75.60169658709805
1073,"Jefferson, AL",homeownership_rate,63.87989625338408
1075,"Lamar, AL",homeownership_rate,72.3229302934031
1077,"Lauderdale, AL",homeownership_rate,66.93735498839906
1079,"Lawrence, AL",homeownership_rate,78.32223915309969
1081,"Lee, AL",homeownership_rate,64.06324260954976
1083,"Limestone, AL",homeownership_rate,78.06091557638139
1085,"Lowndes, AL",homeownership_rate,76.68901495616296
1087,"Macon, AL",homeownership_rate,65.90526905829597
1089,"Madison, AL",homeownership_rate,67.4021944275615
1091,"Marengo, AL",homeownership_rate,70.97130242825607
1093,"Marion, AL",homeownership_rate,73.74898930913665
1095,"Marshall, AL",homeownership_rate,74.83845480967297
1097,"Mobile, AL",homeownership_rate,63.54392736246006
1099,"Monroe, AL",homeownership_rate,72.42601936451656
1101,"Montgomery, AL",homeownership_rate,57.20712634909238
1103,"Morgan, AL",homeownership_rate,71.99056027307782
1105,"Perry, AL",homeownership_rate,72.84861257463997
1107,"Pickens, AL",homeownership_rate,76.23337623337623
1109,"Pike, AL",homeownership_rate,61.73096976016684
