GeoFIPS,GeoName,Category,Value
1001,"Autauga, AL",less_10k,5.5
1003,"Baldwin, AL",less_10k,4.9
1005,"Barbour, AL",less_10k,12.3
1007,"Bibb, AL",less_10k,7.5
1009,"Blount, AL",less_10k,8.4
1011,"Bullock, AL",less_10k,15.2
1013,"Butler, AL",less_10k,6.3
1015,"Calhoun, AL",less_10k,8.2
1017,"Chambers, AL",less_10k,4.6
1019,"Cherokee, AL",less_10k,6.9
1021,"Chilton, AL",less_10k,7.0
1023,"Choctaw, AL",less_10k,11.1
1025,"Clarke, AL",less_10k,13.1
1027,"Clay, AL",less_10k,9.9
1029,"Cleburne, AL",less_10k,9.1
1031,"Coffee, AL",less_10k,6.5
1033,"Colbert, AL",less_10k,7.7
1035,"Conecuh, AL",less_10k,5.6
1037,"Coosa, AL",less_10k,3.0
1039,"Covington, AL",less_10k,7.9
1041,"Crenshaw, AL",less_10k,11.1
1043,"Cullman, AL",less_10k,5.8
1045,"Dale, AL",less_10k,8.3
1047,"Dallas, AL",less_10k,13.3
1049,"DeKalb, AL",less_10k,6.5
1051,"Elmore, AL",less_10k,4.6
1053,"Escambia, AL",less_10k,12.6
1055,"Etowah, AL",less_10k,6.9
1057,"Fayette, AL",less_10k,9.6
1059,"Franklin, AL",less_10k,7.4
1061,"Geneva, AL",less_10k,8.6
1063,"Greene, AL",less_10k,14.5
1065,"Hale, AL",less_10k,13.8
1067,"Henry, AL",less_10k,7.3
1069,"Houston, AL",less_10k,7.5
1071,"Jackson, AL",less_10k,6.7
1073,"Jefferson, AL",less_10k,7.7
1075,"Lamar, AL",less_10k,8.8
1077,"Lauderdale, AL",less_10k,6.4
1079,"Lawrence, AL",less_10k,5.7
1081,"Lee, AL",less_10k,12.7
1083,"Limestone, AL",less_10k,4.1
1085,"Lowndes, AL",less_10k,10.5
1087,"Macon, AL",less_10k,12.9
1089,"Madison, AL",less_10k,4.8
1091,"Marengo, AL",less_10k,11.3
1093,"Marion, AL",less_10k,6.6
1095,"Marshall, AL",less_10k,6.3
1097,"Mobile, AL",less_10k,7.9
1099,"Monroe, AL",less_10k,12.0
1101,"Montgomery, AL",less_10k,8.7
1103,"Morgan, AL",less_10k,5.4
1105,"Perry, AL",less_10k,11.0
1107,"Pickens, AL",less_10k,6.8
1109,"Pike, AL",less_10k,12.1
1111,"Randolph, AL",less_10k,8.7
1113,"Russell, AL",less_10k,11.2
1115,"St. Clair, AL",less_10k,4.3
1117,"Shelby, AL",less_10k,3.8
1119,"Sumter, AL",less_10k,16.2
1121,"Talladega, AL",less_10k,8.4
1123,"Tallapoosa, AL",less_10k,9.0
1125,"Tuscaloosa, AL",less_10k,8.6
1127,"Walker, AL",less_10k,7.4
1129,"Washington, AL",less_10k,9.8
1131,"Wilcox, AL",less_10k,11.1
1133,"Winston, AL",less_10k,6.6
2013,"Aleutians East Borough, AK",less_10k,3.8
2016,"Aleutians West Census Area, AK",less_10k,1.5
2020,"Anchorage Municipality, AK",less_10k,3.3
2050,"Bethel Census Area, AK",less_10k,8.0
2060,"Bristol Bay Borough, AK",less_10k,1.3
2068,"Denali Borough, AK",less_10k,1.5
2070,"Dillingham Census Area, AK",less_10k,5.4
2090,"Fairbanks North Star Borough, AK",less_10k,3.7
2100,"Haines Borough, AK",less_10k,6.7
2110,"Juneau City and Borough, AK",less_10k,3.6
2122,"Kenai Peninsula Borough, AK",less_10k,5.1
2130,"Ketchikan Gateway Borough, AK*",less_10k,4.0
2150,"Kodiak Island Borough, AK",less_10k,4.7
2164,"Lake and Peninsula Borough, AK",less_10k,3.4
2170,"Matanuska-Susitna Borough, AK",less_10k,5.1
2180,"Nome Census Area, AK",less_10k,6.3
2185,"North Slope Borough, AK",less_10k,5.8
