GeoFIPS,GeoName,Year,Value
1001,"Autauga, AL",2010,-0.02389404909273596
1001,"Autauga, AL",2011,-0.025599648884525372
1001,"Autauga, AL",2012,-0.027610123152894128
1001,"Autauga, AL",2013,-0.028539026458020755
1001,"Autauga, AL",2014,-0.02774876850372987
1001,"Autauga, AL",2015,-0.026764363704970595
1001,"Autauga, AL",2016,-0.02677822892619508
1001,"Autauga, AL",2017,-0.02218831019123335
1001,"Autauga, AL",2018,-0.025599648884525372
1001,"Autauga, AL",2019,-0.02386631458655164
1001,"Autauga, AL",2020,-0.026029492375804986
1001,"Autauga, AL",2021,-0.02246567516730491
1003,"Baldwin, AL",2010,0.038437449817531055
1003,"Baldwin, AL",2011,0.04343797963096119
1003,"Baldwin, AL",2012,0.052837315854872724
1003,"Baldwin, AL",2013,0.05759581127554969
1003,"Baldwin, AL",2014,0.05951784554501782
1003,"Baldwin, AL",2015,0.06374751174499105
1003,"Baldwin, AL",2016,0.05809364587300658
1003,"Baldwin, AL",2017,0.056323437740448234
1003,"Baldwin, AL",2018,0.05636493109010998
1003,"Baldwin, AL",2019,0.057070288128374225
1003,"Baldwin, AL",2020,0.05918601463099171
1003,"Baldwin, AL",2021,0.06413442799566593
1005,"Barbour, AL",2010,-0.04077592795027951
1005,"Barbour, AL",2011,-0.041870194161276686
1005,"Barbour, AL",2012,-0.04052658769398498
1005,"Barbour, AL",2013,-0.03954302998049497
1005,"Barbour, AL",2014,-0.03876721199796229
1005,"Barbour, AL",2015,-0.04063740621066103
1005,"Barbour, AL",2016,-0.04006945080359625
1005,"Barbour, AL",2017,-0.040000186170338514
1005,"Barbour, AL",2018,-0.04123303854125415
1005,"Barbour, AL",2019,-0.041482364328182864
1005,"Barbour, AL",2020,-0.041662429740959794
1005,"Barbour, AL",2021,-0.04067896289681083
1007,"Bibb, AL",2010,-0.04293666079425107
1007,"Bibb, AL",2011,-0.04365681682788469
1007,"Bibb, AL",2012,-0.0450554511305693
1007,"Bibb, AL",2013,-0.044266144221149495
1007,"Bibb, AL",2014,-0.044113815442664794
1007,"Bibb, AL",2015,-0.042742764976452685
1007,"Bibb, AL",2016,-0.04261811596383669
1007,"Bibb, AL",2017,-0.04318595066255915
1007,"Bibb, AL",2018,-0.04301975801261515
1007,"Bibb, AL",2019,-0.0423688139621573
1007,"Bibb, AL",2020,-0.04378145463373084
1007,"Bibb, AL",2021,-0.04349063097344663
1009,"Blount, AL",2010,-0.02874698318877711
1009,"Blount, AL",2011,-0.030646203922685245
1009,"Blount, AL",2012,-0.03467956396351435
1009,"Blount, AL",2013,-0.03452711989636881
1009,"Blount, AL",2014,-0.033598562504606466
1009,"Blount, AL",2015,-0.03240659807392343
1009,"Blount, AL",2016,-0.0338341721741543
1009,"Blount, AL",2017,-0.036051487098874624
1009,"Blount, AL",2018,-0.0351646024975647
1009,"Blount, AL",2019,-0.03480428972753402
1009,"Blount, AL",2020,-0.033141191920422086
1009,"Blount, AL",2021,-0.032434319237109044
1011,"Bullock, AL",2010,-0.04533238764270242
1011,"Bullock, AL",2011,-0.045913931588144496
1011,"Bullock, AL",2012,-0.04664774020091178
1011,"Bullock, AL",2013,-0.046536979843328274
1011,"Bullock, AL",2014,-0.04645390882404021
1011,"Bullock, AL",2015,-0.04630161028737989
1011,"Bullock, AL",2016,-0.0457754715519314
1011,"Bullock, AL",2017,-0.04495852171307857
1011,"Bullock, AL",2018,-0.0442799921899617
1011,"Bullock, AL",2019,-0.043587573014951086
1011,"Bullock, AL",2020,-0.04405842265063209
1011,"Bullock, AL",2021,-0.04441847094132023
1013,"Butler, AL",2010,-0.038268447125845095
1013,"Butler, AL",2011,-0.03815760788932787
1013,"Butler, AL",2012,-0.0388503376053716
1013,"Butler, AL",2013,-0.03900273315491021
1013,"Butler, AL",2014,-0.03905814926890705
1013,"Butler, AL",2015,-0.040443473152022236
1013,"Butler, AL",2016,-0.039099711196754705
1013,"Butler, AL",2017,-0.03786665043321169
1013,"Butler, AL",2018,-0.03643948133824826
1013,"Butler, AL",2019,-0.03671661336167953
1013,"Butler, AL",2020,-0.03706302044443144
1013,"Butler, AL",2021,-0.03728471630824115
1015,"Calhoun, AL",2010,0.0032967147165472444
1015,"Calhoun, AL",2011,0.005364074884211423
1015,"Calhoun, AL",2012,0.006446299954572909
1015,"Calhoun, AL",2013,0.007556258677086536
1015,"Calhoun, AL",2014,0.00626593008969234
1015,"Calhoun, AL",2015,0.004989455457377501
1015,"Calhoun, AL",2016,0.004212462671923767
1015,"Calhoun, AL",2017,0.0014097032061148873
1015,"Calhoun, AL",2018,-0.0005050686682468442
1015,"Calhoun, AL",2019,0.0013958280678301183
1015,"Calhoun, AL",2020,0.00013318890506130998
1015,"Calhoun, AL",2021,0.007653379219001666
1017,"Chambers, AL",2010,-0.03926595755383688
1017,"Chambers, AL",2011,-0.03993092115265451
1017,"Chambers, AL",2012,-0.0402495370461905
1017,"Chambers, AL",2013,-0.03803291262606334
1017,"Chambers, AL",2014,-0.03772809700392443
1017,"Chambers, AL",2015,-0.03693831491638844
1017,"Chambers, AL",2016,-0.03684132093232528
1017,"Chambers, AL",2017,-0.03692445867551841
1017,"Chambers, AL",2018,-0.03645333807288764
1017,"Chambers, AL",2019,-0.03749255284781572
1017,"Chambers, AL",2020,-0.03537247109716124
1017,"Chambers, AL",2021,-0.03437467422252605
1019,"Cherokee, AL",2010,-0.039764683545725266
1019,"Cherokee, AL",2011,-0.04090059617593644
1019,"Cherokee, AL",2012,-0.04146851303082155
1019,"Cherokee, AL",2013,-0.04066511068372436
1019,"Cherokee, AL",2014,-0.03972312379968146
1019,"Cherokee, AL",2015,-0.03923824997836556
1019,"Cherokee, AL",2016,-0.040027892069809834
1019,"Cherokee, AL",2017,-0.040651258455005945
1019,"Cherokee, AL",2018,-0.041662429740959794
1019,"Cherokee, AL",2019,-0.039390640895609286
1019,"Cherokee, AL",2020,-0.03972312379968146
1019,"Cherokee, AL",2021,-0.03915512689007994
1021,"Chilton, AL",2010,-0.03548333309996399
1021,"Chilton, AL",2011,-0.034236085858019294
1021,"Chilton, AL",2012,-0.033321369878832385
1021,"Chilton, AL",2013,-0.03285013067287268
1021,"Chilton, AL",2014,-0.03455483711919993
1021,"Chilton, AL",2015,-0.03497058905906891
1021,"Chilton, AL",2016,-0.03599605846042464
1021,"Chilton, AL",2017,-0.03681360823787516
1021,"Chilton, AL",2018,-0.03688288986774124
1021,"Chilton, AL",2019,-0.03800520240657035
1021,"Chilton, AL",2020,-0.037922071397564094
1021,"Chilton, AL",2021,-0.0362454855844504
1023,"Choctaw, AL",2010,-0.04446001423412049
1023,"Choctaw, AL",2011,-0.04473696558298157
1023,"Choctaw, AL",2012,-0.04484774419950088
1023,"Choctaw, AL",2013,-0.04401687787880981
1023,"Choctaw, AL",2014,-0.04519392025493307
1023,"Choctaw, AL",2015,-0.04592777749482524
1023,"Choctaw, AL",2016,-0.045637009756870794
1023,"Choctaw, AL",2017,-0.04533238764270242
1023,"Choctaw, AL",2018,-0.045429313778029945
1023,"Choctaw, AL",2019,-0.04409996727007215
1023,"Choctaw, AL",2020,-0.04362911935300695
1023,"Choctaw, AL",2021,-0.04362911935300695
1025,"Clarke, AL",2010,-0.04073437159273241
1025,"Clarke, AL",2011,-0.04141310768203421
1025,"Clarke, AL",2012,-0.04216105826238414
1025,"Clarke, AL",2013,-0.04153776935812503
1025,"Clarke, AL",2014,-0.04138540491210918
1025,"Clarke, AL",2015,-0.04130229622071713
1025,"Clarke, AL",2016,-0.04164857865129634
1025,"Clarke, AL",2017,-0.04072051944222632
1025,"Clarke, AL",2018,-0.041662429740959794
1025,"Clarke, AL",2019,-0.04290896158939139
1025,"Clarke, AL",2020,-0.042507315727558614
1025,"Clarke, AL",2021,-0.04223031056831417
1027,"Clay, AL",2010,-0.04501391005541655
1027,"Clay, AL",2011,-0.04470927075683473
1027,"Clay, AL",2012,-0.04447386196422387
1027,"Clay, AL",2013,-0.04519392025493307
1027,"Clay, AL",2014,-0.045429313778029945
1027,"Clay, AL",2015,-0.045027757097771626
1027,"Clay, AL",2016,-0.04353217766305284
1027,"Clay, AL",2017,-0.04415535985870611
1027,"Clay, AL",2018,-0.04422460021266883
1027,"Clay, AL",2019,-0.0433244427121956
1027,"Clay, AL",2020,-0.04452925271368191
1027,"Clay, AL",2021,-0.045415467239594554
1029,"Cleburne, AL",2010,-0.04419690412203159
1029,"Cleburne, AL",2011,-0.044363079645309944
1029,"Cleburne, AL",2012,-0.044210752175845025
1029,"Cleburne, AL",2013,-0.04349063097344663
1029,"Cleburne, AL",2014,-0.04265966578231872
1029,"Cleburne, AL",2015,-0.04229956246845934
1029,"Cleburne, AL",2016,-0.04177323788132303
1029,"Cleburne, AL",2017,-0.04184249244739202
1029,"Cleburne, AL",2018,-0.04271506531072855
1029,"Cleburne, AL",2019,-0.043144402723779174
1029,"Cleburne, AL",2020,-0.04261811596383669
1029,"Cleburne, AL",2021,-0.04261811596383669
1031,"Coffee, AL",2010,-0.03240659807392343
1031,"Coffee, AL",2011,-0.0302719220203862
1031,"Coffee, AL",2012,-0.02812310560316378
1031,"Coffee, AL",2013,-0.02878857423689407
1031,"Coffee, AL",2014,-0.026597980248558084
1031,"Coffee, AL",2015,-0.02663957625118052
1031,"Coffee, AL",2016,-0.027263505139932698
1031,"Coffee, AL",2017,-0.028178562282921704
1031,"Coffee, AL",2018,-0.028455843072988984
1031,"Coffee, AL",2019,-0.027873548406821214
1031,"Coffee, AL",2020,-0.02748534142873127
1031,"Coffee, AL",2021,-0.025058864614204368
