GeoFIPS,GeoName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1001,"Autauga, AL",1688.0,1565.0,1420.0,1353.0,1410.0,1481.0,1480.0,1811.0,1565.0,1690.0,1534.0,1791.0
1003,"Baldwin, AL",6182.0,6543.0,7222.0,7566.0,7705.0,8011.0,7602.0,7474.0,7477.0,7528.0,7681.0,8039.0
1005,"Barbour, AL",470.0,391.0,488.0,559.0,615.0,480.0,521.0,526.0,437.0,419.0,406.0,477.0
1007,"Bibb, AL",314.0,262.0,161.0,218.0,229.0,328.0,337.0,296.0,308.0,355.0,253.0,274.0
1009,"Blount, AL",1338.0,1201.0,910.0,921.0,988.0,1074.0,971.0,811.0,875.0,901.0,1021.0,1072.0
1011,"Bullock, AL",141.0,99.0,46.0,54.0,60.0,71.0,109.0,168.0,217.0,267.0,233.0,207.0
1013,"Butler, AL",651.0,659.0,609.0,598.0,594.0,494.0,591.0,680.0,783.0,763.0,738.0,722.0
1015,"Calhoun, AL",3648.0,3797.0,3875.0,3955.0,3862.0,3770.0,3714.0,3512.0,3374.0,3511.0,3420.0,3962.0
1017,"Chambers, AL",579.0,531.0,508.0,668.0,690.0,747.0,754.0,748.0,782.0,707.0,860.0,932.0
1019,"Cherokee, AL",543.0,461.0,420.0,478.0,546.0,581.0,524.0,479.0,406.0,570.0,546.0,587.0
1021,"Chilton, AL",852.0,942.0,1008.0,1042.0,919.0,889.0,815.0,756.0,751.0,670.0,676.0,797.0
1023,"Choctaw, AL",204.0,184.0,176.0,236.0,151.0,98.0,119.0,141.0,134.0,230.0,264.0,264.0
1025,"Clarke, AL",473.0,424.0,370.0,415.0,426.0,432.0,407.0,474.0,406.0,316.0,345.0,365.0
1027,"Clay, AL",164.0,186.0,203.0,151.0,134.0,163.0,271.0,226.0,221.0,286.0,199.0,135.0
1029,"Cleburne, AL",223.0,211.0,222.0,274.0,334.0,360.0,398.0,393.0,330.0,299.0,337.0,337.0
1031,"Coffee, AL",1074.0,1228.0,1383.0,1335.0,1493.0,1490.0,1445.0,1379.0,1359.0,1401.0,1429.0,1604.0
1033,"Colbert, AL",1409.0,1367.0,1476.0,1456.0,1353.0,1440.0,1627.0,1435.0,1504.0,1657.0,1736.0,1607.0
1035,"Conecuh, AL",117.0,213.0,190.0,236.0,234.0,256.0,239.0,173.0,241.0,228.0,230.0,198.0
1037,"Coosa, AL",185.0,204.0,274.0,211.0,212.0,258.0,259.0,364.0,340.0,247.0,248.0,223.0
1039,"Covington, AL",696.0,680.0,579.0,709.0,718.0,583.0,634.0,639.0,710.0,753.0,742.0,729.0
1041,"Crenshaw, AL",344.0,276.0,264.0,187.0,166.0,150.0,191.0,198.0,183.0,201.0,235.0,185.0
1043,"Cullman, AL",1833.0,1848.0,2147.0,2101.0,1750.0,1828.0,1883.0,1688.0,1790.0,2227.0,1988.0,2675.0
1045,"Dale, AL",1827.0,1675.0,1669.0,1581.0,1565.0,1459.0,1613.0,1431.0,1488.0,1511.0,1532.0,1725.0
1047,"Dallas, AL",540.0,591.0,602.0,709.0,804.0,679.0,898.0,917.0,792.0,819.0,596.0,707.0
1049,"DeKalb, AL",1597.0,1344.0,1513.0,1387.0,1603.0,1570.0,1569.0,1523.0,1604.0,1575.0,1318.0,1494.0
1051,"Elmore, AL",1496.0,1419.0,1620.0,1779.0,1718.0,1772.0,1935.0,1808.0,1875.0,2064.0,1971.0,2183.0
1053,"Escambia, AL",647.0,677.0,660.0,806.0,728.0,757.0,901.0,959.0,761.0,792.0,878.0,1057.0
1055,"Etowah, AL",2854.0,2746.0,2865.0,2940.0,2828.0,3166.0,3178.0,3375.0,3562.0,3807.0,3813.0,3669.0
1057,"Fayette, AL",321.0,353.0,346.0,286.0,322.0,353.0,363.0,327.0,232.0,169.0,222.0,352.0
1059,"Franklin, AL",672.0,581.0,546.0,466.0,543.0,573.0,567.0,611.0,641.0,651.0,577.0,529.0
1061,"Geneva, AL",483.0,511.0,535.0,581.0,592.0,690.0,542.0,570.0,451.0,526.0,616.0,574.0
1063,"Greene, AL",214.0,174.0,135.0,76.0,86.0,67.0,66.0,63.0,85.0,100.0,106.0,75.0
1065,"Hale, AL",195.0,178.0,160.0,147.0,116.0,158.0,178.0,267.0,273.0,409.0,438.0,498.0
1067,"Henry, AL",435.0,398.0,337.0,425.0,439.0,557.0,597.0,664.0,709.0,585.0,366.0,412.0
1069,"Houston, AL",3415.0,3641.0,3719.0,3771.0,3797.0,3638.0,3624.0,3703.0,3866.0,4024.0,3557.0,3757.0
1071,"Jackson, AL",1131.0,1237.0,1259.0,1204.0,1370.0,1136.0,919.0,786.0,918.0,928.0,1141.0,1300.0
1073,"Jefferson, AL",19678.0,19406.0,20221.0,20690.0,21763.0,21939.0,23283.0,23304.0,23094.0,23284.0,21982.0,21417.0
1075,"Lamar, AL",324.0,356.0,343.0,329.0,335.0,396.0,335.0,299.0,174.0,177.0,104.0,88.0
1077,"Lauderdale, AL",2576.0,2825.0,2904.0,2768.0,3097.0,3295.0,3219.0,3473.0,3456.0,3485.0,3344.0,3891.0
1079,"Lawrence, AL",876.0,827.0,812.0,676.0,588.0,644.0,635.0,638.0,566.0,649.0,543.0,531.0
1081,"Lee, AL",4781.0,5223.0,5332.0,6180.0,6395.0,6336.0,6493.0,6504.0,5990.0,6113.0,5593.0,5850.0
1083,"Limestone, AL",1725.0,1715.0,1904.0,1938.0,2036.0,2271.0,2565.0,2370.0,2599.0,2475.0,2798.0,2713.0
1085,"Lowndes, AL",173.0,139.0,130.0,161.0,142.0,108.0,121.0,153.0,133.0,163.0,156.0,151.0
1087,"Macon, AL",501.0,572.0,566.0,598.0,650.0,684.0,580.0,552.0,572.0,635.0,749.0,795.0
1089,"Madison, AL",10282.0,10504.0,10968.0,10847.0,10891.0,11129.0,10973.0,11565.0,11510.0,11845.0,12124.0,11881.0
1091,"Marengo, AL",421.0,462.0,530.0,464.0,322.0,286.0,286.0,339.0,339.0,453.0,345.0,402.0
1093,"Marion, AL",646.0,522.0,632.0,695.0,589.0,542.0,546.0,529.0,420.0,415.0,399.0,488.0
1095,"Marshall, AL",2333.0,2160.0,2042.0,1846.0,1943.0,2168.0,2181.0,2246.0,2436.0,2335.0,2048.0,2199.0
1097,"Mobile, AL",12350.0,12591.0,12789.0,13275.0,13847.0,13427.0,13583.0,14171.0,14006.0,13484.0,14333.0,14236.0
1099,"Monroe, AL",271.0,504.0,477.0,444.0,405.0,486.0,424.0,344.0,324.0,356.0,254.0,318.0
1101,"Montgomery, AL",7359.0,7839.0,8615.0,8308.0,8604.0,8755.0,8660.0,8257.0,8467.0,8600.0,7587.0,7104.0
1103,"Morgan, AL",2924.0,3369.0,3470.0,3864.0,4172.0,3473.0,3262.0,3351.0,3236.0,3426.0,3818.0,3879.0
1105,"Perry, AL",374.0,124.0,109.0,204.0,211.0,182.0,248.0,167.0,129.0,266.0,525.0,397.0
1107,"Pickens, AL",166.0,170.0,234.0,234.0,243.0,263.0,262.0,271.0,258.0,250.0,215.0,328.0
1109,"Pike, AL",1193.0,1080.0,1066.0,902.0,1045.0,943.0,1002.0,1203.0,1548.0,1423.0,1185.0,834.0
1111,"Randolph, AL",336.0,422.0,436.0,396.0,305.0,456.0,339.0,317.0,305.0,412.0,274.0,410.0
1113,"Russell, AL",2044.0,2019.0,2203.0,2217.0,2118.0,1810.0,2139.0,1832.0,1749.0,1850.0,1803.0,1576.0
1115,"St. Clair, AL",1617.0,1419.0,1563.0,1632.0,1846.0,2125.0,2599.0,2510.0,2401.0,2130.0,2331.0,2501.0
1117,"Shelby, AL",5447.0,5310.0,6092.0,6408.0,6535.0,6312.0,6717.0,7057.0,7307.0,7419.0,7772.0,7673.0
1119,"Sumter, AL",397.0,437.0,453.0,436.0,569.0,555.0,538.0,408.0,385.0,283.0,416.0,422.0
1121,"Talladega, AL",1993.0,2130.0,2079.0,2376.0,2261.0,2164.0,2189.0,2247.0,1944.0,2161.0,2261.0,2213.0
1123,"Tallapoosa, AL",1207.0,1037.0,888.0,696.0,735.0,647.0,769.0,723.0,700.0,775.0,873.0,843.0
1125,"Tuscaloosa, AL",6187.0,7197.0,7022.0,7133.0,7314.0,7537.0,6886.0,7545.0,8212.0,8002.0,7861.0,8667.0
1127,"Walker, AL",1170.0,1158.0,1261.0,1256.0,1378.0,1414.0,1353.0,1435.0,1647.0,1853.0,1928.0,2112.0
1129,"Washington, AL",92.0,113.0,206.0,223.0,194.0,263.0,263.0,270.0,262.0,371.0,242.0,211.0
1131,"Wilcox, AL",139.0,119.0,92.0,55.0,111.0,132.0,134.0,162.0,185.0,214.0,242.0,193.0
1133,"Winston, AL",565.0,585.0,520.0,293.0,315.0,413.0,329.0,311.0,424.0,465.0,404.0,509.0
2013,"Aleutians East Borough, AK",18.0,23.0,29.0,39.0,49.0,49.0,73.0,71.0,85.0,69.0,59.0,55.0
2016,"Aleutians West Census Area, AK",47.0,62.0,98.0,90.0,34.0,45.0,45.0,87.0,100.0,147.0,164.0,182.0
2020,"Anchorage Municipality, AK",10400.0,10965.0,11223.0,11949.0,12529.0,12943.0,13033.0,13463.0,13403.0,12668.0,11740.0,12379.0
2050,"Bethel Census Area, AK",160.0,168.0,131.0,129.0,101.0,102.0,86.0,108.0,96.0,141.0,213.0,220.0
2060,"Bristol Bay Borough, AK",11.0,26.0,18.0,35.0,36.0,44.0,45.0,46.0,33.0,32.0,23.0,20.0
2068,"Denali Borough, AK",63.0,96.0,166.0,298.0,358.0,444.0,525.0,392.0,340.0,324.0,321.0,244.0
2070,"Dillingham Census Area, AK",56.0,56.0,52.0,48.0,49.0,40.0,50.0,47.0,53.0,74.0,49.0,40.0
2090,"Fairbanks North Star Borough, AK",2815.0,2869.0,3122.0,3674.0,3627.0,3610.0,3638.0,2941.0,2934.0,2790.0,2724.0,3019.0
2100,"Haines Borough, AK",76.0,153.0,146.0,169.0,177.0,132.0,132.0,141.0,114.0,94.0,59.0,59.0
2110,"Juneau City and Borough, AK",1004.0,989.0,1052.0,1131.0,1047.0,917.0,1030.0,931.0,929.0,1034.0,861.0,838.0
2122,"Kenai Peninsula Borough, AK",1925.0,2104.0,1900.0,1834.0,1935.0,1995.0,2045.0,2152.0,2365.0,2344.0,2064.0,1957.0
2130,"Ketchikan Gateway Borough, AK*",536.0,313.0,345.0,306.0,294.0,264.0,379.0,380.0,489.0,520.0,581.0,580.0
