GeoFIPS,GeoName,Year,Value
1001,"Autauga, AL",2010,601.0
1001,"Autauga, AL",2011,663.0
1001,"Autauga, AL",2012,752.0
1001,"Autauga, AL",2013,751.0
1001,"Autauga, AL",2014,769.0
1001,"Autauga, AL",2015,824.0
1001,"Autauga, AL",2016,729.0
1001,"Autauga, AL",2017,765.0
1001,"Autauga, AL",2018,795.0
1001,"Autauga, AL",2019,952.0
1001,"Autauga, AL",2020,923.0
1001,"Autauga, AL",2021,985.0
1003,"Baldwin, AL",2010,3670.0
1003,"Baldwin, AL",2011,3689.0
1003,"Baldwin, AL",2012,3579.0
1003,"Baldwin, AL",2013,3925.0
1003,"Baldwin, AL",2014,3820.0
1003,"Baldwin, AL",2015,3687.0
1003,"Baldwin, AL",2016,3914.0
1003,"Baldwin, AL",2017,4002.0
1003,"Baldwin, AL",2018,4094.0
1003,"Baldwin, AL",2019,3930.0
1003,"Baldwin, AL",2020,4782.0
1003,"Baldwin, AL",2021,5827.0
1005,"Barbour, AL",2010,217.0
1005,"Barbour, AL",2011,265.0
1005,"Barbour, AL",2012,224.0
1005,"Barbour, AL",2013,260.0
1005,"Barbour, AL",2014,289.0
1005,"Barbour, AL",2015,268.0
1005,"Barbour, AL",2016,237.0
1005,"Barbour, AL",2017,227.0
1005,"Barbour, AL",2018,234.0
1005,"Barbour, AL",2019,313.0
1005,"Barbour, AL",2020,256.0
1005,"Barbour, AL",2021,274.0
1007,"Bibb, AL",2010,154.0
1007,"Bibb, AL",2011,173.0
1007,"Bibb, AL",2012,202.0
1007,"Bibb, AL",2013,227.0
1007,"Bibb, AL",2014,376.0
1007,"Bibb, AL",2015,356.0
1007,"Bibb, AL",2016,366.0
1007,"Bibb, AL",2017,292.0
1007,"Bibb, AL",2018,255.0
1007,"Bibb, AL",2019,318.0
1007,"Bibb, AL",2020,353.0
1007,"Bibb, AL",2021,331.0
1009,"Blount, AL",2010,808.0
1009,"Blount, AL",2011,843.0
1009,"Blount, AL",2012,770.0
1009,"Blount, AL",2013,528.0
1009,"Blount, AL",2014,614.0
