GeoFIPS,GeoName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1001,"Autauga, AL",601.0,663.0,752.0,751.0,769.0,824.0,729.0,765.0,795.0,952.0,923.0,985.0
1003,"Baldwin, AL",3670.0,3689.0,3579.0,3925.0,3820.0,3687.0,3914.0,4002.0,4094.0,3930.0,4782.0,5827.0
1005,"Barbour, AL",217.0,265.0,224.0,260.0,289.0,268.0,237.0,227.0,234.0,313.0,256.0,274.0
1007,"Bibb, AL",154.0,173.0,202.0,227.0,376.0,356.0,366.0,292.0,255.0,318.0,353.0,331.0
1009,"Blount, AL",808.0,843.0,770.0,528.0,614.0,567.0,592.0,677.0,727.0,652.0,866.0,1121.0
1011,"Bullock, AL",20.0,19.0,21.0,56.0,86.0,75.0,60.0,78.0,55.0,41.0,44.0,58.0
1013,"Butler, AL",171.0,194.0,234.0,242.0,187.0,233.0,304.0,272.0,209.0,315.0,362.0,282.0
1015,"Calhoun, AL",1720.0,1873.0,1985.0,1908.0,1977.0,1908.0,1750.0,1714.0,1864.0,1927.0,1715.0,1792.0
1017,"Chambers, AL",781.0,829.0,785.0,832.0,770.0,1089.0,852.0,853.0,968.0,910.0,642.0,665.0
1019,"Cherokee, AL",51.0,142.0,205.0,211.0,191.0,318.0,290.0,228.0,184.0,205.0,110.0,83.0
1021,"Chilton, AL",694.0,673.0,446.0,423.0,431.0,567.0,700.0,738.0,678.0,576.0,694.0,529.0
1023,"Choctaw, AL",47.0,49.0,68.0,71.0,87.0,119.0,111.0,70.0,136.0,90.0,118.0,161.0
1025,"Clarke, AL",114.0,82.0,135.0,283.0,283.0,269.0,305.0,236.0,187.0,186.0,247.0,216.0
1027,"Clay, AL",116.0,107.0,100.0,121.0,135.0,197.0,166.0,170.0,144.0,154.0,131.0,114.0
1029,"Cleburne, AL",205.0,207.0,137.0,144.0,133.0,130.0,141.0,119.0,135.0,122.0,142.0,118.0
1031,"Coffee, AL",569.0,650.0,656.0,652.0,579.0,687.0,689.0,725.0,713.0,738.0,724.0,753.0
1033,"Colbert, AL",987.0,982.0,808.0,848.0,957.0,1011.0,1041.0,969.0,877.0,992.0,757.0,947.0
1035,"Conecuh, AL",127.0,125.0,65.0,104.0,86.0,51.0,47.0,51.0,14.0,13.0,27.0,24.0
1037,"Coosa, AL",135.0,113.0,211.0,232.0,200.0,131.0,191.0,116.0,107.0,100.0,107.0,72.0
1039,"Covington, AL",502.0,509.0,599.0,531.0,645.0,892.0,891.0,856.0,835.0,760.0,557.0,518.0
1041,"Crenshaw, AL",142.0,176.0,139.0,147.0,230.0,172.0,240.0,244.0,291.0,300.0,311.0,226.0
1043,"Cullman, AL",930.0,1025.0,1060.0,1229.0,1235.0,1287.0,1318.0,1365.0,1441.0,1394.0,1574.0,1555.0
1045,"Dale, AL",852.0,805.0,765.0,751.0,791.0,724.0,678.0,697.0,725.0,580.0,689.0,585.0
1047,"Dallas, AL",483.0,568.0,449.0,395.0,387.0,376.0,366.0,427.0,353.0,429.0,837.0,914.0
1049,"DeKalb, AL",760.0,845.0,843.0,769.0,624.0,676.0,674.0,697.0,687.0,886.0,818.0,789.0
1051,"Elmore, AL",1150.0,1267.0,1423.0,1437.0,1425.0,1364.0,1172.0,1120.0,967.0,1082.0,1010.0,1188.0
1053,"Escambia, AL",168.0,244.0,288.0,315.0,358.0,333.0,299.0,244.0,267.0,280.0,303.0,330.0
1055,"Etowah, AL",1609.0,1285.0,1084.0,1192.0,1298.0,1359.0,1329.0,1266.0,1141.0,1134.0,1274.0,1458.0
1057,"Fayette, AL",208.0,197.0,150.0,169.0,197.0,142.0,115.0,167.0,160.0,160.0,182.0,176.0
1059,"Franklin, AL",221.0,266.0,278.0,262.0,233.0,223.0,266.0,452.0,505.0,522.0,515.0,644.0
1061,"Geneva, AL",209.0,196.0,357.0,328.0,292.0,362.0,447.0,398.0,363.0,356.0,418.0,487.0
1063,"Greene, AL",91.0,53.0,56.0,50.0,48.0,86.0,103.0,110.0,103.0,89.0,77.0,78.0
1065,"Hale, AL",249.0,239.0,241.0,259.0,234.0,269.0,234.0,234.0,244.0,297.0,164.0,170.0
1067,"Henry, AL",196.0,167.0,196.0,132.0,171.0,171.0,339.0,297.0,332.0,350.0,376.0,337.0
1069,"Houston, AL",1367.0,1494.0,1576.0,1741.0,1764.0,1658.0,1612.0,1731.0,1712.0,1736.0,1640.0,1816.0
1071,"Jackson, AL",488.0,508.0,504.0,544.0,536.0,612.0,695.0,717.0,702.0,815.0,601.0,540.0
1073,"Jefferson, AL",12293.0,12357.0,11664.0,11668.0,11003.0,11776.0,11561.0,12283.0,12869.0,13483.0,12575.0,12785.0
1075,"Lamar, AL",102.0,104.0,99.0,116.0,150.0,199.0,212.0,190.0,194.0,142.0,127.0,162.0
1077,"Lauderdale, AL",1445.0,1440.0,1370.0,1313.0,1409.0,1409.0,1396.0,1445.0,1325.0,1385.0,1393.0,1469.0
1079,"Lawrence, AL",292.0,254.0,301.0,362.0,342.0,356.0,346.0,309.0,226.0,232.0,241.0,275.0
1081,"Lee, AL",2411.0,2389.0,2267.0,2527.0,2377.0,2494.0,2634.0,2819.0,2711.0,3069.0,3458.0,3280.0
1083,"Limestone, AL",1237.0,1346.0,1567.0,1716.0,1941.0,1881.0,1731.0,1772.0,1585.0,1266.0,1357.0,1491.0
1085,"Lowndes, AL",165.0,163.0,142.0,148.0,95.0,98.0,93.0,92.0,75.0,78.0,79.0,120.0
1087,"Macon, AL",304.0,282.0,360.0,290.0,204.0,161.0,185.0,214.0,277.0,285.0,487.0,588.0
1089,"Madison, AL",5691.0,6667.0,6818.0,6669.0,6768.0,7030.0,6668.0,6925.0,7263.0,8057.0,7875.0,7844.0
1091,"Marengo, AL",144.0,178.0,139.0,128.0,162.0,189.0,171.0,167.0,194.0,109.0,107.0,125.0
1093,"Marion, AL",453.0,475.0,491.0,539.0,341.0,357.0,415.0,411.0,500.0,554.0,491.0,352.0
1095,"Marshall, AL",1137.0,1097.0,1134.0,1000.0,1012.0,1155.0,1173.0,1257.0,1452.0,1324.0,1525.0,1657.0
1097,"Mobile, AL",7698.0,7579.0,7341.0,7326.0,7584.0,7641.0,7537.0,7428.0,7829.0,8075.0,7817.0,8029.0
1099,"Monroe, AL",291.0,277.0,188.0,258.0,241.0,159.0,201.0,234.0,220.0,227.0,175.0,244.0
1101,"Montgomery, AL",4369.0,4857.0,4508.0,4690.0,4494.0,4333.0,4559.0,4641.0,4950.0,5281.0,5639.0,6003.0
1103,"Morgan, AL",2126.0,2080.0,2330.0,2201.0,1936.0,1775.0,1769.0,1549.0,1528.0,1539.0,1695.0,1597.0
1105,"Perry, AL",81.0,113.0,85.0,72.0,51.0,79.0,33.0,31.0,5.0,27.0,51.0,217.0
1107,"Pickens, AL",204.0,124.0,114.0,95.0,96.0,108.0,218.0,243.0,299.0,231.0,218.0,215.0
1109,"Pike, AL",251.0,270.0,280.0,284.0,325.0,313.0,498.0,469.0,496.0,613.0,568.0,402.0
1111,"Randolph, AL",222.0,217.0,264.0,184.0,234.0,237.0,314.0,430.0,488.0,412.0,315.0,213.0
1113,"Russell, AL",1112.0,1107.0,1113.0,954.0,1143.0,1178.0,1169.0,1148.0,1387.0,1531.0,1175.0,971.0
1115,"St. Clair, AL",1291.0,1503.0,1608.0,1412.0,1439.0,1574.0,1625.0,1547.0,1784.0,1833.0,1787.0,1605.0
1117,"Shelby, AL",3396.0,3737.0,3716.0,3920.0,3841.0,4005.0,3789.0,3809.0,4155.0,3907.0,3994.0,4106.0
1119,"Sumter, AL",233.0,262.0,325.0,362.0,301.0,254.0,112.0,117.0,112.0,110.0,131.0,92.0
1121,"Talladega, AL",1096.0,1217.0,1324.0,1213.0,1222.0,1237.0,1073.0,939.0,863.0,806.0,924.0,1051.0
1123,"Tallapoosa, AL",464.0,477.0,417.0,546.0,489.0,508.0,481.0,567.0,495.0,609.0,633.0,692.0
1125,"Tuscaloosa, AL",2791.0,2753.0,3231.0,3346.0,3352.0,2932.0,3268.0,3158.0,3348.0,3183.0,3244.0,3589.0
1127,"Walker, AL",724.0,682.0,729.0,826.0,732.0,742.0,753.0,931.0,801.0,991.0,1114.0,1093.0
1129,"Washington, AL",186.0,66.0,75.0,81.0,77.0,86.0,102.0,85.0,126.0,128.0,140.0,109.0
1131,"Wilcox, AL",114.0,35.0,39.0,43.0,95.0,97.0,134.0,191.0,126.0,125.0,122.0,84.0
1133,"Winston, AL",163.0,141.0,151.0,185.0,240.0,235.0,246.0,295.0,295.0,178.0,217.0,282.0
2013,"Aleutians East Borough, AK",3.0,5.0,12.0,13.0,27.0,30.0,29.0,15.0,30.0,36.0,28.0,35.0
2016,"Aleutians West Census Area, AK",234.0,154.0,105.0,32.0,43.0,43.0,34.0,26.0,25.0,24.0,14.0,34.0
2020,"Anchorage Municipality, AK",5328.0,5179.0,5437.0,5063.0,5088.0,5476.0,5639.0,5209.0,5371.0,4952.0,4485.0,5123.0
2050,"Bethel Census Area, AK",38.0,38.0,56.0,53.0,69.0,62.0,62.0,62.0,101.0,106.0,178.0,138.0
2060,"Bristol Bay Borough, AK",14.0,16.0,15.0,13.0,14.0,12.0,12.0,18.0,22.0,22.0,26.0,11.0
2068,"Denali Borough, AK",38.0,18.0,22.0,41.0,22.0,34.0,29.0,45.0,43.0,36.0,28.0,27.0
2070,"Dillingham Census Area, AK",3.0,7.0,18.0,24.0,28.0,31.0,27.0,28.0,42.0,56.0,34.0,40.0
2090,"Fairbanks North Star Borough, AK",1133.0,1307.0,1247.0,1292.0,1266.0,1318.0,1320.0,1230.0,1258.0,1212.0,1138.0,992.0
2100,"Haines Borough, AK",13.0,57.0,48.0,41.0,41.0,53.0,34.0,49.0,28.0,31.0,26.0,0.0
2110,"Juneau City and Borough, AK",345.0,418.0,367.0,329.0,368.0,398.0,360.0,366.0,372.0,397.0,357.0,406.0
2122,"Kenai Peninsula Borough, AK",596.0,588.0,619.0,604.0,671.0,616.0,553.0,552.0,503.0,501.0,555.0,577.0
2130,"Ketchikan Gateway Borough, AK*",181.0,166.0,127.0,119.0,131.0,113.0,159.0,179.0,210.0,237.0,248.0,222.0
