GeoFIPS,GeoName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1001,"Autauga, AL",164.0,245.0,262.0,244.0,274.0,243.0,157.0,146.0,133.0,127.0,88.0,150.0
1003,"Baldwin, AL",1141.0,1148.0,1041.0,1092.0,900.0,798.0,828.0,921.0,893.0,906.0,1453.0,1601.0
1005,"Barbour, AL",366.0,312.0,262.0,253.0,276.0,257.0,392.0,375.0,384.0,481.0,500.0,469.0
1007,"Bibb, AL",174.0,99.0,62.0,96.0,62.0,43.0,49.0,34.0,154.0,165.0,235.0,115.0
1009,"Blount, AL",594.0,522.0,490.0,530.0,435.0,470.0,474.0,347.0,317.0,317.0,305.0,353.0
1011,"Bullock, AL",452.0,443.0,457.0,454.0,549.0,586.0,532.0,526.0,234.0,212.0,92.0,156.0
1013,"Butler, AL",285.0,270.0,236.0,219.0,291.0,272.0,273.0,266.0,228.0,198.0,231.0,181.0
1015,"Calhoun, AL",446.0,407.0,330.0,264.0,271.0,297.0,448.0,442.0,518.0,507.0,485.0,323.0
1017,"Chambers, AL",155.0,160.0,115.0,136.0,158.0,190.0,197.0,265.0,205.0,186.0,326.0,343.0
1019,"Cherokee, AL",224.0,221.0,264.0,222.0,214.0,186.0,200.0,259.0,327.0,343.0,338.0,334.0
1021,"Chilton, AL",414.0,492.0,414.0,494.0,483.0,537.0,437.0,370.0,319.0,278.0,163.0,101.0
1023,"Choctaw, AL",263.0,202.0,231.0,182.0,281.0,244.0,238.0,358.0,368.0,254.0,286.0,288.0
1025,"Clarke, AL",439.0,253.0,200.0,137.0,287.0,270.0,239.0,197.0,304.0,221.0,346.0,280.0
1027,"Clay, AL",254.0,267.0,250.0,228.0,235.0,244.0,243.0,256.0,191.0,160.0,132.0,134.0
1029,"Cleburne, AL",293.0,294.0,225.0,254.0,281.0,279.0,311.0,314.0,266.0,246.0,200.0,141.0
1031,"Coffee, AL",844.0,776.0,580.0,620.0,561.0,506.0,538.0,683.0,700.0,649.0,640.0,639.0
1033,"Colbert, AL",287.0,311.0,366.0,295.0,258.0,184.0,129.0,168.0,225.0,227.0,204.0,233.0
1035,"Conecuh, AL",115.0,128.0,142.0,168.0,161.0,226.0,203.0,195.0,220.0,222.0,143.0,116.0
1037,"Coosa, AL",111.0,100.0,76.0,91.0,16.0,11.0,12.0,13.0,23.0,13.0,30.0,43.0
1039,"Covington, AL",840.0,833.0,687.0,676.0,527.0,412.0,492.0,596.0,526.0,517.0,542.0,658.0
1041,"Crenshaw, AL",501.0,451.0,465.0,469.0,266.0,282.0,272.0,280.0,278.0,286.0,284.0,216.0
1043,"Cullman, AL",1161.0,1137.0,892.0,895.0,905.0,837.0,829.0,823.0,707.0,637.0,735.0,787.0
1045,"Dale, AL",297.0,395.0,387.0,445.0,444.0,437.0,258.0,256.0,276.0,298.0,364.0,357.0
1047,"Dallas, AL",246.0,325.0,439.0,500.0,521.0,492.0,438.0,299.0,226.0,219.0,204.0,150.0
1049,"DeKalb, AL",912.0,1097.0,1061.0,1109.0,1155.0,1025.0,1036.0,1076.0,827.0,793.0,845.0,834.0
1051,"Elmore, AL",214.0,198.0,145.0,149.0,166.0,184.0,212.0,260.0,392.0,323.0,247.0,331.0
