GeoFIPS,GeoName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1001,"Autauga, AL",424.0,405.0,462.0,457.0,427.0,422.0,375.0,345.0,395.0,464.0,541.0,731.0
1003,"Baldwin, AL",1296.0,1379.0,1288.0,1615.0,1760.0,1754.0,1639.0,2036.0,1939.0,1954.0,2112.0,2668.0
1005,"Barbour, AL",109.0,109.0,97.0,131.0,153.0,99.0,97.0,83.0,79.0,93.0,165.0,221.0
1007,"Bibb, AL",72.0,95.0,162.0,103.0,116.0,124.0,65.0,19.0,48.0,37.0,19.0,13.0
1009,"Blount, AL",263.0,240.0,207.0,155.0,135.0,141.0,141.0,100.0,112.0,99.0,101.0,53.0
1011,"Bullock, AL",103.0,61.0,92.0,76.0,121.0,72.0,123.0,85.0,106.0,60.0,90.0,77.0
1013,"Butler, AL",66.0,62.0,75.0,86.0,41.0,40.0,37.0,62.0,43.0,62.0,72.0,68.0
1015,"Calhoun, AL",514.0,395.0,381.0,473.0,638.0,674.0,731.0,695.0,721.0,533.0,648.0,529.0
1017,"Chambers, AL",58.0,70.0,89.0,119.0,95.0,85.0,88.0,106.0,143.0,144.0,119.0,267.0
1019,"Cherokee, AL",62.0,84.0,77.0,79.0,83.0,73.0,100.0,71.0,53.0,123.0,96.0,73.0
1021,"Chilton, AL",70.0,38.0,59.0,79.0,71.0,56.0,66.0,80.0,62.0,153.0,94.0,203.0
1023,"Choctaw, AL",7.0,12.0,23.0,20.0,27.0,30.0,5.0,10.0,8.0,10.0,7.0,6.0
1025,"Clarke, AL",50.0,60.0,70.0,93.0,81.0,42.0,38.0,37.0,52.0,68.0,64.0,78.0
1027,"Clay, AL",32.0,19.0,0.0,4.0,3.0,24.0,35.0,34.0,25.0,105.0,46.0,30.0
1029,"Cleburne, AL",31.0,21.0,31.0,16.0,16.0,25.0,24.0,11.0,12.0,39.0,33.0,27.0
1031,"Coffee, AL",197.0,159.0,171.0,162.0,265.0,358.0,359.0,317.0,280.0,197.0,117.0,156.0
1033,"Colbert, AL",204.0,183.0,177.0,231.0,205.0,264.0,330.0,256.0,264.0,355.0,290.0,236.0
1035,"Conecuh, AL",0.0,0.0,0.0,11.0,36.0,24.0,29.0,42.0,41.0,0.0,0.0,51.0
1037,"Coosa, AL",54.0,49.0,74.0,62.0,45.0,32.0,35.0,11.0,16.0,42.0,42.0,38.0
1039,"Covington, AL",216.0,142.0,99.0,155.0,181.0,124.0,168.0,200.0,143.0,139.0,248.0,224.0
1041,"Crenshaw, AL",26.0,24.0,41.0,24.0,3.0,1.0,0.0,1.0,3.0,3.0,3.0,2.0
1043,"Cullman, AL",316.0,222.0,215.0,250.0,217.0,249.0,283.0,226.0,290.0,301.0,270.0,307.0
1045,"Dale, AL",241.0,281.0,286.0,235.0,245.0,191.0,113.0,129.0,169.0,189.0,159.0,174.0
1047,"Dallas, AL",155.0,188.0,131.0,108.0,32.0,44.0,43.0,45.0,49.0,56.0,40.0,61.0
1049,"DeKalb, AL",223.0,301.0,301.0,323.0,303.0,280.0,262.0,292.0,303.0,223.0,158.0,138.0
1051,"Elmore, AL",554.0,756.0,737.0,683.0,719.0,783.0,710.0,673.0,845.0,950.0,949.0,1116.0
1053,"Escambia, AL",473.0,492.0,442.0,416.0,433.0,389.0,480.0,352.0,337.0,376.0,519.0,410.0
1055,"Etowah, AL",374.0,387.0,364.0,384.0,354.0,367.0,386.0,439.0,490.0,559.0,537.0,544.0
1057,"Fayette, AL",25.0,32.0,32.0,33.0,38.0,50.0,36.0,51.0,43.0,40.0,32.0,18.0
1059,"Franklin, AL",39.0,55.0,42.0,42.0,42.0,86.0,105.0,127.0,159.0,206.0,111.0,109.0
1061,"Geneva, AL",67.0,35.0,22.0,25.0,24.0,19.0,40.0,30.0,37.0,69.0,94.0,65.0
1063,"Greene, AL",156.0,213.0,210.0,192.0,150.0,160.0,42.0,24.0,32.0,26.0,45.0,29.0
1065,"Hale, AL",86.0,76.0,45.0,39.0,28.0,29.0,46.0,80.0,89.0,70.0,63.0,44.0
1067,"Henry, AL",4.0,21.0,44.0,72.0,69.0,71.0,77.0,33.0,10.0,17.0,31.0,26.0
1069,"Houston, AL",544.0,466.0,493.0,489.0,469.0,464.0,423.0,433.0,609.0,597.0,654.0,658.0
1071,"Jackson, AL",159.0,150.0,160.0,186.0,209.0,118.0,167.0,178.0,144.0,194.0,186.0,191.0
1073,"Jefferson, AL",4407.0,4355.0,4118.0,3767.0,4060.0,3863.0,4092.0,4474.0,4823.0,4866.0,5220.0,5158.0
1075,"Lamar, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1077,"Lauderdale, AL",603.0,512.0,489.0,522.0,507.0,468.0,573.0,601.0,732.0,617.0,669.0,556.0
1079,"Lawrence, AL",128.0,156.0,107.0,119.0,122.0,89.0,67.0,86.0,55.0,77.0,68.0,96.0
1081,"Lee, AL",972.0,815.0,800.0,891.0,663.0,637.0,749.0,876.0,893.0,1038.0,1179.0,1329.0
1083,"Limestone, AL",181.0,178.0,161.0,211.0,197.0,230.0,232.0,367.0,328.0,422.0,446.0,476.0
1085,"Lowndes, AL",68.0,55.0,63.0,80.0,92.0,99.0,88.0,60.0,62.0,72.0,57.0,124.0
1087,"Macon, AL",438.0,497.0,414.0,244.0,175.0,117.0,92.0,118.0,171.0,133.0,111.0,117.0
1089,"Madison, AL",2363.0,2588.0,2571.0,2571.0,2331.0,2445.0,2521.0,2389.0,2581.0,2920.0,2674.0,2589.0
1091,"Marengo, AL",44.0,48.0,80.0,71.0,90.0,63.0,58.0,32.0,30.0,0.0,0.0,0.0
1093,"Marion, AL",21.0,2.0,16.0,33.0,34.0,79.0,83.0,75.0,63.0,81.0,53.0,32.0
1095,"Marshall, AL",304.0,403.0,412.0,419.0,389.0,419.0,446.0,444.0,391.0,319.0,274.0,229.0
1097,"Mobile, AL",1871.0,1819.0,1781.0,1732.0,1668.0,1902.0,2085.0,2089.0,2074.0,2102.0,2380.0,2262.0
1099,"Monroe, AL",42.0,56.0,64.0,113.0,138.0,122.0,131.0,108.0,87.0,116.0,74.0,37.0
1101,"Montgomery, AL",1673.0,1613.0,1644.0,1736.0,1731.0,1732.0,1929.0,2130.0,2102.0,1918.0,1938.0,1874.0
1103,"Morgan, AL",505.0,469.0,473.0,442.0,463.0,474.0,536.0,631.0,785.0,882.0,955.0,863.0
1105,"Perry, AL",26.0,10.0,12.0,74.0,81.0,83.0,80.0,54.0,0.0,8.0,16.0,30.0
1107,"Pickens, AL",35.0,44.0,40.0,35.0,56.0,56.0,24.0,22.0,21.0,23.0,14.0,16.0
1109,"Pike, AL",116.0,121.0,118.0,106.0,129.0,169.0,160.0,159.0,149.0,149.0,137.0,188.0
1111,"Randolph, AL",33.0,38.0,17.0,16.0,19.0,6.0,18.0,26.0,41.0,42.0,39.0,74.0
1113,"Russell, AL",212.0,206.0,260.0,168.0,169.0,222.0,217.0,227.0,309.0,308.0,247.0,285.0
1115,"St. Clair, AL",330.0,302.0,229.0,199.0,174.0,179.0,177.0,256.0,274.0,232.0,225.0,286.0
1117,"Shelby, AL",1482.0,1434.0,1496.0,1380.0,1229.0,1257.0,1418.0,1427.0,1458.0,1517.0,1761.0,1575.0
1119,"Sumter, AL",7.0,30.0,35.0,36.0,30.0,35.0,30.0,21.0,23.0,52.0,110.0,112.0
1121,"Talladega, AL",409.0,322.0,211.0,255.0,248.0,286.0,249.0,279.0,202.0,194.0,273.0,349.0
1123,"Tallapoosa, AL",268.0,159.0,137.0,200.0,167.0,134.0,116.0,226.0,132.0,159.0,195.0,246.0
1125,"Tuscaloosa, AL",1150.0,1123.0,796.0,976.0,964.0,966.0,1073.0,1192.0,1378.0,1301.0,1388.0,1166.0
1127,"Walker, AL",692.0,613.0,518.0,470.0,269.0,338.0,312.0,348.0,383.0,348.0,255.0,286.0
1129,"Washington, AL",32.0,40.0,30.0,0.0,0.0,0.0,8.0,8.0,8.0,30.0,29.0,16.0
1131,"Wilcox, AL",7.0,10.0,15.0,33.0,22.0,27.0,19.0,26.0,4.0,2.0,0.0,0.0
1133,"Winston, AL",115.0,73.0,67.0,87.0,89.0,44.0,57.0,56.0,31.0,14.0,16.0,3.0
2013,"Aleutians East Borough, AK",6.0,8.0,7.0,4.0,6.0,7.0,5.0,10.0,15.0,17.0,23.0,25.0
2016,"Aleutians West Census Area, AK",13.0,26.0,43.0,14.0,38.0,61.0,59.0,81.0,70.0,49.0,34.0,38.0
2020,"Anchorage Municipality, AK",2413.0,2678.0,2717.0,2711.0,2965.0,3048.0,2998.0,2962.0,2927.0,2758.0,3013.0,2902.0
2050,"Bethel Census Area, AK",59.0,67.0,79.0,106.0,106.0,118.0,121.0,133.0,144.0,139.0,114.0,94.0
2060,"Bristol Bay Borough, AK",5.0,21.0,13.0,17.0,16.0,17.0,11.0,14.0,10.0,10.0,22.0,33.0
2068,"Denali Borough, AK",76.0,163.0,169.0,178.0,114.0,82.0,83.0,209.0,171.0,186.0,204.0,167.0
2070,"Dillingham Census Area, AK",17.0,11.0,13.0,11.0,11.0,6.0,6.0,7.0,6.0,3.0,3.0,6.0
2090,"Fairbanks North Star Borough, AK",727.0,782.0,798.0,706.0,647.0,618.0,614.0,597.0,608.0,710.0,1221.0,1196.0
2100,"Haines Borough, AK",39.0,73.0,103.0,67.0,66.0,58.0,56.0,92.0,78.0,75.0,93.0,89.0
2110,"Juneau City and Borough, AK",252.0,245.0,251.0,259.0,307.0,260.0,294.0,368.0,417.0,422.0,407.0,495.0
2122,"Kenai Peninsula Borough, AK",480.0,488.0,638.0,545.0,515.0,410.0,435.0,361.0,451.0,427.0,386.0,362.0
2130,"Ketchikan Gateway Borough, AK*",145.0,146.0,140.0,151.0,135.0,134.0,129.0,133.0,115.0,109.0,94.0,104.0
2150,"Kodiak Island Borough, AK",24.0,28.0,26.0,45.0,87.0,126.0,148.0,188.0,137.0,95.0,102.0,193.0
2158,"Kusilvak Census Area, AK*",0.0,0.0,0.0,0.0,0.0,30.0,48.0,43.0,54.0,57.0,60.0,37.0
2164,"Lake and Peninsula Borough, AK",6.0,9.0,20.0,14.0,16.0,22.0,23.0,8.0,9.0,9.0,12.0,7.0
2170,"Matanuska-Susitna Borough, AK",605.0,710.0,647.0,657.0,719.0,756.0,719.0,781.0,907.0,910.0,861.0,757.0
2180,"Nome Census Area, AK",99.0,109.0,98.0,92.0,90.0,83.0,70.0,64.0,46.0,44.0,54.0,59.0
2185,"North Slope Borough, AK",116.0,69.0,65.0,61.0,111.0,45.0,65.0,75.0,55.0,44.0,50.0,54.0
2188,"Northwest Arctic Borough, AK",37.0,48.0,59.0,49.0,58.0,48.0,49.0,42.0,42.0,46.0,48.0,39.0
2220,"Sitka City and Borough, AK",105.0,108.0,169.0,146.0,103.0,150.0,125.0,52.0,74.0,59.0,57.0,65.0
2240,"Southeast Fairbanks Census Area, AK",32.0,30.0,4.0,2.0,2.0,3.0,0.0,16.0,14.0,22.0,22.0,22.0
