GeoFIPS,GeoName,Year,Value
1001,"Autauga, AL",2010,1669.0
1001,"Autauga, AL",2011,1818.0
1001,"Autauga, AL",2012,1755.0
1001,"Autauga, AL",2013,1516.0
1001,"Autauga, AL",2014,1522.0
1001,"Autauga, AL",2015,1678.0
1001,"Autauga, AL",2016,1631.0
1001,"Autauga, AL",2017,1794.0
1001,"Autauga, AL",2018,2239.0
1001,"Autauga, AL",2019,2198.0
1001,"Autauga, AL",2020,1966.0
1001,"Autauga, AL",2021,2003.0
1003,"Baldwin, AL",2010,5396.0
1003,"Baldwin, AL",2011,5507.0
1003,"Baldwin, AL",2012,5807.0
1003,"Baldwin, AL",2013,5763.0
1003,"Baldwin, AL",2014,6112.0
1003,"Baldwin, AL",2015,5991.0
1003,"Baldwin, AL",2016,6883.0
1003,"Baldwin, AL",2017,7196.0
1003,"Baldwin, AL",2018,7410.0
1003,"Baldwin, AL",2019,7274.0
1003,"Baldwin, AL",2020,7312.0
1003,"Baldwin, AL",2021,7740.0
1005,"Barbour, AL",2010,613.0
1005,"Barbour, AL",2011,592.0
1005,"Barbour, AL",2012,757.0
1005,"Barbour, AL",2013,878.0
1005,"Barbour, AL",2014,891.0
1005,"Barbour, AL",2015,926.0
1005,"Barbour, AL",2016,986.0
1005,"Barbour, AL",2017,870.0
1005,"Barbour, AL",2018,860.0
1005,"Barbour, AL",2019,743.0
1005,"Barbour, AL",2020,706.0
1005,"Barbour, AL",2021,630.0
1007,"Bibb, AL",2010,604.0
1007,"Bibb, AL",2011,830.0
1007,"Bibb, AL",2012,764.0
1007,"Bibb, AL",2013,744.0
1007,"Bibb, AL",2014,771.0
1007,"Bibb, AL",2015,894.0
1007,"Bibb, AL",2016,903.0
1007,"Bibb, AL",2017,942.0
1007,"Bibb, AL",2018,756.0
1007,"Bibb, AL",2019,635.0
1007,"Bibb, AL",2020,629.0
1007,"Bibb, AL",2021,497.0
1009,"Blount, AL",2010,1523.0
1009,"Blount, AL",2011,1939.0
1009,"Blount, AL",2012,1939.0
1009,"Blount, AL",2013,1763.0
1009,"Blount, AL",2014,1782.0
1009,"Blount, AL",2015,1704.0
1009,"Blount, AL",2016,1256.0
1009,"Blount, AL",2017,1242.0
1009,"Blount, AL",2018,1353.0
1009,"Blount, AL",2019,1491.0
1009,"Blount, AL",2020,1652.0
1009,"Blount, AL",2021,1885.0
1011,"Bullock, AL",2010,258.0
1011,"Bullock, AL",2011,194.0
1011,"Bullock, AL",2012,135.0
1011,"Bullock, AL",2013,194.0
1011,"Bullock, AL",2014,269.0
1011,"Bullock, AL",2015,285.0
1011,"Bullock, AL",2016,336.0
1011,"Bullock, AL",2017,368.0
1011,"Bullock, AL",2018,385.0
1011,"Bullock, AL",2019,442.0
1011,"Bullock, AL",2020,351.0
1011,"Bullock, AL",2021,302.0
1013,"Butler, AL",2010,395.0
1013,"Butler, AL",2011,465.0
1013,"Butler, AL",2012,583.0
1013,"Butler, AL",2013,573.0
1013,"Butler, AL",2014,589.0
1013,"Butler, AL",2015,591.0
1013,"Butler, AL",2016,603.0
1013,"Butler, AL",2017,556.0
1013,"Butler, AL",2018,587.0
1013,"Butler, AL",2019,626.0
1013,"Butler, AL",2020,625.0
1013,"Butler, AL",2021,584.0
1015,"Calhoun, AL",2010,4087.0
1015,"Calhoun, AL",2011,4089.0
1015,"Calhoun, AL",2012,4302.0
1015,"Calhoun, AL",2013,4361.0
1015,"Calhoun, AL",2014,4466.0
1015,"Calhoun, AL",2015,4770.0
1015,"Calhoun, AL",2016,4714.0
1015,"Calhoun, AL",2017,4486.0
1015,"Calhoun, AL",2018,4249.0
1015,"Calhoun, AL",2019,4367.0
1015,"Calhoun, AL",2020,4287.0
1015,"Calhoun, AL",2021,4586.0
1017,"Chambers, AL",2010,1008.0
1017,"Chambers, AL",2011,1000.0
1017,"Chambers, AL",2012,1041.0
1017,"Chambers, AL",2013,1077.0
1017,"Chambers, AL",2014,976.0
1017,"Chambers, AL",2015,957.0
1017,"Chambers, AL",2016,995.0
1017,"Chambers, AL",2017,1017.0
1017,"Chambers, AL",2018,1031.0
1017,"Chambers, AL",2019,1007.0
1017,"Chambers, AL",2020,905.0
1017,"Chambers, AL",2021,1078.0
1019,"Cherokee, AL",2010,844.0
1019,"Cherokee, AL",2011,785.0
1019,"Cherokee, AL",2012,883.0
1019,"Cherokee, AL",2013,913.0
1019,"Cherokee, AL",2014,915.0
1019,"Cherokee, AL",2015,872.0
1019,"Cherokee, AL",2016,880.0
1019,"Cherokee, AL",2017,815.0
1019,"Cherokee, AL",2018,733.0
1019,"Cherokee, AL",2019,756.0
1019,"Cherokee, AL",2020,769.0
1019,"Cherokee, AL",2021,904.0
1021,"Chilton, AL",2010,1342.0
1021,"Chilton, AL",2011,1302.0
1021,"Chilton, AL",2012,1326.0
1021,"Chilton, AL",2013,1342.0
1021,"Chilton, AL",2014,1212.0
1021,"Chilton, AL",2015,1251.0
1021,"Chilton, AL",2016,1258.0
1021,"Chilton, AL",2017,1198.0
1021,"Chilton, AL",2018,1060.0
1021,"Chilton, AL",2019,1026.0
1021,"Chilton, AL",2020,1054.0
1021,"Chilton, AL",2021,1251.0
1023,"Choctaw, AL",2010,478.0
1023,"Choctaw, AL",2011,537.0
1023,"Choctaw, AL",2012,517.0
1023,"Choctaw, AL",2013,573.0
1023,"Choctaw, AL",2014,490.0
1023,"Choctaw, AL",2015,457.0
1023,"Choctaw, AL",2016,404.0
1023,"Choctaw, AL",2017,392.0
1023,"Choctaw, AL",2018,423.0
1023,"Choctaw, AL",2019,449.0
1023,"Choctaw, AL",2020,481.0
1023,"Choctaw, AL",2021,418.0
1025,"Clarke, AL",2010,849.0
1025,"Clarke, AL",2011,852.0
1025,"Clarke, AL",2012,691.0
1025,"Clarke, AL",2013,722.0
1025,"Clarke, AL",2014,560.0
1025,"Clarke, AL",2015,497.0
1025,"Clarke, AL",2016,480.0
1025,"Clarke, AL",2017,490.0
1025,"Clarke, AL",2018,437.0
1025,"Clarke, AL",2019,495.0
1025,"Clarke, AL",2020,593.0
1025,"Clarke, AL",2021,582.0
1027,"Clay, AL",2010,402.0
1027,"Clay, AL",2011,440.0
1027,"Clay, AL",2012,363.0
1027,"Clay, AL",2013,319.0
1027,"Clay, AL",2014,282.0
1027,"Clay, AL",2015,338.0
1027,"Clay, AL",2016,307.0
1027,"Clay, AL",2017,390.0
1027,"Clay, AL",2018,433.0
1027,"Clay, AL",2019,395.0
1027,"Clay, AL",2020,362.0
1027,"Clay, AL",2021,323.0
1029,"Cleburne, AL",2010,385.0
1029,"Cleburne, AL",2011,430.0
1029,"Cleburne, AL",2012,347.0
1029,"Cleburne, AL",2013,349.0
1029,"Cleburne, AL",2014,412.0
1029,"Cleburne, AL",2015,455.0
1029,"Cleburne, AL",2016,402.0
1029,"Cleburne, AL",2017,441.0
1029,"Cleburne, AL",2018,505.0
1029,"Cleburne, AL",2019,519.0
1029,"Cleburne, AL",2020,438.0
1029,"Cleburne, AL",2021,387.0
1031,"Coffee, AL",2010,1732.0
1031,"Coffee, AL",2011,1836.0
1031,"Coffee, AL",2012,2030.0
1031,"Coffee, AL",2013,2176.0
1031,"Coffee, AL",2014,2146.0
1031,"Coffee, AL",2015,2254.0
1031,"Coffee, AL",2016,2218.0
1031,"Coffee, AL",2017,2090.0
1031,"Coffee, AL",2018,2016.0
1031,"Coffee, AL",2019,2260.0
1031,"Coffee, AL",2020,2246.0
1031,"Coffee, AL",2021,2078.0
1033,"Colbert, AL",2010,1606.0
1033,"Colbert, AL",2011,1480.0
1033,"Colbert, AL",2012,1567.0
1033,"Colbert, AL",2013,1559.0
1033,"Colbert, AL",2014,1628.0
1033,"Colbert, AL",2015,1683.0
1033,"Colbert, AL",2016,1697.0
1033,"Colbert, AL",2017,1726.0
1033,"Colbert, AL",2018,1623.0
1033,"Colbert, AL",2019,1445.0
1033,"Colbert, AL",2020,1562.0
1033,"Colbert, AL",2021,1524.0
1035,"Conecuh, AL",2010,397.0
1035,"Conecuh, AL",2011,460.0
