GeoFIPS,GeoName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1001,"Autauga, AL",1669.0,1818.0,1755.0,1516.0,1522.0,1678.0,1631.0,1794.0,2239.0,2198.0,1966.0,2003.0
1003,"Baldwin, AL",5396.0,5507.0,5807.0,5763.0,6112.0,5991.0,6883.0,7196.0,7410.0,7274.0,7312.0,7740.0
1005,"Barbour, AL",613.0,592.0,757.0,878.0,891.0,926.0,986.0,870.0,860.0,743.0,706.0,630.0
1007,"Bibb, AL",604.0,830.0,764.0,744.0,771.0,894.0,903.0,942.0,756.0,635.0,629.0,497.0
1009,"Blount, AL",1523.0,1939.0,1939.0,1763.0,1782.0,1704.0,1256.0,1242.0,1353.0,1491.0,1652.0,1885.0
1011,"Bullock, AL",258.0,194.0,135.0,194.0,269.0,285.0,336.0,368.0,385.0,442.0,351.0,302.0
1013,"Butler, AL",395.0,465.0,583.0,573.0,589.0,591.0,603.0,556.0,587.0,626.0,625.0,584.0
1015,"Calhoun, AL",4087.0,4089.0,4302.0,4361.0,4466.0,4770.0,4714.0,4486.0,4249.0,4367.0,4287.0,4586.0
1017,"Chambers, AL",1008.0,1000.0,1041.0,1077.0,976.0,957.0,995.0,1017.0,1031.0,1007.0,905.0,1078.0
1019,"Cherokee, AL",844.0,785.0,883.0,913.0,915.0,872.0,880.0,815.0,733.0,756.0,769.0,904.0
1021,"Chilton, AL",1342.0,1302.0,1326.0,1342.0,1212.0,1251.0,1258.0,1198.0,1060.0,1026.0,1054.0,1251.0
1023,"Choctaw, AL",478.0,537.0,517.0,573.0,490.0,457.0,404.0,392.0,423.0,449.0,481.0,418.0
1025,"Clarke, AL",849.0,852.0,691.0,722.0,560.0,497.0,480.0,490.0,437.0,495.0,593.0,582.0
1027,"Clay, AL",402.0,440.0,363.0,319.0,282.0,338.0,307.0,390.0,433.0,395.0,362.0,323.0
1029,"Cleburne, AL",385.0,430.0,347.0,349.0,412.0,455.0,402.0,441.0,505.0,519.0,438.0,387.0
1031,"Coffee, AL",1732.0,1836.0,2030.0,2176.0,2146.0,2254.0,2218.0,2090.0,2016.0,2260.0,2246.0,2078.0
