GeoFIPS,GeoName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1001,"Autauga, AL",1166.0,1079.0,1090.0,1052.0,1076.0,947.0,1050.0,971.0,1060.0,1063.0,1005.0,1090.0
1003,"Baldwin, AL",2861.0,2662.0,2445.0,2655.0,2733.0,2630.0,3057.0,3346.0,3403.0,3799.0,4170.0,3647.0
1005,"Barbour, AL",265.0,272.0,255.0,301.0,274.0,258.0,236.0,215.0,226.0,183.0,224.0,230.0
1007,"Bibb, AL",286.0,272.0,156.0,187.0,112.0,172.0,279.0,257.0,283.0,358.0,341.0,343.0
1009,"Blount, AL",871.0,816.0,674.0,616.0,529.0,583.0,712.0,802.0,892.0,981.0,951.0,779.0
1011,"Bullock, AL",17.0,112.0,81.0,80.0,89.0,156.0,62.0,65.0,73.0,92.0,40.0,58.0
1013,"Butler, AL",268.0,298.0,258.0,242.0,257.0,193.0,195.0,135.0,143.0,154.0,312.0,261.0
1015,"Calhoun, AL",1235.0,1113.0,1069.0,1070.0,1300.0,1351.0,1456.0,1490.0,1634.0,1591.0,1274.0,1223.0
1017,"Chambers, AL",425.0,455.0,541.0,513.0,511.0,406.0,444.0,433.0,398.0,391.0,431.0,345.0
1019,"Cherokee, AL",230.0,214.0,231.0,257.0,250.0,161.0,160.0,157.0,155.0,247.0,327.0,295.0
1021,"Chilton, AL",673.0,856.0,853.0,1062.0,1008.0,946.0,911.0,915.0,815.0,997.0,964.0,768.0
1023,"Choctaw, AL",96.0,68.0,85.0,70.0,95.0,94.0,94.0,63.0,83.0,87.0,118.0,174.0
1025,"Clarke, AL",356.0,380.0,300.0,335.0,288.0,230.0,229.0,293.0,240.0,203.0,172.0,283.0
1027,"Clay, AL",120.0,122.0,97.0,101.0,111.0,129.0,167.0,124.0,92.0,155.0,156.0,199.0
1029,"Cleburne, AL",125.0,159.0,178.0,156.0,105.0,127.0,116.0,92.0,73.0,141.0,166.0,174.0
1031,"Coffee, AL",720.0,718.0,666.0,531.0,509.0,489.0,543.0,507.0,549.0,489.0,522.0,516.0
1033,"Colbert, AL",680.0,628.0,860.0,913.0,971.0,951.0,985.0,742.0,772.0,682.0,591.0,682.0
1035,"Conecuh, AL",102.0,46.0,48.0,75.0,84.0,114.0,88.0,66.0,154.0,206.0,183.0,294.0
1037,"Coosa, AL",119.0,126.0,88.0,53.0,38.0,74.0,135.0,177.0,177.0,203.0,119.0,81.0
1039,"Covington, AL",320.0,392.0,390.0,457.0,492.0,460.0,462.0,492.0,455.0,430.0,380.0,402.0
1041,"Crenshaw, AL",114.0,142.0,168.0,191.0,159.0,200.0,195.0,206.0,179.0,184.0,162.0,174.0
1043,"Cullman, AL",1113.0,996.0,1079.0,1123.0,1024.0,996.0,919.0,931.0,901.0,909.0,1045.0,1320.0
1045,"Dale, AL",496.0,503.0,593.0,616.0,628.0,574.0,538.0,549.0,425.0,414.0,366.0,421.0
1047,"Dallas, AL",341.0,297.0,286.0,313.0,403.0,366.0,385.0,431.0,387.0,410.0,561.0,714.0
1049,"DeKalb, AL",921.0,771.0,788.0,698.0,771.0,733.0,711.0,869.0,884.0,884.0,1015.0,978.0
1051,"Elmore, AL",1614.0,1567.0,1541.0,1575.0,1692.0,1470.0,1476.0,1592.0,1387.0,1249.0,1441.0,1554.0
1053,"Escambia, AL",381.0,370.0,406.0,347.0,319.0,304.0,322.0,234.0,233.0,248.0,220.0,235.0
