GeoFIPS,GeoName,Year,Value
1001,"Autauga, AL",2010,2574.0
1001,"Autauga, AL",2011,2603.0
1001,"Autauga, AL",2012,2780.0
1001,"Autauga, AL",2013,2723.0
1001,"Autauga, AL",2014,2799.0
1001,"Autauga, AL",2015,2843.0
1001,"Autauga, AL",2016,2779.0
1001,"Autauga, AL",2017,2453.0
1001,"Autauga, AL",2018,2605.0
1001,"Autauga, AL",2019,2763.0
1001,"Autauga, AL",2020,3047.0
1001,"Autauga, AL",2021,3213.0
1003,"Baldwin, AL",2010,8676.0
1003,"Baldwin, AL",2011,9747.0
1003,"Baldwin, AL",2012,9729.0
1003,"Baldwin, AL",2013,10290.0
1003,"Baldwin, AL",2014,10569.0
1003,"Baldwin, AL",2015,11072.0
1003,"Baldwin, AL",2016,10291.0
1003,"Baldwin, AL",2017,10727.0
1003,"Baldwin, AL",2018,11348.0
1003,"Baldwin, AL",2019,11982.0
1003,"Baldwin, AL",2020,11744.0
1003,"Baldwin, AL",2021,11978.0
1005,"Barbour, AL",2010,874.0
1005,"Barbour, AL",2011,869.0
1005,"Barbour, AL",2012,1023.0
1005,"Barbour, AL",2013,998.0
1005,"Barbour, AL",2014,1040.0
1005,"Barbour, AL",2015,757.0
1005,"Barbour, AL",2016,791.0
1005,"Barbour, AL",2017,758.0
1005,"Barbour, AL",2018,766.0
1005,"Barbour, AL",2019,794.0
1005,"Barbour, AL",2020,913.0
1005,"Barbour, AL",2021,932.0
1007,"Bibb, AL",2010,745.0
1007,"Bibb, AL",2011,858.0
1007,"Bibb, AL",2012,948.0
1007,"Bibb, AL",2013,963.0
1007,"Bibb, AL",2014,1011.0
1007,"Bibb, AL",2015,986.0
1007,"Bibb, AL",2016,962.0
1007,"Bibb, AL",2017,1066.0
1007,"Bibb, AL",2018,1091.0
1007,"Bibb, AL",2019,1148.0
1007,"Bibb, AL",2020,1233.0
1007,"Bibb, AL",2021,1249.0
1009,"Blount, AL",2010,2805.0
1009,"Blount, AL",2011,2725.0
1009,"Blount, AL",2012,2787.0
1009,"Blount, AL",2013,2977.0
1009,"Blount, AL",2014,3027.0
1009,"Blount, AL",2015,2921.0
1009,"Blount, AL",2016,2992.0
1009,"Blount, AL",2017,3076.0
1009,"Blount, AL",2018,2851.0
1009,"Blount, AL",2019,3155.0
1009,"Blount, AL",2020,3201.0
1009,"Blount, AL",2021,3285.0
1011,"Bullock, AL",2010,365.0
1011,"Bullock, AL",2011,395.0
1011,"Bullock, AL",2012,364.0
1011,"Bullock, AL",2013,356.0
1011,"Bullock, AL",2014,356.0
1011,"Bullock, AL",2015,321.0
1011,"Bullock, AL",2016,320.0
1011,"Bullock, AL",2017,352.0
1011,"Bullock, AL",2018,254.0
1011,"Bullock, AL",2019,227.0
