GeoFIPS,GeoName,Year,Value
1001,"Autauga, AL",2010,-0.02439744682342815
1001,"Autauga, AL",2011,-0.025529936488037586
1001,"Autauga, AL",2012,-0.02449737494339088
1001,"Autauga, AL",2013,-0.024563993418192043
1001,"Autauga, AL",2014,-0.022798531954918322
1001,"Autauga, AL",2015,-0.023664625841966158
1001,"Autauga, AL",2016,-0.019033973927037318
1001,"Autauga, AL",2017,-0.020100102872618764
1001,"Autauga, AL",2018,-0.020433258907980978
1001,"Autauga, AL",2019,-0.022398784693670515
1001,"Autauga, AL",2020,-0.024530684208024733
1001,"Autauga, AL",2021,-0.023164960543474944
1003,"Baldwin, AL",2010,0.011792776689865336
1003,"Baldwin, AL",2011,0.010693049143000621
1003,"Baldwin, AL",2012,0.007726995815655835
1003,"Baldwin, AL",2013,0.002394458074597372
1003,"Baldwin, AL",2014,0.004894120584678419
1003,"Baldwin, AL",2015,0.01089300160806328
1003,"Baldwin, AL",2016,0.007093774035529021
1003,"Baldwin, AL",2017,0.0075270316883950805
1003,"Baldwin, AL",2018,0.009093399980444561
1003,"Baldwin, AL",2019,0.014825202842477347
1003,"Baldwin, AL",2020,0.0027944068987302284
1003,"Baldwin, AL",2021,0.01392549794278608
1005,"Barbour, AL",2010,-0.030825074186720536
1005,"Barbour, AL",2011,-0.03099156145226689
1005,"Barbour, AL",2012,-0.031857267303747494
1005,"Barbour, AL",2013,-0.03042549778828041
1005,"Barbour, AL",2014,-0.03055869100792108
1005,"Barbour, AL",2015,-0.03209033384359794
1005,"Barbour, AL",2016,-0.03179067622633991
1005,"Barbour, AL",2017,-0.03235669132868335
1005,"Barbour, AL",2018,-0.032822805845968195
1005,"Barbour, AL",2019,-0.03182397180035934
1005,"Barbour, AL",2020,-0.031257937496365185
1005,"Barbour, AL",2021,-0.031857267303747494
1007,"Bibb, AL",2010,-0.03089166929871079
1007,"Bibb, AL",2011,-0.032023743758640144
1007,"Bibb, AL",2012,-0.033521950788757304
1007,"Bibb, AL",2013,-0.03315573605748412
1007,"Bibb, AL",2014,-0.032756218927186054
1007,"Bibb, AL",2015,-0.03272292535871402
1007,"Bibb, AL",2016,-0.032656338003977714
1007,"Bibb, AL",2017,-0.030591989143444742
1007,"Bibb, AL",2018,-0.02999261238648021
1007,"Bibb, AL",2019,-0.02999261238648021
1007,"Bibb, AL",2020,-0.029559715733649128
1007,"Bibb, AL",2021,-0.028793794592809507
1009,"Blount, AL",2010,-0.021799150412433743
1009,"Blount, AL",2011,-0.02249872218543414
1009,"Blount, AL",2012,-0.025696473628844974
1009,"Blount, AL",2013,-0.02656244356086679
1009,"Blount, AL",2014,-0.024797156358092654
1009,"Blount, AL",2015,-0.023598004479820855
1009,"Blount, AL",2016,-0.025596551514924903
1009,"Blount, AL",2017,-0.0251968579644698
1009,"Blount, AL",2018,-0.024630611674831493
1009,"Blount, AL",2019,-0.027261851771860135
1009,"Blount, AL",2020,-0.026029543622347995
1009,"Blount, AL",2021,-0.026762277161923698
1011,"Bullock, AL",2010,-0.029593015871930306
1011,"Bullock, AL",2011,-0.031257937496365185
1011,"Bullock, AL",2012,-0.030325602164192555
1011,"Bullock, AL",2013,-0.029293312271459815
1011,"Bullock, AL",2014,-0.03248986835012002
1011,"Bullock, AL",2015,-0.03258975035934242
1011,"Bullock, AL",2016,-0.033022564851716174
1011,"Bullock, AL",2017,-0.032756218927186054
1011,"Bullock, AL",2018,-0.03295597880882328
1011,"Bullock, AL",2019,-0.032856099196131194
1011,"Bullock, AL",2020,-0.031757380581762584
1011,"Bullock, AL",2021,-0.03155760523672446
1013,"Butler, AL",2010,-0.0301591081121243
1013,"Butler, AL",2011,-0.030525392804568896
1013,"Butler, AL",2012,-0.03099156145226689
1013,"Butler, AL",2013,-0.030825074186720536
1013,"Butler, AL",2014,-0.030858371776961935
1013,"Butler, AL",2015,-0.029459814925411165
1013,"Butler, AL",2016,-0.02995931304133359
1013,"Butler, AL",2017,-0.030525392804568896
1013,"Butler, AL",2018,-0.030092510022179386
1013,"Butler, AL",2019,-0.02999261238648021
1013,"Butler, AL",2020,-0.03099156145226689
1013,"Butler, AL",2021,-0.030691883142308196
1015,"Calhoun, AL",2010,-0.0053378827346377555
1015,"Calhoun, AL",2011,-0.005704493782700881
1015,"Calhoun, AL",2012,-0.009237198030922822
1015,"Calhoun, AL",2013,-0.009403830020949022
1015,"Calhoun, AL",2014,-0.00937050366442882
1015,"Calhoun, AL",2015,-0.009870396785053637
1015,"Calhoun, AL",2016,-0.010703540899354214
1015,"Calhoun, AL",2017,-0.006004447140428137
1015,"Calhoun, AL",2018,-0.009037238966533079
1015,"Calhoun, AL",2019,-0.010403610669765584
1015,"Calhoun, AL",2020,-0.013569435981640399
1015,"Calhoun, AL",2021,-0.010936818638054624
1017,"Chambers, AL",2010,-0.020399943507422802
1017,"Chambers, AL",2011,-0.02013341867824603
1017,"Chambers, AL",2012,-0.02346476112734419
1017,"Chambers, AL",2013,-0.024997008160294598
1017,"Chambers, AL",2014,-0.025496628889533524
1017,"Chambers, AL",2015,-0.02596293008360606
1017,"Chambers, AL",2016,-0.023931109182801946
1017,"Chambers, AL",2017,-0.02299840285978383
1017,"Chambers, AL",2018,-0.024230898874385676
1017,"Chambers, AL",2019,-0.02379786793511507
1017,"Chambers, AL",2020,-0.022931779428313037
1017,"Chambers, AL",2021,-0.025496628889533524
1019,"Cherokee, AL",2010,-0.028560681405959132
1019,"Cherokee, AL",2011,-0.030525392804568896
1019,"Cherokee, AL",2012,-0.030591989143444742
1019,"Cherokee, AL",2013,-0.029160108977412502
1019,"Cherokee, AL",2014,-0.03142442027155845
