GeoFIPS,GeoName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1001,"Autauga, AL",-0.8723404255319149,-1.0,-1.0,-1.0,-1.0,-0.6382978723404256,-0.6595744680851063,-0.7234042553191489,-0.7872340425531915,-0.7446808510638298,-1.0,0.0020036991368680645
1003,"Baldwin, AL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7659574468085106,-0.7659574468085106,-0.8085106382978724,-0.7872340425531915,-0.42553191489361697,-0.4893617021276596
1005,"Barbour, AL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.6808510638297873,-0.7446808510638298,-0.7234042553191489,-0.7021276595744681,-0.7234042553191489,-1.0
1007,"Bibb, AL",-0.14893617021276595,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1009,"Blount, AL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1011,"Bullock, AL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1013,"Butler, AL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1015,"Calhoun, AL",-0.021276595744680882,0.0007706535141800248,-0.276595744680851,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7872340425531915,-0.7872340425531915,-0.5106382978723405
1017,"Chambers, AL",-0.8723404255319149,-1.0,-1.0,-1.0,-1.0,0.0013871763255240445,0.0057028360049321825,0.0063193588162762035,0.011251541307028361,0.0047780517879161535,0.002774352651048089,-0.36170212765957455
1019,"Cherokee, AL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1021,"Chilton, AL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1023,"Choctaw, AL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1025,"Clarke, AL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1027,"Clay, AL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1029,"Cleburne, AL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1031,"Coffee, AL",-0.7659574468085106,-0.7872340425531915,-0.9574468085106382,-0.9574468085106382,-0.9574468085106382,-0.9787234042553191,-0.9574468085106382,-1.0,-0.9574468085106382,-0.9787234042553191,-0.9574468085106382,-0.6382978723404256
1033,"Colbert, AL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.25531914893617014,-0.25531914893617014,-0.276595744680851
1035,"Conecuh, AL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1037,"Coosa, AL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1039,"Covington, AL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1041,"Crenshaw, AL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1043,"Cullman, AL",-0.6808510638297873,-0.7234042553191489,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0018495684340320592,-0.1063829787234043
1045,"Dale, AL",-0.6595744680851063,-1.0,-1.0,-0.8510638297872339,-0.8510638297872339,-0.8510638297872339,-0.8510638297872339,-0.8510638297872339,-1.0,-1.0,-1.0,-1.0
1047,"Dallas, AL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.4042553191489362,-0.6170212765957446,-0.6595744680851063,-0.6595744680851063,-0.574468085106383,-1.0
1049,"DeKalb, AL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8085106382978724,-0.8085106382978724,-0.5106382978723405
1051,"Elmore, AL",-1.0,-1.0,-0.8297872340425532,-0.7446808510638298,-0.8297872340425532,-0.7659574468085106,-0.7872340425531915,-1.0,-1.0,-1.0,-1.0,-0.9361702127659574
1053,"Escambia, AL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.6382978723404256,-0.7021276595744681,-0.4893617021276596,-0.7234042553191489
1055,"Etowah, AL",-0.5957446808510638,-0.6595744680851063,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.6808510638297873,-0.6808510638297873,-0.17021276595744683,-0.2978723404255319
1057,"Fayette, AL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1059,"Franklin, AL",-0.6595744680851063,-0.7659574468085106,-0.7234042553191489,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1061,"Geneva, AL",-1.0,-1.0,-1.0,-0.9361702127659574,-0.9148936170212766,-0.9361702127659574,-0.9148936170212766,-0.9148936170212766,-1.0,-1.0,-0.9787234042553191,-0.9787234042553191
1063,"Greene, AL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1065,"Hale, AL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8085106382978724,-0.8723404255319149
1067,"Henry, AL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1069,"Houston, AL",-0.8723404255319149,-0.8297872340425532,-0.6170212765957446,-0.46808510638297873,-0.42553191489361697,-0.42553191489361697,-0.574468085106383,-0.6808510638297873,-0.7446808510638298,-0.7446808510638298,-0.7872340425531915,-0.6595744680851063
1071,"Jackson, AL",-0.8723404255319149,-0.8723404255319149,-0.8510638297872339,-0.8723404255319149,-0.8936170212765957,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7234042553191489
1073,"Jefferson, AL",0.06689272503082616,0.04485203452527744,0.033446362515413074,0.02990135635018496,0.0186498150431566,0.0155672009864365,0.02204069050554871,0.038532675709001235,0.049475955610357586,0.06735511713933418,0.07244143033292233,0.0904747225647349
1075,"Lamar, AL",-1.0,-0.8510638297872339,-0.8510638297872339,-0.44680851063829785,-0.4042553191489362,-0.4893617021276596,-0.7021276595744681,-0.6382978723404256,-1.0,-1.0,-1.0,-1.0
1077,"Lauderdale, AL",-0.6382978723404256,-0.6808510638297873,-0.6595744680851063,-0.6808510638297873,-1.0,-1.0,-0.6382978723404256,-0.5957446808510638,-0.276595744680851,-0.34042553191489366,-0.36170212765957455,-0.574468085106383
1079,"Lawrence, AL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1081,"Lee, AL",-0.6382978723404256,-1.0,-0.7021276595744681,-0.5531914893617021,-0.7872340425531915,-0.5957446808510638,-0.7021276595744681,-0.7659574468085106,-0.8085106382978724,-0.8297872340425532,-0.8723404255319149,-0.8297872340425532
1083,"Limestone, AL",-0.4893617021276596,-0.574468085106383,-0.7659574468085106,-0.7872340425531915,-1.0,-1.0,-1.0,-0.9148936170212766,-0.9148936170212766,-0.9361702127659574,-0.9361702127659574,-0.9361702127659574
1085,"Lowndes, AL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1087,"Macon, AL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1089,"Madison, AL",0.0057028360049321825,0.005856966707768188,0.012176325524044391,0.009556103575832307,0.006627620221948212,0.013871763255240446,0.020653514180024667,0.02204069050554871,0.01772503082614057,0.026972872996300867,0.015104808877928484,0.011097410604192356
1091,"Marengo, AL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1093,"Marion, AL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5106382978723405,-0.38297872340425543,-0.021276595744680882,0.0016954377311960544
1095,"Marshall, AL",-0.574468085106383,-0.4893617021276596,-0.38297872340425543,-0.44680851063829785,-0.8936170212765957,-0.8510638297872339,-0.9148936170212766,-0.9574468085106382,-0.9787234042553191,-0.7872340425531915,-0.7446808510638298,-0.6595744680851063
1097,"Mobile, AL",0.008939580764488286,0.005240443896424168,0.009401972872996302,0.009710234278668312,0.007398273736128237,0.010789149198520346,0.012022194821208386,0.006011097410604193,0.007398273736128237,0.005086313193588163,0.0013871763255240445,0.00046239210850801486
1099,"Monroe, AL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1101,"Montgomery, AL",-0.46808510638297873,-0.14893617021276595,-0.38297872340425543,-0.5106382978723405,-0.34042553191489366,-0.23404255319148937,-0.1914893617021276,-0.1063829787234043,-0.1063829787234043,-0.46808510638297873,-0.5106382978723405,-0.6595744680851063
1103,"Morgan, AL",0.0010789149198520346,-0.1914893617021276,-1.0,-1.0,-0.8085106382978724,-0.8510638297872339,-0.21276595744680848,-0.2978723404255319,-0.06382978723404253,0.0021578298397040697,0.0026202219482120846,0.0
1105,"Perry, AL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1107,"Pickens, AL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1109,"Pike, AL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1111,"Randolph, AL",-1.0,-1.0,-0.9574468085106382,-0.9574468085106382,-0.9787234042553191,-0.9574468085106382,-0.9361702127659574,-1.0,-1.0,-1.0,-1.0,-1.0
1113,"Russell, AL",-0.8085106382978724,-0.7872340425531915,-0.7446808510638298,-0.7021276595744681,-0.7021276595744681,-0.7021276595744681,-0.7234042553191489,-1.0,-0.6170212765957446,-0.7021276595744681,-0.6808510638297873,-0.6808510638297873
1115,"St. Clair, AL",-0.5106382978723405,-0.5319148936170213,-0.574468085106383,-0.6170212765957446,-0.574468085106383,-0.9148936170212766,-1.0,-1.0,-0.08510638297872342,-0.06382978723404253,0.0010789149198520346,0.0012330456226880395
1117,"Shelby, AL",0.018187422934648586,0.019728729963008635,0.01710850801479655,0.01772503082614057,0.016029593094944516,0.014488286066584465,0.009401972872996302,0.005548705302096178,0.004007398273736129,0.011251541307028361,0.016183723797780523,0.015413070283600495
1119,"Sumter, AL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9787234042553191,-0.9787234042553191
1121,"Talladega, AL",-0.9787234042553191,-0.7446808510638298,-0.5106382978723405,-0.46808510638297873,-0.5106382978723405,-1.0,-1.0,-1.0,-0.7234042553191489,-0.6170212765957446,-0.5957446808510638,-0.46808510638297873
1123,"Tallapoosa, AL",-0.8936170212765957,-0.8510638297872339,-0.7659574468085106,-0.6382978723404256,-0.9361702127659574,-0.9574468085106382,-0.9574468085106382,-0.9361702127659574,-1.0,-1.0,-1.0,-1.0
1125,"Tuscaloosa, AL",0.002774352651048089,0.0006165228113440198,0.0013871763255240445,0.0010789149198520346,0.0,-0.7234042553191489,-0.6382978723404256,-0.7021276595744681,-0.4893617021276596,-0.6595744680851063,-0.042553191489361764,0.0021578298397040697
1127,"Walker, AL",-1.0,-1.0,-0.8297872340425532,-0.8723404255319149,-0.7872340425531915,-0.8510638297872339,-0.8510638297872339,-0.7659574468085106,-0.7872340425531915,-0.7872340425531915,-0.6170212765957446,-0.6170212765957446
1129,"Washington, AL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1131,"Wilcox, AL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1133,"Winston, AL",-0.042553191489361764,-0.08510638297872342,-0.17021276595744683,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2013,"Aleutians East Borough, AK",-1.0,-1.0,-1.0,-0.9148936170212766,-0.8723404255319149,-0.8297872340425532,-0.8085106382978724,-0.7659574468085106,-1.0,-1.0,-1.0,-1.0
2016,"Aleutians West Census Area, AK",-1.0,-1.0,-1.0,-1.0,-0.9787234042553191,-0.9787234042553191,-0.9787234042553191,-0.8723404255319149,-0.8936170212765957,-0.8085106382978724,-0.8723404255319149,-0.8085106382978724
2020,"Anchorage Municipality, AK",0.03529593094944513,0.0186498150431566,0.02512330456226881,0.016491985203452533,0.022194821208384712,0.028668310727496923,0.045930949445129474,0.05548705302096178,0.07583230579531444,0.07567817509247843,0.0835388409371147,0.05856966707768188
2050,"Bethel Census Area, AK",-0.6808510638297873,-1.0,-1.0,-0.9574468085106382,-0.42553191489361697,-0.36170212765957455,-0.36170212765957455,-0.3191489361702128,0.008785450061652282,0.01340937114673243,0.02450678175092479,0.031134401972873
2060,"Bristol Bay Borough, AK",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2068,"Denali Borough, AK",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2070,"Dillingham Census Area, AK",-0.8723404255319149,-0.7872340425531915,-0.8723404255319149,-0.8936170212765957,-0.8723404255319149,-0.8936170212765957,-0.9148936170212766,-0.9148936170212766,-0.9148936170212766,-0.5957446808510638,-0.7234042553191489,-0.8297872340425532
2090,"Fairbanks North Star Borough, AK",-0.7446808510638298,-0.9787234042553191,-1.0,-1.0,-0.7234042553191489,-0.6595744680851063,-0.42553191489361697,-0.6170212765957446,-0.6595744680851063,-0.8085106382978724,-0.021276595744680882,-1.0
2100,"Haines Borough, AK",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2110,"Juneau City and Borough, AK",-0.44680851063829785,-0.5106382978723405,-0.4893617021276596,-0.6170212765957446,-0.7021276595744681,-1.0,-1.0,-1.0,-1.0,-0.9148936170212766,-0.8936170212765957,-0.8723404255319149
2122,"Kenai Peninsula Borough, AK",-1.0,-0.8085106382978724,-0.7446808510638298,-0.9787234042553191,-0.8297872340425532,-0.9361702127659574,-1.0,-0.9574468085106382,-0.9148936170212766,-0.9148936170212766,-0.9148936170212766,-0.8723404255319149
2130,"Ketchikan Gateway Borough, AK*",-0.9574468085106382,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9787234042553191,-0.8510638297872339,-0.8297872340425532,-0.7234042553191489
2150,"Kodiak Island Borough, AK",-1.0,-0.8085106382978724,-0.6808510638297873,-0.7446808510638298,-0.7659574468085106,-0.7872340425531915,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
