GeoFIPS,GeoName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1001,"Autauga, AL",6.0,0.0,0.0,0.0,0.0,17.0,16.0,13.0,10.0,12.0,0.0,61.0
1003,"Baldwin, AL",0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,9.0,10.0,27.0,24.0
1005,"Barbour, AL",0.0,0.0,0.0,0.0,0.0,0.0,15.0,12.0,13.0,14.0,13.0,0.0
1007,"Bibb, AL",40.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1009,"Blount, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1011,"Bullock, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1013,"Butler, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1015,"Calhoun, AL",46.0,53.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,23.0
1017,"Chambers, AL",6.0,0.0,0.0,0.0,0.0,57.0,85.0,89.0,121.0,79.0,66.0,30.0
1019,"Cherokee, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1021,"Chilton, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1023,"Choctaw, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1025,"Clarke, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1027,"Clay, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1029,"Cleburne, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1031,"Coffee, AL",11.0,10.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,17.0
1033,"Colbert, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,34.0
1035,"Conecuh, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1037,"Coosa, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1039,"Covington, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1041,"Crenshaw, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1043,"Cullman, AL",15.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,42.0
1045,"Dale, AL",16.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0
1047,"Dallas, AL",0.0,0.0,0.0,0.0,0.0,0.0,28.0,18.0,16.0,16.0,20.0,0.0
1049,"DeKalb, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,23.0
1051,"Elmore, AL",0.0,0.0,8.0,12.0,8.0,11.0,10.0,0.0,0.0,0.0,0.0,3.0
1053,"Escambia, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,14.0,24.0,13.0
1055,"Etowah, AL",19.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,39.0,33.0
1057,"Fayette, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1059,"Franklin, AL",16.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1061,"Geneva, AL",0.0,0.0,0.0,3.0,4.0,3.0,4.0,4.0,0.0,0.0,1.0,1.0
1063,"Greene, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1065,"Hale, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0
1067,"Henry, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1069,"Houston, AL",6.0,8.0,18.0,25.0,27.0,27.0,20.0,15.0,12.0,12.0,10.0,16.0
1071,"Jackson, AL",6.0,6.0,7.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
1073,"Jefferson, AL",482.0,339.0,265.0,242.0,169.0,149.0,191.0,298.0,369.0,485.0,518.0,635.0
1075,"Lamar, AL",0.0,7.0,7.0,26.0,28.0,24.0,14.0,17.0,0.0,0.0,0.0,0.0
1077,"Lauderdale, AL",17.0,15.0,16.0,15.0,0.0,0.0,17.0,19.0,34.0,31.0,30.0,20.0
1079,"Lawrence, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1081,"Lee, AL",17.0,0.0,14.0,21.0,10.0,19.0,14.0,11.0,9.0,8.0,6.0,8.0
1083,"Limestone, AL",24.0,20.0,11.0,10.0,0.0,0.0,0.0,4.0,4.0,3.0,3.0,3.0
1085,"Lowndes, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1087,"Macon, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1089,"Madison, AL",85.0,86.0,127.0,110.0,91.0,138.0,182.0,191.0,163.0,223.0,146.0,120.0
1091,"Marengo, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1093,"Marion, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,29.0,46.0,59.0
1095,"Marshall, AL",20.0,24.0,29.0,26.0,5.0,7.0,4.0,2.0,1.0,10.0,12.0,16.0
1097,"Mobile, AL",106.0,82.0,109.0,111.0,96.0,118.0,126.0,87.0,96.0,81.0,57.0,51.0
1099,"Monroe, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1101,"Montgomery, AL",25.0,40.0,29.0,23.0,31.0,36.0,38.0,42.0,42.0,25.0,23.0,16.0
1103,"Morgan, AL",55.0,38.0,0.0,0.0,9.0,7.0,37.0,33.0,44.0,62.0,65.0,47.0
1105,"Perry, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
