GeoFIPS,GeoName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1001,"Autauga, AL",3439.0,3371.0,3278.0,3084.0,3194.0,3372.0,3396.0,3212.0,3123.0,3176.0,2721.0,3127.0
1003,"Baldwin, AL",7230.0,6949.0,6917.0,7255.0,7638.0,8010.0,8106.0,8777.0,8516.0,8795.0,9608.0,9879.0
1005,"Barbour, AL",2800.0,2702.0,2198.0,2176.0,1970.0,1876.0,2015.0,2109.0,2083.0,1939.0,2091.0,2176.0
1007,"Bibb, AL",1768.0,1518.0,1552.0,1599.0,1482.0,1614.0,1766.0,1679.0,1515.0,1417.0,1211.0,1109.0
1009,"Blount, AL",4146.0,3990.0,4150.0,3941.0,3894.0,3547.0,3362.0,3167.0,3503.0,3760.0,3968.0,4130.0
1011,"Bullock, AL",794.0,722.0,796.0,788.0,773.0,775.0,1077.0,1309.0,1330.0,1566.0,1563.0,1628.0
1013,"Butler, AL",1826.0,1708.0,1471.0,1417.0,1583.0,1552.0,1606.0,1705.0,1895.0,1984.0,2036.0,1876.0
1015,"Calhoun, AL",8794.0,8909.0,8616.0,8174.0,8001.0,8198.0,7926.0,8018.0,8494.0,8498.0,8659.0,8872.0
1017,"Chambers, AL",3315.0,3116.0,2865.0,2877.0,3025.0,3485.0,3803.0,4093.0,4255.0,4678.0,4469.0,4753.0
1019,"Cherokee, AL",2616.0,2504.0,2190.0,2135.0,2159.0,2133.0,2307.0,2407.0,2576.0,2427.0,2284.0,2017.0
1021,"Chilton, AL",2581.0,2357.0,2424.0,2464.0,2364.0,2537.0,2366.0,2462.0,2433.0,2601.0,2578.0,2583.0
1023,"Choctaw, AL",692.0,689.0,822.0,883.0,935.0,829.0,832.0,792.0,728.0,662.0,738.0,758.0
1025,"Clarke, AL",1598.0,1710.0,1745.0,1775.0,1692.0,1786.0,1786.0,1753.0,1837.0,1967.0,1682.0,1174.0
1027,"Clay, AL",1855.0,1545.0,1500.0,1546.0,1651.0,1603.0,1869.0,1866.0,1824.0,1654.0,1619.0,1496.0
1029,"Cleburne, AL",1056.0,1061.0,1047.0,1115.0,1121.0,1198.0,1078.0,1132.0,1090.0,1223.0,1207.0,1212.0
1031,"Coffee, AL",2271.0,2324.0,2167.0,2335.0,2138.0,2498.0,2696.0,2724.0,2519.0,2618.0,2457.0,2145.0
