GeoFIPS,GeoName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1001,"Autauga, AL",66.0,56.0,84.0,92.0,106.0,104.0,137.0,76.0,80.0,87.0,118.0,50.0
1003,"Baldwin, AL",321.0,288.0,342.0,458.0,485.0,457.0,440.0,428.0,347.0,245.0,323.0,226.0
1005,"Barbour, AL",40.0,44.0,59.0,50.0,45.0,31.0,15.0,15.0,10.0,0.0,0.0,0.0
1007,"Bibb, AL",201.0,82.0,69.0,81.0,300.0,386.0,278.0,323.0,331.0,159.0,157.0,184.0
1009,"Blount, AL",190.0,224.0,223.0,144.0,229.0,215.0,147.0,155.0,170.0,139.0,73.0,90.0
1011,"Bullock, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,12.0
1013,"Butler, AL",20.0,25.0,19.0,33.0,14.0,24.0,18.0,21.0,5.0,6.0,0.0,5.0
1015,"Calhoun, AL",13.0,31.0,35.0,33.0,30.0,42.0,47.0,64.0,76.0,166.0,141.0,149.0
1017,"Chambers, AL",9.0,14.0,19.0,16.0,12.0,33.0,18.0,22.0,22.0,28.0,8.0,8.0
1019,"Cherokee, AL",20.0,7.0,10.0,13.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1021,"Chilton, AL",135.0,96.0,56.0,66.0,48.0,41.0,91.0,151.0,154.0,158.0,230.0,233.0
1023,"Choctaw, AL",111.0,102.0,116.0,88.0,85.0,106.0,116.0,83.0,141.0,143.0,88.0,135.0
1025,"Clarke, AL",43.0,18.0,19.0,41.0,30.0,30.0,80.0,89.0,42.0,56.0,63.0,18.0
1027,"Clay, AL",9.0,10.0,8.0,12.0,6.0,8.0,7.0,4.0,8.0,0.0,0.0,0.0
1029,"Cleburne, AL",25.0,40.0,60.0,11.0,12.0,11.0,13.0,1.0,1.0,0.0,0.0,0.0
1031,"Coffee, AL",61.0,58.0,55.0,67.0,66.0,80.0,78.0,94.0,99.0,89.0,72.0,68.0
1033,"Colbert, AL",120.0,101.0,88.0,113.0,123.0,95.0,69.0,60.0,25.0,42.0,110.0,206.0
1035,"Conecuh, AL",35.0,57.0,44.0,52.0,86.0,74.0,54.0,63.0,58.0,19.0,0.0,0.0
1037,"Coosa, AL",38.0,64.0,53.0,47.0,40.0,56.0,30.0,27.0,30.0,35.0,59.0,83.0
1039,"Covington, AL",234.0,253.0,286.0,322.0,332.0,378.0,432.0,421.0,434.0,373.0,289.0,202.0
1041,"Crenshaw, AL",22.0,25.0,22.0,14.0,16.0,15.0,18.0,27.0,30.0,27.0,15.0,25.0
1043,"Cullman, AL",219.0,175.0,150.0,115.0,69.0,59.0,56.0,55.0,89.0,58.0,45.0,58.0
1045,"Dale, AL",3.0,9.0,10.0,82.0,120.0,142.0,160.0,184.0,99.0,71.0,41.0,25.0
1047,"Dallas, AL",13.0,0.0,20.0,15.0,25.0,42.0,47.0,50.0,43.0,31.0,54.0,56.0
1049,"DeKalb, AL",53.0,28.0,43.0,47.0,42.0,39.0,44.0,33.0,15.0,10.0,6.0,5.0
1051,"Elmore, AL",71.0,73.0,74.0,62.0,81.0,97.0,91.0,73.0,100.0,102.0,102.0,151.0
1053,"Escambia, AL",200.0,219.0,146.0,135.0,198.0,142.0,144.0,99.0,93.0,48.0,67.0,96.0
1055,"Etowah, AL",16.0,5.0,0.0,0.0,51.0,49.0,48.0,65.0,71.0,33.0,39.0,47.0
1057,"Fayette, AL",193.0,285.0,317.0,285.0,286.0,244.0,181.0,125.0,97.0,72.0,45.0,51.0
1059,"Franklin, AL",22.0,19.0,20.0,30.0,32.0,53.0,37.0,55.0,15.0,27.0,8.0,13.0
1061,"Geneva, AL",32.0,29.0,14.0,11.0,36.0,42.0,74.0,54.0,81.0,61.0,57.0,22.0
1063,"Greene, AL",11.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1065,"Hale, AL",53.0,44.0,42.0,41.0,52.0,9.0,10.0,8.0,12.0,8.0,7.0,0.0
1067,"Henry, AL",0.0,19.0,13.0,12.0,12.0,21.0,11.0,15.0,13.0,16.0,4.0,5.0
1069,"Houston, AL",68.0,65.0,65.0,68.0,51.0,48.0,41.0,36.0,23.0,21.0,14.0,11.0
1071,"Jackson, AL",93.0,138.0,90.0,132.0,124.0,126.0,72.0,64.0,60.0,21.0,14.0,6.0
1073,"Jefferson, AL",1297.0,1066.0,1275.0,1332.0,1349.0,1395.0,1469.0,1657.0,1608.0,1392.0,1102.0,1018.0
1075,"Lamar, AL",0.0,0.0,0.0,47.0,55.0,50.0,56.0,60.0,48.0,44.0,63.0,36.0
1077,"Lauderdale, AL",80.0,121.0,108.0,103.0,104.0,70.0,33.0,29.0,19.0,37.0,38.0,39.0
1079,"Lawrence, AL",93.0,119.0,110.0,122.0,101.0,80.0,50.0,40.0,41.0,13.0,0.0,0.0
1081,"Lee, AL",101.0,120.0,122.0,78.0,115.0,104.0,110.0,100.0,106.0,138.0,159.0,171.0
1083,"Limestone, AL",0.0,19.0,62.0,78.0,69.0,71.0,51.0,33.0,12.0,40.0,61.0,109.0
1085,"Lowndes, AL",22.0,31.0,19.0,24.0,21.0,19.0,11.0,25.0,13.0,27.0,21.0,28.0
1087,"Macon, AL",2.0,26.0,15.0,11.0,12.0,12.0,1.0,20.0,29.0,59.0,57.0,35.0
1089,"Madison, AL",205.0,188.0,208.0,174.0,185.0,124.0,139.0,125.0,95.0,120.0,249.0,295.0
1091,"Marengo, AL",22.0,24.0,23.0,15.0,17.0,2.0,6.0,3.0,2.0,4.0,34.0,30.0
1093,"Marion, AL",312.0,246.0,153.0,145.0,110.0,78.0,106.0,132.0,135.0,101.0,97.0,72.0
1095,"Marshall, AL",47.0,29.0,35.0,58.0,66.0,69.0,109.0,94.0,103.0,114.0,48.0,38.0
1097,"Mobile, AL",701.0,770.0,955.0,821.0,858.0,831.0,807.0,748.0,735.0,821.0,885.0,916.0
1099,"Monroe, AL",17.0,20.0,43.0,19.0,23.0,37.0,42.0,39.0,40.0,32.0,15.0,9.0
1101,"Montgomery, AL",74.0,114.0,148.0,163.0,231.0,168.0,92.0,93.0,102.0,12.0,8.0,22.0
1103,"Morgan, AL",87.0,86.0,108.0,81.0,54.0,33.0,21.0,0.0,0.0,21.0,21.0,47.0
1105,"Perry, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
