GeoFIPS,GeoName,Year,Value
1001,"Autauga, AL",2010,-0.024155921378320122
1001,"Autauga, AL",2011,-0.024935364591696763
1001,"Autauga, AL",2012,-0.02475549573719893
1001,"Autauga, AL",2013,-0.018019354492270323
1001,"Autauga, AL",2014,-0.016599938276042336
1001,"Autauga, AL",2015,-0.015460358254459017
1001,"Autauga, AL",2016,-0.014380719030246847
1001,"Autauga, AL",2017,-0.011381553066092343
1001,"Autauga, AL",2018,-0.016180097865224452
1001,"Autauga, AL",2019,-0.01965858951701882
1001,"Autauga, AL",2020,-0.02165751272137517
1001,"Autauga, AL",2021,-0.021777442766861332
1003,"Baldwin, AL",2010,0.031083208687145536
1003,"Baldwin, AL",2011,0.03340053783654362
1003,"Baldwin, AL",2012,0.03891269360183092
1003,"Baldwin, AL",2013,0.03447917353768548
1003,"Baldwin, AL",2014,0.03485867453336278
1003,"Baldwin, AL",2015,0.037554833111902
1003,"Baldwin, AL",2016,0.04561991637058216
1003,"Baldwin, AL",2017,0.04390355416030589
1003,"Baldwin, AL",2018,0.04526069971591795
1003,"Baldwin, AL",2019,0.0435043626376761
1003,"Baldwin, AL",2020,0.05302100870715476
1003,"Baldwin, AL",2021,0.05084713145968811
1005,"Barbour, AL",2010,-0.038460046893680544
1005,"Barbour, AL",2011,-0.03794086354932913
1005,"Barbour, AL",2012,-0.03855988747267791
1005,"Barbour, AL",2013,-0.0402171271105185
1005,"Barbour, AL",2014,-0.03965808259239412
1005,"Barbour, AL",2015,-0.03991764208476456
1005,"Barbour, AL",2016,-0.04003743695872519
1005,"Barbour, AL",2017,-0.03911898043137452
1005,"Barbour, AL",2018,-0.038659727281795564
1005,"Barbour, AL",2019,-0.04093586158909801
1005,"Barbour, AL",2020,-0.039717981413101566
1005,"Barbour, AL",2021,-0.03979784606326309
1007,"Bibb, AL",2010,-0.030090872989300577
1007,"Bibb, AL",2011,-0.03406632941680843
1007,"Bibb, AL",2012,-0.03646307670018989
1007,"Bibb, AL",2013,-0.03602370361658347
1007,"Bibb, AL",2014,-0.035484453996756926
1007,"Bibb, AL",2015,-0.035284726654738696
1007,"Bibb, AL",2016,-0.03474544879725272
1007,"Bibb, AL",2017,-0.03690243568720597
1007,"Bibb, AL",2018,-0.034186176317278716
1007,"Bibb, AL",2019,-0.033227373873003674
1007,"Bibb, AL",2020,-0.03600373178058813
1007,"Bibb, AL",2021,-0.0348852635307102
1009,"Blount, AL",2010,-0.017359634514722333
1009,"Blount, AL",2011,-0.016160105321221585
1009,"Blount, AL",2012,-0.01653996142942582
1009,"Blount, AL",2013,-0.014020831712812654
1009,"Blount, AL",2014,-0.014360725387275952
1009,"Blount, AL",2015,-0.015300413916671696
1009,"Blount, AL",2016,-0.01947867848170526
1009,"Blount, AL",2017,-0.019158833533888475
1009,"Blount, AL",2018,-0.020897941434469214
1009,"Blount, AL",2019,-0.024155921378320122
1009,"Blount, AL",2020,-0.022297132343879644
1009,"Blount, AL",2021,-0.021117819853074815
1011,"Bullock, AL",2010,-0.044169631817403965
1011,"Bullock, AL",2011,-0.04462867389513425
1011,"Bullock, AL",2012,-0.04289219978333203
1011,"Bullock, AL",2013,-0.04317165017030178
1011,"Bullock, AL",2014,-0.043790409067749
1011,"Bullock, AL",2015,-0.04361077282767145
1011,"Bullock, AL",2016,-0.0420138836471069
1011,"Bullock, AL",2017,-0.04277243327465308
1011,"Bullock, AL",2018,-0.043051886543369555
1011,"Bullock, AL",2019,-0.043970042476280335
1011,"Bullock, AL",2020,-0.04359081307115642
1011,"Bullock, AL",2021,-0.043970042476280335
1013,"Butler, AL",2010,-0.04271254955910486
1013,"Butler, AL",2011,-0.04175436866334925
1013,"Butler, AL",2012,-0.04153477465971689
1013,"Butler, AL",2013,-0.041454921298754166
1013,"Butler, AL",2014,-0.03881946937007397
1013,"Butler, AL",2015,-0.03895924206999768
1013,"Butler, AL",2016,-0.03849998321753778
1013,"Butler, AL",2017,-0.038679695151058846
