GeoFIPS,GeoName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1001,"Autauga, AL",1108.0,1069.0,1078.0,1415.0,1486.0,1543.0,1597.0,1747.0,1507.0,1333.0,1233.0,1227.0
1003,"Baldwin, AL",3871.0,3987.0,4263.0,4041.0,4060.0,4195.0,4599.0,4513.0,4581.0,4493.0,4970.0,4861.0
1005,"Barbour, AL",392.0,418.0,387.0,304.0,332.0,319.0,313.0,359.0,382.0,268.0,329.0,325.0
1007,"Bibb, AL",811.0,612.0,492.0,514.0,541.0,551.0,578.0,470.0,606.0,654.0,515.0,571.0
1009,"Blount, AL",1448.0,1508.0,1489.0,1615.0,1598.0,1551.0,1342.0,1358.0,1271.0,1108.0,1201.0,1260.0
1011,"Bullock, AL",106.0,83.0,170.0,156.0,125.0,134.0,214.0,176.0,162.0,116.0,135.0,116.0
1013,"Butler, AL",179.0,227.0,238.0,242.0,374.0,367.0,390.0,381.0,384.0,333.0,441.0,414.0
1015,"Calhoun, AL",2368.0,2476.0,2343.0,2241.0,2152.0,2164.0,2025.0,2156.0,2368.0,2405.0,2115.0,2159.0
1017,"Chambers, AL",691.0,600.0,631.0,536.0,615.0,628.0,689.0,509.0,602.0,606.0,545.0,619.0
1019,"Cherokee, AL",730.0,781.0,758.0,699.0,605.0,509.0,378.0,320.0,212.0,298.0,518.0,477.0
1021,"Chilton, AL",1215.0,1155.0,961.0,817.0,1042.0,1132.0,1074.0,1120.0,1202.0,1076.0,1051.0,1072.0
1023,"Choctaw, AL",190.0,220.0,263.0,261.0,299.0,218.0,195.0,183.0,170.0,141.0,173.0,148.0
1025,"Clarke, AL",356.0,400.0,445.0,317.0,369.0,392.0,415.0,429.0,483.0,466.0,427.0,539.0
1027,"Clay, AL",314.0,257.0,169.0,135.0,147.0,214.0,174.0,178.0,188.0,138.0,173.0,174.0
1029,"Cleburne, AL",270.0,295.0,337.0,310.0,203.0,243.0,181.0,175.0,168.0,159.0,241.0,299.0
1031,"Coffee, AL",818.0,840.0,862.0,1029.0,1079.0,1144.0,1090.0,1157.0,1048.0,1024.0,1121.0,1115.0
1033,"Colbert, AL",1335.0,1254.0,1195.0,1009.0,1084.0,1173.0,1127.0,1089.0,1110.0,1120.0,1483.0,1635.0
1035,"Conecuh, AL",131.0,93.0,172.0,221.0,226.0,189.0,234.0,130.0,116.0,146.0,123.0,144.0
1037,"Coosa, AL",110.0,158.0,142.0,130.0,213.0,196.0,156.0,227.0,209.0,162.0,215.0,303.0
1039,"Covington, AL",889.0,890.0,824.0,810.0,809.0,713.0,796.0,762.0,700.0,779.0,685.0,739.0
1041,"Crenshaw, AL",251.0,261.0,261.0,281.0,255.0,275.0,251.0,237.0,272.0,238.0,240.0,187.0
1043,"Cullman, AL",1888.0,1884.0,2232.0,2234.0,2237.0,2018.0,1824.0,1584.0,1716.0,1602.0,1714.0,1709.0
1045,"Dale, AL",1087.0,1129.0,1093.0,1185.0,1095.0,953.0,992.0,876.0,962.0,1023.0,805.0,859.0
1047,"Dallas, AL",1201.0,1341.0,1418.0,1251.0,1152.0,1090.0,862.0,871.0,840.0,723.0,660.0,773.0
1049,"DeKalb, AL",1184.0,1375.0,1599.0,1540.0,1549.0,1424.0,1344.0,1139.0,1218.0,1379.0,1580.0,1818.0
1051,"Elmore, AL",2052.0,2094.0,1913.0,1906.0,1621.0,1595.0,1567.0,1509.0,1588.0,1548.0,1667.0,1703.0
1053,"Escambia, AL",521.0,550.0,642.0,757.0,732.0,728.0,630.0,612.0,559.0,734.0,857.0,895.0
1055,"Etowah, AL",2109.0,1995.0,1945.0,1977.0,2132.0,2075.0,2225.0,2238.0,2410.0,2459.0,2760.0,2539.0
1057,"Fayette, AL",235.0,220.0,194.0,146.0,227.0,217.0,197.0,205.0,260.0,272.0,298.0,287.0
1059,"Franklin, AL",584.0,514.0,507.0,391.0,416.0,387.0,498.0,422.0,439.0,439.0,594.0,484.0
1061,"Geneva, AL",545.0,548.0,527.0,560.0,620.0,587.0,576.0,602.0,561.0,415.0,447.0,468.0
1063,"Greene, AL",233.0,184.0,175.0,132.0,89.0,100.0,58.0,31.0,21.0,0.0,15.0,27.0
1065,"Hale, AL",374.0,325.0,221.0,114.0,102.0,187.0,183.0,198.0,269.0,300.0,289.0,295.0
1067,"Henry, AL",472.0,481.0,528.0,423.0,358.0,384.0,295.0,231.0,287.0,258.0,544.0,588.0
1069,"Houston, AL",2578.0,2677.0,2688.0,2655.0,2604.0,2481.0,2490.0,2472.0,2366.0,2382.0,2610.0,2495.0
1071,"Jackson, AL",1081.0,935.0,885.0,779.0,758.0,862.0,949.0,850.0,1020.0,1021.0,873.0,972.0
1073,"Jefferson, AL",15255.0,15662.0,15751.0,15723.0,15911.0,16604.0,16673.0,17166.0,17016.0,17005.0,16071.0,15250.0
1075,"Lamar, AL",328.0,358.0,280.0,323.0,302.0,331.0,374.0,335.0,360.0,396.0,430.0,343.0
1077,"Lauderdale, AL",2512.0,2437.0,2454.0,2513.0,2354.0,2001.0,1999.0,2144.0,2151.0,2104.0,1905.0,1972.0
1079,"Lawrence, AL",888.0,856.0,698.0,776.0,665.0,717.0,772.0,712.0,636.0,545.0,469.0,595.0
1081,"Lee, AL",3156.0,3185.0,3011.0,2995.0,3227.0,3216.0,3054.0,3321.0,3662.0,3351.0,3252.0,3290.0
