GeoFIPS,GeoName,Year,Value
1001,"Autauga, AL",1998,4901.0
1001,"Autauga, AL",1999,4991.0
1001,"Autauga, AL",2000,4681.0
1001,"Autauga, AL",2001,4904.0
1001,"Autauga, AL",2002,4795.0
1001,"Autauga, AL",2003,4926.0
1001,"Autauga, AL",2004,5627.0
1001,"Autauga, AL",2005,5020.0
1001,"Autauga, AL",2006,6152.0
1001,"Autauga, AL",2007,5155.0
1001,"Autauga, AL",2008,5366.0
1001,"Autauga, AL",2009,5653.0
1001,"Autauga, AL",2010,6459.0
1001,"Autauga, AL",2011,8152.0
1001,"Autauga, AL",2012,7017.0
1001,"Autauga, AL",2013,7397.0
1001,"Autauga, AL",2014,7204.0
1001,"Autauga, AL",2015,6966.0
1001,"Autauga, AL",2016,7444.0
1001,"Autauga, AL",2017,7390.0
1001,"Autauga, AL",2018,7587.0
1001,"Autauga, AL",2019,6723.0
1001,"Autauga, AL",2020,6242.0
1001,"Autauga, AL",2021,6296.0
1003,"Baldwin, AL",1998,15089.0
1003,"Baldwin, AL",1999,14668.0
1003,"Baldwin, AL",2000,13855.0
1003,"Baldwin, AL",2001,16313.0
1003,"Baldwin, AL",2002,16175.0
1003,"Baldwin, AL",2003,15753.0
1003,"Baldwin, AL",2004,16089.0
1003,"Baldwin, AL",2005,18249.0
1003,"Baldwin, AL",2006,18269.0
1003,"Baldwin, AL",2007,17500.0
1003,"Baldwin, AL",2008,17110.0
1003,"Baldwin, AL",2009,23590.0
1003,"Baldwin, AL",2010,24056.0
1003,"Baldwin, AL",2011,24728.0
1003,"Baldwin, AL",2012,26177.0
1003,"Baldwin, AL",2013,27429.0
1003,"Baldwin, AL",2014,25696.0
1003,"Baldwin, AL",2015,25941.0
1003,"Baldwin, AL",2016,24005.0
1003,"Baldwin, AL",2017,21199.0
1003,"Baldwin, AL",2018,21069.0
1003,"Baldwin, AL",2019,22360.0
1003,"Baldwin, AL",2020,20189.0
1003,"Baldwin, AL",2021,25526.0
