GeoFIPS,GeoName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1001,"Autauga, AL",1096.0,1039.0,1038.0,1121.0,1200.0,1004.0,1262.0,1177.0,1353.0,1398.0,1488.0,1449.0
1003,"Baldwin, AL",4079.0,4356.0,4260.0,4179.0,4318.0,4774.0,5083.0,5152.0,5837.0,5813.0,5764.0,6155.0
1005,"Barbour, AL",171.0,252.0,272.0,232.0,260.0,252.0,167.0,123.0,169.0,186.0,175.0,205.0
1007,"Bibb, AL",265.0,274.0,227.0,145.0,157.0,88.0,84.0,96.0,125.0,126.0,231.0,183.0
1009,"Blount, AL",846.0,734.0,800.0,826.0,809.0,867.0,965.0,917.0,912.0,896.0,842.0,900.0
1011,"Bullock, AL",59.0,65.0,85.0,66.0,119.0,87.0,131.0,137.0,140.0,81.0,85.0,25.0
1013,"Butler, AL",242.0,264.0,194.0,185.0,151.0,167.0,112.0,142.0,152.0,176.0,134.0,179.0
1015,"Calhoun, AL",1627.0,1686.0,1562.0,1741.0,1788.0,1801.0,1502.0,1702.0,1604.0,1565.0,1593.0,1624.0
1017,"Chambers, AL",435.0,497.0,570.0,533.0,530.0,456.0,439.0,395.0,406.0,421.0,441.0,506.0
1019,"Cherokee, AL",164.0,153.0,155.0,172.0,173.0,168.0,213.0,241.0,278.0,218.0,271.0,191.0
1021,"Chilton, AL",540.0,529.0,440.0,448.0,569.0,629.0,651.0,649.0,530.0,377.0,321.0,264.0
1023,"Choctaw, AL",109.0,76.0,95.0,124.0,87.0,93.0,90.0,90.0,60.0,83.0,41.0,55.0
1025,"Clarke, AL",89.0,140.0,136.0,190.0,204.0,248.0,250.0,264.0,109.0,135.0,106.0,83.0
1027,"Clay, AL",80.0,79.0,35.0,36.0,40.0,65.0,68.0,76.0,80.0,95.0,104.0,159.0
1029,"Cleburne, AL",99.0,100.0,154.0,146.0,116.0,139.0,92.0,84.0,90.0,168.0,280.0,259.0
1031,"Coffee, AL",685.0,709.0,629.0,706.0,969.0,966.0,901.0,843.0,879.0,711.0,905.0,892.0
1033,"Colbert, AL",553.0,662.0,687.0,854.0,857.0,943.0,885.0,792.0,638.0,604.0,542.0,671.0
1035,"Conecuh, AL",5.0,26.0,35.0,43.0,33.0,58.0,44.0,41.0,29.0,98.0,143.0,142.0
1037,"Coosa, AL",74.0,97.0,97.0,140.0,180.0,207.0,172.0,133.0,127.0,72.0,55.0,37.0
1039,"Covington, AL",435.0,298.0,290.0,337.0,317.0,389.0,468.0,513.0,561.0,588.0,619.0,589.0
