GeoFIPS,GeoName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1001,"Autauga, AL",2840.0,2721.0,2751.0,2727.0,2728.0,2692.0,2894.0,2689.0,2473.0,2314.0,2642.0,2363.0
1003,"Baldwin, AL",3608.0,3793.0,3712.0,3755.0,4008.0,4072.0,4173.0,4332.0,4731.0,4968.0,5257.0,5358.0
1005,"Barbour, AL",623.0,661.0,683.0,626.0,676.0,690.0,644.0,704.0,619.0,590.0,620.0,611.0
1007,"Bibb, AL",392.0,380.0,407.0,354.0,297.0,307.0,369.0,409.0,427.0,431.0,477.0,433.0
1009,"Blount, AL",1007.0,998.0,1043.0,1016.0,946.0,1139.0,1175.0,1104.0,979.0,995.0,859.0,819.0
1011,"Bullock, AL",341.0,265.0,253.0,267.0,235.0,271.0,339.0,226.0,258.0,453.0,353.0,341.0
1013,"Butler, AL",613.0,709.0,617.0,526.0,428.0,431.0,408.0,442.0,433.0,391.0,429.0,483.0
1015,"Calhoun, AL",4469.0,4487.0,4469.0,4134.0,4102.0,3910.0,3725.0,3610.0,3453.0,3433.0,3707.0,3512.0
1017,"Chambers, AL",370.0,443.0,474.0,466.0,467.0,507.0,492.0,466.0,595.0,710.0,639.0,541.0
1019,"Cherokee, AL",461.0,444.0,395.0,438.0,627.0,688.0,671.0,631.0,604.0,497.0,556.0,552.0
1021,"Chilton, AL",1161.0,1077.0,1314.0,1392.0,1325.0,1052.0,1091.0,948.0,862.0,821.0,878.0,843.0
1023,"Choctaw, AL",246.0,223.0,215.0,155.0,164.0,146.0,94.0,107.0,180.0,166.0,173.0,148.0
1025,"Clarke, AL",344.0,450.0,452.0,382.0,450.0,372.0,386.0,294.0,296.0,309.0,289.0,251.0
1027,"Clay, AL",372.0,531.0,598.0,636.0,475.0,406.0,290.0,281.0,242.0,240.0,216.0,307.0
1029,"Cleburne, AL",278.0,353.0,284.0,273.0,315.0,313.0,262.0,304.0,317.0,278.0,347.0,340.0
1031,"Coffee, AL",1649.0,1885.0,1886.0,1932.0,2167.0,2131.0,1963.0,2008.0,2160.0,2089.0,2001.0,2030.0
1033,"Colbert, AL",918.0,792.0,943.0,699.0,732.0,715.0,805.0,825.0,894.0,862.0,965.0,1083.0
1035,"Conecuh, AL",328.0,240.0,299.0,249.0,137.0,149.0,161.0,174.0,285.0,330.0,251.0,279.0
1037,"Coosa, AL",184.0,206.0,251.0,311.0,322.0,306.0,246.0,227.0,185.0,196.0,212.0,198.0
1039,"Covington, AL",624.0,734.0,784.0,814.0,870.0,880.0,732.0,702.0,862.0,725.0,939.0,949.0
1041,"Crenshaw, AL",414.0,459.0,464.0,448.0,402.0,432.0,427.0,437.0,422.0,428.0,378.0,276.0
1043,"Cullman, AL",1072.0,1189.0,1269.0,1315.0,1225.0,1041.0,1061.0,1098.0,1081.0,1028.0,1411.0,1508.0
1045,"Dale, AL",1680.0,1804.0,1779.0,1751.0,1685.0,1595.0,1530.0,1667.0,1552.0,1373.0,1332.0,1300.0
1047,"Dallas, AL",1180.0,1119.0,1078.0,1069.0,929.0,979.0,924.0,882.0,897.0,851.0,633.0,680.0
1049,"DeKalb, AL",922.0,930.0,888.0,959.0,1060.0,1017.0,1134.0,1246.0,1070.0,1114.0,1025.0,822.0
1051,"Elmore, AL",3505.0,3793.0,4133.0,4026.0,4336.0,4445.0,4075.0,3881.0,3940.0,4083.0,3939.0,4022.0
1053,"Escambia, AL",1083.0,1138.0,905.0,867.0,841.0,887.0,938.0,1156.0,1177.0,1118.0,1053.0,1054.0
1055,"Etowah, AL",2119.0,2393.0,2371.0,2320.0,2144.0,2085.0,1941.0,2003.0,2199.0,2211.0,2129.0,2085.0
1057,"Fayette, AL",159.0,152.0,151.0,133.0,130.0,189.0,212.0,268.0,214.0,200.0,147.0,164.0
1059,"Franklin, AL",434.0,416.0,457.0,383.0,435.0,355.0,417.0,423.0,413.0,446.0,431.0,330.0
1061,"Geneva, AL",695.0,775.0,746.0,752.0,730.0,637.0,595.0,671.0,643.0,569.0,520.0,448.0
1063,"Greene, AL",155.0,233.0,161.0,121.0,109.0,123.0,132.0,176.0,211.0,245.0,358.0,267.0
1065,"Hale, AL",370.0,322.0,344.0,319.0,272.0,249.0,168.0,177.0,150.0,176.0,188.0,172.0
1067,"Henry, AL",366.0,360.0,246.0,274.0,268.0,222.0,225.0,196.0,147.0,125.0,168.0,295.0
1069,"Houston, AL",1860.0,1980.0,2050.0,2159.0,2322.0,2185.0,2143.0,2087.0,2082.0,2016.0,2289.0,2354.0
1071,"Jackson, AL",720.0,747.0,873.0,988.0,941.0,974.0,839.0,721.0,593.0,743.0,711.0,744.0
1073,"Jefferson, AL",12533.0,12572.0,12392.0,11764.0,11971.0,11687.0,11392.0,11572.0,12219.0,12479.0,13005.0,13519.0
1075,"Lamar, AL",249.0,178.0,183.0,181.0,258.0,225.0,269.0,354.0,364.0,337.0,409.0,344.0
1077,"Lauderdale, AL",1267.0,1066.0,1164.0,1255.0,1305.0,1520.0,1613.0,1668.0,1609.0,1470.0,2155.0,2014.0
1079,"Lawrence, AL",635.0,588.0,575.0,471.0,584.0,614.0,534.0,525.0,513.0,415.0,351.0,399.0
1081,"Lee, AL",2426.0,2600.0,2744.0,3154.0,3136.0,3267.0,3187.0,2858.0,2631.0,2805.0,2914.0,2905.0
1083,"Limestone, AL",2133.0,2323.0,2178.0,2146.0,2111.0,2170.0,2356.0,2591.0,2760.0,2686.0,2845.0,2977.0
1085,"Lowndes, AL",349.0,304.0,275.0,205.0,264.0,306.0,217.0,237.0,221.0,181.0,187.0,193.0
1087,"Macon, AL",577.0,526.0,566.0,469.0,530.0,603.0,578.0,472.0,497.0,447.0,428.0,496.0
1089,"Madison, AL",13521.0,13689.0,14187.0,14569.0,14842.0,14902.0,15595.0,15353.0,15668.0,16045.0,16552.0,16744.0
1091,"Marengo, AL",237.0,309.0,394.0,365.0,311.0,428.0,349.0,295.0,330.0,515.0,532.0,587.0
1093,"Marion, AL",644.0,652.0,729.0,712.0,674.0,701.0,781.0,646.0,621.0,654.0,545.0,459.0
1095,"Marshall, AL",1853.0,1787.0,1965.0,2116.0,2123.0,1927.0,1697.0,1551.0,1469.0,1367.0,1478.0,1705.0
1097,"Mobile, AL",7437.0,7063.0,7042.0,6625.0,6669.0,6373.0,6540.0,6727.0,6444.0,6584.0,7174.0,7253.0
1099,"Monroe, AL",527.0,474.0,487.0,546.0,608.0,498.0,508.0,472.0,381.0,324.0,342.0,412.0
1101,"Montgomery, AL",12299.0,12125.0,11905.0,11783.0,11999.0,11594.0,11377.0,11216.0,10714.0,10657.0,10602.0,10235.0
1103,"Morgan, AL",2142.0,2107.0,1954.0,1924.0,1985.0,2157.0,2234.0,2309.0,2329.0,2124.0,1821.0,2119.0
1105,"Perry, AL",169.0,157.0,150.0,64.0,108.0,187.0,184.0,201.0,196.0,164.0,129.0,48.0
1107,"Pickens, AL",278.0,205.0,185.0,190.0,161.0,261.0,267.0,401.0,354.0,451.0,428.0,412.0
1109,"Pike, AL",750.0,879.0,915.0,934.0,858.0,724.0,714.0,793.0,707.0,678.0,787.0,865.0
1111,"Randolph, AL",431.0,470.0,497.0,375.0,331.0,330.0,367.0,271.0,347.0,381.0,399.0,316.0
1113,"Russell, AL",1129.0,1401.0,1578.0,1775.0,2072.0,2152.0,2013.0,2180.0,2043.0,2059.0,1760.0,1723.0
1115,"St. Clair, AL",1830.0,1910.0,1937.0,2147.0,2008.0,1635.0,1524.0,1696.0,1610.0,1690.0,1756.0,1929.0
1117,"Shelby, AL",3118.0,3506.0,3642.0,4036.0,4370.0,4188.0,3942.0,3960.0,3936.0,3887.0,3927.0,4438.0
1119,"Sumter, AL",255.0,430.0,272.0,368.0,315.0,302.0,214.0,267.0,348.0,316.0,269.0,239.0
1121,"Talladega, AL",1781.0,1711.0,1876.0,1736.0,1480.0,1510.0,1580.0,1463.0,1623.0,1815.0,1862.0,1924.0
1123,"Tallapoosa, AL",768.0,854.0,873.0,914.0,936.0,766.0,698.0,683.0,652.0,719.0,597.0,674.0
