GeoFIPS,GeoName,Year,Value
1001,"Autauga, AL",2010,424.0
1001,"Autauga, AL",2011,408.0
1001,"Autauga, AL",2012,397.0
1001,"Autauga, AL",2013,375.0
1001,"Autauga, AL",2014,365.0
1001,"Autauga, AL",2015,304.0
1001,"Autauga, AL",2016,273.0
1001,"Autauga, AL",2017,373.0
1001,"Autauga, AL",2018,450.0
1001,"Autauga, AL",2019,403.0
1001,"Autauga, AL",2020,344.0
1001,"Autauga, AL",2021,484.0
1003,"Baldwin, AL",2010,2517.0
1003,"Baldwin, AL",2011,2705.0
1003,"Baldwin, AL",2012,2340.0
1003,"Baldwin, AL",2013,2360.0
1003,"Baldwin, AL",2014,2831.0
1003,"Baldwin, AL",2015,2877.0
1003,"Baldwin, AL",2016,2999.0
1003,"Baldwin, AL",2017,3468.0
1003,"Baldwin, AL",2018,3506.0
1003,"Baldwin, AL",2019,3352.0
1003,"Baldwin, AL",2020,3334.0
1003,"Baldwin, AL",2021,3798.0
1005,"Barbour, AL",2010,111.0
1005,"Barbour, AL",2011,112.0
1005,"Barbour, AL",2012,83.0
1005,"Barbour, AL",2013,77.0
1005,"Barbour, AL",2014,46.0
1005,"Barbour, AL",2015,33.0
1005,"Barbour, AL",2016,66.0
1005,"Barbour, AL",2017,111.0
1005,"Barbour, AL",2018,120.0
1005,"Barbour, AL",2019,130.0
1005,"Barbour, AL",2020,117.0
1005,"Barbour, AL",2021,102.0
1007,"Bibb, AL",2010,276.0
1007,"Bibb, AL",2011,296.0
1007,"Bibb, AL",2012,193.0
1007,"Bibb, AL",2013,75.0
1007,"Bibb, AL",2014,65.0
1007,"Bibb, AL",2015,76.0
1007,"Bibb, AL",2016,76.0
1007,"Bibb, AL",2017,103.0
1007,"Bibb, AL",2018,88.0
1007,"Bibb, AL",2019,90.0
1007,"Bibb, AL",2020,75.0
1007,"Bibb, AL",2021,156.0
1009,"Blount, AL",2010,272.0
1009,"Blount, AL",2011,313.0
1009,"Blount, AL",2012,290.0
1009,"Blount, AL",2013,301.0
1009,"Blount, AL",2014,419.0
1009,"Blount, AL",2015,353.0
1009,"Blount, AL",2016,322.0
1009,"Blount, AL",2017,289.0
1009,"Blount, AL",2018,354.0
1009,"Blount, AL",2019,348.0
1009,"Blount, AL",2020,416.0
1009,"Blount, AL",2021,302.0
1011,"Bullock, AL",2010,14.0
1011,"Bullock, AL",2011,15.0
1011,"Bullock, AL",2012,15.0
1011,"Bullock, AL",2013,37.0
1011,"Bullock, AL",2014,43.0
1011,"Bullock, AL",2015,38.0
1011,"Bullock, AL",2016,39.0
1011,"Bullock, AL",2017,31.0
1011,"Bullock, AL",2018,18.0
1011,"Bullock, AL",2019,40.0
1011,"Bullock, AL",2020,27.0
1011,"Bullock, AL",2021,32.0
1013,"Butler, AL",2010,129.0
1013,"Butler, AL",2011,126.0
1013,"Butler, AL",2012,100.0
1013,"Butler, AL",2013,46.0
1013,"Butler, AL",2014,43.0
1013,"Butler, AL",2015,40.0
1013,"Butler, AL",2016,56.0
1013,"Butler, AL",2017,81.0
1013,"Butler, AL",2018,96.0
1013,"Butler, AL",2019,116.0
1013,"Butler, AL",2020,95.0
1013,"Butler, AL",2021,62.0
1015,"Calhoun, AL",2010,503.0
1015,"Calhoun, AL",2011,436.0
1015,"Calhoun, AL",2012,463.0
1015,"Calhoun, AL",2013,491.0
1015,"Calhoun, AL",2014,479.0
1015,"Calhoun, AL",2015,441.0
1015,"Calhoun, AL",2016,476.0
1015,"Calhoun, AL",2017,499.0
1015,"Calhoun, AL",2018,462.0
1015,"Calhoun, AL",2019,463.0
1015,"Calhoun, AL",2020,547.0
1015,"Calhoun, AL",2021,595.0
1017,"Chambers, AL",2010,84.0
1017,"Chambers, AL",2011,71.0
1017,"Chambers, AL",2012,104.0
1017,"Chambers, AL",2013,102.0
1017,"Chambers, AL",2014,116.0
1017,"Chambers, AL",2015,99.0
1017,"Chambers, AL",2016,106.0
1017,"Chambers, AL",2017,123.0
1017,"Chambers, AL",2018,139.0
1017,"Chambers, AL",2019,115.0
1017,"Chambers, AL",2020,200.0
1017,"Chambers, AL",2021,171.0
1019,"Cherokee, AL",2010,76.0
1019,"Cherokee, AL",2011,116.0
1019,"Cherokee, AL",2012,96.0
1019,"Cherokee, AL",2013,93.0
1019,"Cherokee, AL",2014,96.0
1019,"Cherokee, AL",2015,53.0
1019,"Cherokee, AL",2016,74.0
1019,"Cherokee, AL",2017,45.0
1019,"Cherokee, AL",2018,25.0
1019,"Cherokee, AL",2019,41.0
1019,"Cherokee, AL",2020,37.0
1019,"Cherokee, AL",2021,20.0
1021,"Chilton, AL",2010,233.0
1021,"Chilton, AL",2011,194.0
1021,"Chilton, AL",2012,169.0
1021,"Chilton, AL",2013,148.0
1021,"Chilton, AL",2014,134.0
1021,"Chilton, AL",2015,151.0
1021,"Chilton, AL",2016,97.0
1021,"Chilton, AL",2017,133.0
1021,"Chilton, AL",2018,176.0
1021,"Chilton, AL",2019,231.0
1021,"Chilton, AL",2020,323.0
1021,"Chilton, AL",2021,425.0
1023,"Choctaw, AL",2010,32.0
1023,"Choctaw, AL",2011,34.0
1023,"Choctaw, AL",2012,27.0
1023,"Choctaw, AL",2013,26.0
1023,"Choctaw, AL",2014,24.0
1023,"Choctaw, AL",2015,11.0
1023,"Choctaw, AL",2016,16.0
1023,"Choctaw, AL",2017,11.0
1023,"Choctaw, AL",2018,11.0
1023,"Choctaw, AL",2019,18.0
1023,"Choctaw, AL",2020,19.0
1023,"Choctaw, AL",2021,14.0
1025,"Clarke, AL",2010,123.0
1025,"Clarke, AL",2011,100.0
1025,"Clarke, AL",2012,190.0
1025,"Clarke, AL",2013,115.0
1025,"Clarke, AL",2014,113.0
1025,"Clarke, AL",2015,116.0
1025,"Clarke, AL",2016,92.0
1025,"Clarke, AL",2017,42.0
1025,"Clarke, AL",2018,76.0
1025,"Clarke, AL",2019,124.0
1025,"Clarke, AL",2020,246.0
1025,"Clarke, AL",2021,273.0
1027,"Clay, AL",2010,73.0
1027,"Clay, AL",2011,50.0
1027,"Clay, AL",2012,41.0
1027,"Clay, AL",2013,54.0
1027,"Clay, AL",2014,65.0
1027,"Clay, AL",2015,47.0
1027,"Clay, AL",2016,82.0
1027,"Clay, AL",2017,81.0
1027,"Clay, AL",2018,79.0
1027,"Clay, AL",2019,70.0
1027,"Clay, AL",2020,57.0
1027,"Clay, AL",2021,17.0
1029,"Cleburne, AL",2010,47.0
1029,"Cleburne, AL",2011,21.0
1029,"Cleburne, AL",2012,17.0
1029,"Cleburne, AL",2013,15.0
1029,"Cleburne, AL",2014,34.0
1029,"Cleburne, AL",2015,49.0
1029,"Cleburne, AL",2016,76.0
1029,"Cleburne, AL",2017,81.0
1029,"Cleburne, AL",2018,86.0
1029,"Cleburne, AL",2019,84.0
1029,"Cleburne, AL",2020,71.0
1029,"Cleburne, AL",2021,62.0
1031,"Coffee, AL",2010,380.0
1031,"Coffee, AL",2011,330.0
1031,"Coffee, AL",2012,296.0
1031,"Coffee, AL",2013,207.0
1031,"Coffee, AL",2014,196.0
1031,"Coffee, AL",2015,224.0
1031,"Coffee, AL",2016,226.0
1031,"Coffee, AL",2017,248.0
1031,"Coffee, AL",2018,312.0
1031,"Coffee, AL",2019,335.0
1031,"Coffee, AL",2020,290.0
1031,"Coffee, AL",2021,335.0
1033,"Colbert, AL",2010,193.0
1033,"Colbert, AL",2011,180.0
1033,"Colbert, AL",2012,180.0
1033,"Colbert, AL",2013,182.0
1033,"Colbert, AL",2014,253.0
1033,"Colbert, AL",2015,291.0
1033,"Colbert, AL",2016,295.0
1033,"Colbert, AL",2017,321.0
1033,"Colbert, AL",2018,329.0
1033,"Colbert, AL",2019,253.0
1033,"Colbert, AL",2020,221.0
1033,"Colbert, AL",2021,214.0
1035,"Conecuh, AL",2010,24.0
1035,"Conecuh, AL",2011,29.0
1035,"Conecuh, AL",2012,11.0
1035,"Conecuh, AL",2013,12.0
1035,"Conecuh, AL",2014,8.0
