GeoFIPS,GeoName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1001,"Autauga, AL",424.0,408.0,397.0,375.0,365.0,304.0,273.0,373.0,450.0,403.0,344.0,484.0
1003,"Baldwin, AL",2517.0,2705.0,2340.0,2360.0,2831.0,2877.0,2999.0,3468.0,3506.0,3352.0,3334.0,3798.0
1005,"Barbour, AL",111.0,112.0,83.0,77.0,46.0,33.0,66.0,111.0,120.0,130.0,117.0,102.0
1007,"Bibb, AL",276.0,296.0,193.0,75.0,65.0,76.0,76.0,103.0,88.0,90.0,75.0,156.0
1009,"Blount, AL",272.0,313.0,290.0,301.0,419.0,353.0,322.0,289.0,354.0,348.0,416.0,302.0
1011,"Bullock, AL",14.0,15.0,15.0,37.0,43.0,38.0,39.0,31.0,18.0,40.0,27.0,32.0
1013,"Butler, AL",129.0,126.0,100.0,46.0,43.0,40.0,56.0,81.0,96.0,116.0,95.0,62.0
1015,"Calhoun, AL",503.0,436.0,463.0,491.0,479.0,441.0,476.0,499.0,462.0,463.0,547.0,595.0
1017,"Chambers, AL",84.0,71.0,104.0,102.0,116.0,99.0,106.0,123.0,139.0,115.0,200.0,171.0
1019,"Cherokee, AL",76.0,116.0,96.0,93.0,96.0,53.0,74.0,45.0,25.0,41.0,37.0,20.0
1021,"Chilton, AL",233.0,194.0,169.0,148.0,134.0,151.0,97.0,133.0,176.0,231.0,323.0,425.0
1023,"Choctaw, AL",32.0,34.0,27.0,26.0,24.0,11.0,16.0,11.0,11.0,18.0,19.0,14.0
1025,"Clarke, AL",123.0,100.0,190.0,115.0,113.0,116.0,92.0,42.0,76.0,124.0,246.0,273.0
1027,"Clay, AL",73.0,50.0,41.0,54.0,65.0,47.0,82.0,81.0,79.0,70.0,57.0,17.0
1029,"Cleburne, AL",47.0,21.0,17.0,15.0,34.0,49.0,76.0,81.0,86.0,84.0,71.0,62.0
1031,"Coffee, AL",380.0,330.0,296.0,207.0,196.0,224.0,226.0,248.0,312.0,335.0,290.0,335.0
1033,"Colbert, AL",193.0,180.0,180.0,182.0,253.0,291.0,295.0,321.0,329.0,253.0,221.0,214.0
1035,"Conecuh, AL",24.0,29.0,11.0,12.0,8.0,10.0,28.0,20.0,30.0,37.0,46.0,17.0
1037,"Coosa, AL",9.0,9.0,6.0,27.0,26.0,30.0,32.0,45.0,21.0,17.0,24.0,38.0
1039,"Covington, AL",181.0,181.0,202.0,229.0,230.0,180.0,128.0,96.0,60.0,79.0,116.0,146.0
1041,"Crenshaw, AL",123.0,107.0,55.0,46.0,59.0,48.0,87.0,65.0,56.0,50.0,62.0,42.0
1043,"Cullman, AL",488.0,455.0,514.0,591.0,516.0,518.0,536.0,482.0,385.0,433.0,411.0,441.0
1045,"Dale, AL",254.0,198.0,161.0,178.0,251.0,187.0,174.0,215.0,202.0,159.0,182.0,202.0
1047,"Dallas, AL",243.0,244.0,144.0,191.0,92.0,107.0,120.0,118.0,104.0,131.0,99.0,79.0
1049,"DeKalb, AL",214.0,214.0,195.0,120.0,133.0,109.0,145.0,145.0,209.0,251.0,273.0,326.0
1051,"Elmore, AL",511.0,456.0,414.0,420.0,376.0,516.0,565.0,608.0,584.0,530.0,426.0,466.0
1053,"Escambia, AL",157.0,127.0,91.0,89.0,83.0,186.0,213.0,187.0,184.0,199.0,81.0,86.0
1055,"Etowah, AL",657.0,541.0,421.0,291.0,320.0,362.0,378.0,392.0,423.0,521.0,398.0,437.0
1057,"Fayette, AL",13.0,0.0,6.0,12.0,17.0,24.0,32.0,46.0,53.0,72.0,49.0,35.0
1059,"Franklin, AL",150.0,91.0,73.0,81.0,71.0,61.0,54.0,83.0,82.0,62.0,88.0,73.0
1061,"Geneva, AL",41.0,30.0,47.0,46.0,51.0,83.0,115.0,109.0,98.0,92.0,52.0,26.0
