GeoFIPS,GeoName,Year,Value
1001,"Autauga, AL",2010,3083.0
1001,"Autauga, AL",2011,3017.0
1001,"Autauga, AL",2012,3256.0
1001,"Autauga, AL",2013,3238.0
1001,"Autauga, AL",2014,3087.0
1001,"Autauga, AL",2015,2696.0
1001,"Autauga, AL",2016,2529.0
1001,"Autauga, AL",2017,2366.0
1001,"Autauga, AL",2018,2154.0
1001,"Autauga, AL",2019,2438.0
1001,"Autauga, AL",2020,2624.0
1001,"Autauga, AL",2021,3042.0
1003,"Baldwin, AL",2010,10814.0
1003,"Baldwin, AL",2011,11381.0
1003,"Baldwin, AL",2012,12571.0
1003,"Baldwin, AL",2013,12003.0
1003,"Baldwin, AL",2014,12089.0
1003,"Baldwin, AL",2015,13025.0
1003,"Baldwin, AL",2016,13195.0
1003,"Baldwin, AL",2017,12199.0
1003,"Baldwin, AL",2018,12801.0
1003,"Baldwin, AL",2019,12972.0
1003,"Baldwin, AL",2020,13434.0
1003,"Baldwin, AL",2021,14967.0
1005,"Barbour, AL",2010,1237.0
1005,"Barbour, AL",2011,1300.0
1005,"Barbour, AL",2012,1119.0
1005,"Barbour, AL",2013,1126.0
1005,"Barbour, AL",2014,1024.0
1005,"Barbour, AL",2015,1092.0
1005,"Barbour, AL",2016,1043.0
1005,"Barbour, AL",2017,1021.0
1005,"Barbour, AL",2018,926.0
1005,"Barbour, AL",2019,923.0
1005,"Barbour, AL",2020,930.0
1005,"Barbour, AL",2021,816.0
1007,"Bibb, AL",2010,1346.0
1007,"Bibb, AL",2011,1403.0
1007,"Bibb, AL",2012,1272.0
1007,"Bibb, AL",2013,1139.0
1007,"Bibb, AL",2014,1004.0
1007,"Bibb, AL",2015,818.0
1007,"Bibb, AL",2016,850.0
1007,"Bibb, AL",2017,758.0
1007,"Bibb, AL",2018,741.0
1007,"Bibb, AL",2019,979.0
1007,"Bibb, AL",2020,898.0
1007,"Bibb, AL",2021,950.0
1009,"Blount, AL",2010,2858.0
1009,"Blount, AL",2011,2682.0
1009,"Blount, AL",2012,2740.0
1009,"Blount, AL",2013,2597.0
1009,"Blount, AL",2014,2473.0
1009,"Blount, AL",2015,2577.0
1009,"Blount, AL",2016,2417.0
1009,"Blount, AL",2017,2388.0
1009,"Blount, AL",2018,2510.0
1009,"Blount, AL",2019,2477.0
1009,"Blount, AL",2020,2376.0
1009,"Blount, AL",2021,2958.0
1011,"Bullock, AL",2010,543.0
1011,"Bullock, AL",2011,519.0
1011,"Bullock, AL",2012,543.0
1011,"Bullock, AL",2013,396.0
1011,"Bullock, AL",2014,459.0
1011,"Bullock, AL",2015,459.0
1011,"Bullock, AL",2016,441.0
1011,"Bullock, AL",2017,360.0
1011,"Bullock, AL",2018,255.0
1011,"Bullock, AL",2019,218.0
1011,"Bullock, AL",2020,218.0
1011,"Bullock, AL",2021,236.0
1013,"Butler, AL",2010,1060.0
1013,"Butler, AL",2011,985.0
1013,"Butler, AL",2012,1028.0
1013,"Butler, AL",2013,1014.0
1013,"Butler, AL",2014,991.0
1013,"Butler, AL",2015,1098.0
1013,"Butler, AL",2016,923.0
1013,"Butler, AL",2017,814.0
1013,"Butler, AL",2018,886.0
1013,"Butler, AL",2019,893.0
1013,"Butler, AL",2020,808.0
1013,"Butler, AL",2021,736.0
1015,"Calhoun, AL",2010,5666.0
1015,"Calhoun, AL",2011,5633.0
1015,"Calhoun, AL",2012,5688.0
1015,"Calhoun, AL",2013,5736.0
1015,"Calhoun, AL",2014,5575.0
1015,"Calhoun, AL",2015,5666.0
1015,"Calhoun, AL",2016,5706.0
1015,"Calhoun, AL",2017,5905.0
1015,"Calhoun, AL",2018,6089.0
1015,"Calhoun, AL",2019,6172.0
1015,"Calhoun, AL",2020,6315.0
1015,"Calhoun, AL",2021,6291.0
1017,"Chambers, AL",2010,1665.0
1017,"Chambers, AL",2011,1680.0
1017,"Chambers, AL",2012,1645.0
1017,"Chambers, AL",2013,1592.0
1017,"Chambers, AL",2014,1612.0
1017,"Chambers, AL",2015,1601.0
1017,"Chambers, AL",2016,1735.0
1017,"Chambers, AL",2017,1739.0
1017,"Chambers, AL",2018,1540.0
1017,"Chambers, AL",2019,1400.0
1017,"Chambers, AL",2020,1286.0
1017,"Chambers, AL",2021,1261.0
1019,"Cherokee, AL",2010,1245.0
1019,"Cherokee, AL",2011,1389.0
1019,"Cherokee, AL",2012,1246.0
1019,"Cherokee, AL",2013,1255.0
1019,"Cherokee, AL",2014,1298.0
1019,"Cherokee, AL",2015,1130.0
1019,"Cherokee, AL",2016,1029.0
1019,"Cherokee, AL",2017,1060.0
1019,"Cherokee, AL",2018,1080.0
1019,"Cherokee, AL",2019,965.0
1019,"Cherokee, AL",2020,1071.0
1019,"Cherokee, AL",2021,1022.0
1021,"Chilton, AL",2010,2104.0
1021,"Chilton, AL",2011,2256.0
1021,"Chilton, AL",2012,2282.0
1021,"Chilton, AL",2013,2179.0
1021,"Chilton, AL",2014,2206.0
1021,"Chilton, AL",2015,2397.0
1021,"Chilton, AL",2016,2270.0
1021,"Chilton, AL",2017,2222.0
1021,"Chilton, AL",2018,2060.0
1021,"Chilton, AL",2019,2178.0
1021,"Chilton, AL",2020,2337.0
1021,"Chilton, AL",2021,2333.0
1023,"Choctaw, AL",2010,653.0
1023,"Choctaw, AL",2011,640.0
1023,"Choctaw, AL",2012,508.0
1023,"Choctaw, AL",2013,511.0
1023,"Choctaw, AL",2014,477.0
1023,"Choctaw, AL",2015,469.0
1023,"Choctaw, AL",2016,534.0
1023,"Choctaw, AL",2017,675.0
1023,"Choctaw, AL",2018,624.0
1023,"Choctaw, AL",2019,634.0
1023,"Choctaw, AL",2020,652.0
1023,"Choctaw, AL",2021,640.0
1025,"Clarke, AL",2010,1071.0
1025,"Clarke, AL",2011,1212.0
1025,"Clarke, AL",2012,1404.0
1025,"Clarke, AL",2013,1375.0
1025,"Clarke, AL",2014,1364.0
1025,"Clarke, AL",2015,1422.0
1025,"Clarke, AL",2016,1261.0
1025,"Clarke, AL",2017,1168.0
1025,"Clarke, AL",2018,947.0
1025,"Clarke, AL",2019,951.0
1025,"Clarke, AL",2020,990.0
1025,"Clarke, AL",2021,1126.0
1027,"Clay, AL",2010,389.0
1027,"Clay, AL",2011,367.0
1027,"Clay, AL",2012,382.0
1027,"Clay, AL",2013,364.0
1027,"Clay, AL",2014,551.0
1027,"Clay, AL",2015,535.0
1027,"Clay, AL",2016,557.0
1027,"Clay, AL",2017,556.0
1027,"Clay, AL",2018,616.0
1027,"Clay, AL",2019,736.0
1027,"Clay, AL",2020,746.0
1027,"Clay, AL",2021,655.0
1029,"Cleburne, AL",2010,635.0
1029,"Cleburne, AL",2011,807.0
1029,"Cleburne, AL",2012,952.0
1029,"Cleburne, AL",2013,820.0
1029,"Cleburne, AL",2014,902.0
1029,"Cleburne, AL",2015,858.0
1029,"Cleburne, AL",2016,805.0
1029,"Cleburne, AL",2017,735.0
1029,"Cleburne, AL",2018,759.0
1029,"Cleburne, AL",2019,629.0
1029,"Cleburne, AL",2020,489.0
1029,"Cleburne, AL",2021,534.0
1031,"Coffee, AL",2010,2699.0
1031,"Coffee, AL",2011,2598.0
1031,"Coffee, AL",2012,2802.0
1031,"Coffee, AL",2013,2898.0
1031,"Coffee, AL",2014,2915.0
1031,"Coffee, AL",2015,2898.0
1031,"Coffee, AL",2016,2926.0
1031,"Coffee, AL",2017,2786.0
1031,"Coffee, AL",2018,2384.0
1031,"Coffee, AL",2019,2355.0
1031,"Coffee, AL",2020,2645.0
1031,"Coffee, AL",2021,2381.0
1033,"Colbert, AL",2010,2836.0
1033,"Colbert, AL",2011,2846.0
1033,"Colbert, AL",2012,2591.0
1033,"Colbert, AL",2013,2724.0
1033,"Colbert, AL",2014,2747.0
1033,"Colbert, AL",2015,2807.0
1033,"Colbert, AL",2016,2919.0
1033,"Colbert, AL",2017,3121.0
1033,"Colbert, AL",2018,2920.0
1033,"Colbert, AL",2019,2863.0
1033,"Colbert, AL",2020,2581.0
1033,"Colbert, AL",2021,2754.0
1035,"Conecuh, AL",2010,593.0
1035,"Conecuh, AL",2011,477.0
