GeoFIPS,GeoName,Year,Value
1001,"Autauga, AL",2010,-0.4292854498333951
1001,"Autauga, AL",2011,-0.44150314698259907
1001,"Autauga, AL",2012,-0.3972602739726028
1001,"Autauga, AL",2013,-0.400592373195113
1001,"Autauga, AL",2014,-0.42854498333950386
1001,"Autauga, AL",2015,-0.500925583117364
1001,"Autauga, AL",2016,-0.5318400592373196
1001,"Autauga, AL",2017,-0.562014068863384
1001,"Autauga, AL",2018,-0.6012587930396149
1001,"Autauga, AL",2019,-0.5486856719733433
1001,"Autauga, AL",2020,-0.5142539800074046
1001,"Autauga, AL",2021,-0.43687523139577933
1003,"Baldwin, AL",2010,0.010799774064974283
1003,"Baldwin, AL",2011,0.011931445086012986
1003,"Baldwin, AL",2012,0.014306557105476927
1003,"Baldwin, AL",2013,0.013172890191984896
1003,"Baldwin, AL",2014,0.013344536942971365
1003,"Baldwin, AL",2015,0.015212692279289224
1003,"Baldwin, AL",2016,0.0155519939963555
1003,"Baldwin, AL",2017,0.01356408511283778
1003,"Baldwin, AL",2018,0.014765612369743069
1003,"Baldwin, AL",2019,0.015106909979262678
1003,"Baldwin, AL",2020,0.016029012292701622
1003,"Baldwin, AL",2021,0.019088715423658108
1005,"Barbour, AL",2010,-0.7710107367641614
1005,"Barbour, AL",2011,-0.7593483894853759
1005,"Barbour, AL",2012,-0.7928544983339505
1005,"Barbour, AL",2013,-0.791558681969641
1005,"Barbour, AL",2014,-0.8104405775638653
1005,"Barbour, AL",2015,-0.7978526471677158
1005,"Barbour, AL",2016,-0.8069233617178824
1005,"Barbour, AL",2017,-0.8109959274342837
1005,"Barbour, AL",2018,-0.8285820066641986
1005,"Barbour, AL",2019,-0.829137356534617
1005,"Barbour, AL",2020,-0.8278415401703074
1005,"Barbour, AL",2021,-0.8489448352462051
1007,"Bibb, AL",2010,-0.7508330248056276
1007,"Bibb, AL",2011,-0.7402813772676787
1007,"Bibb, AL",2012,-0.764531654942614
1007,"Bibb, AL",2013,-0.7891521658644948
1007,"Bibb, AL",2014,-0.8141429100333211
1007,"Bibb, AL",2015,-0.8485746019992597
1007,"Bibb, AL",2016,-0.8426508700481304
1007,"Bibb, AL",2017,-0.8596815994076268
1007,"Bibb, AL",2018,-0.8628285820066642
1007,"Bibb, AL",2019,-0.8187708256201407
1007,"Bibb, AL",2020,-0.8337652721214366
1007,"Bibb, AL",2021,-0.8241392077008516
1009,"Blount, AL",2010,-0.47093669011477235
1009,"Blount, AL",2011,-0.5035172158459831
1009,"Blount, AL",2012,-0.4927804516845613
1009,"Blount, AL",2013,-0.51925212884117
1009,"Blount, AL",2014,-0.5422065901517957
1009,"Blount, AL",2015,-0.5229544613106258
1009,"Blount, AL",2016,-0.5525731210662718
1009,"Blount, AL",2017,-0.5579415031469827
1009,"Blount, AL",2018,-0.5353572750833024
1009,"Blount, AL",2019,-0.5414661236579045
1009,"Blount, AL",2020,-0.5601629026286561
1009,"Blount, AL",2021,-0.4524250277674936
1011,"Bullock, AL",2010,-0.8994816734542763
1011,"Bullock, AL",2011,-0.9039244724176232
1011,"Bullock, AL",2012,-0.8994816734542763
1011,"Bullock, AL",2013,-0.926693817104776
1011,"Bullock, AL",2014,-0.9150314698259904
1011,"Bullock, AL",2015,-0.9150314698259904
1011,"Bullock, AL",2016,-0.9183635690485006
1011,"Bullock, AL",2017,-0.9333580155497965
1011,"Bullock, AL",2018,-0.9527952610144391
1011,"Bullock, AL",2019,-0.9596445760829322
1011,"Bullock, AL",2020,-0.9596445760829322
1011,"Bullock, AL",2021,-0.9563124768604221
1013,"Butler, AL",2010,-0.8037763791188449
1013,"Butler, AL",2011,-0.8176601258793039
1013,"Butler, AL",2012,-0.8097001110699742
1013,"Butler, AL",2013,-0.8122917437985933
1013,"Butler, AL",2014,-0.8165494261384673
1013,"Butler, AL",2015,-0.7967419474268789
1013,"Butler, AL",2016,-0.829137356534617
1013,"Butler, AL",2017,-0.8493150684931507
1013,"Butler, AL",2018,-0.83598667160311
1013,"Butler, AL",2019,-0.8346908552388005
1013,"Butler, AL",2020,-0.8504257682339875
1013,"Butler, AL",2021,-0.8637541651240281
1015,"Calhoun, AL",2010,0.0005249197152260647
1015,"Calhoun, AL",2011,0.00045905526426614026
1015,"Calhoun, AL",2012,0.0005688293491993476
1015,"Calhoun, AL",2013,0.0006646321869592379
1015,"Calhoun, AL",2014,0.00034329350197293966
1015,"Calhoun, AL",2015,0.0005249197152260647
1015,"Calhoun, AL",2016,0.0006047554133593064
1015,"Calhoun, AL",2017,0.0010019380115721844
1015,"Calhoun, AL",2018,0.0013691822229850966
1015,"Calhoun, AL",2019,0.001534841296611573
1015,"Calhoun, AL",2020,0.0018202539174379125
1015,"Calhoun, AL",2021,0.0017723524985579675
1017,"Chambers, AL",2010,-0.6917808219178083
1017,"Chambers, AL",2011,-0.6890040725657165
1017,"Chambers, AL",2012,-0.6954831543872639
1017,"Chambers, AL",2013,-0.7052943354313218
1017,"Chambers, AL",2014,-0.7015920029618661
1017,"Chambers, AL",2015,-0.7036282858200666
1017,"Chambers, AL",2016,-0.6788226582747131
1017,"Chambers, AL",2017,-0.678082191780822
1017,"Chambers, AL",2018,-0.7149203998519067
1017,"Chambers, AL",2019,-0.7408367271380971
1017,"Chambers, AL",2020,-0.7619400222139948
1017,"Chambers, AL",2021,-0.7665679378008146
1019,"Cherokee, AL",2010,-0.7695298037763791
1019,"Cherokee, AL",2011,-0.7428730099962977
1019,"Cherokee, AL",2012,-0.7693446871529064
1019,"Cherokee, AL",2013,-0.7676786375416513
1019,"Cherokee, AL",2014,-0.7597186227323215
1019,"Cherokee, AL",2015,-0.7908182154757497
1019,"Cherokee, AL",2016,-0.8095149944465014
1019,"Cherokee, AL",2017,-0.8037763791188449
1019,"Cherokee, AL",2018,-0.8000740466493892
1019,"Cherokee, AL",2019,-0.8213624583487599
1019,"Cherokee, AL",2020,-0.8017400962606442
1019,"Cherokee, AL",2021,-0.8108108108108107
1021,"Chilton, AL",2010,-0.6105146242132544
1021,"Chilton, AL",2011,-0.5823768974453907
1021,"Chilton, AL",2012,-0.5775638652350981
1021,"Chilton, AL",2013,-0.5966308774527953
1021,"Chilton, AL",2014,-0.5916327286190299
1021,"Chilton, AL",2015,-0.5562754535357276
1021,"Chilton, AL",2016,-0.5797852647167716
1021,"Chilton, AL",2017,-0.5886708626434654
1021,"Chilton, AL",2018,-0.6186597556460571
1021,"Chilton, AL",2019,-0.5968159940762681
1021,"Chilton, AL",2020,-0.5673824509440948
1021,"Chilton, AL",2021,-0.568122917437986
1023,"Choctaw, AL",2010,-0.8791188448722695
1023,"Choctaw, AL",2011,-0.8815253609774159
