GeoFIPS,GeoName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1001,"Autauga, AL",3083.0,3017.0,3256.0,3238.0,3087.0,2696.0,2529.0,2366.0,2154.0,2438.0,2624.0,3042.0
1003,"Baldwin, AL",10814.0,11381.0,12571.0,12003.0,12089.0,13025.0,13195.0,12199.0,12801.0,12972.0,13434.0,14967.0
1005,"Barbour, AL",1237.0,1300.0,1119.0,1126.0,1024.0,1092.0,1043.0,1021.0,926.0,923.0,930.0,816.0
1007,"Bibb, AL",1346.0,1403.0,1272.0,1139.0,1004.0,818.0,850.0,758.0,741.0,979.0,898.0,950.0
1009,"Blount, AL",2858.0,2682.0,2740.0,2597.0,2473.0,2577.0,2417.0,2388.0,2510.0,2477.0,2376.0,2958.0
1011,"Bullock, AL",543.0,519.0,543.0,396.0,459.0,459.0,441.0,360.0,255.0,218.0,218.0,236.0
1013,"Butler, AL",1060.0,985.0,1028.0,1014.0,991.0,1098.0,923.0,814.0,886.0,893.0,808.0,736.0
1015,"Calhoun, AL",5666.0,5633.0,5688.0,5736.0,5575.0,5666.0,5706.0,5905.0,6089.0,6172.0,6315.0,6291.0
1017,"Chambers, AL",1665.0,1680.0,1645.0,1592.0,1612.0,1601.0,1735.0,1739.0,1540.0,1400.0,1286.0,1261.0
1019,"Cherokee, AL",1245.0,1389.0,1246.0,1255.0,1298.0,1130.0,1029.0,1060.0,1080.0,965.0,1071.0,1022.0
1021,"Chilton, AL",2104.0,2256.0,2282.0,2179.0,2206.0,2397.0,2270.0,2222.0,2060.0,2178.0,2337.0,2333.0
1023,"Choctaw, AL",653.0,640.0,508.0,511.0,477.0,469.0,534.0,675.0,624.0,634.0,652.0,640.0
1025,"Clarke, AL",1071.0,1212.0,1404.0,1375.0,1364.0,1422.0,1261.0,1168.0,947.0,951.0,990.0,1126.0
1027,"Clay, AL",389.0,367.0,382.0,364.0,551.0,535.0,557.0,556.0,616.0,736.0,746.0,655.0
1029,"Cleburne, AL",635.0,807.0,952.0,820.0,902.0,858.0,805.0,735.0,759.0,629.0,489.0,534.0
1031,"Coffee, AL",2699.0,2598.0,2802.0,2898.0,2915.0,2898.0,2926.0,2786.0,2384.0,2355.0,2645.0,2381.0
1033,"Colbert, AL",2836.0,2846.0,2591.0,2724.0,2747.0,2807.0,2919.0,3121.0,2920.0,2863.0,2581.0,2754.0
1035,"Conecuh, AL",593.0,477.0,338.0,401.0,485.0,503.0,585.0,742.0,639.0,716.0,595.0,509.0
1037,"Coosa, AL",390.0,397.0,332.0,404.0,359.0,346.0,269.0,333.0,355.0,423.0,583.0,571.0
1039,"Covington, AL",1948.0,2104.0,2081.0,1933.0,1817.0,1834.0,1607.0,1637.0,1688.0,1469.0,1547.0,1545.0
1041,"Crenshaw, AL",617.0,653.0,562.0,609.0,615.0,596.0,632.0,685.0,655.0,732.0,694.0,646.0
1043,"Cullman, AL",4266.0,3961.0,4124.0,4094.0,4138.0,4340.0,4666.0,4723.0,4631.0,4690.0,4816.0,5434.0
1045,"Dale, AL",2186.0,2230.0,2214.0,2268.0,2374.0,2721.0,2883.0,2858.0,2986.0,3011.0,2518.0,2500.0
1047,"Dallas, AL",1762.0,1621.0,1483.0,1522.0,1510.0,1602.0,1688.0,1617.0,1525.0,1648.0,1405.0,1651.0
1049,"DeKalb, AL",3298.0,3470.0,3514.0,3219.0,3262.0,3219.0,3641.0,3481.0,3590.0,3263.0,3260.0,2767.0
1051,"Elmore, AL",3607.0,3665.0,3782.0,3648.0,3772.0,3623.0,3573.0,3861.0,4105.0,4100.0,4614.0,4787.0
1053,"Escambia, AL",1709.0,1664.0,1640.0,1699.0,1629.0,1415.0,1319.0,1270.0,1399.0,1695.0,1803.0,1999.0
1055,"Etowah, AL",4607.0,4362.0,4199.0,4256.0,4409.0,4528.0,4651.0,4850.0,5011.0,5188.0,5492.0,6064.0
1057,"Fayette, AL",894.0,854.0,883.0,870.0,655.0,653.0,627.0,692.0,803.0,867.0,1015.0,919.0
1059,"Franklin, AL",1468.0,1396.0,1428.0,1349.0,1291.0,1195.0,1284.0,1373.0,1169.0,1008.0,1175.0,1119.0
1061,"Geneva, AL",1584.0,1677.0,1405.0,1327.0,1264.0,1036.0,999.0,988.0,1023.0,1123.0,1171.0,1296.0
1063,"Greene, AL",160.0,223.0,207.0,348.0,303.0,312.0,289.0,345.0,187.0,173.0,176.0,164.0
1065,"Hale, AL",506.0,563.0,617.0,743.0,780.0,829.0,783.0,782.0,591.0,694.0,734.0,786.0
1067,"Henry, AL",675.0,712.0,613.0,546.0,592.0,613.0,752.0,769.0,816.0,872.0,864.0,904.0
1069,"Houston, AL",6302.0,6168.0,6124.0,6150.0,6135.0,6240.0,6342.0,6477.0,6407.0,6448.0,6264.0,6278.0
1071,"Jackson, AL",2956.0,2594.0,2370.0,2207.0,2315.0,2432.0,2470.0,2416.0,2594.0,2273.0,1836.0,1902.0
1073,"Jefferson, AL",34859.0,33959.0,33351.0,32394.0,32150.0,31449.0,32857.0,33155.0,32804.0,33018.0,32835.0,32894.0
1075,"Lamar, AL",589.0,647.0,601.0,607.0,553.0,529.0,411.0,380.0,409.0,380.0,383.0,603.0
1077,"Lauderdale, AL",5799.0,6007.0,5945.0,5977.0,6109.0,5905.0,5264.0,5274.0,5468.0,5418.0,6049.0,6587.0
1079,"Lawrence, AL",1786.0,1576.0,1535.0,1427.0,1476.0,1256.0,1237.0,1215.0,1173.0,1270.0,1536.0,1896.0
1081,"Lee, AL",7423.0,7181.0,7831.0,7859.0,8206.0,8650.0,8769.0,8545.0,8263.0,7863.0,7707.0,9100.0
1083,"Limestone, AL",3436.0,3670.0,3874.0,4088.0,4268.0,4363.0,4484.0,4666.0,4672.0,4774.0,5378.0,5200.0
1085,"Lowndes, AL",501.0,420.0,409.0,427.0,403.0,366.0,394.0,434.0,417.0,371.0,390.0,401.0
1087,"Macon, AL",733.0,676.0,680.0,650.0,741.0,747.0,779.0,779.0,815.0,770.0,632.0,597.0
1089,"Madison, AL",16487.0,16639.0,16678.0,17159.0,17096.0,17928.0,18046.0,18626.0,18651.0,19423.0,19804.0,20776.0
1091,"Marengo, AL",950.0,970.0,820.0,896.0,773.0,877.0,775.0,916.0,770.0,700.0,561.0,876.0
1093,"Marion, AL",1556.0,1367.0,1307.0,1113.0,1247.0,1111.0,1177.0,1522.0,1517.0,1281.0,1196.0,1158.0
1095,"Marshall, AL",4489.0,4315.0,4296.0,4579.0,4802.0,4758.0,4885.0,4861.0,4560.0,4237.0,4523.0,4679.0
1097,"Mobile, AL",21964.0,22181.0,22291.0,21711.0,22335.0,22163.0,21696.0,21909.0,21659.0,20598.0,20035.0,19972.0
1099,"Monroe, AL",914.0,957.0,912.0,725.0,832.0,863.0,759.0,848.0,949.0,1055.0,872.0,1011.0
1101,"Montgomery, AL",12018.0,12099.0,11891.0,11558.0,11906.0,11845.0,11971.0,11972.0,11786.0,10999.0,10815.0,10719.0
1103,"Morgan, AL",6034.0,6043.0,6479.0,6748.0,6727.0,7170.0,7017.0,7094.0,6652.0,6274.0,5988.0,6315.0
1105,"Perry, AL",332.0,458.0,313.0,217.0,219.0,242.0,188.0,255.0,183.0,330.0,193.0,222.0
1107,"Pickens, AL",1046.0,1014.0,823.0,902.0,792.0,797.0,979.0,926.0,881.0,900.0,812.0,735.0
1109,"Pike, AL",1787.0,1585.0,1607.0,1992.0,1966.0,2097.0,2207.0,2043.0,1911.0,2197.0,2041.0,2062.0
1111,"Randolph, AL",1150.0,984.0,1008.0,872.0,755.0,777.0,887.0,832.0,837.0,937.0,964.0,1023.0
1113,"Russell, AL",2624.0,2267.0,2453.0,2398.0,2256.0,2408.0,2655.0,2822.0,2953.0,3142.0,3464.0,3240.0
1115,"St. Clair, AL",4147.0,4409.0,4627.0,4314.0,4822.0,4864.0,4826.0,4699.0,4830.0,3957.0,3726.0,3643.0
1117,"Shelby, AL",11671.0,11402.0,11386.0,11536.0,12302.0,12130.0,12376.0,12425.0,12367.0,11659.0,11577.0,12040.0
1119,"Sumter, AL",402.0,342.0,449.0,463.0,441.0,461.0,486.0,567.0,520.0,510.0,740.0,591.0
1121,"Talladega, AL",4208.0,4130.0,3855.0,3649.0,3626.0,3553.0,3508.0,3645.0,3864.0,3551.0,3798.0,3854.0
1123,"Tallapoosa, AL",1631.0,1786.0,1659.0,1582.0,1614.0,1637.0,1391.0,1444.0,1339.0,1219.0,1605.0,1729.0
1125,"Tuscaloosa, AL",11464.0,10728.0,10671.0,9945.0,9845.0,9563.0,9654.0,9626.0,9364.0,9904.0,10799.0,11555.0
1127,"Walker, AL",3675.0,3519.0,3727.0,3948.0,3814.0,3630.0,3640.0,3528.0,3339.0,3142.0,3430.0,3728.0
1129,"Washington, AL",609.0,518.0,611.0,591.0,570.0,567.0,581.0,522.0,544.0,509.0,501.0,539.0
1131,"Wilcox, AL",185.0,246.0,262.0,280.0,226.0,260.0,294.0,267.0,243.0,290.0,324.0,336.0
1133,"Winston, AL",1041.0,1302.0,1200.0,1273.0,1052.0,1035.0,889.0,987.0,1074.0,1321.0,1461.0,1356.0
2013,"Aleutians East Borough, AK",36.0,49.0,55.0,71.0,63.0,59.0,53.0,65.0,71.0,80.0,78.0,69.0
2016,"Aleutians West Census Area, AK",91.0,181.0,202.0,243.0,307.0,289.0,351.0,364.0,358.0,360.0,341.0,588.0
2020,"Anchorage Municipality, AK",15578.0,16278.0,16661.0,16484.0,16602.0,16707.0,16215.0,16632.0,16521.0,16807.0,15853.0,15728.0
2050,"Bethel Census Area, AK",703.0,688.0,729.0,727.0,724.0,741.0,717.0,720.0,705.0,724.0,683.0,623.0
2060,"Bristol Bay Borough, AK",37.0,40.0,49.0,47.0,39.0,40.0,32.0,24.0,21.0,24.0,18.0,27.0
2068,"Denali Borough, AK",70.0,84.0,95.0,67.0,30.0,47.0,43.0,84.0,95.0,122.0,141.0,130.0
2070,"Dillingham Census Area, AK",161.0,178.0,185.0,195.0,177.0,194.0,191.0,193.0,246.0,246.0,260.0,223.0
2090,"Fairbanks North Star Borough, AK",5382.0,5412.0,5808.0,5587.0,5482.0,6219.0,6334.0,6284.0,5849.0,5407.0,4592.0,4296.0
2100,"Haines Borough, AK",71.0,139.0,149.0,203.0,269.0,210.0,235.0,194.0,189.0,112.0,99.0,85.0
2110,"Juneau City and Borough, AK",2032.0,1815.0,1580.0,1574.0,1503.0,1560.0,1545.0,1615.0,1369.0,1246.0,1125.0,1090.0
2122,"Kenai Peninsula Borough, AK",2556.0,2801.0,2981.0,2950.0,2900.0,3107.0,2894.0,2869.0,2764.0,2750.0,2588.0,2558.0
2130,"Ketchikan Gateway Borough, AK*",852.0,837.0,901.0,872.0,894.0,952.0,1041.0,1038.0,1061.0,974.0,898.0,783.0
2150,"Kodiak Island Borough, AK",872.0,929.0,955.0,811.0,817.0,840.0,702.0,532.0,549.0,570.0,646.0,528.0
2158,"Kusilvak Census Area, AK*",0.0,0.0,0.0,0.0,0.0,263.0,258.0,223.0,220.0,225.0,244.0,264.0
2164,"Lake and Peninsula Borough, AK",7.0,9.0,14.0,10.0,15.0,20.0,20.0,25.0,27.0,35.0,21.0,14.0
2170,"Matanuska-Susitna Borough, AK",4720.0,4403.0,4393.0,4491.0,4552.0,4611.0,4994.0,5359.0,5371.0,5324.0,5387.0,5005.0
2180,"Nome Census Area, AK",449.0,312.0,295.0,332.0,372.0,304.0,317.0,285.0,295.0,308.0,306.0,297.0
2185,"North Slope Borough, AK",317.0,322.0,431.0,416.0,359.0,315.0,329.0,230.0,225.0,201.0,189.0,309.0
2188,"Northwest Arctic Borough, AK",233.0,232.0,232.0,209.0,229.0,228.0,213.0,192.0,203.0,193.0,174.0,203.0
