GeoFIPS,GeoName,Year,Value
1001,"Autauga, AL",2010,797.0
1001,"Autauga, AL",2011,1020.0
1001,"Autauga, AL",2012,1084.0
1001,"Autauga, AL",2013,1161.0
1001,"Autauga, AL",2014,987.0
1001,"Autauga, AL",2015,1130.0
1001,"Autauga, AL",2016,1198.0
1001,"Autauga, AL",2017,1399.0
1001,"Autauga, AL",2018,1326.0
1001,"Autauga, AL",2019,1383.0
1001,"Autauga, AL",2020,1174.0
1001,"Autauga, AL",2021,953.0
1003,"Baldwin, AL",2010,3220.0
1003,"Baldwin, AL",2011,3256.0
1003,"Baldwin, AL",2012,3163.0
1003,"Baldwin, AL",2013,3161.0
1003,"Baldwin, AL",2014,2860.0
1003,"Baldwin, AL",2015,2985.0
1003,"Baldwin, AL",2016,3173.0
1003,"Baldwin, AL",2017,3364.0
1003,"Baldwin, AL",2018,3562.0
1003,"Baldwin, AL",2019,3588.0
1003,"Baldwin, AL",2020,3885.0
1003,"Baldwin, AL",2021,3791.0
1005,"Barbour, AL",2010,579.0
1005,"Barbour, AL",2011,479.0
1005,"Barbour, AL",2012,424.0
1005,"Barbour, AL",2013,425.0
1005,"Barbour, AL",2014,376.0
1005,"Barbour, AL",2015,378.0
1005,"Barbour, AL",2016,435.0
1005,"Barbour, AL",2017,411.0
1005,"Barbour, AL",2018,479.0
1005,"Barbour, AL",2019,432.0
1005,"Barbour, AL",2020,391.0
1005,"Barbour, AL",2021,437.0
1007,"Bibb, AL",2010,889.0
1007,"Bibb, AL",2011,689.0
1007,"Bibb, AL",2012,550.0
1007,"Bibb, AL",2013,437.0
1007,"Bibb, AL",2014,341.0
1007,"Bibb, AL",2015,382.0
1007,"Bibb, AL",2016,471.0
1007,"Bibb, AL",2017,439.0
1007,"Bibb, AL",2018,353.0
1007,"Bibb, AL",2019,417.0
1007,"Bibb, AL",2020,472.0
1007,"Bibb, AL",2021,425.0
1009,"Blount, AL",2010,1320.0
1009,"Blount, AL",2011,1303.0
1009,"Blount, AL",2012,1301.0
1009,"Blount, AL",2013,1435.0
1009,"Blount, AL",2014,1300.0
1009,"Blount, AL",2015,1153.0
1009,"Blount, AL",2016,1261.0
1009,"Blount, AL",2017,1163.0
1009,"Blount, AL",2018,998.0
1009,"Blount, AL",2019,1161.0
1009,"Blount, AL",2020,1394.0
1009,"Blount, AL",2021,1475.0
1011,"Bullock, AL",2010,225.0
1011,"Bullock, AL",2011,136.0
1011,"Bullock, AL",2012,128.0
1011,"Bullock, AL",2013,109.0
1011,"Bullock, AL",2014,113.0
1011,"Bullock, AL",2015,101.0
1011,"Bullock, AL",2016,106.0
1011,"Bullock, AL",2017,101.0
1011,"Bullock, AL",2018,117.0
1011,"Bullock, AL",2019,151.0
1011,"Bullock, AL",2020,77.0
1011,"Bullock, AL",2021,34.0
1013,"Butler, AL",2010,344.0
1013,"Butler, AL",2011,347.0
1013,"Butler, AL",2012,324.0
1013,"Butler, AL",2013,243.0
1013,"Butler, AL",2014,253.0
1013,"Butler, AL",2015,234.0
1013,"Butler, AL",2016,278.0
1013,"Butler, AL",2017,230.0
1013,"Butler, AL",2018,268.0
1013,"Butler, AL",2019,287.0
1013,"Butler, AL",2020,250.0
1013,"Butler, AL",2021,245.0
1015,"Calhoun, AL",2010,1942.0
1015,"Calhoun, AL",2011,1876.0
1015,"Calhoun, AL",2012,1761.0
1015,"Calhoun, AL",2013,1407.0
1015,"Calhoun, AL",2014,1595.0
1015,"Calhoun, AL",2015,1788.0
1015,"Calhoun, AL",2016,1774.0
1015,"Calhoun, AL",2017,1685.0
1015,"Calhoun, AL",2018,1670.0
1015,"Calhoun, AL",2019,1651.0
1015,"Calhoun, AL",2020,1568.0
1015,"Calhoun, AL",2021,1639.0
1017,"Chambers, AL",2010,546.0
1017,"Chambers, AL",2011,394.0
1017,"Chambers, AL",2012,335.0
1017,"Chambers, AL",2013,302.0
1017,"Chambers, AL",2014,335.0
1017,"Chambers, AL",2015,272.0
1017,"Chambers, AL",2016,332.0
1017,"Chambers, AL",2017,325.0
1017,"Chambers, AL",2018,346.0
1017,"Chambers, AL",2019,322.0
1017,"Chambers, AL",2020,528.0
1017,"Chambers, AL",2021,464.0
1019,"Cherokee, AL",2010,469.0
1019,"Cherokee, AL",2011,504.0
1019,"Cherokee, AL",2012,533.0
1019,"Cherokee, AL",2013,436.0
1019,"Cherokee, AL",2014,378.0
1019,"Cherokee, AL",2015,441.0
1019,"Cherokee, AL",2016,354.0
1019,"Cherokee, AL",2017,460.0
1019,"Cherokee, AL",2018,457.0
1019,"Cherokee, AL",2019,424.0
1019,"Cherokee, AL",2020,336.0
1019,"Cherokee, AL",2021,486.0
1021,"Chilton, AL",2010,921.0
1021,"Chilton, AL",2011,823.0
1021,"Chilton, AL",2012,940.0
1021,"Chilton, AL",2013,908.0
1021,"Chilton, AL",2014,998.0
1021,"Chilton, AL",2015,848.0
