GeoFIPS,GeoName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1001,"Autauga, AL",797.0,1020.0,1084.0,1161.0,987.0,1130.0,1198.0,1399.0,1326.0,1383.0,1174.0,953.0
1003,"Baldwin, AL",3220.0,3256.0,3163.0,3161.0,2860.0,2985.0,3173.0,3364.0,3562.0,3588.0,3885.0,3791.0
1005,"Barbour, AL",579.0,479.0,424.0,425.0,376.0,378.0,435.0,411.0,479.0,432.0,391.0,437.0
1007,"Bibb, AL",889.0,689.0,550.0,437.0,341.0,382.0,471.0,439.0,353.0,417.0,472.0,425.0
1009,"Blount, AL",1320.0,1303.0,1301.0,1435.0,1300.0,1153.0,1261.0,1163.0,998.0,1161.0,1394.0,1475.0
1011,"Bullock, AL",225.0,136.0,128.0,109.0,113.0,101.0,106.0,101.0,117.0,151.0,77.0,34.0
1013,"Butler, AL",344.0,347.0,324.0,243.0,253.0,234.0,278.0,230.0,268.0,287.0,250.0,245.0
1015,"Calhoun, AL",1942.0,1876.0,1761.0,1407.0,1595.0,1788.0,1774.0,1685.0,1670.0,1651.0,1568.0,1639.0
1017,"Chambers, AL",546.0,394.0,335.0,302.0,335.0,272.0,332.0,325.0,346.0,322.0,528.0,464.0
1019,"Cherokee, AL",469.0,504.0,533.0,436.0,378.0,441.0,354.0,460.0,457.0,424.0,336.0,486.0
1021,"Chilton, AL",921.0,823.0,940.0,908.0,998.0,848.0,920.0,849.0,693.0,811.0,609.0,523.0
1023,"Choctaw, AL",237.0,208.0,140.0,247.0,256.0,246.0,220.0,234.0,146.0,130.0,93.0,217.0
1025,"Clarke, AL",286.0,283.0,361.0,298.0,358.0,360.0,379.0,269.0,261.0,295.0,301.0,404.0
1027,"Clay, AL",227.0,281.0,262.0,235.0,169.0,158.0,163.0,216.0,230.0,204.0,251.0,254.0
1029,"Cleburne, AL",178.0,190.0,129.0,155.0,245.0,253.0,251.0,266.0,259.0,160.0,143.0,99.0
1031,"Coffee, AL",1253.0,1078.0,1076.0,1060.0,1099.0,1112.0,1304.0,1456.0,1630.0,1695.0,1763.0,1953.0
1033,"Colbert, AL",1111.0,933.0,1029.0,905.0,764.0,686.0,682.0,710.0,819.0,868.0,817.0,926.0
1035,"Conecuh, AL",467.0,305.0,231.0,230.0,207.0,231.0,244.0,288.0,269.0,303.0,222.0,143.0
1037,"Coosa, AL",173.0,173.0,185.0,238.0,260.0,309.0,308.0,313.0,331.0,203.0,173.0,130.0
1039,"Covington, AL",777.0,699.0,615.0,621.0,704.0,680.0,726.0,791.0,881.0,797.0,865.0,769.0
1041,"Crenshaw, AL",317.0,342.0,314.0,291.0,328.0,269.0,207.0,240.0,241.0,232.0,301.0,333.0
1043,"Cullman, AL",1874.0,1721.0,1512.0,1418.0,1336.0,1412.0,1295.0,1293.0,1563.0,1785.0,1520.0,1763.0
1045,"Dale, AL",2133.0,1979.0,2122.0,1927.0,1776.0,1656.0,1571.0,1325.0,1507.0,1618.0,1453.0,1666.0
1047,"Dallas, AL",574.0,570.0,461.0,490.0,544.0,618.0,487.0,548.0,543.0,658.0,634.0,551.0
1049,"DeKalb, AL",940.0,903.0,960.0,1022.0,1002.0,1080.0,1096.0,1223.0,1451.0,1472.0,1421.0,1710.0
1051,"Elmore, AL",1447.0,1277.0,1345.0,1193.0,1159.0,1309.0,1229.0,1166.0,1219.0,1241.0,1478.0,1727.0
1053,"Escambia, AL",531.0,458.0,478.0,450.0,506.0,554.0,613.0,484.0,485.0,465.0,356.0,338.0
1055,"Etowah, AL",1600.0,1614.0,1690.0,1755.0,1779.0,1741.0,1742.0,1606.0,1591.0,1589.0,1569.0,1553.0
1057,"Fayette, AL",365.0,282.0,283.0,242.0,261.0,232.0,352.0,353.0,370.0,327.0,332.0,278.0
1059,"Franklin, AL",384.0,499.0,498.0,517.0,638.0,611.0,470.0,389.0,373.0,224.0,232.0,255.0
1061,"Geneva, AL",488.0,630.0,615.0,589.0,560.0,674.0,607.0,596.0,547.0,698.0,751.0,722.0
1063,"Greene, AL",229.0,174.0,199.0,180.0,210.0,139.0,153.0,109.0,46.0,25.0,27.0,57.0
1065,"Hale, AL",161.0,151.0,109.0,125.0,93.0,91.0,96.0,157.0,157.0,185.0,147.0,195.0
1067,"Henry, AL",250.0,356.0,373.0,393.0,470.0,605.0,561.0,566.0,560.0,456.0,352.0,370.0
1069,"Houston, AL",2803.0,2878.0,2911.0,2737.0,2583.0,2549.0,2308.0,2361.0,2444.0,2464.0,2704.0,2846.0
1071,"Jackson, AL",925.0,982.0,1047.0,949.0,812.0,873.0,868.0,784.0,670.0,626.0,620.0,568.0
1073,"Jefferson, AL",10398.0,10094.0,10073.0,9977.0,10202.0,10014.0,10870.0,10774.0,11471.0,11771.0,12282.0,13028.0
1075,"Lamar, AL",594.0,558.0,587.0,355.0,295.0,291.0,369.0,249.0,259.0,206.0,137.0,102.0
1077,"Lauderdale, AL",838.0,1034.0,1090.0,1163.0,1211.0,1326.0,1485.0,1284.0,1378.0,1538.0,1354.0,1136.0
1079,"Lawrence, AL",496.0,534.0,489.0,565.0,555.0,542.0,567.0,466.0,540.0,564.0,547.0,636.0
1081,"Lee, AL",1766.0,1771.0,1694.0,1601.0,1518.0,1540.0,1612.0,1755.0,2180.0,2088.0,2117.0,2519.0
1083,"Limestone, AL",1033.0,846.0,895.0,835.0,846.0,868.0,1092.0,1093.0,1241.0,1376.0,1264.0,1349.0
1085,"Lowndes, AL",143.0,179.0,152.0,142.0,156.0,170.0,153.0,166.0,177.0,184.0,222.0,285.0
1087,"Macon, AL",264.0,276.0,209.0,232.0,179.0,175.0,167.0,162.0,161.0,205.0,282.0,232.0
1089,"Madison, AL",3546.0,3713.0,3923.0,3644.0,3928.0,3659.0,3903.0,3969.0,4069.0,4317.0,5367.0,5823.0
1091,"Marengo, AL",377.0,349.0,451.0,388.0,510.0,363.0,459.0,406.0,383.0,228.0,257.0,226.0
1093,"Marion, AL",516.0,555.0,647.0,602.0,548.0,507.0,460.0,470.0,495.0,524.0,581.0,639.0
1095,"Marshall, AL",1442.0,1373.0,1106.0,912.0,806.0,1162.0,1267.0,1317.0,1610.0,1634.0,1549.0,1537.0
1097,"Mobile, AL",8375.0,8319.0,8268.0,7572.0,7428.0,7378.0,7763.0,7636.0,7956.0,8606.0,8704.0,9260.0
1099,"Monroe, AL",538.0,519.0,493.0,489.0,401.0,425.0,448.0,394.0,286.0,322.0,277.0,310.0
