GeoFIPS,GeoName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1001,"Autauga, AL",280.0,259.0,288.0,248.0,264.0,281.0,415.0,394.0,359.0,284.0,217.0,200.0
1003,"Baldwin, AL",984.0,919.0,1005.0,1045.0,956.0,1006.0,1122.0,965.0,1037.0,1170.0,1200.0,1063.0
1005,"Barbour, AL",206.0,177.0,155.0,151.0,126.0,116.0,145.0,143.0,124.0,126.0,101.0,108.0
1007,"Bibb, AL",135.0,103.0,115.0,114.0,72.0,60.0,85.0,47.0,43.0,63.0,44.0,38.0
1009,"Blount, AL",400.0,328.0,342.0,325.0,334.0,400.0,361.0,403.0,467.0,347.0,342.0,357.0
1011,"Bullock, AL",122.0,64.0,41.0,41.0,0.0,14.0,48.0,44.0,88.0,89.0,89.0,72.0
1013,"Butler, AL",77.0,102.0,130.0,166.0,181.0,172.0,151.0,126.0,94.0,105.0,106.0,125.0
1015,"Calhoun, AL",497.0,398.0,378.0,357.0,441.0,429.0,475.0,541.0,551.0,513.0,506.0,551.0
1017,"Chambers, AL",211.0,197.0,217.0,248.0,240.0,164.0,122.0,84.0,184.0,229.0,248.0,271.0
1019,"Cherokee, AL",229.0,167.0,177.0,214.0,269.0,251.0,310.0,285.0,267.0,256.0,258.0,186.0
1021,"Chilton, AL",608.0,600.0,695.0,662.0,574.0,457.0,456.0,434.0,439.0,412.0,553.0,417.0
1023,"Choctaw, AL",43.0,27.0,23.0,38.0,21.0,24.0,34.0,33.0,51.0,84.0,107.0,63.0
1025,"Clarke, AL",160.0,106.0,118.0,174.0,195.0,148.0,210.0,235.0,234.0,202.0,188.0,234.0
1027,"Clay, AL",109.0,97.0,70.0,93.0,93.0,66.0,61.0,66.0,39.0,21.0,44.0,75.0
1029,"Cleburne, AL",29.0,37.0,78.0,120.0,96.0,96.0,123.0,103.0,105.0,101.0,148.0,127.0
1031,"Coffee, AL",132.0,109.0,97.0,106.0,136.0,116.0,139.0,171.0,176.0,211.0,238.0,420.0
1033,"Colbert, AL",495.0,503.0,557.0,551.0,582.0,599.0,629.0,571.0,491.0,550.0,660.0,665.0
1035,"Conecuh, AL",33.0,29.0,51.0,38.0,33.0,45.0,34.0,29.0,47.0,63.0,78.0,63.0
1037,"Coosa, AL",56.0,86.0,72.0,46.0,69.0,106.0,121.0,125.0,110.0,109.0,110.0,93.0
1039,"Covington, AL",509.0,435.0,416.0,406.0,464.0,433.0,457.0,475.0,580.0,551.0,561.0,539.0
1041,"Crenshaw, AL",76.0,72.0,88.0,56.0,54.0,48.0,51.0,37.0,79.0,80.0,65.0,72.0
1043,"Cullman, AL",412.0,323.0,293.0,311.0,266.0,309.0,324.0,244.0,341.0,433.0,492.0,444.0
1045,"Dale, AL",240.0,263.0,171.0,211.0,198.0,264.0,273.0,365.0,332.0,302.0,226.0,215.0
1047,"Dallas, AL",265.0,225.0,171.0,145.0,85.0,90.0,107.0,161.0,140.0,155.0,93.0,151.0
1049,"DeKalb, AL",299.0,356.0,469.0,432.0,377.0,359.0,329.0,255.0,374.0,529.0,505.0,534.0
1051,"Elmore, AL",522.0,483.0,378.0,373.0,327.0,325.0,272.0,378.0,371.0,353.0,417.0,446.0
1053,"Escambia, AL",132.0,140.0,197.0,229.0,265.0,377.0,382.0,357.0,282.0,222.0,213.0,213.0
1055,"Etowah, AL",442.0,424.0,387.0,476.0,488.0,560.0,539.0,441.0,370.0,443.0,427.0,440.0
1057,"Fayette, AL",121.0,124.0,130.0,171.0,224.0,195.0,162.0,126.0,100.0,82.0,71.0,120.0
1059,"Franklin, AL",254.0,265.0,244.0,263.0,231.0,164.0,156.0,195.0,197.0,263.0,376.0,417.0
1061,"Geneva, AL",90.0,71.0,102.0,129.0,127.0,195.0,192.0,184.0,185.0,189.0,173.0,162.0
1063,"Greene, AL",78.0,76.0,88.0,67.0,43.0,29.0,21.0,7.0,0.0,27.0,32.0,16.0
1065,"Hale, AL",48.0,58.0,102.0,78.0,104.0,101.0,102.0,30.0,34.0,34.0,34.0,39.0
1067,"Henry, AL",209.0,145.0,126.0,82.0,102.0,81.0,146.0,222.0,242.0,246.0,191.0,185.0
1069,"Houston, AL",898.0,962.0,1021.0,1030.0,1043.0,1088.0,1099.0,1052.0,1029.0,988.0,1117.0,1016.0
1071,"Jackson, AL",495.0,502.0,536.0,542.0,461.0,492.0,474.0,427.0,401.0,401.0,303.0,403.0
1073,"Jefferson, AL",4058.0,4544.0,4874.0,5198.0,5501.0,5723.0,5450.0,5313.0,5246.0,4840.0,4890.0,4846.0
1075,"Lamar, AL",66.0,79.0,89.0,88.0,76.0,118.0,107.0,121.0,97.0,102.0,14.0,23.0
1077,"Lauderdale, AL",1287.0,1086.0,1321.0,1538.0,1528.0,1487.0,1473.0,1214.0,1153.0,1202.0,1162.0,1183.0
1079,"Lawrence, AL",137.0,166.0,170.0,155.0,178.0,211.0,253.0,366.0,412.0,384.0,308.0,245.0
1081,"Lee, AL",548.0,483.0,577.0,594.0,591.0,804.0,721.0,729.0,1016.0,1063.0,697.0,1124.0
1083,"Limestone, AL",696.0,653.0,782.0,854.0,879.0,827.0,779.0,667.0,495.0,460.0,406.0,617.0
1085,"Lowndes, AL",27.0,32.0,46.0,54.0,67.0,49.0,38.0,36.0,29.0,26.0,23.0,22.0
1087,"Macon, AL",34.0,60.0,39.0,65.0,107.0,73.0,51.0,82.0,82.0,137.0,159.0,136.0
1089,"Madison, AL",821.0,940.0,933.0,1159.0,1212.0,1396.0,1433.0,1526.0,1339.0,1441.0,1687.0,1519.0
1091,"Marengo, AL",48.0,156.0,188.0,245.0,258.0,301.0,187.0,201.0,187.0,236.0,232.0,180.0
1093,"Marion, AL",234.0,205.0,168.0,183.0,170.0,170.0,156.0,185.0,162.0,251.0,307.0,266.0
1095,"Marshall, AL",462.0,445.0,487.0,558.0,514.0,555.0,534.0,545.0,502.0,455.0,569.0,665.0
1097,"Mobile, AL",2246.0,2298.0,2044.0,2009.0,1877.0,1677.0,1521.0,1752.0,1758.0,1816.0,1860.0,1818.0
1099,"Monroe, AL",120.0,82.0,88.0,97.0,25.0,25.0,26.0,33.0,34.0,26.0,30.0,30.0
1101,"Montgomery, AL",619.0,595.0,481.0,609.0,597.0,524.0,598.0,561.0,556.0,575.0,494.0,391.0
1103,"Morgan, AL",560.0,541.0,584.0,733.0,683.0,730.0,689.0,615.0,507.0,502.0,459.0,515.0
1105,"Perry, AL",48.0,77.0,64.0,55.0,28.0,60.0,20.0,25.0,20.0,25.0,0.0,0.0
1107,"Pickens, AL",110.0,118.0,98.0,111.0,58.0,62.0,47.0,81.0,71.0,97.0,99.0,103.0
1109,"Pike, AL",97.0,59.0,50.0,37.0,78.0,71.0,93.0,101.0,88.0,120.0,100.0,92.0
1111,"Randolph, AL",30.0,77.0,86.0,97.0,112.0,114.0,84.0,70.0,76.0,71.0,63.0,67.0
1113,"Russell, AL",237.0,219.0,195.0,157.0,63.0,91.0,89.0,108.0,115.0,111.0,203.0,220.0
1115,"St. Clair, AL",529.0,612.0,771.0,865.0,811.0,795.0,926.0,993.0,855.0,747.0,884.0,690.0
1117,"Shelby, AL",1944.0,2091.0,2309.0,2321.0,2521.0,2800.0,2961.0,2791.0,3108.0,2958.0,3007.0,3040.0
1119,"Sumter, AL",20.0,98.0,79.0,53.0,78.0,90.0,105.0,112.0,102.0,75.0,43.0,13.0
1121,"Talladega, AL",417.0,438.0,427.0,469.0,388.0,423.0,423.0,389.0,493.0,533.0,735.0,628.0
1123,"Tallapoosa, AL",423.0,339.0,309.0,254.0,183.0,176.0,258.0,254.0,309.0,270.0,247.0,216.0
1125,"Tuscaloosa, AL",771.0,710.0,692.0,627.0,540.0,618.0,697.0,657.0,793.0,825.0,908.0,1053.0
1127,"Walker, AL",894.0,888.0,819.0,730.0,672.0,744.0,740.0,663.0,604.0,593.0,349.0,419.0
1129,"Washington, AL",98.0,189.0,224.0,211.0,218.0,232.0,205.0,144.0,129.0,200.0,218.0,160.0
1131,"Wilcox, AL",46.0,43.0,57.0,78.0,74.0,61.0,98.0,77.0,67.0,45.0,50.0,6.0
1133,"Winston, AL",88.0,100.0,112.0,119.0,96.0,93.0,86.0,118.0,149.0,128.0,137.0,196.0
2013,"Aleutians East Borough, AK",13.0,16.0,17.0,24.0,20.0,23.0,31.0,24.0,23.0,18.0,40.0,29.0
2016,"Aleutians West Census Area, AK",15.0,50.0,49.0,53.0,53.0,49.0,39.0,27.0,23.0,35.0,47.0,38.0
2020,"Anchorage Municipality, AK",792.0,853.0,937.0,902.0,1098.0,1099.0,1281.0,1339.0,1439.0,1135.0,1614.0,1913.0
2050,"Bethel Census Area, AK",176.0,178.0,214.0,257.0,244.0,262.0,247.0,224.0,217.0,200.0,190.0,220.0
2060,"Bristol Bay Borough, AK",16.0,31.0,25.0,25.0,30.0,24.0,16.0,22.0,13.0,15.0,10.0,16.0
2068,"Denali Borough, AK",17.0,29.0,31.0,28.0,43.0,42.0,65.0,55.0,56.0,51.0,57.0,27.0
2070,"Dillingham Census Area, AK",75.0,46.0,58.0,56.0,57.0,51.0,54.0,55.0,46.0,46.0,30.0,31.0
2090,"Fairbanks North Star Borough, AK",447.0,477.0,441.0,473.0,600.0,603.0,608.0,661.0,614.0,740.0,785.0,699.0
2100,"Haines Borough, AK",2.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
2110,"Juneau City and Borough, AK",272.0,153.0,198.0,103.0,121.0,124.0,129.0,116.0,160.0,142.0,137.0,73.0
2122,"Kenai Peninsula Borough, AK",317.0,343.0,392.0,421.0,420.0,338.0,267.0,223.0,182.0,158.0,285.0,331.0
2130,"Ketchikan Gateway Borough, AK*",92.0,94.0,59.0,69.0,83.0,92.0,85.0,91.0,74.0,101.0,103.0,97.0
2150,"Kodiak Island Borough, AK",108.0,106.0,118.0,45.0,33.0,23.0,34.0,24.0,21.0,35.0,59.0,58.0
2158,"Kusilvak Census Area, AK*",0.0,0.0,0.0,0.0,0.0,57.0,70.0,54.0,74.0,74.0,59.0,57.0
2164,"Lake and Peninsula Borough, AK",28.0,30.0,30.0,29.0,20.0,18.0,18.0,18.0,13.0,20.0,10.0,12.0
2170,"Matanuska-Susitna Borough, AK",468.0,439.0,535.0,469.0,521.0,487.0,533.0,521.0,482.0,494.0,548.0,567.0
2180,"Nome Census Area, AK",86.0,95.0,79.0,90.0,82.0,91.0,87.0,91.0,78.0,76.0,82.0,114.0
2185,"North Slope Borough, AK",188.0,116.0,137.0,131.0,165.0,191.0,167.0,169.0,160.0,255.0,230.0,520.0
2188,"Northwest Arctic Borough, AK",97.0,94.0,100.0,76.0,100.0,103.0,93.0,91.0,90.0,75.0,76.0,97.0
2220,"Sitka City and Borough, AK",26.0,36.0,16.0,15.0,23.0,20.0,20.0,11.0,10.0,5.0,9.0,13.0
2240,"Southeast Fairbanks Census Area, AK",39.0,47.0,41.0,49.0,58.0,68.0,45.0,64.0,81.0,64.0,50.0,38.0
2290,"Yukon-Koyukuk Census Area, AK",113.0,85.0,70.0,72.0,83.0,104.0,96.0,109.0,109.0,115.0,124.0,134.0
4001,"Apache, AZ",873.0,887.0,822.0,908.0,846.0,779.0,864.0,872.0,768.0,790.0,984.0,805.0
4003,"Cochise, AZ",812.0,944.0,899.0,849.0,796.0,574.0,510.0,469.0,441.0,453.0,561.0,432.0
4005,"Coconino, AZ",1109.0,1300.0,1271.0,992.0,766.0,776.0,744.0,742.0,850.0,944.0,656.0,670.0
4007,"Gila, AZ",343.0,331.0,348.0,256.0,223.0,136.0,176.0,144.0,223.0,232.0,316.0,268.0
4009,"Graham, AZ",114.0,166.0,168.0,145.0,152.0,120.0,76.0,67.0,80.0,85.0,230.0,222.0
