GeoFIPS,GeoName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1001,"Autauga, AL",758.0,876.0,717.0,722.0,772.0,822.0,742.0,740.0,656.0,614.0,798.0,783.0
1003,"Baldwin, AL",2884.0,2536.0,2532.0,2403.0,2508.0,2433.0,2642.0,2572.0,2887.0,2697.0,2700.0,2255.0
1005,"Barbour, AL",126.0,118.0,104.0,157.0,225.0,237.0,256.0,281.0,243.0,155.0,179.0,105.0
1007,"Bibb, AL",223.0,240.0,285.0,245.0,173.0,196.0,128.0,104.0,139.0,103.0,260.0,254.0
1009,"Blount, AL",948.0,893.0,928.0,837.0,738.0,780.0,809.0,932.0,768.0,772.0,949.0,893.0
1011,"Bullock, AL",125.0,114.0,77.0,85.0,58.0,44.0,34.0,42.0,37.0,22.0,37.0,18.0
1013,"Butler, AL",212.0,190.0,138.0,145.0,135.0,123.0,88.0,87.0,110.0,111.0,136.0,155.0
1015,"Calhoun, AL",1206.0,1074.0,1065.0,1003.0,957.0,1061.0,1202.0,1032.0,1167.0,1160.0,1260.0,1221.0
1017,"Chambers, AL",272.0,290.0,343.0,251.0,292.0,333.0,408.0,370.0,351.0,307.0,299.0,273.0
1019,"Cherokee, AL",310.0,282.0,301.0,266.0,216.0,209.0,187.0,141.0,88.0,140.0,126.0,141.0
1021,"Chilton, AL",713.0,631.0,686.0,575.0,565.0,420.0,449.0,560.0,735.0,705.0,651.0,614.0
1023,"Choctaw, AL",17.0,37.0,101.0,62.0,39.0,35.0,47.0,31.0,46.0,59.0,103.0,82.0
1025,"Clarke, AL",131.0,159.0,90.0,128.0,103.0,111.0,95.0,116.0,112.0,44.0,124.0,111.0
1027,"Clay, AL",177.0,149.0,57.0,70.0,71.0,42.0,33.0,74.0,93.0,69.0,63.0,71.0
1029,"Cleburne, AL",194.0,180.0,186.0,164.0,113.0,124.0,127.0,121.0,124.0,163.0,237.0,241.0
1031,"Coffee, AL",508.0,488.0,479.0,375.0,421.0,320.0,344.0,414.0,467.0,427.0,446.0,526.0
1033,"Colbert, AL",893.0,796.0,803.0,705.0,547.0,471.0,570.0,512.0,481.0,542.0,634.0,593.0
1035,"Conecuh, AL",129.0,68.0,84.0,72.0,65.0,31.0,101.0,91.0,94.0,113.0,119.0,45.0
1037,"Coosa, AL",14.0,18.0,23.0,26.0,47.0,69.0,69.0,101.0,101.0,83.0,76.0,93.0
1039,"Covington, AL",529.0,399.0,415.0,332.0,202.0,253.0,334.0,348.0,442.0,491.0,499.0,411.0
1041,"Crenshaw, AL",244.0,252.0,357.0,298.0,260.0,248.0,244.0,148.0,169.0,200.0,132.0,120.0
1043,"Cullman, AL",1137.0,1079.0,1025.0,1001.0,1040.0,1078.0,886.0,888.0,977.0,924.0,834.0,837.0
1045,"Dale, AL",491.0,468.0,451.0,446.0,450.0,414.0,395.0,391.0,409.0,413.0,345.0,301.0
1047,"Dallas, AL",330.0,349.0,330.0,222.0,232.0,209.0,189.0,164.0,169.0,165.0,172.0,293.0
1049,"DeKalb, AL",986.0,1126.0,860.0,851.0,842.0,719.0,704.0,632.0,508.0,667.0,684.0,506.0
1051,"Elmore, AL",812.0,754.0,918.0,966.0,996.0,841.0,859.0,799.0,726.0,724.0,934.0,874.0
1053,"Escambia, AL",220.0,176.0,163.0,233.0,215.0,281.0,251.0,282.0,234.0,256.0,239.0,262.0
1055,"Etowah, AL",1322.0,1331.0,1352.0,1312.0,1271.0,1293.0,1156.0,1127.0,1100.0,1024.0,938.0,812.0
1057,"Fayette, AL",219.0,181.0,89.0,79.0,73.0,63.0,103.0,140.0,173.0,239.0,167.0,150.0
1059,"Franklin, AL",302.0,340.0,423.0,386.0,267.0,313.0,275.0,181.0,307.0,437.0,416.0,331.0
1061,"Geneva, AL",472.0,579.0,623.0,595.0,670.0,571.0,551.0,597.0,570.0,456.0,494.0,522.0
1063,"Greene, AL",70.0,73.0,51.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,3.0,1.0
1065,"Hale, AL",110.0,115.0,158.0,145.0,136.0,101.0,63.0,42.0,50.0,60.0,64.0,59.0
1067,"Henry, AL",255.0,156.0,218.0,259.0,276.0,249.0,333.0,221.0,299.0,294.0,291.0,198.0
1069,"Houston, AL",1781.0,1723.0,1741.0,1732.0,1767.0,1693.0,1593.0,1674.0,1620.0,1648.0,1604.0,1584.0
1071,"Jackson, AL",528.0,453.0,392.0,338.0,355.0,307.0,394.0,289.0,262.0,256.0,344.0,414.0
1073,"Jefferson, AL",11874.0,10796.0,9929.0,9344.0,9135.0,9136.0,9032.0,9043.0,8805.0,8707.0,8229.0,8726.0
1075,"Lamar, AL",73.0,79.0,77.0,99.0,84.0,137.0,136.0,162.0,157.0,134.0,211.0,184.0
1077,"Lauderdale, AL",1172.0,1305.0,1221.0,1131.0,1242.0,1298.0,1188.0,1129.0,1108.0,1192.0,994.0,1065.0
1079,"Lawrence, AL",499.0,451.0,411.0,314.0,258.0,207.0,227.0,279.0,368.0,398.0,436.0,487.0
1081,"Lee, AL",1233.0,1241.0,1117.0,894.0,891.0,960.0,1140.0,1052.0,1150.0,1202.0,1037.0,1089.0
1083,"Limestone, AL",804.0,731.0,769.0,826.0,872.0,916.0,823.0,869.0,844.0,883.0,777.0,826.0
1085,"Lowndes, AL",108.0,126.0,153.0,151.0,209.0,137.0,178.0,108.0,190.0,133.0,146.0,132.0
1087,"Macon, AL",95.0,88.0,68.0,49.0,96.0,72.0,87.0,75.0,86.0,61.0,33.0,29.0
1089,"Madison, AL",2745.0,2598.0,2654.0,2454.0,2527.0,2643.0,2877.0,2935.0,2857.0,2709.0,2935.0,2653.0
1091,"Marengo, AL",213.0,209.0,175.0,135.0,139.0,141.0,123.0,90.0,130.0,43.0,73.0,76.0
1093,"Marion, AL",259.0,226.0,270.0,428.0,397.0,296.0,311.0,265.0,225.0,234.0,249.0,288.0
1095,"Marshall, AL",1501.0,1501.0,1382.0,1128.0,1079.0,936.0,916.0,875.0,1049.0,1044.0,1211.0,1266.0
1097,"Mobile, AL",6183.0,6037.0,5591.0,5146.0,4870.0,4889.0,5118.0,5165.0,5226.0,5268.0,4834.0,4459.0
1099,"Monroe, AL",227.0,206.0,235.0,156.0,139.0,151.0,119.0,92.0,100.0,110.0,90.0,120.0
1101,"Montgomery, AL",2544.0,2390.0,2384.0,2144.0,1981.0,1914.0,1966.0,1904.0,1948.0,2127.0,2194.0,2032.0
1103,"Morgan, AL",1710.0,1388.0,1279.0,1059.0,1190.0,1130.0,1067.0,1197.0,1188.0,1173.0,1229.0,1368.0
1105,"Perry, AL",68.0,68.0,29.0,35.0,0.0,6.0,9.0,11.0,8.0,29.0,36.0,47.0
1107,"Pickens, AL",210.0,252.0,250.0,160.0,175.0,213.0,234.0,182.0,287.0,146.0,106.0,111.0
1109,"Pike, AL",388.0,245.0,291.0,295.0,238.0,229.0,230.0,219.0,234.0,313.0,300.0,302.0
1111,"Randolph, AL",184.0,196.0,89.0,92.0,196.0,145.0,126.0,188.0,215.0,103.0,106.0,113.0
1113,"Russell, AL",268.0,289.0,248.0,242.0,334.0,298.0,247.0,331.0,356.0,288.0,221.0,322.0
1115,"St. Clair, AL",1559.0,1414.0,1557.0,1557.0,1345.0,1421.0,1707.0,1543.0,1888.0,2331.0,2011.0,1706.0
1117,"Shelby, AL",5097.0,4484.0,4033.0,3599.0,3241.0,3081.0,3330.0,3394.0,3739.0,4012.0,4358.0,4294.0
1119,"Sumter, AL",122.0,118.0,102.0,110.0,94.0,68.0,68.0,72.0,64.0,67.0,35.0,57.0
1121,"Talladega, AL",965.0,998.0,833.0,763.0,763.0,757.0,653.0,743.0,762.0,720.0,689.0,644.0
1123,"Tallapoosa, AL",341.0,282.0,276.0,302.0,301.0,284.0,295.0,374.0,322.0,336.0,371.0,472.0
1125,"Tuscaloosa, AL",2083.0,2211.0,2082.0,1969.0,1948.0,1886.0,1611.0,1585.0,1860.0,1934.0,1851.0,2260.0
1127,"Walker, AL",739.0,707.0,586.0,524.0,552.0,496.0,629.0,617.0,687.0,634.0,527.0,431.0
1129,"Washington, AL",200.0,183.0,187.0,77.0,139.0,167.0,212.0,307.0,299.0,96.0,88.0,71.0
1131,"Wilcox, AL",57.0,65.0,33.0,30.0,26.0,22.0,4.0,7.0,4.0,5.0,17.0,15.0
1133,"Winston, AL",152.0,112.0,114.0,151.0,263.0,313.0,384.0,358.0,351.0,241.0,213.0,172.0
2013,"Aleutians East Borough, AK",67.0,62.0,51.0,5.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
2016,"Aleutians West Census Area, AK",23.0,42.0,55.0,72.0,67.0,74.0,134.0,132.0,136.0,136.0,91.0,47.0
2020,"Anchorage Municipality, AK",3951.0,4181.0,4161.0,3723.0,3540.0,3910.0,3632.0,3629.0,3188.0,3600.0,3320.0,2860.0
2050,"Bethel Census Area, AK",4.0,5.0,7.0,24.0,26.0,19.0,14.0,22.0,7.0,19.0,20.0,19.0
2060,"Bristol Bay Borough, AK",6.0,5.0,5.0,2.0,2.0,6.0,4.0,3.0,4.0,5.0,1.0,2.0
2068,"Denali Borough, AK",3.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,7.0,14.0,15.0,12.0
2070,"Dillingham Census Area, AK",6.0,5.0,5.0,11.0,5.0,5.0,8.0,9.0,4.0,8.0,10.0,7.0
2090,"Fairbanks North Star Borough, AK",922.0,768.0,697.0,706.0,814.0,590.0,770.0,809.0,724.0,645.0,837.0,628.0
