GeoFIPS,GeoName,median_owner_occupied_home_value
1001,"Autauga, AL",164900.0
1003,"Baldwin, AL",226600.0
1005,"Barbour, AL",89500.0
1007,"Bibb, AL",102900.0
1009,"Blount, AL",138100.0
1011,"Bullock, AL",72600.0
1013,"Butler, AL",93500.0
1015,"Calhoun, AL",123200.0
1017,"Chambers, AL",107000.0
1019,"Cherokee, AL",141000.0
1021,"Chilton, AL",117300.0
1023,"Choctaw, AL",79800.0
1025,"Clarke, AL",113700.0
1027,"Clay, AL",122400.0
1029,"Cleburne, AL",116500.0
1031,"Coffee, AL",157700.0
1033,"Colbert, AL",129700.0
1035,"Conecuh, AL",82800.0
1037,"Coosa, AL",95900.0
1039,"Covington, AL",111900.0
1041,"Crenshaw, AL",85800.0
1043,"Cullman, AL",143700.0
1045,"Dale, AL",112900.0
1047,"Dallas, AL",85400.0
1049,"DeKalb, AL",115100.0
1051,"Elmore, AL",174800.0
1053,"Escambia, AL",108200.0
1055,"Etowah, AL",129600.0
1057,"Fayette, AL",98400.0
1059,"Franklin, AL",107200.0
1061,"Geneva, AL",115300.0
1063,"Greene, AL",80300.0
1065,"Hale, AL",89700.0
1067,"Henry, AL",122800.0
1069,"Houston, AL",146300.0
1071,"Jackson, AL",114200.0
1073,"Jefferson, AL",176900.0
1075,"Lamar, AL",102100.0
1077,"Lauderdale, AL",154800.0
1079,"Lawrence, AL",124300.0
1081,"Lee, AL",186600.0
1083,"Limestone, AL",185300.0
1085,"Lowndes, AL",77700.0
1087,"Macon, AL",84300.0
1089,"Madison, AL",202500.0
1091,"Marengo, AL",89500.0
1093,"Marion, AL",89100.0
1095,"Marshall, AL",147600.0
1097,"Mobile, AL",144100.0
1099,"Monroe, AL",103700.0
1101,"Montgomery, AL",134700.0
1103,"Morgan, AL",152400.0
1105,"Perry, AL",74400.0
1107,"Pickens, AL",105100.0
1109,"Pike, AL",130900.0
1111,"Randolph, AL",124200.0
1113,"Russell, AL",130400.0
1115,"St. Clair, AL",170900.0
1117,"Shelby, AL",235500.0
1119,"Sumter, AL",69800.0
1121,"Talladega, AL",114800.0
1123,"Tallapoosa, AL",111900.0
1125,"Tuscaloosa, AL",183800.0
1127,"Walker, AL",116200.0
1129,"Washington, AL",111600.0
1131,"Wilcox, AL",72800.0
1133,"Winston, AL",105000.0
2013,"Aleutians East Borough, AK",144100.0
2016,"Aleutians West Census Area, AK",325500.0
2020,"Anchorage Municipality, AK",327500.0
2050,"Bethel Census Area, AK",102300.0
2060,"Bristol Bay Borough, AK",234000.0
2068,"Denali Borough, AK",203600.0
2070,"Dillingham Census Area, AK",155900.0
2090,"Fairbanks North Star Borough, AK",245700.0
2100,"Haines Borough, AK",256300.0
2110,"Juneau City and Borough, AK",358200.0
2122,"Kenai Peninsula Borough, AK",249100.0
2130,"Ketchikan Gateway Borough, AK*",315200.0
2150,"Kodiak Island Borough, AK",311100.0
