GeoFIPS,GeoName,Category,Value
1001,"Autauga, AL",median_rent,1085.0
1003,"Baldwin, AL",median_rent,1093.0
1005,"Barbour, AL",median_rent,605.0
1007,"Bibb, AL",median_rent,744.0
1009,"Blount, AL",median_rent,691.0
1011,"Bullock, AL",median_rent,473.0
1013,"Butler, AL",median_rent,666.0
1015,"Calhoun, AL",median_rent,752.0
1017,"Chambers, AL",median_rent,790.0
1019,"Cherokee, AL",median_rent,682.0
1021,"Chilton, AL",median_rent,746.0
1023,"Choctaw, AL",median_rent,601.0
1025,"Clarke, AL",median_rent,702.0
1027,"Clay, AL",median_rent,521.0
1029,"Cleburne, AL",median_rent,724.0
1031,"Coffee, AL",median_rent,856.0
1033,"Colbert, AL",median_rent,761.0
1035,"Conecuh, AL",median_rent,658.0
1037,"Coosa, AL",median_rent,655.0
1039,"Covington, AL",median_rent,649.0
1041,"Crenshaw, AL",median_rent,590.0
1043,"Cullman, AL",median_rent,779.0
1045,"Dale, AL",median_rent,772.0
1047,"Dallas, AL",median_rent,697.0
1049,"DeKalb, AL",median_rent,646.0
1051,"Elmore, AL",median_rent,928.0
1053,"Escambia, AL",median_rent,623.0
1055,"Etowah, AL",median_rent,717.0
1057,"Fayette, AL",median_rent,546.0
1059,"Franklin, AL",median_rent,581.0
1061,"Geneva, AL",median_rent,659.0
1063,"Greene, AL",median_rent,601.0
1065,"Hale, AL",median_rent,608.0
1067,"Henry, AL",median_rent,639.0
1069,"Houston, AL",median_rent,799.0
1071,"Jackson, AL",median_rent,627.0
1073,"Jefferson, AL",median_rent,986.0
1075,"Lamar, AL",median_rent,456.0
1077,"Lauderdale, AL",median_rent,701.0
1079,"Lawrence, AL",median_rent,630.0
1081,"Lee, AL",median_rent,894.0
1083,"Limestone, AL",median_rent,754.0
1085,"Lowndes, AL",median_rent,701.0
1087,"Macon, AL",median_rent,653.0
1089,"Madison, AL",median_rent,936.0
1091,"Marengo, AL",median_rent,634.0
1093,"Marion, AL",median_rent,558.0
1095,"Marshall, AL",median_rent,683.0
1097,"Mobile, AL",median_rent,916.0
1099,"Monroe, AL",median_rent,617.0
1101,"Montgomery, AL",median_rent,942.0
1103,"Morgan, AL",median_rent,714.0
1105,"Perry, AL",median_rent,474.0
1107,"Pickens, AL",median_rent,536.0
1109,"Pike, AL",median_rent,705.0
1111,"Randolph, AL",median_rent,665.0
1113,"Russell, AL",median_rent,837.0
1115,"St. Clair, AL",median_rent,928.0
1117,"Shelby, AL",median_rent,1142.0
1119,"Sumter, AL",median_rent,627.0
1121,"Talladega, AL",median_rent,693.0
1123,"Tallapoosa, AL",median_rent,666.0
1125,"Tuscaloosa, AL",median_rent,908.0
1127,"Walker, AL",median_rent,643.0
1129,"Washington, AL",median_rent,672.0
