GeoFIPS,GeoName,median_rent
1001,"Autauga, AL",1085.0
1003,"Baldwin, AL",1093.0
1005,"Barbour, AL",605.0
1007,"Bibb, AL",744.0
1009,"Blount, AL",691.0
1011,"Bullock, AL",473.0
1013,"Butler, AL",666.0
1015,"Calhoun, AL",752.0
1017,"Chambers, AL",790.0
1019,"Cherokee, AL",682.0
1021,"Chilton, AL",746.0
1023,"Choctaw, AL",601.0
1025,"Clarke, AL",702.0
1027,"Clay, AL",521.0
1029,"Cleburne, AL",724.0
1031,"Coffee, AL",856.0
1033,"Colbert, AL",761.0
1035,"Conecuh, AL",658.0
1037,"Coosa, AL",655.0
1039,"Covington, AL",649.0
1041,"Crenshaw, AL",590.0
1043,"Cullman, AL",779.0
1045,"Dale, AL",772.0
1047,"Dallas, AL",697.0
1049,"DeKalb, AL",646.0
1051,"Elmore, AL",928.0
1053,"Escambia, AL",623.0
1055,"Etowah, AL",717.0
1057,"Fayette, AL",546.0
1059,"Franklin, AL",581.0
1061,"Geneva, AL",659.0
1063,"Greene, AL",601.0
1065,"Hale, AL",608.0
1067,"Henry, AL",639.0
1069,"Houston, AL",799.0
1071,"Jackson, AL",627.0
1073,"Jefferson, AL",986.0
1075,"Lamar, AL",456.0
1077,"Lauderdale, AL",701.0
1079,"Lawrence, AL",630.0
1081,"Lee, AL",894.0
1083,"Limestone, AL",754.0
1085,"Lowndes, AL",701.0
1087,"Macon, AL",653.0
1089,"Madison, AL",936.0
1091,"Marengo, AL",634.0
1093,"Marion, AL",558.0
1095,"Marshall, AL",683.0
1097,"Mobile, AL",916.0
1099,"Monroe, AL",617.0
1101,"Montgomery, AL",942.0
1103,"Morgan, AL",714.0
1105,"Perry, AL",474.0
1107,"Pickens, AL",536.0
1109,"Pike, AL",705.0
1111,"Randolph, AL",665.0
1113,"Russell, AL",837.0
1115,"St. Clair, AL",928.0
1117,"Shelby, AL",1142.0
1119,"Sumter, AL",627.0
1121,"Talladega, AL",693.0
1123,"Tallapoosa, AL",666.0
1125,"Tuscaloosa, AL",908.0
1127,"Walker, AL",643.0
1129,"Washington, AL",672.0
1131,"Wilcox, AL",751.0
1133,"Winston, AL",591.0
2013,"Aleutians East Borough, AK",1066.0
2016,"Aleutians West Census Area, AK",1612.0
2020,"Anchorage Municipality, AK",1350.0
2050,"Bethel Census Area, AK",1402.0
2060,"Bristol Bay Borough, AK",1160.0
2068,"Denali Borough, AK",983.0
2070,"Dillingham Census Area, AK",1049.0
2090,"Fairbanks North Star Borough, AK",1321.0
2100,"Haines Borough, AK",817.0
2110,"Juneau City and Borough, AK",1319.0
2122,"Kenai Peninsula Borough, AK",1081.0
2130,"Ketchikan Gateway Borough, AK*",1235.0
2150,"Kodiak Island Borough, AK",1483.0
2164,"Lake and Peninsula Borough, AK",779.0
2170,"Matanuska-Susitna Borough, AK",1167.0
2180,"Nome Census Area, AK",1257.0
2185,"North Slope Borough, AK",1039.0
2188,"Northwest Arctic Borough, AK",1266.0
2220,"Sitka City and Borough, AK",1232.0
2240,"Southeast Fairbanks Census Area, AK",1149.0
2290,"Yukon-Koyukuk Census Area, AK",817.0
4001,"Apache, AZ",565.0
4003,"Cochise, AZ",841.0
4005,"Coconino, AZ",1302.0
4007,"Gila, AZ",873.0
4009,"Graham, AZ",788.0
4011,"Greenlee, AZ",513.0
4012,"La Paz, AZ",701.0
4013,"Maricopa, AZ",1275.0
4015,"Mohave, AZ",884.0
4017,"Navajo, AZ",725.0
4019,"Pima, AZ",976.0
4021,"Pinal, AZ",1143.0
4023,"Santa Cruz, AZ",667.0
4025,"Yavapai, AZ",1030.0
4027,"Yuma, AZ",903.0
5001,"Arkansas, AR",699.0
5003,"Ashley, AR",561.0
5005,"Baxter, AR",748.0
5007,"Benton, AR",1002.0
5009,"Boone, AR",645.0
5011,"Bradley, AR",552.0
5013,"Calhoun, AR",666.0
5015,"Carroll, AR",654.0
5017,"Chicot, AR",536.0
5019,"Clark, AR",641.0
5021,"Clay, AR",598.0
5023,"Cleburne, AR",752.0
5025,"Cleveland, AR",628.0
5027,"Columbia, AR",641.0
5029,"Conway, AR",650.0
5031,"Craighead, AR",824.0
5033,"Crawford, AR",734.0
5035,"Crittenden, AR",770.0
5037,"Cross, AR",761.0
5039,"Dallas, AR",481.0
5041,"Desha, AR",593.0
5043,"Drew, AR",715.0
5045,"Faulkner, AR",857.0
5047,"Franklin, AR",632.0
5049,"Fulton, AR",595.0
5051,"Garland, AR",827.0
5053,"Grant, AR",759.0
5055,"Greene, AR",746.0
5057,"Hempstead, AR",709.0
5059,"Hot Spring, AR",640.0
5061,"Howard, AR",691.0
5063,"Independence, AR",715.0
5065,"Izard, AR",578.0
5067,"Jackson, AR",584.0
5069,"Jefferson, AR",766.0
5071,"Johnson, AR",662.0
5073,"Lafayette, AR",585.0
5075,"Lawrence, AR",602.0
5077,"Lee, AR",589.0
5079,"Lincoln, AR",562.0
5081,"Little River, AR",598.0
5083,"Logan, AR",634.0
5085,"Lonoke, AR",864.0
5087,"Madison, AR",658.0
5089,"Marion, AR",722.0
5091,"Miller, AR",793.0
5093,"Mississippi, AR",664.0
5095,"Monroe, AR",535.0
5097,"Montgomery, AR",560.0
5099,"Nevada, AR",658.0
5101,"Newton, AR",545.0
5103,"Ouachita, AR",611.0
5105,"Perry, AR",658.0
5107,"Phillips, AR",614.0
5109,"Pike, AR",633.0
5111,"Poinsett, AR",645.0
5113,"Polk, AR",665.0
5115,"Pope, AR",745.0
5117,"Prairie, AR",690.0
5119,"Pulaski, AR",917.0
5121,"Randolph, AR",661.0
5123,"St. Francis, AR",708.0
5125,"Saline, AR",884.0
5127,"Scott, AR",682.0
5129,"Searcy, AR",561.0
5131,"Sebastian, AR",751.0
5133,"Sevier, AR",648.0
5135,"Sharp, AR",569.0
5137,"Stone, AR",537.0
5139,"Union, AR",717.0
5141,"Van Buren, AR",646.0
5143,"Washington, AR",865.0
5145,"White, AR",720.0
5147,"Woodruff, AR",551.0
5149,"Yell, AR",625.0
6001,"Alameda, CA",2043.0
6003,"Alpine, CA",1083.0
6005,"Amador, CA",1126.0
6007,"Butte, CA",1172.0
6009,"Calaveras, CA",1430.0
6011,"Colusa, CA",974.0
6013,"Contra Costa, CA",2061.0
6015,"Del Norte, CA",999.0
6017,"El Dorado, CA",1409.0
6019,"Fresno, CA",1098.0
6021,"Glenn, CA",954.0
6023,"Humboldt, CA",1079.0
6025,"Imperial, CA",892.0
6027,"Inyo, CA",988.0
6029,"Kern, CA",1063.0
6031,"Kings, CA",1098.0
6033,"Lake, CA",1116.0
6035,"Lassen, CA",969.0
6037,"Los Angeles, CA",1653.0
6039,"Madera, CA",1120.0
6041,"Marin, CA",2307.0
6043,"Mariposa, CA",1058.0
6045,"Mendocino, CA",1176.0
6047,"Merced, CA",1125.0
6049,"Modoc, CA",748.0
6051,"Mono, CA",1228.0
6053,"Monterey, CA",1718.0
6055,"Napa, CA",1880.0
6057,"Nevada, CA",1380.0
6059,"Orange, CA",2057.0
6061,"Placer, CA",1734.0
6063,"Plumas, CA",1031.0
6065,"Riverside, CA",1552.0
6067,"Sacramento, CA",1434.0
6069,"San Benito, CA",1703.0
6071,"San Bernardino, CA",1427.0
6073,"San Diego, CA",1842.0
6075,"San Francisco, CA",2130.0
6077,"San Joaquin, CA",1387.0
6079,"San Luis Obispo, CA",1654.0
6081,"San Mateo, CA",2599.0
6083,"Santa Barbara, CA",1810.0
6085,"Santa Clara, CA",2530.0
6087,"Santa Cruz, CA",1925.0
6089,"Shasta, CA",1140.0
6091,"Sierra, CA",978.0
6093,"Siskiyou, CA",893.0
6095,"Solano, CA",1802.0
6097,"Sonoma, CA",1856.0
6099,"Stanislaus, CA",1315.0
6101,"Sutter, CA",1167.0
6103,"Tehama, CA",1028.0
6105,"Trinity, CA",869.0
6107,"Tulare, CA",1037.0
6109,"Tuolumne, CA",1105.0
6111,"Ventura, CA",1976.0
6113,"Yolo, CA",1475.0
6115,"Yuba, CA",1060.0
8001,"Adams, CO*",1470.0
8003,"Alamosa, CO",698.0
8005,"Arapahoe, CO",1556.0
8007,"Archuleta, CO",1147.0
8009,"Baca, CO",401.0
8011,"Bent, CO",703.0
8013,"Boulder, CO*",1694.0
8015,"Chaffee, CO",1157.0
8017,"Cheyenne, CO",719.0
8019,"Clear Creek, CO",1106.0
8021,"Conejos, CO",635.0
8023,"Costilla, CO",645.0
8025,"Crowley, CO",964.0
8027,"Custer, CO",772.0
8029,"Delta, CO",898.0
8031,"Denver, CO",1495.0
8033,"Dolores, CO",858.0
8035,"Douglas, CO",1838.0
8037,"Eagle, CO",1724.0
8039,"Elbert, CO",1229.0
8041,"El Paso, CO",1347.0
8043,"Fremont, CO",894.0
8045,"Garfield, CO",1277.0
8047,"Gilpin, CO",1228.0
8049,"Grand, CO",1019.0
8051,"Gunnison, CO",1104.0
8053,"Hinsdale, CO",838.0
8055,"Huerfano, CO",653.0
8057,"Jackson, CO",681.0
8059,"Jefferson, CO*",1555.0
8061,"Kiowa, CO",793.0
8063,"Kit Carson, CO",790.0
8065,"Lake, CO",1152.0
8067,"La Plata, CO",1235.0
8069,"Larimer, CO",1433.0
8071,"Las Animas, CO",761.0
8073,"Lincoln, CO",745.0
8075,"Logan, CO",800.0
8077,"Mesa, CO",982.0
8079,"Mineral, CO",823.0
8081,"Moffat, CO",873.0
8083,"Montezuma, CO",828.0
8085,"Montrose, CO",988.0
8087,"Morgan, CO",949.0
8089,"Otero, CO",764.0
8091,"Ouray, CO",1173.0
8093,"Park, CO",1317.0
8095,"Phillips, CO",777.0
8097,"Pitkin, CO",1534.0
8099,"Prowers, CO",701.0
8101,"Pueblo, CO",884.0
8103,"Rio Blanco, CO",807.0
8105,"Rio Grande, CO",685.0
8107,"Routt, CO",1448.0
8109,"Saguache, CO",663.0
8111,"San Juan, CO",988.0
8113,"San Miguel, CO",1257.0
8115,"Sedgwick, CO",614.0
8117,"Summit, CO",1743.0
8119,"Teller, CO",1440.0
8121,"Washington, CO",797.0
8123,"Weld, CO*",1234.0
8125,"Yuma, CO",880.0
9001,"Fairfield, CT",1593.0
9003,"Hartford, CT",1191.0
9005,"Litchfield, CT",1114.0
9007,"Middlesex, CT",1222.0
9009,"New Haven, CT",1223.0
9011,"New London, CT",1192.0
9013,"Tolland, CT",1238.0
9015,"Windham, CT",1019.0
10001,"Kent, DE",1150.0
10003,"New Castle, DE",1228.0
10005,"Sussex, DE",1101.0
11001,"District of Columbia, DC",1681.0
12001,"Alachua, FL",1082.0
12003,"Baker, FL",873.0
12005,"Bay, FL",1191.0
12007,"Bradford, FL",845.0
12009,"Brevard, FL",1185.0
12011,"Broward, FL",1503.0
12013,"Calhoun, FL",566.0
12015,"Charlotte, FL",1094.0
12017,"Citrus, FL",914.0
12019,"Clay, FL",1253.0
12021,"Collier, FL",1440.0
12023,"Columbia, FL",834.0
12027,"DeSoto, FL",787.0
12029,"Dixie, FL",581.0
12031,"Duval, FL",1154.0
12033,"Escambia, FL",1076.0
12035,"Flagler, FL",1416.0
12037,"Franklin, FL",904.0
12039,"Gadsden, FL",689.0
12041,"Gilchrist, FL",767.0
12043,"Glades, FL",774.0
12045,"Gulf, FL",1095.0
12047,"Hamilton, FL",694.0
12049,"Hardee, FL",801.0
12051,"Hendry, FL",859.0
12053,"Hernando, FL",1051.0
12055,"Highlands, FL",839.0
12057,"Hillsborough, FL",1259.0
12059,"Holmes, FL",753.0
12061,"Indian River, FL",1086.0
12063,"Jackson, FL",722.0
12065,"Jefferson, FL",679.0
12067,"Lafayette, FL",689.0
12069,"Lake, FL",1203.0
12071,"Lee, FL",1307.0
12073,"Leon, FL",1071.0
12075,"Levy, FL",751.0
12077,"Liberty, FL",792.0
12079,"Madison, FL",726.0
12081,"Manatee, FL",1274.0
12083,"Marion, FL",993.0
12085,"Martin, FL",1214.0
12086,"Miami-Dade, FL",1470.0
12087,"Monroe, FL",1782.0
12089,"Nassau, FL",1052.0
12091,"Okaloosa, FL",1227.0
12093,"Okeechobee, FL",880.0
12095,"Orange, FL",1375.0
12097,"Osceola, FL",1350.0
12099,"Palm Beach, FL",1534.0
12101,"Pasco, FL",1164.0
12103,"Pinellas, FL",1237.0
12105,"Polk, FL",1090.0
12107,"Putnam, FL",753.0
12109,"St. Johns, FL",1462.0
12111,"St. Lucie, FL",1282.0
12113,"Santa Rosa, FL",1238.0
12115,"Sarasota, FL",1415.0
12117,"Seminole, FL",1397.0
12119,"Sumter, FL",1055.0
12121,"Suwannee, FL",756.0
12123,"Taylor, FL",791.0
12125,"Union, FL",760.0
12127,"Volusia, FL",1148.0
12129,"Wakulla, FL",978.0
12131,"Walton, FL",1139.0
12133,"Washington, FL",724.0
13001,"Appling, GA",619.0
13003,"Atkinson, GA",475.0
13005,"Bacon, GA",632.0
13007,"Baker, GA",533.0
13009,"Baldwin, GA",750.0
13011,"Banks, GA",738.0
13013,"Barrow, GA",1059.0
13015,"Bartow, GA",993.0
13017,"Ben Hill, GA",699.0
13019,"Berrien, GA",662.0
13021,"Bibb, GA",879.0
13023,"Bleckley, GA",702.0
13025,"Brantley, GA",714.0
13027,"Brooks, GA",649.0
13029,"Bryan, GA",1344.0
13031,"Bulloch, GA",868.0
13033,"Burke, GA",718.0
13035,"Butts, GA",884.0
13037,"Calhoun, GA",550.0
13039,"Camden, GA",1038.0
13043,"Candler, GA",653.0
13045,"Carroll, GA",964.0
13047,"Catoosa, GA",830.0
13049,"Charlton, GA",476.0
13051,"Chatham, GA",1167.0
13053,"Chattahoochee, GA",1177.0
13055,"Chattooga, GA",628.0
13057,"Cherokee, GA",1421.0
13059,"Clarke, GA",940.0
13061,"Clay, GA",334.0
13063,"Clayton, GA",1100.0
13065,"Clinch, GA",564.0
13067,"Cobb, GA",1367.0
13069,"Coffee, GA",659.0
13071,"Colquitt, GA",678.0
13073,"Columbia, GA",1192.0
13075,"Cook, GA",797.0
13077,"Coweta, GA",1213.0
13079,"Crawford, GA",666.0
13081,"Crisp, GA",695.0
13083,"Dade, GA",755.0
13085,"Dawson, GA",1184.0
13087,"Decatur, GA",730.0
13089,"DeKalb, GA",1312.0
13091,"Dodge, GA",644.0
13093,"Dooly, GA",608.0
13095,"Dougherty, GA",810.0
13097,"Douglas, GA",1194.0
13099,"Early, GA",763.0
13101,"Echols, GA",713.0
13103,"Effingham, GA",1038.0
13105,"Elbert, GA",711.0
13107,"Emanuel, GA",643.0
13109,"Evans, GA",657.0
13111,"Fannin, GA",686.0
13113,"Fayette, GA",1482.0
13115,"Floyd, GA",826.0
13117,"Forsyth, GA",1619.0
13119,"Franklin, GA",721.0
13121,"Fulton, GA",1367.0
13123,"Gilmer, GA",788.0
13125,"Glascock, GA",720.0
13127,"Glynn, GA",960.0
13129,"Gordon, GA",751.0
13131,"Grady, GA",782.0
13133,"Greene, GA",771.0
13135,"Gwinnett, GA",1414.0
13137,"Habersham, GA",819.0
13139,"Hall, GA",1073.0
13141,"Hancock, GA",642.0
13143,"Haralson, GA",755.0
13145,"Harris, GA",865.0
13147,"Hart, GA",746.0
13149,"Heard, GA",746.0
13151,"Henry, GA",1255.0
13153,"Houston, GA",983.0
13155,"Irwin, GA",710.0
13157,"Jackson, GA",903.0
13159,"Jasper, GA",934.0
13161,"Jeff Davis, GA",570.0
13163,"Jefferson, GA",624.0
13165,"Jenkins, GA",636.0
13167,"Johnson, GA",548.0
13169,"Jones, GA",772.0
13171,"Lamar, GA",738.0
13173,"Lanier, GA",769.0
13175,"Laurens, GA",695.0
13177,"Lee, GA",1014.0
13179,"Liberty, GA",1093.0
13181,"Lincoln, GA",719.0
13183,"Long, GA",772.0
13185,"Lowndes, GA",851.0
13187,"Lumpkin, GA",934.0
13189,"McDuffie, GA",765.0
13191,"McIntosh, GA",691.0
13193,"Macon, GA",596.0
13195,"Madison, GA",839.0
13197,"Marion, GA",557.0
13199,"Meriwether, GA",739.0
13201,"Miller, GA",615.0
13205,"Mitchell, GA",681.0
13207,"Monroe, GA",789.0
13209,"Montgomery, GA",659.0
13211,"Morgan, GA",923.0
13213,"Murray, GA",725.0
13215,"Muscogee, GA",951.0
13217,"Newton, GA",1133.0
13219,"Oconee, GA",1203.0
13221,"Oglethorpe, GA",738.0
13223,"Paulding, GA",1314.0
