GeoFIPS,GeoName,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1001,"Autauga, AL",36953.0,38186.0,39112.0,40207.0,41238.0,42106.0,42963.0,44021.0,44889.0,45909.0,46800.0,48366.0,49676.0,51328.0,52405.0,53277.0,54135.0,54826.0,55557.0,55558.0,55594.0,56034.0,56278.0,56954.0,57371.0,57728.0,58245.0,58877.0,59095.0
1003,"Baldwin, AL",111416.0,116565.0,120896.0,125412.0,130164.0,134444.0,137555.0,141342.0,144875.0,147957.0,151509.0,156266.0,162183.0,168121.0,172404.0,175827.0,179406.0,183200.0,186981.0,190941.0,196067.0,200759.0,204925.0,210004.0,215365.0,221132.0,227079.0,233140.0,239294.0
1005,"Barbour, AL",27371.0,27751.0,27854.0,28298.0,28415.0,28841.0,28866.0,29015.0,28863.0,28653.0,28594.0,28287.0,28027.0,27861.0,27757.0,27808.0,27657.0,27342.0,27426.0,27320.0,27158.0,27043.0,26633.0,26217.0,25608.0,25380.0,25205.0,25180.0,24964.0
1007,"Bibb, AL",17757.0,18053.0,18507.0,18885.0,19388.0,19851.0,20560.0,19913.0,21028.0,21199.0,21399.0,21721.0,22042.0,22099.0,22438.0,22705.0,22941.0,22861.0,22750.0,22682.0,22544.0,22586.0,22607.0,22654.0,22606.0,22383.0,22405.0,22223.0,22477.0
1009,"Blount, AL",41866.0,42520.0,44060.0,45344.0,47055.0,48824.0,50237.0,51107.0,51845.0,52551.0,53457.0,54124.0,54624.0,55485.0,56240.0,57055.0,57341.0,57403.0,57712.0,57857.0,58024.0,58048.0,58168.0,58238.0,58676.0,58765.0,58956.0,59081.0,59041.0
1011,"Bullock, AL",11219.0,11370.0,11431.0,11574.0,11624.0,11655.0,11755.0,11581.0,11358.0,11256.0,11316.0,11056.0,11011.0,10776.0,11011.0,10953.0,10987.0,10885.0,10724.0,10689.0,10670.0,10818.0,10584.0,10612.0,10425.0,10443.0,10455.0,10309.0,10320.0
1013,"Butler, AL",21813.0,21851.0,21824.0,21863.0,21840.0,21718.0,21605.0,21325.0,21139.0,20803.0,20833.0,20870.0,20830.0,20815.0,20894.0,20949.0,20867.0,20922.0,20810.0,20568.0,20212.0,20139.0,19932.0,19760.0,19588.0,19312.0,19097.0,19045.0,18884.0
1015,"Calhoun, AL",116324.0,116161.0,116790.0,116684.0,117254.0,117179.0,114910.0,111081.0,111266.0,111625.0,112705.0,113462.0,114477.0,115388.0,116211.0,117274.0,118363.0,118493.0,118132.0,117880.0,117465.0,117209.0,117048.0,116810.0,116796.0,116622.0,116669.0,116266.0,115972.0
1017,"Chambers, AL",37026.0,37066.0,37179.0,36907.0,36698.0,36808.0,36527.0,36571.0,36274.0,35965.0,35680.0,35463.0,35279.0,34945.0,34847.0,34563.0,34384.0,34151.0,34243.0,34499.0,34721.0,34740.0,34953.0,34881.0,35038.0,35071.0,34914.0,34678.0,34541.0
1019,"Cherokee, AL",20712.0,21214.0,21871.0,22387.0,22911.0,23351.0,23605.0,24006.0,24182.0,24403.0,24591.0,24887.0,25031.0,25466.0,25553.0,25636.0,25854.0,25936.0,25831.0,25671.0,25602.0,25355.0,25071.0,24973.0,24899.0,24978.0,25061.0,24958.0,24996.0
1021,"Chilton, AL",34072.0,34739.0,35537.0,36467.0,37302.0,38069.0,38862.0,39897.0,40197.0,40683.0,41079.0,41534.0,41946.0,42318.0,42881.0,43239.0,43484.0,43661.0,43762.0,43715.0,43823.0,44021.0,44026.0,44251.0,44546.0,44608.0,44902.0,45024.0,45274.0
1023,"Choctaw, AL",16228.0,16215.0,16195.0,16232.0,16162.0,16151.0,15931.0,15875.0,15677.0,15367.0,15199.0,14930.0,14545.0,14431.0,14216.0,14114.0,13976.0,13853.0,13637.0,13616.0,13473.0,13416.0,13352.0,13183.0,13077.0,12984.0,12768.0,12619.0,12533.0
1025,"Clarke, AL",27532.0,27646.0,27455.0,27503.0,27934.0,27756.0,27919.0,27819.0,27624.0,27267.0,27090.0,26958.0,26764.0,26755.0,26436.0,26283.0,26038.0,25760.0,25552.0,25095.0,25036.0,24750.0,24560.0,24164.0,23878.0,23733.0,23393.0,22995.0,22760.0
1027,"Clay, AL",13518.0,13553.0,13590.0,13734.0,13963.0,14118.0,14174.0,14263.0,14298.0,14257.0,14203.0,14121.0,14077.0,14053.0,14085.0,14161.0,14006.0,13924.0,13822.0,13672.0,13751.0,13897.0,13976.0,14062.0,14132.0,14184.0,14256.0,14193.0,14190.0
1029,"Cleburne, AL",13027.0,13030.0,13080.0,13254.0,13768.0,13921.0,14039.0,14172.0,14222.0,14416.0,14438.0,14339.0,14368.0,14538.0,14799.0,14874.0,14918.0,15006.0,14938.0,14907.0,15000.0,15062.0,14964.0,14919.0,14979.0,15110.0,15021.0,15035.0,15103.0
1031,"Coffee, AL",41910.0,42666.0,43174.0,43128.0,43201.0,43509.0,43667.0,43580.0,43716.0,43930.0,44315.0,45053.0,45604.0,46228.0,47458.0,48516.0,49440.0,50213.0,50494.0,51241.0,50825.0,50843.0,51189.0,51501.0,52200.0,52389.0,52968.0,53565.0,54174.0
1033,"Colbert, AL",53367.0,53454.0,53702.0,54163.0,54899.0,54928.0,54715.0,54997.0,54793.0,54536.0,54279.0,54380.0,54359.0,54413.0,54486.0,54473.0,54426.0,54572.0,54768.0,54980.0,55123.0,55240.0,55373.0,55595.0,55978.0,56452.0,56912.0,57236.0,57474.0
1035,"Conecuh, AL",14255.0,14321.0,14322.0,14458.0,14361.0,14242.0,14158.0,14035.0,13940.0,13793.0,13585.0,13430.0,13421.0,13603.0,13441.0,13388.0,13274.0,13226.0,13155.0,12973.0,12808.0,12544.0,12517.0,12308.0,12214.0,12020.0,11787.0,11552.0,11328.0
1037,"Coosa, AL",11444.0,11794.0,11952.0,11854.0,11941.0,12007.0,12135.0,11844.0,11848.0,11740.0,11732.0,11560.0,11467.0,11451.0,11439.0,11493.0,11410.0,11772.0,11449.0,11282.0,11165.0,10925.0,10798.0,10651.0,10538.0,10409.0,10441.0,10383.0,10450.0
1039,"Covington, AL",37218.0,37108.0,37489.0,37693.0,37759.0,37776.0,37843.0,37514.0,37069.0,36901.0,36860.0,36806.0,37204.0,37441.0,37631.0,37545.0,37648.0,37824.0,38095.0,37937.0,38005.0,38007.0,37862.0,37749.0,37477.0,37447.0,37591.0,37469.0,37524.0
1041,"Crenshaw, AL",13556.0,13476.0,13585.0,13576.0,13690.0,13599.0,13584.0,13692.0,13724.0,13635.0,13652.0,13727.0,13699.0,13880.0,13956.0,13922.0,14024.0,13855.0,13830.0,13798.0,13681.0,13634.0,13583.0,13590.0,13500.0,13433.0,13340.0,13157.0,13083.0
1043,"Cullman, AL",70889.0,72050.0,73037.0,74318.0,75147.0,76197.0,77065.0,77473.0,77415.0,77443.0,77657.0,78131.0,78692.0,79044.0,79576.0,80273.0,80351.0,80538.0,80831.0,81033.0,81780.0,82497.0,83536.0,84554.0,85303.0,86134.0,86838.0,88044.0,89496.0
1045,"Dale, AL",49710.0,50424.0,50303.0,49536.0,49184.0,48991.0,49118.0,49124.0,49254.0,49373.0,49215.0,49245.0,49050.0,49077.0,49488.0,49871.0,49854.0,50403.0,50172.0,50381.0,49903.0,49589.0,49580.0,49655.0,49673.0,49500.0,49554.0,49214.0,49342.0
1047,"Dallas, AL",48002.0,47806.0,47706.0,47347.0,47104.0,46764.0,46722.0,46198.0,46132.0,45377.0,45170.0,44795.0,44434.0,44323.0,44194.0,44265.0,43759.0,43916.0,43557.0,43336.0,42750.0,42557.0,42162.0,41526.0,40879.0,40066.0,39143.0,38190.0,37619.0
1049,"DeKalb, AL",58000.0,59551.0,59779.0,60358.0,61144.0,62325.0,63593.0,64650.0,65678.0,65861.0,66530.0,67260.0,67794.0,68495.0,69450.0,70228.0,70864.0,71134.0,71341.0,70922.0,70892.0,70977.0,71080.0,71131.0,71456.0,71446.0,71521.0,71630.0,71813.0
1051,"Elmore, AL",54245.0,55734.0,57402.0,58969.0,60809.0,62551.0,64668.0,66160.0,67459.0,68659.0,69935.0,71018.0,72978.0,75246.0,77124.0,77698.0,78632.0,79695.0,80700.0,81470.0,82389.0,82964.0,83891.0,84840.0,85629.0,85940.0,86943.0,88116.0,89304.0
1053,"Escambia, AL",36680.0,37003.0,37126.0,37460.0,37879.0,38145.0,38336.0,38325.0,38197.0,38035.0,37796.0,37713.0,37601.0,37673.0,37839.0,37929.0,38249.0,38363.0,38265.0,38125.0,37912.0,37927.0,37896.0,37759.0,37305.0,36845.0,36939.0,36665.0,36699.0
1055,"Etowah, AL",101310.0,102213.0,102342.0,103063.0,104129.0,104367.0,104002.0,103286.0,102976.0,102988.0,103025.0,103080.0,103174.0,103528.0,103893.0,104206.0,104239.0,104468.0,104495.0,104521.0,104249.0,103880.0,103601.0,103603.0,103854.0,103646.0,103440.0,103393.0,103162.0
