GeoFIPS,GeoName,Year,Value
1001,"Autauga, AL",1998,11.3
1003,"Baldwin, AL",1998,11.0
1005,"Barbour, AL",1998,22.7
1007,"Bibb, AL",1998,16.9
1009,"Blount, AL",1998,12.9
1011,"Bullock, AL",1998,28.0
1013,"Butler, AL",1998,23.4
1015,"Calhoun, AL",1998,16.1
1017,"Chambers, AL",1998,16.8
1019,"Cherokee, AL",1998,16.1
1021,"Chilton, AL",1998,16.0
1023,"Choctaw, AL",1998,21.1
1025,"Clarke, AL",1998,20.9
1027,"Clay, AL",1998,14.5
1029,"Cleburne, AL",1998,14.4
1031,"Coffee, AL",1998,14.5
1033,"Colbert, AL",1998,14.0
1035,"Conecuh, AL",1998,25.7
1037,"Coosa, AL",1998,15.8
1039,"Covington, AL",1998,19.7
1041,"Crenshaw, AL",1998,20.4
1043,"Cullman, AL",1998,13.2
1045,"Dale, AL",1998,16.9
1047,"Dallas, AL",1998,28.0
1049,"DeKalb, AL",1998,16.2
1051,"Elmore, AL",1998,12.6
1053,"Escambia, AL",1998,20.2
1055,"Etowah, AL",1998,16.2
1057,"Fayette, AL",1998,16.7
1059,"Franklin, AL",1998,17.0
1061,"Geneva, AL",1998,18.6
1063,"Greene, AL",1998,32.7
1065,"Hale, AL",1998,25.4
1067,"Henry, AL",1998,17.3
1069,"Houston, AL",1998,16.2
1071,"Jackson, AL",1998,14.4
1073,"Jefferson, AL",1998,14.1
1075,"Lamar, AL",1998,17.3
1077,"Lauderdale, AL",1998,13.5
1079,"Lawrence, AL",1998,15.2
1081,"Lee, AL",1998,14.6
1083,"Limestone, AL",1998,13.0
1085,"Lowndes, AL",1998,28.9
1087,"Macon, AL",1998,29.6
1089,"Madison, AL",1998,10.7
1091,"Marengo, AL",1998,22.5
1093,"Marion, AL",1998,16.0
1095,"Marshall, AL",1998,15.6
1097,"Mobile, AL",1998,19.0
1099,"Monroe, AL",1998,20.5
1101,"Montgomery, AL",1998,17.0
1103,"Morgan, AL",1998,11.3
1105,"Perry, AL",1998,33.3
1107,"Pickens, AL",1998,22.1
1109,"Pike, AL",1998,23.1
1111,"Randolph, AL",1998,17.5
1113,"Russell, AL",1998,18.0
1115,"St. Clair, AL",1998,13.2
1117,"Shelby, AL",1998,6.5
1119,"Sumter, AL",1998,29.6
1121,"Talladega, AL",1998,18.6
1123,"Tallapoosa, AL",1998,16.1
1125,"Tuscaloosa, AL",1998,16.2
1127,"Walker, AL",1998,14.5
1129,"Washington, AL",1998,18.9
1131,"Wilcox, AL",1998,33.8
1133,"Winston, AL",1998,15.7
2013,"Aleutians East Borough, AK",1998,12.1
2016,"Aleutians West Census Area, AK",1998,6.2
2020,"Anchorage Municipality, AK",1998,8.7
