GeoFIPS,GeoName,Year,Value
1001,"Autauga, AL",1998,2149.0
1003,"Baldwin, AL",1998,5688.0
1005,"Barbour, AL",1998,2183.0
1007,"Bibb, AL",1998,1279.0
1009,"Blount, AL",1998,2313.0
1011,"Bullock, AL",1998,1098.0
1013,"Butler, AL",1998,1955.0
1015,"Calhoun, AL",1998,6829.0
1017,"Chambers, AL",1998,2360.0
1019,"Cherokee, AL",1998,1223.0
1021,"Chilton, AL",1998,2180.0
1023,"Choctaw, AL",1998,1231.0
1025,"Clarke, AL",1998,2341.0
1027,"Clay, AL",1998,716.0
1029,"Cleburne, AL",1998,728.0
1031,"Coffee, AL",1998,2277.0
1033,"Colbert, AL",1998,2719.0
1035,"Conecuh, AL",1998,1291.0
1037,"Coosa, AL",1998,676.0
1039,"Covington, AL",1998,2589.0
1041,"Crenshaw, AL",1998,1003.0
1043,"Cullman, AL",1998,3453.0
1045,"Dale, AL",1998,3216.0
1047,"Dallas, AL",1998,5119.0
1049,"DeKalb, AL",1998,3510.0
1051,"Elmore, AL",1998,3097.0
1053,"Escambia, AL",1998,2603.0
1055,"Etowah, AL",1998,5870.0
1057,"Fayette, AL",1998,1116.0
1059,"Franklin, AL",1998,1826.0
1061,"Geneva, AL",1998,1647.0
1063,"Greene, AL",1998,1230.0
1065,"Hale, AL",1998,1684.0
1067,"Henry, AL",1998,1011.0
1069,"Houston, AL",1998,5430.0
1071,"Jackson, AL",1998,2654.0
1073,"Jefferson, AL",1998,34967.0
1075,"Lamar, AL",1998,962.0
1077,"Lauderdale, AL",1998,3966.0
1079,"Lawrence, AL",1998,1939.0
1081,"Lee, AL",1998,4602.0
1083,"Limestone, AL",1998,2983.0
1085,"Lowndes, AL",1998,1534.0
1087,"Macon, AL",1998,2149.0
1089,"Madison, AL",1998,11405.0
1091,"Marengo, AL",1998,2034.0
1093,"Marion, AL",1998,1504.0
1095,"Marshall, AL",1998,4447.0
1097,"Mobile, AL",1998,29576.0
1099,"Monroe, AL",1998,1946.0
1101,"Montgomery, AL",1998,14688.0
1103,"Morgan, AL",1998,4677.0
1105,"Perry, AL",1998,1516.0
1107,"Pickens, AL",1998,1812.0
1109,"Pike, AL",1998,2121.0
1111,"Randolph, AL",1998,1297.0
1113,"Russell, AL",1998,3465.0
1115,"St. Clair, AL",1998,2985.0
