GeoFIPS,GeoName,Year,Value
1001,"Autauga, AL",1998,-0.0567937766783273
1003,"Baldwin, AL",1998,-0.0768636009437822
1005,"Barbour, AL",1998,0.24284328633024388
1007,"Bibb, AL",1998,0.0773936379540856
1009,"Blount, AL",1998,-0.009813356299813059
1011,"Bullock, AL",1998,0.3090324429046074
1013,"Butler, AL",1998,0.24495009520644961
1015,"Calhoun, AL",1998,0.09739950693759947
1017,"Chambers, AL",1998,0.12835814235773446
1019,"Cherokee, AL",1998,0.09295997822708135
1021,"Chilton, AL",1998,0.048390099072207926
1023,"Choctaw, AL",1998,0.18731375244184822
1025,"Clarke, AL",1998,0.18515138322619795
1027,"Clay, AL",1998,0.032735792173970824
1029,"Cleburne, AL",1998,-0.007573465235065524
1031,"Coffee, AL",1998,0.048390099072207926
1033,"Colbert, AL",1998,0.052858732331438896
1035,"Conecuh, AL",1998,0.31711438003139825
1037,"Coosa, AL",1998,0.08851675012094251
1039,"Covington, AL",1998,0.18082128102089046
1041,"Crenshaw, AL",1998,0.18731375244184822
1043,"Cullman, AL",1998,-0.03220314534146684
1045,"Dale, AL",1998,0.09739950693759947
1047,"Dallas, AL",1998,0.36461396319273387
1049,"DeKalb, AL",1998,0.08851675012094251
1051,"Elmore, AL",1998,-0.023249848467013723
1053,"Escambia, AL",1998,0.18298721958211006
1055,"Etowah, AL",1998,0.08629380313350521
1057,"Fayette, AL",1998,0.10626677330711298
1059,"Franklin, AL",1998,0.11953561363552478
1061,"Geneva, AL",1998,0.1546987672183504
1063,"Greene, AL",1998,0.4378432865558177
1065,"Hale, AL",1998,0.2783332253387596
1067,"Henry, AL",1998,0.12835814235773446
1069,"Houston, AL",1998,0.0773936379540856
1071,"Jackson, AL",1998,0.01930472685318585
1073,"Jefferson, AL",1998,0.052858732331438896
1075,"Lamar, AL",1998,0.1040514845578886
1077,"Lauderdale, AL",1998,0.008106641437460649
1079,"Lawrence, AL",1998,0.050624669078182416
1081,"Lee, AL",1998,0.01482591648552778
1083,"Limestone, AL",1998,-0.016532348772164696
1085,"Lowndes, AL",1998,0.3271522943670906
1087,"Macon, AL",1998,0.40093138971126097
1089,"Madison, AL",1998,-0.059026324819205556
1091,"Marengo, AL",1998,0.2301548858165614
1093,"Marion, AL",1998,0.01930472685318585
1095,"Marshall, AL",1998,0.07071033108282232
1097,"Mobile, AL",1998,0.15688445894541592
1099,"Monroe, AL",1998,0.17648415752997026
1101,"Montgomery, AL",1998,0.13935764129885975
1103,"Morgan, AL",1998,-0.0679503928684061
1105,"Perry, AL",1998,0.4158623576850464
1107,"Pickens, AL",1998,0.24705459332877866
1109,"Pike, AL",1998,0.22378091605556416
1111,"Randolph, AL",1998,0.1217430724487314
1113,"Russell, AL",1998,0.1612512150314791
1115,"St. Clair, AL",1998,-0.04562295842903863
1117,"Shelby, AL",1998,-0.2402318116756117
1119,"Sumter, AL",1998,0.34503472241450184
1121,"Talladega, AL",1998,0.13276188940426348
1123,"Tallapoosa, AL",1998,0.08406999657488856
1125,"Tuscaloosa, AL",1998,0.08406999657488856
1127,"Walker, AL",1998,0.01706540727620598
1129,"Washington, AL",1998,0.12835814235773446
1131,"Wilcox, AL",1998,0.41400797158665026
1133,"Winston, AL",1998,0.048390099072207926
2013,"Aleutians East Borough, AK",1998,-0.11459099461730549
2016,"Aleutians West Census Area, AK",1998,-0.21260616124531184
2020,"Anchorage Municipality, AK",1998,-0.16291322678851605
2050,"Bethel Census Area, AK",1998,0.24915676341148485
2060,"Bristol Bay Borough, AK",1998,-0.22540167214532947
2068,"Denali Borough, AK",1998,-0.21046633829825256
2070,"Dillingham Census Area, AK",1998,0.22590773009571485
2090,"Fairbanks North Star Borough, AK",1998,-0.1846364024002295
2100,"Haines Borough, AK",1998,-0.06572033879624661
2110,"Juneau City and Borough, AK",1998,-0.2381198943201699
2122,"Kenai Peninsula Borough, AK",1998,-0.11459099461730549
2130,"Ketchikan Gateway Borough, AK*",1998,-0.19973731874276313
2150,"Kodiak Island Borough, AK",1998,-0.1846364024002295
2164,"Lake and Peninsula Borough, AK",1998,0.1217430724487314
2170,"Matanuska-Susitna Borough, AK",1998,-0.14980165627132358
