GeoFIPS,GeoName,year,total_obligated_amount
1001,"Autauga, AL",2018,0.0
1003,"Baldwin, AL",2010,49158971.0
1003,"Baldwin, AL",2011,23130080.0
1003,"Baldwin, AL",2012,23130080.0
1003,"Baldwin, AL",2013,23130080.0
1003,"Baldwin, AL",2014,36440297.6
1003,"Baldwin, AL",2015,18472412.3
1003,"Baldwin, AL",2016,35286407.6
1003,"Baldwin, AL",2017,52269307.19
1003,"Baldwin, AL",2018,52335520.19
1003,"Baldwin, AL",2019,68205746.92
1003,"Baldwin, AL",2020,29083414.29
1003,"Baldwin, AL",2021,14724586.38
1005,"Barbour, AL",2018,0.0
1007,"Bibb, AL",2012,13161891.0
1007,"Bibb, AL",2013,66916266.0
1007,"Bibb, AL",2014,66916266.0
1007,"Bibb, AL",2015,87212508.0
1007,"Bibb, AL",2016,87785697.0
1007,"Bibb, AL",2017,110295561.0
1007,"Bibb, AL",2018,231128244.0
1007,"Bibb, AL",2019,356071451.0
1007,"Bibb, AL",2020,395603965.0
1007,"Bibb, AL",2021,349717479.0
1009,"Blount, AL",2021,123636.54
1011,"Bullock, AL",2018,0.0
1013,"Butler, AL",2021,99058.0
1015,"Calhoun, AL",2010,21523814.0
1015,"Calhoun, AL",2011,19117011.0
1015,"Calhoun, AL",2012,41168691.0
1015,"Calhoun, AL",2013,39438026.0
1015,"Calhoun, AL",2014,45311374.0
1015,"Calhoun, AL",2015,32668876.0
1015,"Calhoun, AL",2016,31888167.0
1015,"Calhoun, AL",2017,31950464.0
1015,"Calhoun, AL",2018,42036666.0
1015,"Calhoun, AL",2019,27149476.0
1015,"Calhoun, AL",2020,22313902.0
1015,"Calhoun, AL",2021,24336140.0
1017,"Chambers, AL",2018,0.0
1019,"Cherokee, AL",2021,49529.0
1021,"Chilton, AL",2018,0.0
1023,"Choctaw, AL",2018,0.0
1025,"Clarke, AL",2018,0.0
1027,"Clay, AL",2018,0.0
1029,"Cleburne, AL",2016,436592.33
1031,"Coffee, AL",2010,58948.0
1031,"Coffee, AL",2014,7731.0
