GeoFIPS,GeoName,Category,Value
1001,"Autauga, AL",roadDensity,-0.05071386123974686
1003,"Baldwin, AL",roadDensity,-0.017481682006566746
1005,"Barbour, AL",roadDensity,-0.08515567080728192
1007,"Bibb, AL",roadDensity,-0.05433196057452261
1009,"Blount, AL",roadDensity,0.003984779376930758
1011,"Bullock, AL",roadDensity,-0.10133820088804923
1013,"Butler, AL",roadDensity,-0.07438929101883562
1015,"Calhoun, AL",roadDensity,0.07214265821038857
1017,"Chambers, AL",roadDensity,-0.04044632529860759
1019,"Cherokee, AL",roadDensity,-0.02743883779591272
1021,"Chilton, AL",roadDensity,-0.01899857054382892
1023,"Choctaw, AL",roadDensity,-0.097597057964106
1025,"Clarke, AL",roadDensity,-0.10037572469777911
1027,"Clay, AL",roadDensity,-0.05363681674052123
1029,"Cleburne, AL",roadDensity,-0.05582494553720507
1031,"Coffee, AL",roadDensity,-0.03998131227914825
1033,"Colbert, AL",roadDensity,-0.03245981863428993
1035,"Conecuh, AL",roadDensity,-0.08381739449686032
1037,"Coosa, AL",roadDensity,-0.07935604509876171
1039,"Covington, AL",roadDensity,-0.03876757592696256
1041,"Crenshaw, AL",roadDensity,-0.07455956693235954
1043,"Cullman, AL",roadDensity,0.032817873727200686
1045,"Dale, AL",roadDensity,-0.018121700405282493
1047,"Dallas, AL",roadDensity,-0.0691083499397388
1049,"DeKalb, AL",roadDensity,0.03326402079943569
1051,"Elmore, AL",roadDensity,0.001710712650645041
1053,"Escambia, AL",roadDensity,-0.062261181009930944
1055,"Etowah, AL",roadDensity,0.07761972287907093
1057,"Fayette, AL",roadDensity,-0.05149317696286193
1059,"Franklin, AL",roadDensity,-0.03394881327481347
1061,"Geneva, AL",roadDensity,-0.02364462622703567
1063,"Greene, AL",roadDensity,-0.08886512369126887
1065,"Hale, AL",roadDensity,-0.07646625689070219
1067,"Henry, AL",roadDensity,-0.05864517505015088
1069,"Houston, AL",roadDensity,0.03302859536326652
1071,"Jackson, AL",roadDensity,-0.06568453020301035
1073,"Jefferson, AL",roadDensity,0.20795693778208846
1075,"Lamar, AL",roadDensity,-0.0405944291193
1077,"Lauderdale, AL",roadDensity,0.013988667416678924
1079,"Lawrence, AL",roadDensity,-0.04685846896429935
1081,"Lee, AL",roadDensity,0.028482023172574422
1083,"Limestone, AL",roadDensity,0.013697646199575031
1085,"Lowndes, AL",roadDensity,-0.09196189505911445
1087,"Macon, AL",roadDensity,-0.06693964179939127
1089,"Madison, AL",roadDensity,0.11894394260954688
1091,"Marengo, AL",roadDensity,-0.09868258555969489
1093,"Marion, AL",roadDensity,-0.020528524537933412
1095,"Marshall, AL",roadDensity,0.05244550314673102
1097,"Mobile, AL",roadDensity,0.066358656154895
1099,"Monroe, AL",roadDensity,-0.08809901674325382
1101,"Montgomery, AL",roadDensity,0.02595809781174019
1103,"Morgan, AL",roadDensity,0.04020709945960599
1105,"Perry, AL",roadDensity,-0.08637575895135208
1107,"Pickens, AL",roadDensity,-0.07616768296822696
1109,"Pike, AL",roadDensity,-0.0655688071323699
1111,"Randolph, AL",roadDensity,-0.021610804928728578
1113,"Russell, AL",roadDensity,-0.04943646695868542
1115,"St. Clair, AL",roadDensity,-9.696140352721816e-05
1117,"Shelby, AL",roadDensity,0.03777868254068828
1119,"Sumter, AL",roadDensity,-0.10034929041534468
1121,"Talladega, AL",roadDensity,0.004086651562070331
1123,"Tallapoosa, AL",roadDensity,-0.027700090088218388
1125,"Tuscaloosa, AL",roadDensity,-0.009010047057952941
1127,"Walker, AL",roadDensity,-0.006815478301530398
1129,"Washington, AL",roadDensity,-0.08573497987654488
1131,"Wilcox, AL",roadDensity,-0.09794240831266965
1133,"Winston, AL",roadDensity,-0.03763827622690763
2013,"Aleutians East Borough, AK",roadDensity,-0.17835232630935804
2016,"Aleutians West Census Area, AK",roadDensity,-0.17428863723346044
2020,"Anchorage Municipality, AK",roadDensity,-0.10479757709182602
2050,"Bethel Census Area, AK",roadDensity,-0.17768113226836357
2060,"Bristol Bay Borough, AK",roadDensity,-0.1624868262838458
2068,"Denali Borough, AK",roadDensity,-0.17583275729770997
2070,"Dillingham Census Area, AK",roadDensity,-0.17898977281488526
2090,"Fairbanks North Star Borough, AK",roadDensity,-0.15774690275581948
2100,"Haines Borough, AK",roadDensity,-0.17446587864997476
2110,"Juneau City and Borough, AK",roadDensity,-0.17381078425607366
2122,"Kenai Peninsula Borough, AK",roadDensity,-0.16912086351299882
2130,"Ketchikan Gateway Borough, AK*",roadDensity,-0.17422212903852952
2150,"Kodiak Island Borough, AK",roadDensity,-0.1770033939115645
2164,"Lake and Peninsula Borough, AK",roadDensity,-0.1786766344714289
2170,"Matanuska-Susitna Borough, AK",roadDensity,-0.17219238040973373
2180,"Nome Census Area, AK",roadDensity,-0.17741544369380857
2185,"North Slope Borough, AK",roadDensity,-0.17821710773195998
2188,"Northwest Arctic Borough, AK",roadDensity,-0.1788438510167667
2220,"Sitka City and Borough, AK",roadDensity,-0.17665585791329208
2240,"Southeast Fairbanks Census Area, AK",roadDensity,-0.17569986070496457
2290,"Yukon-Koyukuk Census Area, AK",roadDensity,-0.17741262518574263
4001,"Apache, AZ",roadDensity,-0.10738432431976874
4003,"Cochise, AZ",roadDensity,-0.1164449647654674
4005,"Coconino, AZ",roadDensity,-0.08818592086818211
4007,"Gila, AZ",roadDensity,-0.13674600001447657
4009,"Graham, AZ",roadDensity,-0.14412781803121966
4011,"Greenlee, AZ",roadDensity,-0.12480279622228796
4012,"La Paz, AZ",roadDensity,-0.13917592912386267
4013,"Maricopa, AZ",roadDensity,0.014608708822592353
4015,"Mohave, AZ",roadDensity,-0.13042656265510033
4017,"Navajo, AZ",roadDensity,-0.11510924091209218
4019,"Pima, AZ",roadDensity,-0.1066960631877385
4021,"Pinal, AZ",roadDensity,-0.1027621899354888
4023,"Santa Cruz, AZ",roadDensity,-0.0873375612626186
4025,"Yavapai, AZ",roadDensity,-0.11428697182163727
4027,"Yuma, AZ",roadDensity,-0.13579249418881767
5001,"Arkansas, AR",roadDensity,-0.07038071360254261
5003,"Ashley, AR",roadDensity,-0.05994196829887832
5005,"Baxter, AR",roadDensity,0.022789370258699426
5007,"Benton, AR",roadDensity,0.11327203969161936
5009,"Boone, AR",roadDensity,-0.019159678029690208
5011,"Bradley, AR",roadDensity,-0.06834481673312331
5013,"Calhoun, AR",roadDensity,-0.06154154250019095
5015,"Carroll, AR",roadDensity,-0.021402297240284196
5017,"Chicot, AR",roadDensity,-0.08785020194308057
5019,"Clark, AR",roadDensity,-0.06008861210952432
5021,"Clay, AR",roadDensity,-0.0571159370639166
5023,"Cleburne, AR",roadDensity,-0.025766493426879866
5025,"Cleveland, AR",roadDensity,-0.07807966567006508
5027,"Columbia, AR",roadDensity,-0.06622536269401391
5029,"Conway, AR",roadDensity,-0.042209025170147796
5031,"Craighead, AR",roadDensity,0.007893915593425893
5033,"Crawford, AR",roadDensity,-0.009775117872020234
5035,"Crittenden, AR",roadDensity,-0.03127930968777015
5037,"Cross, AR",roadDensity,-0.07254418737285484
5039,"Dallas, AR",roadDensity,-0.05788016874293378
5041,"Desha, AR",roadDensity,-0.09993335417225901
5043,"Drew, AR",roadDensity,-0.08420360465119736
5045,"Faulkner, AR",roadDensity,0.025857755996671505
5047,"Franklin, AR",roadDensity,-0.04848378429678746
5049,"Fulton, AR",roadDensity,-0.04096730111958513
5051,"Garland, AR",roadDensity,0.07689597737089438
5053,"Grant, AR",roadDensity,-0.041920338023847425
5055,"Greene, AR",roadDensity,-0.028846981262967808
5057,"Hempstead, AR",roadDensity,-0.06396796829139073
5059,"Hot Spring, AR",roadDensity,-0.016971664736787906
5061,"Howard, AR",roadDensity,-0.014240994954804687
5063,"Independence, AR",roadDensity,-0.05243734478932416
5065,"Izard, AR",roadDensity,-0.039904699687356104
5067,"Jackson, AR",roadDensity,-0.06005012712975466
5069,"Jefferson, AR",roadDensity,-0.03356807083974811
5071,"Johnson, AR",roadDensity,-0.03235506398612209
5073,"Lafayette, AR",roadDensity,-0.07798180533595322
5075,"Lawrence, AR",roadDensity,-0.05796303587730722
5077,"Lee, AR",roadDensity,-0.09011892733750793
5079,"Lincoln, AR",roadDensity,-0.08930022649396241
5081,"Little River, AR",roadDensity,-0.062173230987271566
5083,"Logan, AR",roadDensity,-0.06074170176702376
5085,"Lonoke, AR",roadDensity,-0.025198586721465577
5087,"Madison, AR",roadDensity,-0.05506937174896098
5089,"Marion, AR",roadDensity,-0.03530239437225724
5091,"Miller, AR",roadDensity,-0.03705348447830825
5093,"Mississippi, AR",roadDensity,-0.04017300809311919
5095,"Monroe, AR",roadDensity,-0.08933526221259269
5097,"Montgomery, AR",roadDensity,-0.06544455290337114
5099,"Nevada, AR",roadDensity,-0.07832597862213964
5101,"Newton, AR",roadDensity,-0.05739538588800985
