GeoFIPS,GeoName,Year,Value
1001,"Autauga County, AL",1990,6.5
1003,"Baldwin County, AL",1990,5.3
1005,"Barbour County, AL",1990,7.9
1007,"Bibb County, AL",1990,9.2
1009,"Blount County, AL",1990,6.4
1011,"Bullock County, AL",1990,12.5
1013,"Butler County, AL",1990,12.9
1015,"Calhoun County, AL",1990,7.2
1017,"Chambers County, AL",1990,7.2
1019,"Cherokee County, AL",1990,9.9
1021,"Chilton County, AL",1990,9.0
1023,"Choctaw County, AL",1990,12.6
1025,"Clarke County, AL",1990,8.2
1027,"Clay County, AL",1990,7.1
1029,"Cleburne County, AL",1990,6.6
1031,"Coffee County, AL",1990,6.4
1033,"Colbert County, AL",1990,8.1
1035,"Conecuh County, AL",1990,9.8
1037,"Coosa County, AL",1990,6.5
1039,"Covington County, AL",1990,7.8
1041,"Crenshaw County, AL",1990,7.5
1043,"Cullman County, AL",1990,7.1
1045,"Dale County, AL",1990,5.6
1047,"Dallas County, AL",1990,12.2
1049,"DeKalb County, AL",1990,7.5
1051,"Elmore County, AL",1990,6.2
1053,"Escambia County, AL",1990,8.7
1055,"Etowah County, AL",1990,11.0
1057,"Fayette County, AL",1990,9.9
1059,"Franklin County, AL",1990,11.4
1061,"Geneva County, AL",1990,4.8
1063,"Greene County, AL",1990,11.7
1065,"Hale County, AL",1990,7.8
1067,"Henry County, AL",1990,4.8
1069,"Houston County, AL",1990,4.4
1071,"Jackson County, AL",1990,9.2
1073,"Jefferson County, AL",1990,5.1
1075,"Lamar County, AL",1990,8.0
1077,"Lauderdale County, AL",1990,7.0
1079,"Lawrence County, AL",1990,8.4
1081,"Lee County, AL",1990,6.1
1083,"Limestone County, AL",1990,6.6
1085,"Lowndes County, AL",1990,15.8
1087,"Macon County, AL",1990,9.0
1089,"Madison County, AL",1990,4.8
1091,"Marengo County, AL",1990,6.7
1093,"Marion County, AL",1990,14.2
1095,"Marshall County, AL",1990,9.0
1097,"Mobile County, AL",1990,7.0
1099,"Monroe County, AL",1990,10.6
1101,"Montgomery County, AL",1990,6.3
1103,"Morgan County, AL",1990,6.4
1105,"Perry County, AL",1990,13.1
1107,"Pickens County, AL",1990,9.2
1109,"Pike County, AL",1990,6.1
1111,"Randolph County, AL",1990,7.8
1113,"Russell County, AL",1990,8.2
1115,"St. Clair County, AL",1990,5.6
1117,"Shelby County, AL",1990,3.3
1119,"Sumter County, AL",1990,9.8
1121,"Talladega County, AL",1990,9.3
1123,"Tallapoosa County, AL",1990,6.5
1125,"Tuscaloosa County, AL",1990,4.6
1127,"Walker County, AL",1990,9.4
1129,"Washington County, AL",1990,10.7
