GeoFIPS,GeoName,Category,Value
1001,"Autauga, AL",POPDEN_RUR,0.0005744562313366383
1003,"Baldwin, AL",POPDEN_RUR,0.051290173825199334
1005,"Barbour, AL",POPDEN_RUR,-0.5443628634775688
1007,"Bibb, AL",POPDEN_RUR,-0.13754706457495758
1009,"Blount, AL",POPDEN_RUR,0.11695600903094024
1011,"Bullock, AL",POPDEN_RUR,-0.5995392998814393
1013,"Butler, AL",POPDEN_RUR,-0.5869580081723
1015,"Calhoun, AL",POPDEN_RUR,0.1064808805511919
1017,"Chambers, AL",POPDEN_RUR,-0.26844611778774075
1019,"Cherokee, AL",POPDEN_RUR,0.00992711745558785
1021,"Chilton, AL",POPDEN_RUR,0.041164220663003105
1023,"Choctaw, AL",POPDEN_RUR,-0.6661191111167227
1025,"Clarke, AL",POPDEN_RUR,-0.5510640289463591
1027,"Clay, AL",POPDEN_RUR,-0.4323729605957134
1029,"Cleburne, AL",POPDEN_RUR,-0.3526713867810952
1031,"Coffee, AL",POPDEN_RUR,-0.07007423950559077
1033,"Colbert, AL",POPDEN_RUR,-0.02160746024220539
1035,"Conecuh, AL",POPDEN_RUR,-0.6715501820663585
1037,"Coosa, AL",POPDEN_RUR,-0.6157138346382198
1039,"Covington, AL",POPDEN_RUR,-0.3887082420421726
1041,"Crenshaw, AL",POPDEN_RUR,-0.4781561598844344
1043,"Cullman, AL",POPDEN_RUR,0.14380550758879757
1045,"Dale, AL",POPDEN_RUR,0.01498962413956424
1047,"Dallas, AL",POPDEN_RUR,-0.5673614526074282
1049,"DeKalb, AL",POPDEN_RUR,0.11344713382309116
1051,"Elmore, AL",POPDEN_RUR,0.1760016542826701
1053,"Escambia, AL",POPDEN_RUR,-0.38133494619248176
1055,"Etowah, AL",POPDEN_RUR,0.14761784296399344
1057,"Fayette, AL",POPDEN_RUR,-0.37383191665976656
1059,"Franklin, AL",POPDEN_RUR,-0.14830933005587144
1061,"Geneva, AL",POPDEN_RUR,0.012824313253283773
1063,"Greene, AL",POPDEN_RUR,-0.7122967790916734
1065,"Hale, AL",POPDEN_RUR,-0.44712475383217753
1067,"Henry, AL",POPDEN_RUR,-0.2649876463516403
1069,"Houston, AL",POPDEN_RUR,0.07820351851494993
1071,"Jackson, AL",POPDEN_RUR,-0.10255198117606168
1073,"Jefferson, AL",POPDEN_RUR,0.19354719856108865
1075,"Lamar, AL",POPDEN_RUR,-0.4437134548401023
1077,"Lauderdale, AL",POPDEN_RUR,0.09708745773575163
1079,"Lawrence, AL",POPDEN_RUR,0.017638532635700966
1081,"Lee, AL",POPDEN_RUR,0.1293877316003438
1083,"Limestone, AL",POPDEN_RUR,0.16791689773375978
1085,"Lowndes, AL",POPDEN_RUR,-0.653246251775607
1087,"Macon, AL",POPDEN_RUR,-0.5777381788228284
1089,"Madison, AL",POPDEN_RUR,0.1946912753347111
1091,"Marengo, AL",POPDEN_RUR,-0.675659410525022
1093,"Marion, AL",POPDEN_RUR,-0.04817924076577973
1095,"Marshall, AL",POPDEN_RUR,0.16246200926654136
1097,"Mobile, AL",POPDEN_RUR,0.1408121816438055
1099,"Monroe, AL",POPDEN_RUR,-0.6346282217062851
1101,"Montgomery, AL",POPDEN_RUR,0.0006429998564615669
1103,"Morgan, AL",POPDEN_RUR,0.13649345507965432
1105,"Perry, AL",POPDEN_RUR,-0.7152050306545736
1107,"Pickens, AL",POPDEN_RUR,-0.4775265079323311
1109,"Pike, AL",POPDEN_RUR,-0.32572078131298443
1111,"Randolph, AL",POPDEN_RUR,-0.08879541448096218
1113,"Russell, AL",POPDEN_RUR,-0.07197438630241315
1115,"St. Clair, AL",POPDEN_RUR,0.16816071689045636
1117,"Shelby, AL",POPDEN_RUR,0.10745422018753589
1119,"Sumter, AL",POPDEN_RUR,-0.6710793041628292
1121,"Talladega, AL",POPDEN_RUR,0.0755797768027029
1123,"Tallapoosa, AL",POPDEN_RUR,0.011929414424726682
1125,"Tuscaloosa, AL",POPDEN_RUR,0.0437635054132391
1127,"Walker, AL",POPDEN_RUR,0.07156139707940173
