GEO_ID,DP03_0004E,DP03_0005E,DP03_0032E,DP03_0033E,DP03_0034E,DP03_0035E,DP03_0036E,DP03_0037E,DP03_0038E,DP03_0039E,DP03_0040E,DP03_0041E,DP03_0042E,DP03_0043E,DP03_0044E,DP03_0045E
0500000US01001,25871,752,25871,200,1858,3127,783,3042,1153,311,1574,2495,5216,2522,1227,2363
0500000US01003,104367,3994,104367,1827,9066,9879,2255,14967,4854,1424,7445,12006,19718,10707,4861,5358
0500000US01005,8561,808,8561,469,393,2176,105,816,545,50,332,479,1562,698,325,611
0500000US01007,8223,884,8223,299,956,1109,254,950,463,142,499,514,1746,287,571,433
0500000US01009,24244,1554,24244,443,2309,4130,893,2958,1832,203,1081,2021,5170,1125,1260,819
0500000US01011,3818,118,3818,168,183,1628,18,236,106,59,90,83,506,284,116,341
0500000US01013,7567,530,7567,186,332,1876,155,736,370,85,323,461,1356,790,414,483
0500000US01015,49073,3702,49073,472,2561,8872,1221,6291,2190,678,1818,3439,11369,4491,2159,3512
0500000US01017,15478,504,15478,351,732,4753,273,1261,735,241,516,1201,3056,1199,619,541
0500000US01019,9794,483,9794,334,963,2017,141,1022,672,33,315,274,2334,660,477,552
0500000US01021,17690,1209,17690,334,2857,2583,614,2333,940,89,1193,793,3039,1000,1072,843
0500000US01023,4563,294,4563,423,433,758,82,640,280,40,188,216,937,270,148,148
0500000US01025,7941,1107,7941,298,764,1174,111,1126,638,51,556,299,1691,443,539,251
0500000US01027,5433,354,5433,134,474,1496,71,655,329,38,216,273,1101,165,174,307
0500000US01029,5768,270,5768,141,772,1212,241,534,226,26,236,377,1000,364,299,340
0500000US01031,21592,1158,21592,707,1040,2145,526,2381,2373,219,851,1662,4783,1760,1115,2030
0500000US01033,25007,978,25007,439,2164,4808,593,2754,1591,349,896,1652,5200,1843,1635,1083
0500000US01035,4061,199,4061,116,218,1060,45,509,206,35,311,166,723,249,144,279
0500000US01037,4128,143,4128,126,373,986,93,571,223,7,119,109,759,261,303,198
0500000US01039,15111,1145,15111,860,1042,2173,411,1545,1308,171,548,1107,3305,953,739,949
0500000US01041,5225,259,5225,241,331,1185,120,646,405,61,216,438,932,187,187,276
0500000US01043,38563,1774,38563,845,3990,6046,837,5434,2207,183,1761,3056,8005,2982,1709,1508
0500000US01045,17507,1558,17507,382,1230,1855,301,2500,1881,63,623,1180,3434,1899,859,1300
0500000US01047,14823,1380,14823,206,693,3601,293,1651,702,247,793,1218,3198,768,773,680
0500000US01049,29926,1330,29926,839,2511,7875,506,2767,2244,667,1304,1592,5349,1632,1818,822
0500000US01051,37732,1885,37732,482,2612,4120,874,4787,2173,282,2020,3100,8258,3299,1703,4022
0500000US01053,12962,1402,12962,376,855,1991,262,1999,551,107,321,617,2467,1467,895,1054
0500000US01055,43658,2844,43658,267,3083,7640,812,6064,1993,446,1349,2532,10635,4213,2539,2085
0500000US01057,6293,648,6293,114,282,1633,150,919,398,134,141,259,1442,370,287,164
0500000US01059,13041,632,13041,273,1270,4319,331,1119,672,141,450,845,2169,638,484,330
0500000US01061,10485,376,10485,397,847,1402,522,1296,884,114,344,698,2426,639,468,448
0500000US01063,2206,245,2206,61,276,533,1,164,73,10,186,168,336,104,27,267
0500000US01065,5421,405,5421,181,218,1076,59,786,234,3,71,255,1529,542,295,172
0500000US01067,7105,370,7105,281,330,878,198,904,555,59,207,581,1791,438,588,295
0500000US01069,45119,2492,45119,484,2854,4075,1584,6278,3862,418,1656,3667,10977,4415,2495,2354
0500000US01071,19836,1198,19836,244,1571,5168,414,1902,971,239,624,1513,3983,1491,972,744
0500000US01073,308057,19994,308057,1704,16068,28777,8726,32894,17874,6331,27110,33571,79658,26575,15250,13519
0500000US01075,5331,277,5331,156,233,1571,184,603,125,88,228,308,1060,88,343,344
0500000US01077,41981,1666,41981,354,2958,5887,1065,6587,2319,482,1789,2963,9144,4447,1972,2014
0500000US01079,13599,417,13599,174,1115,3061,487,1896,881,71,473,791,3029,627,595,399
0500000US01081,79359,3555,79359,444,4460,9468,1089,9100,3643,1045,4905,7399,24432,7179,3290,2905
0500000US01083,45889,2172,45889,840,3887,8373,826,5200,1966,427,1731,5560,8950,3189,1963,2977
