GEO_ID,NAME,DP05_0070E,DP05_0070M,DP05_0070MA,DP05_0070EA,DP05_0071E,DP05_0071M,DP05_0071MA,DP05_0071EA,DP05_0072E,DP05_0072M,DP05_0072MA,DP05_0072EA,DP05_0073E,DP05_0073M,DP05_0073MA,DP05_0073EA,DP05_0074E,DP05_0074M,DP05_0074MA,DP05_0074EA,DP05_0075E,DP05_0075M,DP05_0075MA,DP05_0075EA,DP05_0076E,DP05_0076M,DP05_0076MA,DP05_0076EA,DP05_0077E,DP05_0077M,DP05_0077MA,DP05_0077EA,DP05_0078E,DP05_0078EA,DP05_0078M,DP05_0078MA,DP05_0079E,DP05_0079M,DP05_0079MA,DP05_0079EA,DP05_0080E,DP05_0080M,DP05_0080MA,DP05_0080EA,DP05_0081E,DP05_0081M,DP05_0081MA,DP05_0081EA,DP05_0082E,DP05_0082M,DP05_0082MA,DP05_0082EA,DP05_0083E,DP05_0083M,DP05_0083MA,DP05_0083EA,DP05_0084E,DP05_0084M,DP05_0084MA,DP05_0084EA,DP05_0085E,DP05_0085M,DP05_0085MA,DP05_0085EA
Geography,Geographic Area Name,Estimate!!HISPANIC OR LATINO AND RACE!!Total population,Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population,Annotation of Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population,Annotation of Estimate!!HISPANIC OR LATINO AND RACE!!Total population,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),Annotation of Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),Annotation of Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican,Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican,Annotation of Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican,Annotation of Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican,Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican,Annotation of Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican,Annotation of Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban,Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban,Annotation of Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban,Annotation of Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino,Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino,Annotation of Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino,Annotation of Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino,Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino,Annotation of Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino,Annotation of Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,Annotation of Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,Annotation of Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,Annotation of Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,Annotation of Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Annotation of Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Annotation of Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone,Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone,Annotation of Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone,Annotation of Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Annotation of Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Annotation of Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone,Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone,Annotation of Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone,Annotation of Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races,Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races,Annotation of Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races,Annotation of Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,Annotation of Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,Annotation of Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,"Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","Annotation of Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","Annotation of Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races"
0500000US01001,"Autauga County, Alabama",58239,*****,*****,,1775,*****,*****,,881,318,,,508,315,,,194,235,,,192,162,,,56464,*****,*****,,42571,215,,,11464,,309,,98,85,,,647,206,,,0,30,,,109,140,,,1575,397,,,377,220,,,1198,331,,
0500000US01003,"Baldwin County, Alabama",227131,*****,*****,,10634,*****,*****,,5835,984,,,1064,448,,,615,278,,,3120,947,,,216497,*****,*****,,187548,959,,,19749,,712,,1076,296,,,2175,439,,,9,16,,,959,812,,,4981,977,,,614,361,,,4367,908,,
0500000US01005,"Barbour County, Alabama",25259,*****,*****,,1176,*****,*****,,932,148,,,77,49,,,0,24,,,167,143,,,24083,*****,*****,,11268,149,,,11934,,177,,71,37,,,106,38,,,1,3,,,229,137,,,474,202,,,92,77,,,382,181,,
0500000US01007,"Bibb County, Alabama",22412,*****,*****,,634,*****,*****,,244,117,,,229,116,,,25,42,,,136,99,,,21778,*****,*****,,16596,32,,,4905,,75,,21,37,,,46,70,,,0,24,,,18,27,,,192,52,,,22,27,,,170,46,,
0500000US01009,"Blount County, Alabama",58884,*****,*****,,5612,*****,*****,,4970,310,,,85,80,,,51,82,,,506,308,,,53272,*****,*****,,50595,312,,,746,,174,,70,59,,,216,55,,,74,71,,,92,120,,,1479,353,,,466,292,,,1013,169,,
0500000US01011,"Bullock County, Alabama",10386,*****,*****,,888,*****,*****,,776,223,,,112,223,,,0,20,,,0,20,,,9498,*****,*****,,2116,86,,,7164,,97,,0,20,,,46,51,,,0,20,,,0,20,,,172,130,,,80,86,,,92,84,,
0500000US01013,"Butler County, Alabama",19181,*****,*****,,308,*****,*****,,284,36,,,0,20,,,0,20,,,24,36,,,18873,*****,*****,,9767,16,,,8592,,58,,47,39,,,280,32,,,0,20,,,8,11,,,179,77,,,8,12,,,171,76,,
0500000US01015,"Calhoun County, Alabama",116425,*****,*****,,4650,*****,*****,,2860,414,,,923,377,,,107,80,,,760,226,,,111775,*****,*****,,83073,257,,,24490,,393,,187,101,,,868,199,,,185,171,,,288,258,,,2684,401,,,121,98,,,2563,393,,
0500000US01017,"Chambers County, Alabama",34834,*****,*****,,946,*****,*****,,402,86,,,148,117,,,54,64,,,342,99,,,33888,*****,*****,,19095,59,,,13963,,125,,65,60,,,358,66,,,3,6,,,41,57,,,363,152,,,12,18,,,351,151,,
