GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "00000","United States", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",13263417000,13488357000,13865519000,14399696000,14901269000,15315943000,15623871000,15642962000,15236262000,15648991000,15891534000,16253970000,16553348000,16932051000,17390295000,17680274000,18076651000,18609078000,19036052000,18509143000,19609812000
 "00000","United States", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",81.601,82.985,85.305,88.592,91.678,94.229,96.123,96.241,93.739,96.278,97.770,100.000,101.842,104.172,106.991,108.775,111.214,114.489,117.116,113.875,120.646
 "00000","United States", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",10581929000,10929108000,11456450000,12217196000,13039197000,13815583000,14474228000,14769862000,14478067000,15048970000,15599731000,16253970000,16843196000,17550687000,18206023000,18695106000,19477337000,20533058000,21380976000,21060474000,23315081000
 "01000","Alabama",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",156853184,160422382,165134740,176624994,184369466,187270767,189002509,186946680,180707162,184702392,187605835,189245509,191369800,189886333,191335242,194283784,196974912,200372623,203432712,199880770,209979322
 "01000","Alabama",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",82.883,84.769,87.260,93.331,97.423,98.957,99.872,98.785,95.488,97.599,99.134,100.000,101.123,100.339,101.104,102.662,104.084,105.880,107.497,105.620,110.956
 "01000","Alabama",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",122915468,127504955,134152582,147715210,158846829,166469026,172975203,174526304,170930898,177249159,183916641,189245509,194786921,197406850,202372397,207368358,214606320,223859308,231561934,230892059,254109734
 "01001","Autauga, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",949800,984039,1008032,1170278,1195319,1277094,1298942,1172510,1209088,1286603,1375813,1587254,1477094,1478607,1586164,1652177,1584054,1600812,1543336,1525591,1502153
 "01001","Autauga, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",59.839,61.996,63.508,73.730,75.307,80.459,81.836,73.870,76.175,81.058,86.679,100.000,93.060,93.155,99.931,104.090,99.798,100.854,97.233,96.115,94.638
 "01001","Autauga, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",755902,792382,824096,978609,1020385,1130144,1192292,1096667,1179897,1265180,1368637,1587254,1519900,1571737,1722394,1793087,1754321,1808759,1784796,1781726,1862747
 "01003","Baldwin, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",4007706,4193288,4426472,4912303,5502688,5673657,5852051,5569570,5328816,5381575,5372338,5426597,5678991,5775601,5992794,6266434,6430406,6786933,7132205,7142139,7830237
 "01003","Baldwin, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",73.853,77.273,81.570,90.523,101.402,104.553,107.840,102.635,98.198,99.170,99.000,100.000,104.651,106.431,110.434,115.476,118.498,125.068,131.431,131.614,144.294
 "01003","Baldwin, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",3103811,3324970,3580381,4084320,4725286,5049308,5372797,5202606,5095994,5180738,5240401,5426597,5814676,6048275,6450841,6894264,7213399,7793067,8423025,8682907,9891548
 "01005","Barbour, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",812751,798398,818206,888479,892271,875189,845113,790132,774354,784043,741762,713793,808975,762048,740218,727850,717423,726669,728447,699829,709459
 "01005","Barbour, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",113.864,111.853,114.628,124.473,125.004,122.611,118.397,110.695,108.484,109.842,103.918,100.000,113.335,106.760,103.702,101.969,100.509,101.804,102.053,98.044,99.393
 "01005","Barbour, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",638173,633251,660044,738033,748096,745222,742666,712939,721919,742323,720762,713793,822891,782253,764959,754590,758525,783037,800984,793114,860027
 "01007","Bibb, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",292495,296437,309513,324760,322815,325779,346544,344498,337952,364023,372908,363604,361921,356088,343948,348377,352253,352652,380403,398101,392249
 "01007","Bibb, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",80.443,81.527,85.124,89.317,88.782,89.597,95.308,94.745,92.945,100.115,102.559,100.000,99.537,97.933,94.594,95.812,96.878,96.988,104.620,109.487,107.878
 "01007","Bibb, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",218439,226073,243273,267253,275183,287561,316273,321186,317863,348182,363634,363604,373662,379498,374356,386684,400426,413177,457574,492373,511240
 "01009","Blount, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",810054,814356,839651,863041,887578,856880,850648,853788,843906,839899,808595,879500,873500,893431,936725,865373,917590,963577,937239,883216,997835
 "01009","Blount, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",92.104,92.593,95.469,98.129,100.918,97.428,96.720,97.077,95.953,95.497,91.938,100.000,99.318,101.584,106.506,98.394,104.331,109.560,106.565,100.422,113.455
 "01009","Blount, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",620207,634119,672579,719321,750838,746487,767929,789254,795974,802649,788735,879500,893928,929139,985303,917804,993552,1061446,1059006,1025987,1211710
 "01011","Bullock, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",234911,242874,239075,236364,234789,244146,229268,225788,254445,238863,230337,245887,225539,209790,204365,222938,224377,235720,250367,251580,236820
 "01011","Bullock, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",95.536,98.775,97.230,96.127,95.487,99.292,93.241,91.826,103.480,97.144,93.676,100.000,91.725,85.320,83.113,90.667,91.252,95.865,101.822,102.315,96.313
 "01011","Bullock, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",173638,182777,185888,190326,189801,200032,197543,200434,229297,221428,222770,245887,231402,218477,215813,236619,242436,256571,278138,288121,289132
 "01013","Butler, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",435433,450276,468458,492437,487731,485727,515248,499219,468208,541838,568182,553941,563728,560184,578140,567733,583033,607338,616902,595024,652486
