GeoFIPS,GeoName,total_pop,under_5,5_to_9,10_to_14,15_to_19,20_to_24,25_to_29,30_to_34,35_to_39,40_to_44,45_to_49,50_to_54,55_to_59,60_to_64,65_to_69,70_to_74,75_to_79,80_to_84,85_over
1001,"Autauga, AL",58239.0,3318.0,3716.0,4004.0,3939.0,3648.0,3706.0,3721.0,4236.0,3515.0,4129.0,3875.0,4164.0,3453.0,2627.0,2591.0,1873.0,801.0,923.0
1003,"Baldwin, AL",227131.0,12035.0,11730.0,16407.0,13801.0,11181.0,12288.0,12652.0,14701.0,13001.0,14719.0,14816.0,15999.0,16996.0,14740.0,13930.0,9004.0,4977.0,4154.0
1005,"Barbour, AL",25259.0,1320.0,1601.0,1422.0,1487.0,1434.0,1768.0,1783.0,1738.0,1455.0,1575.0,1620.0,1540.0,1715.0,1531.0,1353.0,995.0,497.0,425.0
1007,"Bibb, AL",22412.0,1196.0,1274.0,1230.0,1463.0,1192.0,1817.0,1517.0,1625.0,1437.0,1689.0,1386.0,1584.0,1408.0,1258.0,886.0,793.0,344.0,313.0
1009,"Blount, AL",58884.0,3467.0,3578.0,4194.0,3591.0,3386.0,3665.0,3367.0,3278.0,3859.0,3914.0,3920.0,4064.0,4017.0,3380.0,2855.0,1665.0,1553.0,1131.0
1011,"Bullock, AL",10386.0,558.0,622.0,884.0,876.0,569.0,542.0,584.0,795.0,534.0,610.0,708.0,628.0,794.0,534.0,491.0,285.0,164.0,208.0
1013,"Butler, AL",19181.0,1087.0,1073.0,1470.0,1128.0,1039.0,1127.0,1054.0,1261.0,1173.0,1041.0,1090.0,1236.0,1410.0,1418.0,943.0,779.0,389.0,463.0
1015,"Calhoun, AL",116425.0,6716.0,6632.0,7469.0,8000.0,7345.0,7830.0,7174.0,7463.0,6683.0,7031.0,7369.0,8046.0,8084.0,6922.0,5679.0,4297.0,2023.0,1662.0
1017,"Chambers, AL",34834.0,2056.0,1815.0,2171.0,1878.0,2086.0,2383.0,1969.0,2373.0,1523.0,2258.0,2413.0,2795.0,2286.0,2493.0,1733.0,1331.0,783.0,488.0
1019,"Cherokee, AL",24975.0,1089.0,1445.0,1365.0,1449.0,1191.0,1336.0,1137.0,1506.0,1226.0,1618.0,1847.0,2006.0,2050.0,1798.0,1655.0,971.0,731.0,555.0
