,GEOID,NAME,STATE_NAME,ALAND,AWATER
0,13239,Quitman,Georgia,391703076,24158295
1,18111,Newton,Indiana,1040539827,4349506
2,19053,Decatur,Iowa,1377569408,4138626
3,24013,Carroll,Maryland,1159355859,13112464
4,29155,Pemiscot,Missouri,1275841039,53915406
5,36005,Bronx,New York,109233466,39353304
6,36093,Schenectady,New York,530089712,12366944
7,45021,Cherokee,South Carolina,1017770812,11691708
8,48495,Winkler,Texas,2178876165,19838
9,37173,Swain,North Carolina,1366810476,32416167
10,05137,Stone,Arkansas,1570673294,8145444
11,18035,Delaware,Indiana,1015536280,9863733
12,21167,Mercer,Kentucky,645073065,10991213
13,13287,Turner,Georgia,739227758,11818093
14,28097,Montgomery,Mississippi,1054074828,2352156
15,28127,Simpson,Mississippi,1525930873,3378528
16,19117,Lucas,Iowa,1115458264,9852845
17,29043,Christian,Missouri,1457206780,3049205
18,39067,Harrison,Ohio,1042032641,21847163
19,46045,Edmunds,South Dakota,2916275923,64969684
20,48089,Colorado,Texas,2487142710,34691168
21,48291,Liberty,Texas,3000121460,46620495
22,48379,Rains,Texas,594281632,76078926
23,01061,Geneva,Alabama,1487908432,11567409
24,32017,Lincoln,Nevada,27540342252,9802713
25,18031,Decatur,Indiana,964946132,1955432
26,18033,DeKalb,Indiana,939731961,2657419
27,20181,Sherman,Kansas,2735193250,548248
28,31181,Webster,Nebraska,1489017943,337241
29,46097,Miner,South Dakota,1476734132,4537900
30,55015,Calumet,Wisconsin,824263566,204161565
31,05077,Lee,Arkansas,1553493435,57858191
32,18129,Posey,Indiana,1060302147,26505383
33,22045,Iberia,Louisiana,1485913496,1182061975
34,29097,Jasper,Missouri,1653723325,7163884
35,36073,Orleans,New York,1013366838,1103741900
36,36001,Albany,New York,1354273421,26971925
37,48079,Cochran,Texas,2007453830,229068
38,04021,Pinal,Arizona,13899612888,20747424
39,05011,Bradley,Arkansas,1681335016,9505606
40,13067,Cobb,Georgia,880018853,12407739
41,18149,Starke,Indiana,800679813,7929143
42,19023,Butler,Iowa,1502550829,4194983
43,19017,Bremer,Iowa,1127885578,10166468
44,27129,Renville,Minnesota,2545711095,10851893
45,27089,Marshall,Minnesota,4597391953,98012348
46,40149,Washita,Oklahoma,2597989577,14579003
47,40025,Cimarron,Oklahoma,4752131817,15923999
48,46093,Meade,South Dakota,8989677124,30742173
49,48331,Milam,Texas,2632349435,11831398
50,49007,Carbon,Utah,3831067718,15844443
51,51075,Goochland,Virginia,730451417,21934893
52,55055,Jefferson,Wisconsin,1441308422,67985729
53,72075,Juana Díaz,Puerto Rico,156119306,121326507
54,22003,Allen,Louisiana,1973788820,10457653
55,08021,Conejos,Colorado,3334423895,9235012
56,18015,Carroll,Indiana,964057413,7236323
57,37053,Currituck,North Carolina,678341928,685097880
58,13263,Talbot,Georgia,1013662778,8766848
59,55071,Manitowoc,Wisconsin,1526295968,2343344181
60,42123,Warren,Pennsylvania,2290280119,37368145
61,12129,Wakulla,Florida,1570615734,804111188
62,12081,Manatee,Florida,1923744056,573084762
63,20125,Montgomery,Kansas,1666900085,20430012
64,25007,Dukes,Massachusetts,267292993,1004291414
65,31127,Nemaha,Nebraska,1055100616,5769944
66,31153,Sarpy,Nebraska,616679952,24397525
67,36097,Schuyler,New York,850405403,36246373
