CBSA,total_pop,mexican,puerto_rican,cuban,other_hispanic_latino,white,black_african_american,american_indian_alaska_native,asian,native_hawaiian_other_pacific_islander,other_race,two_or_more_sum
10100,42476,446,355,169,498,36680,909,1316,1302,61,4,736
10140,74737,5844,234,94,1707,58563,947,2646,1020,277,48,3357
10180,175241,38061,1110,391,3267,110600,12846,249,3329,58,890,4440
10220,38102,1941,12,0,256,24236,936,6203,332,59,43,4084
10300,99346,6545,886,68,859,85294,2036,135,276,38,186,3023
10380,311049,875,296005,359,5007,6392,320,74,132,0,722,1163
10420,702464,6617,4470,350,4493,551208,83056,642,23358,70,1824,26376
10460,67298,20882,386,422,4667,31683,2121,3998,747,96,189,2107
10500,149298,1882,615,270,1639,61074,78470,171,2167,41,216,2753
10540,127200,10659,254,70,1316,106456,465,733,1253,149,207,5638
10580,898265,5466,22155,2006,19300,705697,64408,915,40654,227,4271,33166
10620,62148,1848,269,113,586,49767,7103,21,1149,0,0,1292
10660,30882,2617,44,134,421,25816,312,44,917,8,7,562
10700,97179,7491,510,74,6176,77604,2762,182,644,38,133,1565
10740,913388,264889,6169,3271,180071,344071,20399,46596,19712,412,3566,24232
10760,51726,890,78,5,317,35042,14369,49,85,0,73,818
10780,152695,3020,652,295,1613,95912,44063,933,1764,11,325,4107
10820,38742,640,20,3,65,36938,104,62,170,103,20,617
10860,49204,37663,22,0,2801,7853,339,79,36,156,21,234
10900,857997,11538,79795,3502,62702,608551,44052,468,24414,267,2256,20452
10940,41758,2265,84,51,330,35404,2453,82,232,25,69,763
10980,28913,230,127,6,73,27244,189,47,141,25,104,727
11020,123132,350,688,125,454,115562,1962,89,732,10,144,3016
11060,24960,5124,287,0,870,15261,1552,340,356,39,78,1053
11100,268306,69953,783,428,9482,155621,16191,1074,8792,341,182,5459
11140,34312,1607,50,140,169,14720,16410,0,408,2,26,780
11180,124827,3353,231,84,710,106353,2621,150,7504,48,158,3615
11220,49539,913,5257,99,1114,39342,1278,70,383,8,50,1025
11260,399352,16449,5178,1538,10379,247205,16495,26272,29532,8715,2297,35292
11380,18184,9903,55,0,472,7084,394,0,85,37,0,154
11420,34379,1149,83,2,94,32054,97,16,226,0,34,624
11460,372428,10434,1698,785,5661,257733,42845,778,33822,114,1377,17181
11500,116425,2860,923,107,760,83073,24490,187,868,185,288,2684
11540,241748,8307,760,56,2053,210986,2944,2479,7878,43,422,5820
11580,34027,8913,200,602,1142,18374,4176,62,41,6,72,439
11620,58207,4647,226,7,740,39645,3265,3861,782,14,53,4967
11640,183384,118,180343,510,977,1086,99,0,2,0,230,19
11660,21569,749,20,0,296,14670,5251,26,121,15,14,407
11700,465558,19379,2987,1284,10083,392992,19863,1223,5125,341,1239,11042
11740,52658,458,239,0,98,50061,469,49,330,0,47,907
11780,97869,1600,2426,90,331,86419,3469,75,419,9,258,2773
11820,40720,2661,97,122,737,33748,379,256,416,95,10,2199
11860,16382,324,4,10,180,14356,415,21,103,0,20,949
11900,62933,445,263,75,463,56288,1534,85,1688,48,93,1951
11940,53065,1791,197,0,352,46613,1940,124,445,0,44,1559
