GeoFIPS,GeoName,total_pop,mexican,puerto_rican,cuban,other_hispanic_latino,white,black_african_american,american_indian_alaska_native,asian,native_hawaiian_other_pacific_islander,other_race_races
1001,"Autauga, AL",58239.0,881.0,508.0,194.0,192.0,42571.0,11464.0,98.0,647.0,0.0,1684.0
1003,"Baldwin, AL",227131.0,5835.0,1064.0,615.0,3120.0,187548.0,19749.0,1076.0,2175.0,9.0,5940.0
1005,"Barbour, AL",25259.0,932.0,77.0,0.0,167.0,11268.0,11934.0,71.0,106.0,1.0,703.0
1007,"Bibb, AL",22412.0,244.0,229.0,25.0,136.0,16596.0,4905.0,21.0,46.0,0.0,210.0
1009,"Blount, AL",58884.0,4970.0,85.0,51.0,506.0,50595.0,746.0,70.0,216.0,74.0,1571.0
1011,"Bullock, AL",10386.0,776.0,112.0,0.0,0.0,2116.0,7164.0,0.0,46.0,0.0,172.0
1013,"Butler, AL",19181.0,284.0,0.0,0.0,24.0,9767.0,8592.0,47.0,280.0,0.0,187.0
1015,"Calhoun, AL",116425.0,2860.0,923.0,107.0,760.0,83073.0,24490.0,187.0,868.0,185.0,2972.0
1017,"Chambers, AL",34834.0,402.0,148.0,54.0,342.0,19095.0,13963.0,65.0,358.0,3.0,404.0
1019,"Cherokee, AL",24975.0,319.0,11.0,0.0,112.0,22711.0,1154.0,57.0,27.0,0.0,584.0
1021,"Chilton, AL",44857.0,3186.0,146.0,0.0,235.0,35557.0,3959.0,18.0,210.0,0.0,1546.0
1023,"Choctaw, AL",12792.0,21.0,0.0,6.0,111.0,7221.0,5275.0,7.0,15.0,0.0,136.0
1025,"Clarke, AL",23346.0,102.0,8.0,0.0,216.0,12028.0,10582.0,25.0,105.0,0.0,280.0
1027,"Clay, AL",14184.0,380.0,0.0,5.0,58.0,11406.0,1883.0,0.0,35.0,0.0,417.0
1029,"Cleburne, AL",15046.0,279.0,11.0,1.0,107.0,13902.0,391.0,21.0,1.0,0.0,333.0
1031,"Coffee, AL",53043.0,1741.0,1315.0,208.0,1018.0,36675.0,8579.0,363.0,762.0,6.0,2376.0
1033,"Colbert, AL",56789.0,1205.0,66.0,65.0,414.0,44172.0,9255.0,197.0,256.0,49.0,1110.0
1035,"Conecuh, AL",11778.0,0.0,0.0,0.0,16.0,5901.0,5664.0,23.0,44.0,0.0,130.0
1037,"Coosa, AL",10442.0,129.0,68.0,0.0,77.0,6690.0,3204.0,27.0,0.0,0.0,247.0
1039,"Covington, AL",37490.0,423.0,15.0,0.0,255.0,31060.0,4621.0,126.0,188.0,32.0,770.0
1041,"Crenshaw, AL",13300.0,8.0,67.0,0.0,36.0,9340.0,3208.0,17.0,174.0,5.0,445.0
1043,"Cullman, AL",87129.0,2985.0,199.0,116.0,639.0,79371.0,978.0,290.0,311.0,9.0,2231.0
1045,"Dale, AL",49443.0,1770.0,1073.0,58.0,499.0,33322.0,9979.0,299.0,598.0,16.0,1829.0
1047,"Dallas, AL",39162.0,24.0,6.0,0.0,22.0,10534.0,28040.0,62.0,249.0,0.0,225.0
1049,"DeKalb, AL",71554.0,6151.0,40.0,114.0,4533.0,56982.0,1114.0,393.0,55.0,46.0,2126.0
1051,"Elmore, AL",87146.0,1858.0,209.0,14.0,598.0,63634.0,18060.0,278.0,857.0,0.0,1638.0
1053,"Escambia, AL",36879.0,768.0,68.0,0.0,90.0,22110.0,11474.0,1189.0,92.0,0.0,1088.0
1055,"Etowah, AL",103468.0,2376.0,437.0,151.0,1452.0,79746.0,15851.0,190.0,692.0,2.0,2571.0
1057,"Fayette, AL",16365.0,79.0,0.0,0.0,10.0,13722.0,2086.0,26.0,72.0,8.0,362.0
1059,"Franklin, AL",32034.0,3324.0,107.0,132.0,2262.0,24284.0,1373.0,60.0,85.0,5.0,402.0
1061,"Geneva, AL",26604.0,853.0,114.0,70.0,97.0,21692.0,2464.0,140.0,160.0,8.0,1006.0
1063,"Greene, AL",7851.0,43.0,148.0,0.0,10.0,1368.0,6217.0,0.0,0.0,0.0,65.0
1065,"Hale, AL",14819.0,0.0,0.0,0.0,11.0,5681.0,8740.0,0.0,46.0,0.0,341.0
1067,"Henry, AL",17165.0,267.0,137.0,47.0,19.0,11887.0,4529.0,34.0,65.0,20.0,160.0
1069,"Houston, AL",106355.0,2242.0,515.0,185.0,756.0,69415.0,28864.0,188.0,971.0,18.0,3201.0
1071,"Jackson, AL",52548.0,1104.0,183.0,13.0,350.0,46732.0,1826.0,464.0,181.0,20.0,1675.0
1073,"Jefferson, AL",672550.0,16709.0,2478.0,570.0,7484.0,330804.0,287570.0,662.0,11219.0,154.0,14900.0
1075,"Lamar, AL",13929.0,124.0,0.0,0.0,19.0,11975.0,1549.0,3.0,18.0,0.0,241.0
1077,"Lauderdale, AL",93342.0,1914.0,192.0,270.0,322.0,78237.0,9076.0,262.0,471.0,80.0,2518.0
1079,"Lawrence, AL",33089.0,465.0,144.0,3.0,185.0,25223.0,3451.0,1772.0,50.0,16.0,1780.0
1081,"Lee, AL",172223.0,3088.0,927.0,384.0,2148.0,115552.0,38004.0,224.0,7396.0,0.0,4500.0
1083,"Limestone, AL",101217.0,4501.0,341.0,62.0,1353.0,76199.0,13112.0,507.0,1814.0,77.0,3251.0
1085,"Lowndes, AL",10334.0,4.0,9.0,0.0,7.0,2566.0,7715.0,0.0,0.0,0.0,33.0
1087,"Macon, AL",19490.0,85.0,18.0,0.0,0.0,3210.0,15778.0,4.0,32.0,0.0,363.0
1089,"Madison, AL",382149.0,10759.0,3632.0,590.0,4828.0,244907.0,91865.0,1884.0,9764.0,203.0,13717.0
1091,"Marengo, AL",19397.0,498.0,0.0,0.0,36.0,8659.0,9941.0,21.0,104.0,0.0,138.0
1093,"Marion, AL",29392.0,525.0,10.0,49.0,187.0,26714.0,1168.0,71.0,79.0,0.0,589.0
1095,"Marshall, AL",97179.0,7491.0,510.0,74.0,6176.0,77604.0,2762.0,182.0,644.0,38.0,1698.0
1097,"Mobile, AL",414620.0,4779.0,1954.0,818.0,4767.0,233004.0,148637.0,2009.0,8271.0,71.0,10310.0
1099,"Monroe, AL",20115.0,30.0,0.0,0.0,43.0,10843.0,8482.0,308.0,83.0,9.0,317.0
1101,"Montgomery, AL",229072.0,4804.0,794.0,118.0,2675.0,74281.0,133588.0,238.0,7402.0,16.0,5156.0
1103,"Morgan, AL",122608.0,7083.0,812.0,226.0,2489.0,91597.0,15713.0,428.0,553.0,260.0,3447.0
1105,"Perry, AL",8702.0,0.0,70.0,3.0,15.0,2558.0,6033.0,2.0,13.0,0.0,8.0
1107,"Pickens, AL",19240.0,561.0,8.0,32.0,390.0,10298.0,7601.0,17.0,8.0,0.0,325.0
1109,"Pike, AL",33176.0,560.0,78.0,13.0,134.0,18458.0,12082.0,129.0,645.0,0.0,1077.0
1111,"Randolph, AL",21984.0,383.0,114.0,46.0,98.0,16453.0,4080.0,16.0,12.0,0.0,782.0
1113,"Russell, AL",58695.0,930.0,931.0,0.0,1508.0,26111.0,25967.0,135.0,647.0,30.0,2436.0
1115,"St. Clair, AL",90412.0,1290.0,295.0,316.0,362.0,77016.0,8610.0,348.0,498.0,14.0,1663.0
1117,"Shelby, AL",220780.0,7251.0,1358.0,580.0,3637.0,168865.0,27451.0,448.0,4232.0,29.0,6929.0
1119,"Sumter, AL",12482.0,103.0,0.0,30.0,19.0,3100.0,8880.0,16.0,163.0,0.0,171.0
1121,"Talladega, AL",81850.0,1105.0,199.0,32.0,668.0,50831.0,26254.0,152.0,286.0,19.0,2304.0
1123,"Tallapoosa, AL",41284.0,761.0,10.0,5.0,240.0,28352.0,11165.0,22.0,85.0,0.0,644.0
1125,"Tuscaloosa, AL",223945.0,5671.0,750.0,499.0,1922.0,135591.0,72091.0,182.0,3663.0,46.0,3530.0
1127,"Walker, AL",65194.0,1008.0,118.0,47.0,582.0,57171.0,3817.0,88.0,116.0,0.0,2247.0
1129,"Washington, AL",15574.0,153.0,1.0,0.0,11.0,10141.0,3707.0,1118.0,18.0,0.0,425.0
1131,"Wilcox, AL",10686.0,3.0,45.0,0.0,10.0,2856.0,7571.0,4.0,2.0,0.0,195.0
1133,"Winston, AL",23650.0,358.0,24.0,0.0,368.0,22055.0,217.0,36.0,50.0,16.0,526.0
2013,"Aleutians East Borough, AK",3409.0,248.0,19.0,0.0,92.0,436.0,60.0,1501.0,712.0,11.0,330.0
2016,"Aleutians West Census Area, AK",5251.0,362.0,5.0,60.0,84.0,1200.0,182.0,523.0,2404.0,87.0,344.0
2020,"Anchorage Municipality, AK",292545.0,13475.0,4390.0,1242.0,8676.0,164211.0,15096.0,19827.0,27758.0,8399.0,29471.0
2050,"Bethel Census Area, AK",18514.0,209.0,6.0,0.0,168.0,1703.0,170.0,15427.0,257.0,42.0,532.0
2060,"Bristol Bay Borough, AK",849.0,38.0,39.0,0.0,32.0,350.0,5.0,266.0,35.0,13.0,71.0
2068,"Denali Borough, AK",2187.0,4.0,0.0,0.0,9.0,1742.0,26.0,54.0,48.0,0.0,304.0
2070,"Dillingham Census Area, AK",4899.0,125.0,0.0,0.0,35.0,706.0,66.0,3554.0,10.0,3.0,400.0
2090,"Fairbanks North Star Borough, AK",97149.0,4458.0,1467.0,171.0,1920.0,66420.0,4221.0,6854.0,3205.0,568.0,7865.0
2100,"Haines Borough, AK",2098.0,137.0,0.0,0.0,1.0,1672.0,0.0,140.0,39.0,0.0,109.0
2110,"Juneau City and Borough, AK",32240.0,1004.0,303.0,130.0,833.0,20152.0,311.0,3195.0,2104.0,435.0,3773.0
2122,"Kenai Peninsula Borough, AK",58711.0,1571.0,137.0,46.0,806.0,46205.0,361.0,4352.0,1053.0,210.0,3970.0
2130,"Ketchikan Gateway Borough, AK*",13939.0,446.0,63.0,50.0,231.0,8706.0,108.0,1959.0,1149.0,32.0,1195.0
2150,"Kodiak Island Borough, AK",13218.0,606.0,2.0,18.0,551.0,6266.0,118.0,1448.0,2913.0,15.0,1281.0
2158,"Kusilvak Census Area, AK*",8354.0,86.0,0.0,0.0,0.0,274.0,2.0,7781.0,8.0,9.0,194.0
2164,"Lake and Peninsula Borough, AK",986.0,0.0,1.0,0.0,0.0,240.0,22.0,632.0,27.0,3.0,61.0
2170,"Matanuska-Susitna Borough, AK",106807.0,2974.0,788.0,296.0,1703.0,82994.0,1399.0,6445.0,1774.0,316.0,8118.0
2180,"Nome Census Area, AK",10070.0,138.0,15.0,5.0,44.0,1439.0,87.0,7644.0,123.0,2.0,573.0
2185,"North Slope Borough, AK",10865.0,141.0,43.0,13.0,241.0,3065.0,92.0,5820.0,587.0,207.0,656.0
2188,"Northwest Arctic Borough, AK",7776.0,161.0,11.0,10.0,15.0,797.0,87.0,6361.0,99.0,9.0,226.0
2220,"Sitka City and Borough, AK",8518.0,435.0,63.0,29.0,81.0,5234.0,40.0,841.0,619.0,3.0,1173.0
2240,"Southeast Fairbanks Census Area, AK",6849.0,187.0,274.0,0.0,25.0,4935.0,55.0,938.0,203.0,5.0,227.0
2290,"Yukon-Koyukuk Census Area, AK",5433.0,92.0,40.0,0.0,17.0,1162.0,5.0,3723.0,40.0,2.0,352.0
4001,"Apache, AZ",66473.0,3448.0,148.0,36.0,903.0,11774.0,563.0,48314.0,365.0,64.0,858.0
4003,"Cochise, AZ",125092.0,38978.0,1876.0,127.0,3694.0,67460.0,4130.0,895.0,2306.0,415.0,5211.0
4005,"Coconino, AZ",144942.0,14711.0,400.0,455.0,5535.0,76862.0,1967.0,36335.0,2489.0,196.0,5992.0
4007,"Gila, AZ",53211.0,8818.0,70.0,160.0,1144.0,32499.0,357.0,8611.0,408.0,0.0,1144.0
4009,"Graham, AZ",38145.0,11958.0,60.0,0.0,679.0,19240.0,756.0,4840.0,220.0,34.0,358.0
4011,"Greenlee, AZ",9542.0,4302.0,14.0,16.0,237.0,4335.0,183.0,330.0,44.0,0.0,81.0
4012,"La Paz, AZ",16845.0,4313.0,31.0,57.0,361.0,9450.0,64.0,1984.0,152.0,6.0,427.0
4013,"Maricopa, AZ",4367186.0,1179599.0,32547.0,13003.0,151646.0,2347923.0,232693.0,63119.0,180129.0,8239.0,158288.0
4015,"Mohave, AZ",211274.0,29026.0,914.0,475.0,5827.0,160404.0,2130.0,3308.0,2376.0,470.0,6344.0
4017,"Navajo, AZ",106609.0,10249.0,227.0,10.0,2076.0,43988.0,889.0,45380.0,482.0,184.0,3124.0
4019,"Pima, AZ",1035063.0,348679.0,9633.0,2253.0,32794.0,521538.0,32762.0,22989.0,28405.0,1408.0,34602.0
4021,"Pinal, AZ",420625.0,115510.0,3204.0,720.0,10584.0,233066.0,18480.0,16534.0,6074.0,1378.0,15075.0
4023,"Santa Cruz, AZ",47463.0,38157.0,213.0,102.0,1032.0,7127.0,139.0,74.0,135.0,0.0,484.0
4025,"Yavapai, AZ",233789.0,28794.0,1032.0,420.0,4772.0,185570.0,1470.0,2390.0,2480.0,147.0,6714.0
4027,"Yuma, AZ",202944.0,125674.0,1282.0,229.0,4215.0,60429.0,3294.0,1844.0,2227.0,82.0,3668.0
5001,"Arkansas, AR",17273.0,437.0,104.0,10.0,87.0,11855.0,4433.0,35.0,8.0,0.0,304.0
5003,"Ashley, AR",19362.0,990.0,0.0,0.0,151.0,13086.0,4828.0,3.0,30.0,50.0,224.0
