dataset,exclusions
age_composition,9001
age_composition,9003
age_composition,9005
age_composition,9007
age_composition,9009
age_composition,9011
age_composition,9013
age_composition,9015
burdens,2158
burdens,35039
burdens,46102
transport,2282
transport,15901
transport,22051
transport,22071
transport,22075
transport,22087
transport,22089
transport,22095
transport,22103
transport,51901
transport,51903
transport,51907
transport,51911
transport,51913
transport,51918
transport,51919
transport,51921
transport,51923
transport,51929
transport,51931
transport,51933
transport,51939
transport,51941
transport,51942
transport,51944
transport,51945
transport,51947
transport,51949
transport,51951
transport,51953
transport,51955
transport,51958
