dataset,exclusions
population_pre2020_CT,2158000100
population_pre2020_CT,2195000200
population_pre2020_CT,4019002704
population_pre2020_CT,4019002906
population_pre2020_CT,4019004118
population_pre2020_CT,4019004121
population_pre2020_CT,4019004125
population_pre2020_CT,4019005200
population_pre2020_CT,4019005300
population_pre2020_CT,6037137000
population_pre2020_CT,22059970100
population_pre2020_CT,22059970200
population_pre2020_CT,22059970300
population_pre2020_CT,35013000102
population_pre2020_CT,35013000103
population_pre2020_CT,35013000104
population_pre2020_CT,35013000201
population_pre2020_CT,35013000202
population_pre2020_CT,35013000300
population_pre2020_CT,35013000401
population_pre2020_CT,35013000402
population_pre2020_CT,35013000500
population_pre2020_CT,35013000600
population_pre2020_CT,35013000700
population_pre2020_CT,35013000800
population_pre2020_CT,35013000900
population_pre2020_CT,35013001000
population_pre2020_CT,35013001102
population_pre2020_CT,35013001103
population_pre2020_CT,35013001104
population_pre2020_CT,35013001201
population_pre2020_CT,35013001203
population_pre2020_CT,35013001204
population_pre2020_CT,35013001205
population_pre2020_CT,35013001303
population_pre2020_CT,35013001304
population_pre2020_CT,35013001305
population_pre2020_CT,35013001306
population_pre2020_CT,35013001307
population_pre2020_CT,35013001400
population_pre2020_CT,35013001500
population_pre2020_CT,35013001600
population_pre2020_CT,35013001701
population_pre2020_CT,35013001702
population_pre2020_CT,35013001703
population_pre2020_CT,35013001705
population_pre2020_CT,35013001706
population_pre2020_CT,35013001707
population_pre2020_CT,35013001801
population_pre2020_CT,35013001802
population_pre2020_CT,35013001804
population_pre2020_CT,35013001805
population_pre2020_CT,35013001806
population_pre2020_CT,35013001900
population_pre2020_CT,36053030101
population_pre2020_CT,36053030102
population_pre2020_CT,36053030103
population_pre2020_CT,36053030200
population_pre2020_CT,36053030300
population_pre2020_CT,36053030401
population_pre2020_CT,36053030402
population_pre2020_CT,36053030403
population_pre2020_CT,36053030600
population_pre2020_CT,36065024700
population_pre2020_CT,36065024800
population_pre2020_CT,36065024900
population_pre2020_CT,46102940500
population_pre2020_CT,46102940800
population_pre2020_CT,46102940900
population_pre2020_CT,51019050100
