GeoFIPS,GeoName,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1001,"Autauga, AL",38260,39702,42463,42183,42841,44241,45379,45019,46491,50375,51622,53081,53049,48863,51441,51868,54366,56580,54487,58343,59338,58233,67565,66444
1003,"Baldwin, AL",37162,39194,41283,40406,40818,41961,42227,42804,45493,49163,51957,48637,47618,50144,48867,47539,49626,52387,56460,56607,57588,59871,71135,65658
1005,"Barbour, AL",27603,25837,26612,25480,25279,26062,26495,29534,28692,30370,30896,28802,33074,30117,30287,30981,34971,31433,32884,32490,34382,35972,38866,38649
1007,"Bibb, AL",29692,30594,31776,31074,31387,32924,34055,34212,36794,38907,41076,38294,35472,37347,37392,39781,39546,40767,43079,45795,46064,47918,50907,48454
1009,"Blount, AL",35623,35304,36863,36175,36386,37758,38643,40588,41494,43266,46086,41520,42906,41940,44225,44392,45567,50487,47213,48253,50412,52902,55203,56894
1011,"Bullock, AL",22231,21183,21400,20367,20137,20903,20485,21728,23095,24969,26980,24206,25969,26038,25854,25937,26580,28251,34278,29113,29267,31906,33124,32027
1013,"Butler, AL",23988,24715,25763,25284,25826,26951,27244,28058,29158,30460,31449,27794,29500,30489,30605,31041,32512,33868,35409,36842,37365,39944,42268,39442
1015,"Calhoun, AL",31866,31389,32604,31849,32013,33137,34813,35937,36684,37478,39997,37340,37916,39060,39212,37898,41123,42091,41778,45937,45400,47747,50259,48166
1017,"Chambers, AL",29260,29203,30505,29824,29993,30844,30573,31538,32014,33904,35614,30621,30061,33500,32320,33883,34116,35560,39530,36883,39917,42015,39318,45447
1019,"Cherokee, AL",29839,30182,31436,30738,31011,32158,33564,33858,37097,37376,38028,38024,34410,34738,37868,37478,38013,39144,41456,44842,42132,45982,50388,46365
1021,"Chilton, AL",31970,32256,33650,32883,33129,34201,35507,36098,36717,39663,40292,38916,38553,38833,39621,41348,41450,42767,44188,46405,47547,49692,52693,55142
1023,"Choctaw, AL",26723,25647,26388,25878,25928,26829,27690,27512,28730,31508,30728,31067,32003,32940,33390,33581,35049,35089,32691,36711,39907,39808,41649,40601
1025,"Clarke, AL",28044,27685,28734,28010,27987,28644,28776,29531,29659,32627,34101,32729,33739,32642,34606,34593,36620,37317,34061,36719,40741,43822,44178,45447
1027,"Clay, AL",28323,27792,28940,28289,28765,29456,31194,33512,32512,36009,33032,34831,33035,32454,34579,33344,35940,38908,38512,39642,39201,40562,44763,47036
