GeoFIPS,GeoName,median_owner_occupied_home_value
1001,"Autauga, AL",191800.0
1003,"Baldwin, AL",266000.0
1005,"Barbour, AL",102700.0
1007,"Bibb, AL",120100.0
1009,"Blount, AL",159800.0
1011,"Bullock, AL",87700.0
1013,"Butler, AL",94800.0
1015,"Calhoun, AL",140500.0
1017,"Chambers, AL",116900.0
1019,"Cherokee, AL",158700.0
1021,"Chilton, AL",136000.0
1023,"Choctaw, AL",101600.0
1025,"Clarke, AL",126200.0
1027,"Clay, AL",144100.0
1029,"Cleburne, AL",131900.0
1031,"Coffee, AL",162200.0
1033,"Colbert, AL",148500.0
1035,"Conecuh, AL",98800.0
1037,"Coosa, AL",109500.0
1039,"Covington, AL",124300.0
1041,"Crenshaw, AL",100400.0
1043,"Cullman, AL",166000.0
1045,"Dale, AL",123800.0
1047,"Dallas, AL",91600.0
1049,"DeKalb, AL",129000.0
1051,"Elmore, AL",200400.0
1053,"Escambia, AL",122000.0
1055,"Etowah, AL",148400.0
1057,"Fayette, AL",112700.0
1059,"Franklin, AL",121600.0
1061,"Geneva, AL",120700.0
1063,"Greene, AL",88800.0
1065,"Hale, AL",109400.0
1067,"Henry, AL",132400.0
1069,"Houston, AL",164900.0
1071,"Jackson, AL",126900.0
1073,"Jefferson, AL",208900.0
1075,"Lamar, AL",108200.0
1077,"Lauderdale, AL",174800.0
1079,"Lawrence, AL",134200.0
1081,"Lee, AL",224400.0
1083,"Limestone, AL",229400.0
1085,"Lowndes, AL",83400.0
1087,"Macon, AL",93900.0
1089,"Madison, AL",242900.0
1091,"Marengo, AL",98600.0
1093,"Marion, AL",104300.0
1095,"Marshall, AL",165600.0
1097,"Mobile, AL",164600.0
1099,"Monroe, AL",109300.0
1101,"Montgomery, AL",151300.0
1103,"Morgan, AL",174800.0
1105,"Perry, AL",81700.0
1107,"Pickens, AL",119800.0
1109,"Pike, AL",144500.0
1111,"Randolph, AL",155000.0
1113,"Russell, AL",141900.0
1115,"St. Clair, AL",202000.0
1117,"Shelby, AL",276500.0
1119,"Sumter, AL",88000.0
1121,"Talladega, AL",131900.0
1123,"Tallapoosa, AL",127100.0
1125,"Tuscaloosa, AL",218800.0
1127,"Walker, AL",124100.0
1129,"Washington, AL",138100.0
1131,"Wilcox, AL",83200.0
1133,"Winston, AL",111600.0
2013,"Aleutians East Borough, AK",164100.0
