,GeoFIPS,GeoName,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,01001,"Autauga, AL",2.400115584858955e-05,2.4801995432961887e-05,2.5403437002409398e-05,2.6114644905805754e-05,2.6784284493387164e-05,2.734805477662738e-05,2.7904680505586905e-05,2.8591856726402743e-05,2.915562700964296e-05,2.9818122042943678e-05,3.039683093967989e-05,3.1413955667276874e-05,3.226480713161406e-05,3.333778928358738e-05,3.403730609816078e-05,3.460367440113943e-05,3.516094963503356e-05,3.560975754484807e-05,3.608454565204692e-05,3.608519515698152e-05,3.610857733462743e-05,3.639435950585519e-05,3.655283870989967e-05,3.6991904045695054e-05,3.7262747603426814e-05,3.749462086508207e-05,3.783041491627468e-05,3.8240902034947286e-05,3.8382494110691943e-05
1,01003,"Baldwin, AL",2.7058109296194685e-05,2.8308577853368756e-05,2.936038972385252e-05,3.0457130062597543e-05,3.161118455544881e-05,3.2650610740087587e-05,3.340613757663226e-05,3.4325835464769416e-05,3.518384778026679e-05,3.593233177584078e-05,3.6794958366456886e-05,3.795022714223414e-05,3.938720955683872e-05,4.0829291959732417e-05,4.186944671412677e-05,4.270074480525259e-05,4.3569928523668986e-05,4.4491326407902515e-05,4.540956715652849e-05,4.637127923390455e-05,4.761616208961912e-05,4.875564518735863e-05,4.976738572128506e-05,5.100085431749541e-05,5.230280847073103e-05,5.3703362397556216e-05,5.5147630509716675e-05,5.661958427258947e-05,5.81141236978855e-05
2,01005,"Barbour, AL",1.1941137713235761e-05,1.2106920195827906e-05,1.2151855974004197e-05,1.2345559716822388e-05,1.2396603270673126e-05,1.2582454159052741e-05,1.259336090132854e-05,1.2658365085292301e-05,1.2592052092255444e-05,1.2500435457138732e-05,1.2474695545367847e-05,1.2340760750221035e-05,1.2227330630552726e-05,1.215490986184142e-05,1.2109537813974096e-05,1.2131787568216727e-05,1.20659108448709e-05,1.1928485892195834e-05,1.1965132546242518e-05,1.191888795899313e-05,1.1848212269045954e-05,1.1798041254577277e-05,1.1619170681254175e-05,1.1437682489784879e-05,1.1171994247946416e-05,1.1072524758391129e-05,1.0996177562460536e-05,1.0985270820184738e-05,1.0891036566921835e-05
3,01007,"Bibb, AL",1.1014219249122806e-05,1.1197820583680464e-05,1.1479425333306064e-05,1.1713889199734426e-05,1.2025887413526664e-05,1.2313074636162462e-05,1.2752849454410367e-05,1.2351531672454944e-05,1.304313805094072e-05,1.3149205038134502e-05,1.3273259993916705e-05,1.347298847272605e-05,1.3672096676756484e-05,1.3707452339154412e-05,1.3917725489205245e-05,1.4083338855174484e-05,1.4229723702997483e-05,1.4180101720684601e-05,1.4111251220225479e-05,1.406907253525953e-05,1.3983474615769811e-05,1.4009526156484073e-05,1.4022551926841204e-05,1.4051704841450022e-05,1.4021931652062294e-05,1.3883610376365139e-05,1.389725642150118e-05,1.3784366411739377e-05,1.3941916205582774e-05
4,01009,"Blount, AL",2.506557231189803e-05,2.5457128330910626e-05,2.6379140975068725e-05,2.714788398487327e-05,2.8172275955103468e-05,2.9231393076866895e-05,3.007736961335741e-05,3.0598246886355815e-05,3.104009450414067e-05,3.1462783417631336e-05,3.2005214232960706e-05,3.240455347559282e-05,3.2703908230189605e-05,3.321939711760527e-05,3.3671422797046414e-05,3.415937104703917e-05,3.4330601966668534e-05,3.436772195623854e-05,3.455272319457935e-05,3.463953607341242e-05,3.473952056144774e-05,3.475388958966839e-05,3.482573473077162e-05,3.486764439641517e-05,3.512987916144195e-05,3.518316430776018e-05,3.5297517824016154e-05,3.537235651266535e-05,3.5348408132297606e-05
5,01011,"Bullock, AL",6.955002781638453e-06,7.04861232081551e-06,7.08642809492015e-06,7.175078188312992e-06,7.2060747244643356e-06,7.2252925768781685e-06,7.2872856491808555e-06,7.17941770337418e-06,7.041173152139188e-06,6.977940218390447e-06,7.01513606177206e-06,6.853954073785073e-06,6.826057191248864e-06,6.68037347133755e-06,6.826057191248864e-06,6.790101209313306e-06,6.81117885389622e-06,6.7479459201474785e-06,6.648137073740153e-06,6.6264394984342125e-06,6.6146608146967014e-06,6.706410561704678e-06,6.561346772516391e-06,6.578704832761143e-06,6.4627777875551185e-06,6.4739365405696025e-06,6.481375709245924e-06,6.3908658236840014e-06,6.397685061637297e-06
6,01013,"Butler, AL",1.0841437573409512e-05,1.0860324229430672e-05,1.0846904763310375e-05,1.0866288436595249e-05,1.085485703952981e-05,1.0794220933356611e-05,1.0738057982556847e-05,1.059889314871672e-05,1.0506447937665781e-05,1.033945013705763e-05,1.0354360654969071e-05,1.0372750293726516e-05,1.0352869603177927e-05,1.0345414344222207e-05,1.0384678708055671e-05,1.041201465755998e-05,1.0371259241935373e-05,1.0398595191439684e-05,1.0342929257903633e-05,1.0222651080084667e-05,1.0045712934202221e-05,1.0009430673951046e-05,9.906548100362095e-06,9.82106113100316e-06,9.735574161644226e-06,9.59839739685896e-06,9.491538685160292e-06,9.465693787447126e-06,9.385674007989053e-06
7,01015,"Calhoun, AL",7.412731379271221e-05,7.402344226019775e-05,7.442427167094373e-05,7.435672331237605e-05,7.471995505184379e-05,7.467216140191383e-05,7.32262441793659e-05,7.078621903827468e-05,7.090411004143527e-05,7.113288231243338e-05,7.182111087142489e-05,7.230350811138469e-05,7.295031550710357e-05,7.353084904158623e-05,7.405530469348439e-05,7.473270002515845e-05,7.542666382214156e-05,7.550950614868683e-05,7.527945938035726e-05,7.511887271659258e-05,7.485441452031343e-05,7.46912788618858e-05,7.458868182670282e-05,7.443701664425839e-05,7.442809516293813e-05,7.43172138951006e-05,7.434716458239006e-05,7.40903533700997e-05,7.390300226237423e-05
8,01017,"Chambers, AL",2.3963720829471376e-05,2.3989609362750123e-05,2.406274446926258e-05,2.3886702442967106e-05,2.3751434856585657e-05,2.382262832310221e-05,2.3640761376819018e-05,2.366923876342564e-05,2.347701640383095e-05,2.3277027484252634e-05,2.309257168464157e-05,2.295212639160437e-05,2.2833039138522138e-05,2.2616869885644607e-05,2.255344297911168e-05,2.2369634392832583e-05,2.2253783206410193e-05,2.2102982500061495e-05,2.2162526126602614e-05,2.2328212739586588e-05,2.247189409928363e-05,2.2484191152591033e-05,2.2622047592300358e-05,2.2575448232398612e-05,2.2677060725517693e-05,2.269841876547266e-05,2.2596806272353578e-05,2.2444063926008977e-05,2.235539569952927e-05
9,01019,"Cherokee, AL",1.4447334523629452e-05,1.4797496841650984e-05,1.52557770068704e-05,1.5615704807864644e-05,1.5981212884843297e-05,1.6288128063985676e-05,1.6465301826490595e-05,1.6745013160208993e-05,1.6867779231865942e-05,1.7021934355935184e-05,1.7153070841568746e-05,1.7359541052991802e-05,1.7459986020711125e-05,1.776341352736325e-05,1.7824099028693673e-05,1.7881994392031896e-05,1.8034056912606982e-05,1.8091254741447155e-05,1.8018013619151813e-05,1.7906408099463678e-05,1.7858278219098168e-05,1.7685987198079604e-05,1.748788740063316e-05,1.7419529019824173e-05,1.736791146696841e-05,1.742301669231443e-05,1.748091205565265e-05,1.7409066002353413e-05,1.7435572313279343e-05
